,End_Order,End_Datum,Ret_Aantal
1449189,425986,20-10-2017,33.0
1449269,425988,27-10-2017,3.0
1449273,425988,27-10-2017,36.0
2505456,491526,09-10-2020,10.0
2505460,491526,09-10-2020,13.0
3020899,524296,14-12-2021,6.0
3020906,524296,14-12-2021,15.0
3020930,524296,14-12-2021,8.0
1926026,458770,17-05-2019,2.0
1926029,458770,17-05-2019,4.0
1923796,458773,21-05-2019,1.0
1923797,458773,21-05-2019,3.0
1917808,458777,19-05-2019,2.0
2446939,491548,03-09-2020,2.0
2459517,491549,04-09-2020,4.0
583509,360480,04-10-2013,6.0
2447114,491556,04-09-2020,7.0
2447133,491556,04-09-2020,5.0
1917927,458791,13-05-2019,9.0
1008920,393256,14-03-2016,6.0
1008933,393256,14-03-2016,22.0
204015,327729,02-03-2010,1.0
2075093,458804,08-10-2019,7.0
2075094,458804,08-10-2019,9.0
1951990,458809,13-06-2019,9.0
1952005,458809,13-06-2019,11.0
1952033,458809,13-06-2019,9.0
2448145,491583,03-09-2020,6.0
1861214,426053,22-03-2019,5.0
596260,360525,28-10-2013,6.0
1918279,458836,13-05-2019,9.0
1918355,458837,14-05-2019,8.0
1918511,458838,15-05-2019,6.0
2447777,491605,11-09-2020,3.0
2639034,491607,21-01-2021,1.0
2639054,491607,21-01-2021,2.0
1918604,458842,15-05-2019,4.0
1918608,458842,15-05-2019,4.0
2504095,491623,14-09-2020,5.0
2562440,491625,31-10-2020,3.0
2562452,491625,31-10-2020,3.0
2448260,491632,28-08-2020,2.0
1019737,393339,29-03-2016,4.0
1019738,393339,29-03-2016,7.0
1019741,393339,29-03-2016,5.0
1019746,393339,29-03-2016,9.0
1019773,393339,29-03-2016,7.0
269368,327816,24-11-2010,3.0
2449373,491666,27-08-2020,6.0
2449378,491666,27-08-2020,8.0
2448690,491672,12-09-2020,4.0
2448702,491672,12-09-2020,10.0
2448743,491677,08-09-2020,2.0
2448762,491677,08-09-2020,4.0
2483601,491678,23-09-2020,2.0
2483610,491678,23-09-2020,7.0
2533499,491681,29-10-2020,9.0
2561519,491681,16-11-2020,1.0
2561552,491681,16-11-2020,2.0
2561574,491681,16-11-2020,13.0
2561581,491681,16-11-2020,3.0
2561610,491681,16-11-2020,24.0
2448795,491682,02-10-2020,2.0
3030419,524467,21-12-2021,2.0
3030423,524467,21-12-2021,2.0
3030436,524467,21-12-2021,1.0
3030438,524467,21-12-2021,4.0
3030448,524467,21-12-2021,2.0
3030465,524467,21-12-2021,2.0
3030469,524467,21-12-2021,1.0
3030475,524467,21-12-2021,5.0
3030488,524467,21-12-2021,8.0
3030501,524467,21-12-2021,1.0
