,Date,Net_month_art
0,2010-01-31,4.0
1,2010-02-28,115.0
2,2010-03-31,182.0
3,2010-04-30,132.0
4,2010-05-31,242.0
5,2010-06-30,203.0
6,2010-07-31,162.0
7,2010-08-31,193.0
8,2010-09-30,374.0
9,2010-10-31,358.0
10,2010-11-30,305.0
11,2010-12-31,163.0
12,2011-01-31,206.0
13,2011-02-28,224.0
14,2011-03-31,253.0
15,2011-04-30,238.0
16,2011-05-31,236.0
17,2011-06-30,320.0
18,2011-07-31,354.0
19,2011-08-31,334.0
20,2011-09-30,329.0
21,2011-10-31,397.0
22,2011-11-30,397.0
23,2011-12-31,287.0
24,2012-01-31,151.0
25,2012-02-29,212.0
26,2012-03-31,312.0
27,2012-04-30,308.0
28,2012-05-31,373.0
29,2012-06-30,421.0
30,2012-07-31,415.0
31,2012-08-31,248.0
32,2012-09-30,319.0
33,2012-10-31,551.0
34,2012-11-30,574.0
35,2012-12-31,398.0
36,2013-01-31,264.0
37,2013-02-28,349.0
38,2013-03-31,418.0
39,2013-04-30,384.0
40,2013-05-31,419.0
41,2013-06-30,456.0
42,2013-07-31,483.0
43,2013-08-31,467.0
44,2013-09-30,464.0
45,2013-10-31,578.0
46,2013-11-30,430.0
47,2013-12-31,469.0
48,2014-01-31,325.0
49,2014-02-28,396.0
50,2014-03-31,420.0
51,2014-04-30,596.0
52,2014-05-31,644.0
53,2014-06-30,520.0
54,2014-07-31,525.0
55,2014-08-31,457.0
56,2014-09-30,451.0
57,2014-10-31,499.0
58,2014-11-30,310.0
59,2014-12-31,284.0
60,2015-01-31,209.0
61,2015-02-28,259.0
62,2015-03-31,349.0
63,2015-04-30,376.0
64,2015-05-31,388.0
65,2015-06-30,449.0
66,2015-07-31,458.0
67,2015-08-31,577.0
68,2015-09-30,535.0
69,2015-10-31,676.0
70,2015-11-30,603.0
71,2015-12-31,473.0
72,2016-01-31,407.0
73,2016-02-29,575.0
74,2016-03-31,801.0
75,2016-04-30,864.0
76,2016-05-31,655.0
77,2016-06-30,640.0
78,2016-07-31,617.0
79,2016-08-31,496.0
80,2016-09-30,598.0
81,2016-10-31,674.0
82,2016-11-30,852.0
83,2016-12-31,732.0
84,2017-01-31,632.0
85,2017-02-28,844.0
86,2017-03-31,856.0
87,2017-04-30,683.0
88,2017-05-31,757.0
89,2017-06-30,839.0
90,2017-07-31,820.0
91,2017-08-31,636.0
92,2017-09-30,835.0
93,2017-10-31,1313.0
94,2017-11-30,1329.0
95,2017-12-31,926.0
96,2018-01-31,585.0
97,2018-02-28,874.0
98,2018-03-31,1079.0
99,2018-04-30,1079.0
100,2018-05-31,1167.0
101,2018-06-30,1118.0
102,2018-07-31,1149.0
103,2018-08-31,1114.0
104,2018-09-30,1203.0
105,2018-10-31,1160.0
106,2018-11-30,1158.0
107,2018-12-31,903.0
108,2019-01-31,828.0
109,2019-02-28,1032.0
110,2019-03-31,1203.0
111,2019-04-30,1268.0
112,2019-05-31,1196.0
113,2019-06-30,1197.0
114,2019-07-31,1111.0
115,2019-08-31,1104.0
116,2019-09-30,1377.0
117,2019-10-31,1475.0
118,2019-11-30,1544.0
119,2019-12-31,1170.0
120,2020-01-31,926.0
121,2020-02-29,1034.0
122,2020-03-31,1076.0
123,2020-04-30,1084.0
124,2020-05-31,1149.0
125,2020-06-30,1169.0
126,2020-07-31,1259.0
127,2020-08-31,1221.0
128,2020-09-30,1429.0
129,2020-10-31,1394.0
130,2020-11-30,1166.0
131,2020-12-31,913.0
132,2021-01-31,650.0
133,2021-02-28,663.0
134,2021-03-31,813.0
135,2021-04-30,717.0
136,2021-05-31,705.0
137,2021-06-30,727.0
138,2021-07-31,794.0
139,2021-08-31,753.0
140,2021-09-30,789.0
141,2021-10-31,729.0
142,2021-11-30,651.0
143,2021-12-31,663.0
