,Date,Net_week_art
0,2010-01-10,0.0
1,2010-01-17,0.0
2,2010-01-24,1.0
3,2010-01-31,4.0
4,2010-02-07,35.0
5,2010-02-14,40.0
6,2010-02-21,67.0
7,2010-02-28,115.0
8,2010-03-07,66.0
9,2010-03-14,90.0
10,2010-03-21,123.0
11,2010-03-28,182.0
12,2010-04-04,84.0
13,2010-04-11,126.0
14,2010-04-18,132.0
15,2010-04-25,109.0
16,2010-05-02,99.0
17,2010-05-09,145.0
18,2010-05-16,136.0
19,2010-05-23,163.0
20,2010-05-30,242.0
21,2010-06-06,241.0
22,2010-06-13,203.0
23,2010-06-20,182.0
24,2010-06-27,181.0
25,2010-07-04,149.0
26,2010-07-11,162.0
27,2010-07-18,141.0
28,2010-07-25,106.0
29,2010-08-01,83.0
30,2010-08-08,103.0
31,2010-08-15,103.0
32,2010-08-22,160.0
33,2010-08-29,168.0
34,2010-09-05,210.0
35,2010-09-12,228.0
36,2010-09-19,251.0
37,2010-09-26,261.0
38,2010-10-03,374.0
39,2010-10-10,358.0
40,2010-10-17,330.0
41,2010-10-24,295.0
42,2010-10-31,228.0
43,2010-11-07,268.0
44,2010-11-14,305.0
45,2010-11-21,288.0
46,2010-11-28,251.0
47,2010-12-05,169.0
48,2010-12-12,155.0
49,2010-12-19,160.0
50,2010-12-26,119.0
51,2011-01-02,108.0
52,2011-01-09,113.0
53,2011-01-16,121.0
54,2011-01-23,206.0
55,2011-01-30,190.0
56,2011-02-06,192.0
57,2011-02-13,212.0
58,2011-02-20,210.0
59,2011-02-27,224.0
60,2011-03-06,239.0
61,2011-03-13,253.0
62,2011-03-20,236.0
63,2011-03-27,192.0
64,2011-04-03,203.0
65,2011-04-10,206.0
66,2011-04-17,238.0
67,2011-04-24,190.0
68,2011-05-01,219.0
69,2011-05-08,177.0
70,2011-05-15,230.0
71,2011-05-22,197.0
72,2011-05-29,236.0
73,2011-06-05,225.0
74,2011-06-12,272.0
75,2011-06-19,320.0
76,2011-06-26,253.0
77,2011-07-03,317.0
78,2011-07-10,354.0
79,2011-07-17,272.0
80,2011-07-24,321.0
81,2011-07-31,198.0
82,2011-08-07,103.0
83,2011-08-14,139.0
84,2011-08-21,186.0
85,2011-08-28,256.0
86,2011-09-04,334.0
87,2011-09-11,279.0
88,2011-09-18,295.0
89,2011-09-25,272.0
90,2011-10-02,269.0
91,2011-10-09,397.0
92,2011-10-16,377.0
93,2011-10-23,356.0
94,2011-10-30,395.0
95,2011-11-06,397.0
96,2011-11-13,358.0
97,2011-11-20,343.0
98,2011-11-27,384.0
99,2011-12-04,386.0
100,2011-12-11,236.0
101,2011-12-18,139.0
102,2011-12-25,135.0
103,2012-01-01,108.0
104,2012-01-08,136.0
105,2012-01-15,80.0
106,2012-01-22,117.0
107,2012-01-29,151.0
108,2012-02-05,134.0
109,2012-02-12,153.0
110,2012-02-19,153.0
111,2012-02-26,190.0
112,2012-03-04,212.0
113,2012-03-11,312.0
114,2012-03-18,291.0
115,2012-03-25,248.0
116,2012-04-01,272.0
117,2012-04-08,296.0
118,2012-04-15,250.0
119,2012-04-22,293.0
120,2012-04-29,308.0
121,2012-05-06,373.0
122,2012-05-13,362.0
123,2012-05-20,315.0
124,2012-05-27,280.0
125,2012-06-03,301.0
126,2012-06-10,312.0
127,2012-06-17,334.0
128,2012-06-24,372.0
129,2012-07-01,421.0
130,2012-07-08,415.0
131,2012-07-15,414.0
132,2012-07-22,270.0
133,2012-07-29,233.0
134,2012-08-05,218.0
135,2012-08-12,232.0
136,2012-08-19,225.0
137,2012-08-26,248.0
138,2012-09-02,248.0
139,2012-09-09,266.0
140,2012-09-16,319.0
141,2012-09-23,245.0
142,2012-09-30,247.0
143,2012-10-07,289.0
144,2012-10-14,322.0
145,2012-10-21,506.0
146,2012-10-28,551.0
147,2012-11-04,475.0
148,2012-11-11,475.0
149,2012-11-18,574.0
150,2012-11-25,541.0
151,2012-12-02,395.0
152,2012-12-09,398.0
153,2012-12-16,273.0
154,2012-12-23,190.0
155,2012-12-30,138.0
156,2013-01-06,180.0
157,2013-01-13,209.0
158,2013-01-20,251.0
159,2013-01-27,252.0
160,2013-02-03,264.0
161,2013-02-10,286.0
162,2013-02-17,304.0
163,2013-02-24,349.0
164,2013-03-03,336.0
165,2013-03-10,418.0
166,2013-03-17,399.0
167,2013-03-24,371.0
168,2013-03-31,398.0
169,2013-04-07,361.0
170,2013-04-14,384.0
171,2013-04-21,343.0
172,2013-04-28,350.0
