,End_Order,End_Datum,Ret_Aantal
1449181,425986,20-10-2017,1.0
1449183,425986,20-10-2017,2.0
2507028,491524,13-10-2020,5.0
2505459,491526,09-10-2020,1.0
2505465,491526,09-10-2020,1.0
3020881,524296,14-12-2021,1.0
3020893,524296,14-12-2021,1.0
3020901,524296,14-12-2021,2.0
3020923,524296,14-12-2021,2.0
3020924,524296,14-12-2021,1.0
1926023,458770,17-05-2019,1.0
1926028,458770,17-05-2019,1.0
1926050,458770,17-05-2019,1.0
1923793,458773,21-05-2019,1.0
1923794,458773,21-05-2019,1.0
1923773,458773,15-05-2019,2.0
1929769,458784,21-05-2019,2.0
583511,360480,04-10-2013,3.0
2447145,491556,04-09-2020,1.0
2447148,491556,04-09-2020,4.0
1917929,458791,13-05-2019,4.0
1008923,393256,14-03-2016,5.0
1008943,393256,14-03-2016,4.0
1008948,393256,14-03-2016,3.0
1008951,393256,14-03-2016,2.0
1999213,458804,24-07-2019,2.0
1952003,458809,13-06-2019,5.0
1952031,458809,13-06-2019,4.0
1952032,458809,13-06-2019,2.0
2448168,491583,03-09-2020,4.0
1861199,426053,22-03-2019,2.0
1861225,426053,22-03-2019,3.0
1982677,426053,28-06-2019,1.0
1949971,426053,12-06-2019,2.0
596262,360525,28-10-2013,2.0
596269,360525,28-10-2013,5.0
1937473,458833,28-05-2019,3.0
3029652,524371,13-12-2021,2.0
3029655,524371,13-12-2021,2.0
1918298,458836,13-05-2019,2.0
1918305,458836,13-05-2019,3.0
1918337,458837,14-05-2019,1.0
1918510,458838,15-05-2019,1.0
2447775,491605,11-09-2020,3.0
2639030,491607,21-01-2021,2.0
1918592,458842,15-05-2019,2.0
1918596,458842,15-05-2019,3.0
209488,327776,19-03-2010,4.0
2471998,491616,15-09-2020,5.0
2472001,491616,15-09-2020,2.0
3023891,524390,23-12-2021,2.0
2200656,458854,23-01-2020,9.0
2200659,458854,23-01-2020,2.0
881375,360555,17-07-2015,3.0
1036282,393334,26-04-2016,2.0
1019730,393339,29-03-2016,1.0
1019732,393339,29-03-2016,1.0
1019733,393339,29-03-2016,5.0
1019750,393339,29-03-2016,2.0
1019756,393339,29-03-2016,1.0
1019765,393339,29-03-2016,2.0
3023228,524416,16-12-2021,3.0
1919037,458881,27-05-2019,2.0
1451461,426128,09-12-2017,2.0
2449366,491666,27-08-2020,1.0
2449381,491666,27-08-2020,3.0
2449384,491666,27-08-2020,1.0
2448704,491672,12-09-2020,2.0
2448708,491672,12-09-2020,2.0
2448710,491672,12-09-2020,2.0
2448712,491672,12-09-2020,4.0
2448736,491677,08-09-2020,2.0
2448756,491677,08-09-2020,2.0
2483592,491678,23-09-2020,2.0
2460846,491680,04-09-2020,4.0
2460875,491680,04-09-2020,3.0
2486012,491681,28-09-2020,3.0
2516207,491681,16-10-2020,2.0
2516210,491681,16-10-2020,2.0
2533513,491681,29-10-2020,1.0
2561528,491681,16-11-2020,2.0
2561544,491681,16-11-2020,2.0
2561571,491681,16-11-2020,1.0
2561582,491681,16-11-2020,4.0
2561584,491681,16-11-2020,2.0
2561591,491681,16-11-2020,2.0
2561609,491681,16-11-2020,2.0
2448808,491682,02-10-2020,1.0
591549,360624,18-10-2013,1.0
3030491,524467,21-12-2021,2.0
3030496,524467,21-12-2021,2.0
3030498,524467,21-12-2021,2.0
3030504,524467,21-12-2021,1.0
3030510,524467,21-12-2021,2.0
3030532,524467,21-12-2021,2.0
624142,360627,20-12-2013,2.0
624167,360627,20-12-2013,1.0
207324,327865,16-03-2010,2.0
1059071,393409,15-06-2016,2.0
1059074,393409,15-06-2016,2.0
1082106,393409,19-07-2016,3.0
1082136,393409,19-07-2016,1.0
1082159,393409,19-07-2016,1.0
1082160,393409,19-07-2016,1.0
1082166,393409,19-07-2016,1.0
1082168,393409,19-07-2016,1.0
1082170,393409,19-07-2016,2.0
1082203,393409,19-07-2016,1.0
1082206,393409,19-07-2016,1.0
1082217,393409,19-07-2016,5.0
3043290,524482,23-12-2021,2.0
579203,360649,09-10-2013,11.0
579211,360649,09-10-2013,2.0
2449272,491723,14-09-2020,1.0
2450624,491724,11-09-2020,2.0
2450638,491724,11-09-2020,1.0
1067973,393423,24-06-2016,2.0
1467478,426194,22-12-2017,2.0
1467480,426194,22-12-2017,1.0
1467489,426194,22-12-2017,1.0
1467494,426194,22-12-2017,1.0
1462803,426200,20-12-2017,3.0
2574560,458969,11-11-2020,1.0
2574561,458969,11-11-2020,1.0
590223,360669,16-10-2013,1.0
1454785,426206,18-12-2017,1.0
1454791,426206,18-12-2017,1.0
1454806,426206,18-12-2017,1.0
1454822,426206,18-12-2017,3.0
586297,360681,04-10-2013,1.0
586305,360681,04-10-2013,5.0
586333,360681,04-10-2013,1.0
586372,360681,04-10-2013,1.0
2485205,491756,23-09-2020,2.0
2485207,491756,23-09-2020,1.0
204543,327919,12-03-2010,1.0
1920509,458991,24-05-2019,2.0
1920515,458991,24-05-2019,3.0
1920539,458994,14-06-2019,2.0
1920545,458994,14-06-2019,3.0
209024,327924,20-03-2010,4.0
229632,327924,12-06-2010,4.0
2450571,491765,04-09-2020,1.0
2450614,491765,04-09-2020,2.0
206508,327933,11-03-2010,2.0
233774,327933,21-06-2010,2.0
244976,327933,16-08-2010,2.0
594529,360702,28-10-2013,3.0
616721,360702,05-12-2013,1.0
621825,360702,19-12-2013,2.0
1039462,393471,03-05-2016,3.0
1039471,393471,03-05-2016,1.0
1039478,393471,03-05-2016,1.0
1932204,459008,24-05-2019,2.0
1010849,393474,22-03-2016,6.0
1010830,393474,21-03-2016,2.0
1460236,426247,14-12-2017,2.0
1460239,426247,14-12-2017,2.0
1460264,426247,14-12-2017,2.0
1016540,393480,20-03-2016,1.0
1016543,393480,20-03-2016,6.0
1016548,393480,20-03-2016,4.0
1016553,393480,20-03-2016,1.0
1016554,393480,20-03-2016,1.0
1016558,393480,20-03-2016,1.0
2450227,491787,15-09-2020,2.0
586434,360716,04-10-2013,1.0
586445,360716,04-10-2013,3.0
586484,360716,04-10-2013,2.0
2487055,491788,24-09-2020,4.0
1018720,393501,29-03-2016,1.0
2481673,491813,25-09-2020,11.0
2490042,491813,01-10-2020,1.0
2490047,491813,01-10-2020,6.0
2490051,491813,01-10-2020,8.0
2490054,491813,01-10-2020,1.0
2490080,491813,01-10-2020,6.0
2490082,491813,01-10-2020,1.0
2490085,491813,01-10-2020,4.0
2490086,491813,01-10-2020,9.0
2450868,491828,07-09-2020,4.0
2450876,491828,07-09-2020,6.0
2450906,491828,07-09-2020,7.0
2451922,491830,11-09-2020,5.0
3027753,524605,16-12-2021,3.0
3027762,524605,16-12-2021,3.0
3027769,524605,16-12-2021,3.0
3027790,524605,16-12-2021,3.0
3027805,524605,16-12-2021,2.0
1951140,459071,12-06-2019,2.0
1951143,459071,12-06-2019,2.0
1976611,459071,11-07-2019,1.0
1976632,459071,11-07-2019,1.0
2451826,491851,10-09-2020,1.0
2451831,491851,10-09-2020,1.0
223295,328012,10-05-2010,2.0
227351,328012,28-05-2010,2.0
1011634,393549,02-05-2016,4.0
1011635,393549,02-05-2016,2.0
1011642,393549,02-05-2016,2.0
1011653,393549,02-05-2016,6.0
1011658,393549,02-05-2016,2.0
1011660,393549,02-05-2016,1.0
1011668,393549,02-05-2016,1.0
1011676,393549,02-05-2016,2.0
2451885,491852,17-09-2020,1.0
2451890,491852,17-09-2020,1.0
2457239,491854,17-09-2020,7.0
2457241,491854,17-09-2020,2.0
2457250,491854,17-09-2020,2.0
2457257,491854,17-09-2020,2.0
1028346,393558,13-04-2016,4.0
1028347,393558,13-04-2016,4.0
1028350,393558,13-04-2016,2.0
1454247,426326,18-12-2017,2.0
1454253,426326,18-12-2017,5.0
1067317,393564,15-06-2016,2.0
1082088,393564,19-07-2016,2.0
1922226,459111,19-05-2018,5.0
1922235,459111,19-05-2018,8.0
1020446,393581,29-03-2016,2.0
1922617,459120,05-06-2019,4.0
1922620,459120,05-06-2019,3.0
582197,360819,07-10-2013,2.0
582205,360819,07-10-2013,1.0
582207,360819,07-10-2013,2.0
582212,360819,07-10-2013,3.0
631233,360833,06-01-2014,1.0
631239,360833,06-01-2014,1.0
631246,360833,06-01-2014,1.0
631261,360833,06-01-2014,3.0
2494186,491907,02-10-2020,4.0
2494197,491907,02-10-2020,1.0
2494226,491907,02-10-2020,1.0
593172,360847,22-10-2013,2.0
593174,360847,22-10-2013,2.0
1938452,459162,28-05-2019,2.0
2454383,491941,01-09-2020,7.0
1455994,426407,18-12-2017,2.0
584593,360874,09-10-2013,3.0
625554,360874,20-12-2013,3.0
625559,360874,20-12-2013,3.0
206657,328109,16-03-2010,2.0
602908,360878,07-11-2013,2.0
602909,360878,07-11-2013,1.0
602920,360878,07-11-2013,1.0
602926,360878,07-11-2013,1.0
1456135,426420,08-01-2018,2.0
1955244,459201,18-06-2019,2.0
2459468,491973,04-09-2020,1.0
624540,360916,13-12-2013,6.0
585382,360927,25-10-2013,1.0
585386,360927,25-10-2013,3.0
585390,360927,25-10-2013,2.0
585393,360927,25-10-2013,1.0
218237,328160,23-04-2010,2.0
218257,328160,23-04-2010,1.0
218260,328160,23-04-2010,1.0
220076,328160,28-04-2010,1.0
2599183,492000,09-12-2020,1.0
582797,360929,09-10-2013,2.0
1457283,426468,20-12-2017,3.0
1457320,426470,20-12-2017,1.0
1939173,459239,29-05-2019,1.0
1939178,459239,29-05-2019,2.0
1939183,459239,29-05-2019,1.0
1039517,393712,02-05-2016,2.0
1039520,393712,02-05-2016,3.0
1039523,393712,02-05-2016,3.0
1039555,393712,02-05-2016,1.0
1039558,393712,02-05-2016,1.0
1080342,393714,15-07-2016,2.0
1041283,393714,04-05-2016,2.0
593144,360950,22-10-2013,2.0
593145,360950,22-10-2013,1.0
593150,360950,22-10-2013,1.0
593152,360950,22-10-2013,2.0
1123498,393719,03-10-2016,3.0
589368,360951,16-10-2013,2.0
589373,360951,16-10-2013,2.0
1943982,459262,05-06-2019,2.0
1943985,459262,05-06-2019,2.0
1927191,459262,23-05-2019,1.0
1927192,459262,23-05-2019,1.0
1927208,459262,23-05-2019,2.0
1927224,459262,23-05-2019,1.0
1927236,459262,23-05-2019,1.0
1927254,459262,23-05-2019,1.0
1045223,393744,13-05-2016,2.0
2455139,492048,09-09-2020,1.0
588413,360979,15-10-2013,1.0
607383,360979,15-11-2013,1.0
607387,360979,15-11-2013,1.0
607390,360979,15-11-2013,1.0
607428,360979,15-11-2013,7.0
607441,360979,15-11-2013,1.0
593909,360984,24-10-2013,2.0
593915,360984,24-10-2013,2.0
215576,328218,16-04-2010,4.0
209208,328229,24-03-2010,10.0
585706,361007,10-10-2013,4.0
590891,361009,21-10-2013,1.0
590893,361009,21-10-2013,2.0
