,Date,Net_month_art
0,2010-01-31,8.0
1,2010-02-28,40.0
2,2010-03-31,52.0
3,2010-04-30,67.0
4,2010-05-31,111.0
5,2010-06-30,94.0
6,2010-07-31,94.0
7,2010-08-31,107.0
8,2010-09-30,204.0
9,2010-10-31,200.0
10,2010-11-30,204.0
11,2010-12-31,99.0
12,2011-01-31,110.0
13,2011-02-28,138.0
14,2011-03-31,139.0
15,2011-04-30,116.0
16,2011-05-31,171.0
17,2011-06-30,167.0
18,2011-07-31,139.0
19,2011-08-31,148.0
20,2011-09-30,136.0
21,2011-10-31,149.0
22,2011-11-30,146.0
23,2011-12-31,102.0
24,2012-01-31,72.0
25,2012-02-29,92.0
26,2012-03-31,131.0
27,2012-04-30,168.0
28,2012-05-31,193.0
29,2012-06-30,211.0
30,2012-07-31,223.0
31,2012-08-31,105.0
32,2012-09-30,120.0
33,2012-10-31,225.0
34,2012-11-30,219.0
35,2012-12-31,139.0
36,2013-01-31,96.0
37,2013-02-28,146.0
38,2013-03-31,160.0
39,2013-04-30,168.0
40,2013-05-31,223.0
41,2013-06-30,197.0
42,2013-07-31,211.0
43,2013-08-31,192.0
44,2013-09-30,217.0
45,2013-10-31,285.0
46,2013-11-30,246.0
47,2013-12-31,243.0
48,2014-01-31,176.0
49,2014-02-28,214.0
50,2014-03-31,231.0
51,2014-04-30,296.0
52,2014-05-31,334.0
53,2014-06-30,291.0
54,2014-07-31,300.0
55,2014-08-31,252.0
56,2014-09-30,323.0
57,2014-10-31,276.0
58,2014-11-30,196.0
59,2014-12-31,188.0
60,2015-01-31,132.0
61,2015-02-28,162.0
62,2015-03-31,217.0
63,2015-04-30,203.0
64,2015-05-31,218.0
65,2015-06-30,233.0
66,2015-07-31,255.0
67,2015-08-31,328.0
68,2015-09-30,293.0
69,2015-10-31,295.0
70,2015-11-30,269.0
71,2015-12-31,243.0
72,2016-01-31,242.0
73,2016-02-29,315.0
74,2016-03-31,392.0
75,2016-04-30,434.0
76,2016-05-31,356.0
77,2016-06-30,296.0
78,2016-07-31,330.0
79,2016-08-31,245.0
80,2016-09-30,306.0
81,2016-10-31,347.0
82,2016-11-30,432.0
83,2016-12-31,327.0
84,2017-01-31,343.0
85,2017-02-28,435.0
86,2017-03-31,448.0
87,2017-04-30,370.0
88,2017-05-31,392.0
89,2017-06-30,424.0
90,2017-07-31,437.0
91,2017-08-31,373.0
92,2017-09-30,488.0
93,2017-10-31,583.0
94,2017-11-30,676.0
95,2017-12-31,511.0
96,2018-01-31,346.0
97,2018-02-28,410.0
98,2018-03-31,528.0
99,2018-04-30,534.0
100,2018-05-31,536.0
101,2018-06-30,561.0
102,2018-07-31,564.0
103,2018-08-31,801.0
104,2018-09-30,829.0
105,2018-10-31,627.0
106,2018-11-30,620.0
107,2018-12-31,520.0
108,2019-01-31,471.0
109,2019-02-28,550.0
110,2019-03-31,640.0
111,2019-04-30,661.0
112,2019-05-31,778.0
113,2019-06-30,725.0
114,2019-07-31,744.0
115,2019-08-31,851.0
116,2019-09-30,879.0
117,2019-10-31,856.0
118,2019-11-30,783.0
119,2019-12-31,546.0
120,2020-01-31,479.0
121,2020-02-29,503.0
122,2020-03-31,566.0
123,2020-04-30,608.0
124,2020-05-31,624.0
125,2020-06-30,642.0
126,2020-07-31,744.0
127,2020-08-31,668.0
128,2020-09-30,745.0
129,2020-10-31,707.0
130,2020-11-30,636.0
131,2020-12-31,503.0
132,2021-01-31,404.0
133,2021-02-28,412.0
134,2021-03-31,467.0
135,2021-04-30,422.0
136,2021-05-31,418.0
137,2021-06-30,451.0
138,2021-07-31,450.0
139,2021-08-31,846.0
140,2021-09-30,896.0
141,2021-10-31,513.0
142,2021-11-30,526.0
143,2021-12-31,436.0
