,Date,Net_week_art
0,2010-01-10,0.0
1,2010-01-17,0.0
2,2010-01-24,3.0
3,2010-01-31,8.0
4,2010-02-07,11.0
5,2010-02-14,10.0
6,2010-02-21,29.0
7,2010-02-28,40.0
8,2010-03-07,35.0
9,2010-03-14,40.0
10,2010-03-21,45.0
11,2010-03-28,52.0
12,2010-04-04,43.0
13,2010-04-11,67.0
14,2010-04-18,60.0
15,2010-04-25,56.0
16,2010-05-02,54.0
17,2010-05-09,89.0
18,2010-05-16,80.0
19,2010-05-23,94.0
20,2010-05-30,111.0
21,2010-06-06,105.0
22,2010-06-13,94.0
23,2010-06-20,87.0
24,2010-06-27,86.0
25,2010-07-04,83.0
26,2010-07-11,89.0
27,2010-07-18,94.0
28,2010-07-25,87.0
29,2010-08-01,80.0
30,2010-08-08,94.0
31,2010-08-15,95.0
32,2010-08-22,107.0
33,2010-08-29,98.0
34,2010-09-05,106.0
35,2010-09-12,114.0
36,2010-09-19,148.0
37,2010-09-26,184.0
38,2010-10-03,204.0
39,2010-10-10,200.0
40,2010-10-17,198.0
41,2010-10-24,185.0
42,2010-10-31,132.0
43,2010-11-07,164.0
44,2010-11-14,204.0
45,2010-11-21,151.0
46,2010-11-28,132.0
47,2010-12-05,107.0
48,2010-12-12,91.0
49,2010-12-19,94.0
50,2010-12-26,59.0
51,2011-01-02,58.0
52,2011-01-09,73.0
53,2011-01-16,79.0
54,2011-01-23,110.0
55,2011-01-30,103.0
56,2011-02-06,107.0
57,2011-02-13,115.0
58,2011-02-20,121.0
59,2011-02-27,129.0
60,2011-03-06,139.0
61,2011-03-13,125.0
62,2011-03-20,116.0
63,2011-03-27,89.0
64,2011-04-03,100.0
65,2011-04-10,104.0
66,2011-04-17,114.0
67,2011-04-24,90.0
68,2011-05-01,116.0
69,2011-05-08,114.0
70,2011-05-15,145.0
71,2011-05-22,136.0
72,2011-05-29,171.0
73,2011-06-05,155.0
74,2011-06-12,153.0
75,2011-06-19,167.0
76,2011-06-26,129.0
77,2011-07-03,124.0
78,2011-07-10,137.0
79,2011-07-17,110.0
80,2011-07-24,139.0
81,2011-07-31,76.0
82,2011-08-07,47.0
83,2011-08-14,51.0
84,2011-08-21,76.0
85,2011-08-28,101.0
86,2011-09-04,148.0
87,2011-09-11,125.0
88,2011-09-18,120.0
89,2011-09-25,121.0
90,2011-10-02,110.0
91,2011-10-09,140.0
92,2011-10-16,149.0
93,2011-10-23,131.0
94,2011-10-30,142.0
95,2011-11-06,129.0
96,2011-11-13,120.0
97,2011-11-20,122.0
98,2011-11-27,146.0
99,2011-12-04,125.0
100,2011-12-11,102.0
101,2011-12-18,73.0
102,2011-12-25,64.0
103,2012-01-01,58.0
104,2012-01-08,46.0
105,2012-01-15,49.0
106,2012-01-22,55.0
107,2012-01-29,72.0
108,2012-02-05,65.0
109,2012-02-12,70.0
110,2012-02-19,70.0
111,2012-02-26,85.0
112,2012-03-04,92.0
113,2012-03-11,120.0
114,2012-03-18,131.0
115,2012-03-25,116.0
116,2012-04-01,127.0
117,2012-04-08,144.0
118,2012-04-15,107.0
119,2012-04-22,165.0
120,2012-04-29,168.0
121,2012-05-06,193.0
122,2012-05-13,164.0
123,2012-05-20,151.0
124,2012-05-27,126.0
125,2012-06-03,138.0
126,2012-06-10,149.0
127,2012-06-17,177.0
128,2012-06-24,197.0
129,2012-07-01,211.0
130,2012-07-08,223.0
131,2012-07-15,197.0
132,2012-07-22,128.0
133,2012-07-29,108.0
134,2012-08-05,105.0
135,2012-08-12,103.0
136,2012-08-19,103.0
137,2012-08-26,97.0
138,2012-09-02,103.0
139,2012-09-09,103.0
140,2012-09-16,120.0
141,2012-09-23,105.0
142,2012-09-30,107.0
143,2012-10-07,125.0
144,2012-10-14,127.0
145,2012-10-21,164.0
146,2012-10-28,225.0
147,2012-11-04,181.0
148,2012-11-11,179.0
149,2012-11-18,219.0
150,2012-11-25,204.0
151,2012-12-02,133.0
152,2012-12-09,139.0
153,2012-12-16,101.0
154,2012-12-23,72.0
155,2012-12-30,46.0
156,2013-01-06,102.0
157,2013-01-13,74.0
158,2013-01-20,84.0
159,2013-01-27,80.0
160,2013-02-03,98.0
161,2013-02-10,114.0
162,2013-02-17,120.0
163,2013-02-24,146.0
164,2013-03-03,140.0
165,2013-03-10,152.0
166,2013-03-17,147.0
167,2013-03-24,147.0
168,2013-03-31,160.0
169,2013-04-07,163.0
170,2013-04-14,168.0
171,2013-04-21,161.0
172,2013-04-28,160.0
