,End_Order,End_Datum,Ret_Aantal
205765,327684,10-03-2010,4.0
3033957,524293,15-12-2021,2.0
2507015,491524,13-10-2020,2.0
3020913,524296,14-12-2021,2.0
3029311,524296,14-12-2021,5.0
1462513,425997,11-12-2017,4.0
1466895,426004,21-12-2017,4.0
1008818,393240,10-03-2016,3.0
1450962,426009,07-12-2017,8.0
1449571,426011,08-12-2017,3.0
2446940,491548,03-09-2020,1.0
2459494,491549,04-09-2020,2.0
2467660,491551,10-09-2020,2.0
583532,360480,04-10-2013,3.0
2446967,491554,17-07-2020,1.0
1917928,458791,13-05-2019,3.0
1008917,393256,14-03-2016,3.0
1011718,393265,11-03-2016,6.0
3044978,524337,24-12-2021,3.0
1999228,458804,24-07-2019,2.0
1492351,426037,15-02-2018,2.0
1952024,458809,13-06-2019,6.0
2038272,458812,19-08-2019,4.0
1009216,393279,16-03-2016,2.0
2448148,491583,03-09-2020,2.0
1861200,426053,22-03-2019,3.0
1949972,426053,12-06-2019,1.0
221898,327752,12-05-2010,1.0
228636,327752,01-06-2010,1.0
3039118,524361,21-12-2021,4.0
1450285,426058,14-12-2017,1.0
3021744,524363,14-12-2021,4.0
3021758,524364,10-12-2021,4.0
221862,327754,12-05-2010,2.0
221841,327757,12-05-2010,4.0
1918220,458825,13-05-2019,2.0
1918232,458828,21-05-2019,2.0
596242,360525,28-10-2013,2.0
3021780,524372,08-12-2021,2.0
3021794,524373,08-12-2021,3.0
3021866,524374,08-12-2021,3.0
1457779,426071,20-12-2017,1.0
1473398,426072,12-01-2018,1.0
1918500,458838,15-05-2019,5.0
1918308,458836,13-05-2019,4.0
1918345,458837,14-05-2019,5.0
577808,360532,22-10-2013,3.0
2639052,491607,21-01-2021,2.0
203074,327774,03-03-2010,5.0
209496,327776,19-03-2010,3.0
3022136,524385,16-12-2021,4.0
2471995,491616,15-09-2020,2.0
577994,360548,24-07-2014,3.0
2504085,491623,14-09-2020,2.0
2562454,491625,31-10-2020,3.0
600950,360555,05-11-2013,2.0
2448208,491633,28-08-2020,4.0
1038567,393335,02-05-2016,2.0
1029694,393335,15-04-2016,1.0
1019757,393339,29-03-2016,3.0
587248,360571,15-10-2013,2.0
3023243,524416,16-12-2021,8.0
1461531,426112,21-12-2017,5.0
1919045,458881,27-05-2019,5.0
1456170,426120,13-12-2017,2.0
269380,327816,24-11-2010,4.0
583883,360591,04-10-2013,2.0
1451460,426128,09-12-2017,2.0
2448746,491677,08-09-2020,2.0
1009886,393375,11-03-2016,2.0
2561568,491681,16-11-2020,3.0
2561585,491681,16-11-2020,1.0
2448790,491682,02-10-2020,2.0
1934378,458916,29-05-2019,4.0
1813440,426157,30-01-2019,3.0
3030445,524467,21-12-2021,3.0
1458556,426163,15-12-2017,3.0
624160,360627,20-12-2013,4.0
207331,327865,16-03-2010,4.0
1920251,458939,17-05-2019,6.0
1016451,393404,18-03-2016,2.0
1452133,426173,22-12-2017,2.0
2678632,491709,03-03-2021,1.0
2452006,491713,31-08-2020,2.0
1921296,458946,14-05-2019,2.0
203856,327880,10-03-2010,2.0
579212,360649,09-10-2013,2.0
2450648,491724,11-09-2020,1.0
2476951,491726,04-09-2020,2.0
609304,360659,21-11-2013,1.0
2477529,491740,04-09-2020,5.0
2477541,491740,04-09-2020,2.0
2449514,491741,03-09-2020,5.0
2449561,491741,03-09-2020,3.0
1930629,458976,22-05-2019,2.0
206134,327912,11-03-2010,2.0
586358,360681,04-10-2013,2.0
586371,360681,04-10-2013,9.0
204546,327919,12-03-2010,1.0
1920511,458991,24-05-2019,3.0
1234245,393457,28-03-2017,1.0
1234249,393457,28-03-2017,17.0
1226644,393457,20-03-2017,3.0
1262195,393457,28-04-2017,1.0
1920541,458994,14-06-2019,3.0
1480235,426227,26-01-2018,2.0
213233,327924,07-04-2010,2.0
213238,327924,07-04-2010,3.0
209019,327924,20-03-2010,2.0
209021,327924,20-03-2010,3.0
229659,327924,12-06-2010,3.0
229667,327924,12-06-2010,2.0
580150,360692,04-10-2013,2.0
580169,360692,04-10-2013,3.0
2450594,491765,04-09-2020,12.0
586004,360698,10-10-2013,6.0
1920804,459004,28-05-2019,1.0
243905,327933,06-08-2010,2.0
1039461,393471,03-05-2016,4.0
1932205,459008,24-05-2019,3.0
1018932,393476,24-03-2016,4.0
2450215,491782,02-09-2020,4.0
1460268,426247,14-12-2017,5.0
586455,360716,04-10-2013,6.0
586456,360716,04-10-2013,2.0
2487068,491788,24-09-2020,4.0
3026014,524568,14-12-2021,2.0
1462481,426267,12-12-2017,4.0
3026175,524573,14-12-2021,2.0
2451868,491807,14-09-2020,2.0
1016243,393504,18-03-2016,2.0
3026237,524578,14-12-2021,4.0
2489970,491813,01-10-2020,8.0
3044031,524587,23-12-2021,2.0
2469197,491823,11-09-2020,2.0
2484747,491826,29-09-2020,8.0
2450870,491828,07-09-2020,8.0
2451939,491830,11-09-2020,9.0
3027787,524605,16-12-2021,2.0
1966753,459071,26-06-2019,2.0
1976608,459071,11-07-2019,2.0
1454010,426312,14-12-2017,2.0
581555,360777,01-10-2013,1.0
2451837,491851,10-09-2020,1.0
227389,328012,28-05-2010,2.0
1011682,393549,02-05-2016,1.0
206522,328014,11-03-2010,2.0
3027690,524623,20-12-2021,3.0
2451881,491852,17-09-2020,1.0
1034288,393553,21-04-2016,2.0
3027175,524626,09-12-2021,2.0
3027208,524627,14-12-2021,2.0
1922082,459091,17-05-2019,3.0
2457271,491854,17-09-2020,2.0
1028337,393558,13-04-2016,4.0
3027263,524630,20-12-2021,4.0
1951161,459095,12-06-2019,2.0
2485620,491867,24-09-2020,2.0
2452173,491876,11-09-2020,2.0
2452206,491879,18-09-2020,2.0
2532288,491879,30-10-2020,5.0
582198,360819,07-10-2013,2.0
1454644,426358,13-12-2017,4.0
3028031,524663,22-12-2021,2.0
209244,328055,22-03-2010,2.0
206591,328063,12-03-2010,2.0
2494217,491907,02-10-2020,2.0
2494220,491907,02-10-2020,1.0
591746,360837,21-10-2013,1.0
1926865,459148,17-05-2019,2.0
1455830,426386,22-12-2017,4.0
1455117,426386,18-12-2017,4.0
3042863,524692,22-12-2021,11.0
1012528,393626,16-03-2016,2.0
1923126,459167,17-05-2019,4.0
1467138,426400,22-12-2017,4.0
3043403,524707,17-12-2021,5.0
625532,360874,20-12-2013,2.0
206673,328109,16-03-2010,2.0
602919,360878,07-11-2013,3.0
269352,328112,25-11-2010,0.0
1455854,426418,18-12-2017,3.0
1922894,459186,05-06-2019,5.0
1922902,459187,05-06-2019,5.0
3034086,524728,15-12-2021,2.0
1456156,426425,20-12-2017,3.0
1955261,459201,18-06-2019,2.0
214711,328136,09-04-2010,5.0
223924,328136,18-05-2010,3.0
1014092,393675,20-03-2016,16.0
1014121,393675,20-03-2016,6.0
1467402,426447,22-12-2017,4.0
1014247,393685,24-03-2016,5.0
1961932,459222,21-06-2019,3.0
207590,328154,16-03-2010,4.0
582772,360925,09-10-2013,2.0
207184,328159,26-03-2010,13.0
1463638,426464,22-12-2017,3.0
1923731,459233,20-05-2019,1.0
1923712,459234,27-05-2019,2.0
1466515,426466,22-12-2017,2.0
1923756,459236,20-05-2019,8.0
1457280,426468,20-12-2017,3.0
1457314,426470,20-12-2017,3.0
220077,328160,28-04-2010,2.0
1931779,459240,24-05-2019,2.0
1457342,426473,18-01-2018,4.0
582799,360929,09-10-2013,2.0
1017006,393708,25-03-2016,3.0
1931690,459245,23-05-2019,3.0
1039511,393712,02-05-2016,3.0
3039148,524791,23-12-2021,2.0
208274,328184,17-03-2010,2.0
1927234,459262,23-05-2019,4.0
1465338,426499,21-12-2017,21.0
1958429,459267,20-06-2019,3.0
3030816,524805,15-12-2021,8.0
2455058,492039,04-09-2020,3.0
2455093,492040,10-09-2020,2.0
2455143,492048,09-09-2020,2.0
607396,360979,15-11-2013,1.0
2455214,492051,02-09-2020,3.0
593921,360984,24-10-2013,6.0
231908,328218,10-06-2010,2.0
231918,328218,10-06-2010,2.0
1927491,459290,20-05-2019,2.0
585411,360989,09-10-2013,2.0
1458563,426531,04-01-2018,1.0
209218,328229,24-03-2010,3.0
2459685,492069,04-09-2020,6.0
1016084,393767,01-04-2016,4.0
207711,328232,17-03-2010,6.0
2529117,492073,26-10-2020,2.0
584403,361009,01-11-2013,4.0
2529101,492081,26-10-2020,2.0
2455555,492081,17-09-2020,1.0
2512584,492092,17-10-2020,2.0
2512592,492092,17-10-2020,3.0
1518881,426560,05-04-2018,2.0
1850051,426560,15-05-2018,2.0
1016344,393795,18-03-2016,4.0
2459271,492101,04-09-2020,2.0
585900,361031,10-10-2013,2.0
208404,328265,18-03-2010,4.0
1016485,393807,21-03-2016,4.0
208374,328271,18-03-2010,6.0
1982837,459348,10-07-2019,2.0
1982861,459349,10-07-2019,4.0
3033159,524887,24-12-2021,3.0
2526890,492122,27-10-2020,1.0
2526893,492122,27-10-2020,4.0
1459688,426587,18-12-2017,4.0
3032796,524893,22-12-2021,4.0
212399,328288,06-04-2010,3.0
216577,328293,29-04-2010,2.0
1474190,426598,17-01-2018,2.0
587983,361062,13-10-2013,2.0
2456548,492140,07-09-2020,2.0
213008,328301,02-04-2010,2.0
1039188,393838,04-05-2016,4.0
3036996,524910,24-12-2021,2.0
1460434,426609,05-01-2018,5.0
1967760,459377,27-06-2019,2.0
1926555,459379,27-05-2019,5.0
2456703,492146,08-09-2020,4.0
2456730,492150,09-09-2020,2.0
209337,328315,30-03-2010,2.0
676285,361084,14-05-2014,2.0
687777,361084,06-06-2014,2.0
1468891,426627,05-01-2018,4.0
585743,361094,14-10-2013,3.0
3034007,524935,17-12-2021,4.0
1017231,393864,21-03-2016,2.0
1881264,426632,10-04-2019,2.0
1017026,393868,24-03-2016,6.0
213822,328337,06-04-2010,4.0
1460913,426643,21-12-2017,1.0
1460914,426643,21-12-2017,2.0
3043766,524948,23-12-2021,3.0
2488906,492188,28-09-2020,5.0
1927070,459425,23-05-2019,2.0
208711,328356,29-03-2010,1.0
208722,328356,29-03-2010,2.0
1017260,393893,22-03-2016,2.0
208775,328361,23-03-2010,2.0
208795,328361,23-03-2010,4.0
1159721,393899,23-11-2016,2.0
1481625,426671,26-01-2018,6.0
1466456,426672,22-12-2017,2.0
2461381,492210,17-09-2020,2.0
211678,328371,29-03-2010,1.0
1017644,393913,25-03-2016,8.0
1019164,393914,04-04-2016,5.0
1927556,459450,24-06-2019,3.0
2484190,492221,24-09-2020,2.0
2469158,492224,11-09-2020,2.0
3042629,524994,24-12-2021,1.0
2458341,492230,16-09-2020,3.0
1928104,459466,29-05-2019,3.0
210329,328396,29-03-2010,2.0
223448,328396,11-05-2010,2.0
223451,328396,11-05-2010,2.0
1017760,393934,29-03-2016,2.0
1017771,393934,29-03-2016,4.0
1992324,459471,19-07-2019,2.0
589777,361169,14-10-2013,2.0
596115,361169,25-10-2013,5.0
614758,361169,28-11-2013,2.0
586059,361181,16-10-2013,2.0
2586244,492253,01-12-2020,2.0
661594,361186,09-04-2014,3.0
1620371,426734,15-06-2018,2.0
1928157,459507,06-06-2019,2.0
2459038,492279,04-09-2020,8.0
1019898,393978,29-03-2016,3.0
1463304,426750,21-12-2017,4.0
1025487,393985,08-04-2016,4.0
3038695,525060,23-12-2021,2.0
3037485,525064,17-12-2021,1.0
2477497,492301,11-09-2020,2.0
2477502,492301,11-09-2020,5.0
1947062,459541,06-06-2019,4.0
1943904,459541,05-06-2019,4.0
234600,328472,18-06-2010,15.0
234635,328472,18-06-2010,2.0
234648,328472,18-06-2010,1.0
1018834,394010,29-03-2016,4.0
1018882,394011,30-03-2016,5.0
591975,361242,21-10-2013,4.0
592009,361242,21-10-2013,1.0
592013,361242,21-10-2013,2.0
1018972,394016,31-03-2016,7.0
1019034,394025,30-03-2016,4.0
2507774,492330,09-10-2020,2.0
3038485,525101,24-12-2021,2.0
1019120,394030,01-04-2016,2.0
631384,361262,28-01-2014,1.0
210225,328496,09-04-2010,2.0
1033549,394033,20-04-2016,4.0
217912,328497,16-04-2010,2.0
1057754,394035,10-06-2016,3.0
2498226,492334,02-10-2020,4.0
2507741,492338,09-10-2020,2.0
1019315,394046,02-05-2016,3.0
2461870,492350,07-09-2020,2.0
685548,361284,06-06-2014,2.0
1464968,426821,28-12-2017,2.0
1037763,394054,28-04-2016,2.0
1037766,394054,28-04-2016,2.0
1482722,426823,31-01-2018,3.0
596220,361289,25-10-2013,2.0
210379,328522,30-03-2010,2.0
1465571,426831,09-01-2018,5.0
2476963,492371,04-09-2020,2.0
2051579,459606,28-06-2019,2.0
2477012,492376,11-09-2020,2.0
1929719,459609,27-05-2019,1.0
1929744,459609,27-05-2019,2.0
2477028,492377,11-09-2020,2.0
3039482,525153,23-12-2021,4.0
3039407,525156,20-12-2021,4.0
2460820,492395,10-09-2020,2.0
2460836,492396,08-09-2020,1.0
1465865,426861,05-01-2018,1.0
1931260,459629,23-05-2019,2.0
1933399,459631,29-05-2019,2.0
2460953,492404,15-09-2020,3.0
1574216,426870,23-05-2018,2.0
1574224,426870,23-05-2018,2.0
588842,361334,14-10-2013,2.0
587800,361338,18-10-2013,5.0
1473137,426878,09-01-2018,4.0
2004138,459646,29-07-2019,2.0
2005958,459647,30-07-2019,1.0
2522099,492421,23-10-2020,2.0
1954954,459655,17-06-2019,3.0
1026724,394120,08-04-2016,3.0
588096,361364,18-10-2013,2.0
1930389,459669,23-05-2019,4.0
1930796,459672,23-05-2019,6.0
1051178,394137,27-05-2016,4.0
2461612,492440,08-09-2020,2.0
2503581,492444,08-09-2020,2.0
214165,328605,08-04-2010,2.0
1931020,459678,27-05-2019,2.0
594694,361373,24-10-2013,2.0
1024497,394146,08-04-2016,7.0
1024505,394149,08-04-2016,2.0
1024539,394161,11-04-2016,3.0
1031142,394162,12-04-2016,1.0
1021198,394163,07-04-2016,2.0
1030036,394165,13-04-2016,1.0
1030043,394166,13-04-2016,3.0
217466,328632,19-04-2010,2.0
1488144,426937,07-02-2018,2.0
1489668,426938,09-02-2018,2.0
1500888,426939,09-03-2018,2.0
211778,328639,09-04-2010,4.0
1511307,426944,07-03-2018,2.0
1020616,394177,26-04-2016,3.0
1931442,459716,24-05-2019,1.0
1500842,426950,05-03-2018,3.0
1500859,426951,05-03-2018,3.0
214894,328651,11-04-2010,4.0
1467002,426960,04-01-2018,3.0
1472932,426964,15-01-2018,2.0
1931714,459734,06-06-2019,2.0
643908,361434,26-02-2014,2.0
1972947,459740,02-07-2019,2.0
1024795,394205,05-04-2016,5.0
1021079,394208,31-03-2016,7.0
2462400,492517,09-09-2020,2.0
1021269,394214,04-04-2016,2.0
2507346,492518,13-10-2020,2.0
1944987,459754,06-06-2019,3.0
