,Date,Net_week_art
0,2007-01-14,108.0
1,2007-01-21,49.0
2,2007-01-28,50.0
3,2007-02-04,60.0
4,2007-02-11,62.0
5,2007-02-18,66.0
6,2007-02-25,62.0
7,2007-03-04,72.0
8,2007-03-11,77.0
9,2007-03-18,58.0
10,2007-03-25,48.0
11,2007-04-01,70.0
12,2007-04-08,70.0
13,2007-04-15,68.0
14,2007-04-22,77.0
15,2007-04-29,84.0
16,2007-05-06,95.0
17,2007-05-13,73.0
18,2007-05-20,92.0
19,2007-05-27,86.0
20,2007-06-03,87.0
21,2007-06-10,89.0
22,2007-06-17,82.0
23,2007-06-24,96.0
24,2007-07-01,92.0
25,2007-07-08,93.0
26,2007-07-15,104.0
27,2007-07-22,79.0
28,2007-07-29,74.0
29,2007-08-05,56.0
30,2007-08-12,61.0
31,2007-08-19,63.0
32,2007-08-26,66.0
33,2007-09-02,92.0
34,2007-09-09,106.0
35,2007-09-16,91.0
36,2007-09-23,110.0
37,2007-09-30,111.0
38,2007-10-07,108.0
39,2007-10-14,114.0
40,2007-10-21,131.0
41,2007-10-28,132.0
42,2007-11-04,139.0
43,2007-11-11,148.0
44,2007-11-18,144.0
45,2007-11-25,145.0
46,2007-12-02,144.0
47,2007-12-09,142.0
48,2007-12-16,137.0
49,2007-12-23,141.0
50,2007-12-30,131.0
51,2008-01-06,108.0
52,2008-01-13,135.0
53,2008-01-20,128.0
54,2008-01-27,130.0
55,2008-02-03,132.0
56,2008-02-10,140.0
57,2008-02-17,142.0
58,2008-02-24,130.0
59,2008-03-02,126.0
60,2008-03-09,171.0
61,2008-03-16,176.0
62,2008-03-23,178.0
63,2008-03-30,175.0
64,2008-04-06,177.0
65,2008-04-13,183.0
66,2008-04-20,188.0
67,2008-04-27,214.0
68,2008-05-04,203.0
69,2008-05-11,177.0
70,2008-05-18,180.0
71,2008-05-25,150.0
72,2008-06-01,142.0
73,2008-06-08,148.0
74,2008-06-15,160.0
75,2008-06-22,165.0
76,2008-06-29,240.0
77,2008-07-06,244.0
78,2008-07-13,226.0
79,2008-07-20,220.0
80,2008-07-27,159.0
81,2008-08-03,116.0
82,2008-08-10,115.0
83,2008-08-17,151.0
84,2008-08-24,195.0
85,2008-08-31,219.0
86,2008-09-07,239.0
87,2008-09-14,253.0
88,2008-09-21,262.0
89,2008-09-28,256.0
90,2008-10-05,277.0
91,2008-10-12,269.0
92,2008-10-19,282.0
93,2008-10-26,251.0
94,2008-11-02,201.0
95,2008-11-09,233.0
96,2008-11-16,227.0
97,2008-11-23,259.0
98,2008-11-30,258.0
99,2008-12-07,260.0
100,2008-12-14,249.0
101,2008-12-21,245.0
102,2008-12-28,222.0
103,2009-01-04,141.0
104,2009-01-11,135.0
105,2009-01-18,162.0
106,2009-01-25,180.0
107,2009-02-01,190.0
108,2009-02-08,175.0
109,2009-02-15,181.0
110,2009-02-22,189.0
111,2009-03-01,174.0
112,2009-03-08,180.0
113,2009-03-15,199.0
114,2009-03-22,188.0
115,2009-03-29,173.0
116,2009-04-05,171.0
117,2009-04-12,164.0
118,2009-04-19,158.0
119,2009-04-26,158.0
120,2009-05-03,172.0
121,2009-05-10,166.0
122,2009-05-17,195.0
123,2009-05-24,209.0
124,2009-05-31,197.0
125,2009-06-07,183.0
126,2009-06-14,172.0
127,2009-06-21,198.0
128,2009-06-28,191.0
129,2009-07-05,192.0
130,2009-07-12,219.0
131,2009-07-19,215.0
132,2009-07-26,214.0
133,2009-08-02,197.0
134,2009-08-09,154.0
135,2009-08-16,154.0
136,2009-08-23,187.0
137,2009-08-30,203.0
138,2009-09-06,220.0
139,2009-09-13,246.0
140,2009-09-20,258.0
141,2009-09-27,272.0
142,2009-10-04,262.0
143,2009-10-11,258.0
144,2009-10-18,272.0
145,2009-10-25,247.0
146,2009-11-01,251.0
147,2009-11-08,231.0
148,2009-11-15,226.0
149,2009-11-22,233.0
150,2009-11-29,245.0
151,2009-12-06,245.0
152,2009-12-13,236.0
153,2009-12-20,232.0
154,2009-12-27,211.0
155,2010-01-03,187.0
156,2010-01-10,169.0
157,2010-01-17,169.0
158,2010-01-24,173.0
159,2010-01-31,208.0
160,2010-02-07,208.0
161,2010-02-14,228.0
162,2010-02-21,232.0
163,2010-02-28,224.0
164,2010-03-07,238.0
165,2010-03-14,249.0
166,2010-03-21,239.0
167,2010-03-28,262.0
168,2010-04-04,273.0
169,2010-04-11,265.0
170,2010-04-18,253.0
171,2010-04-25,238.0
172,2010-05-02,236.0
173,2010-05-09,247.0
174,2010-05-16,242.0
175,2010-05-23,248.0
176,2010-05-30,238.0
177,2010-06-06,237.0
178,2010-06-13,238.0
179,2010-06-20,234.0
180,2010-06-27,239.0
181,2010-07-04,205.0
182,2010-07-11,205.0
183,2010-07-18,206.0
184,2010-07-25,198.0
185,2010-08-01,192.0
186,2010-08-08,177.0
187,2010-08-15,181.0
188,2010-08-22,185.0
189,2010-08-29,185.0
190,2010-09-05,210.0
191,2010-09-12,213.0
192,2010-09-19,230.0
193,2010-09-26,245.0
194,2010-10-03,255.0
195,2010-10-10,296.0
196,2010-10-17,298.0
197,2010-10-24,305.0
198,2010-10-31,284.0
199,2010-11-07,293.0
200,2010-11-14,268.0
201,2010-11-21,268.0
202,2010-11-28,276.0
203,2010-12-05,257.0
204,2010-12-12,233.0
205,2010-12-19,232.0
206,2010-12-26,225.0
207,2011-01-02,188.0
208,2011-01-09,186.0
209,2011-01-16,192.0
210,2011-01-23,203.0
211,2011-01-30,204.0
212,2011-02-06,199.0
213,2011-02-13,213.0
214,2011-02-20,224.0
215,2011-02-27,222.0
216,2011-03-06,231.0
217,2011-03-13,281.0
218,2011-03-20,281.0
219,2011-03-27,266.0
220,2011-04-03,284.0
221,2011-04-10,284.0
222,2011-04-17,280.0
223,2011-04-24,288.0
224,2011-05-01,278.0
225,2011-05-08,298.0
226,2011-05-15,286.0
227,2011-05-22,291.0
228,2011-05-29,286.0
229,2011-06-05,293.0
230,2011-06-12,287.0
231,2011-06-19,267.0
232,2011-06-26,283.0
233,2011-07-03,274.0
234,2011-07-10,294.0
235,2011-07-17,276.0
236,2011-07-24,262.0
237,2011-07-31,259.0
238,2011-08-07,240.0
239,2011-08-14,221.0
240,2011-08-21,210.0
241,2011-08-28,231.0
242,2011-09-04,243.0
243,2011-09-11,340.0
244,2011-09-18,338.0
245,2011-09-25,287.0
246,2011-10-02,287.0
247,2011-10-09,287.0
248,2011-10-16,295.0
249,2011-10-23,289.0
250,2011-10-30,306.0
251,2011-11-06,293.0
252,2011-11-13,282.0
253,2011-11-20,309.0
254,2011-11-27,305.0
255,2011-12-04,325.0
256,2011-12-11,290.0
257,2011-12-18,278.0
258,2011-12-25,248.0
259,2012-01-01,233.0
260,2012-01-08,196.0
261,2012-01-15,200.0
262,2012-01-22,210.0
263,2012-01-29,222.0
264,2012-02-05,231.0
265,2012-02-12,223.0
266,2012-02-19,243.0
267,2012-02-26,229.0
268,2012-03-04,223.0
269,2012-03-11,235.0
270,2012-03-18,236.0
271,2012-03-25,242.0
272,2012-04-01,251.0
273,2012-04-08,260.0
274,2012-04-15,298.0
275,2012-04-22,253.0
276,2012-04-29,252.0
277,2012-05-06,266.0
278,2012-05-13,261.0
279,2012-05-20,261.0
280,2012-05-27,240.0
281,2012-06-03,241.0
282,2012-06-10,251.0
283,2012-06-17,237.0
284,2012-06-24,249.0
285,2012-07-01,270.0
286,2012-07-08,272.0
287,2012-07-15,277.0
288,2012-07-22,257.0
289,2012-07-29,252.0
290,2012-08-05,234.0
291,2012-08-12,220.0
292,2012-08-19,220.0
293,2012-08-26,225.0
294,2012-09-02,244.0
295,2012-09-09,250.0
296,2012-09-16,245.0
297,2012-09-23,253.0
298,2012-09-30,255.0
299,2012-10-07,255.0
300,2012-10-14,252.0
301,2012-10-21,241.0
302,2012-10-28,245.0
303,2012-11-04,253.0
304,2012-11-11,266.0
305,2012-11-18,282.0
306,2012-11-25,287.0
307,2012-12-02,282.0
308,2012-12-09,310.0
