,Date,Net_daily_art
0,2007-01-01,65.0
1,2007-01-02,59.0
2,2007-01-03,59.0
3,2007-01-04,64.0
4,2007-01-05,82.0
5,2007-01-06,82.0
6,2007-01-07,87.0
7,2007-01-08,250.0
8,2007-01-09,237.0
9,2007-01-10,236.0
10,2007-01-11,242.0
11,2007-01-12,242.0
12,2007-01-13,232.0
13,2007-01-14,232.0
14,2007-01-15,252.0
15,2007-01-16,270.0
16,2007-01-17,270.0
17,2007-01-18,288.0
18,2007-01-19,332.0
19,2007-01-20,304.0
20,2007-01-21,304.0
21,2007-01-22,324.0
22,2007-01-23,324.0
23,2007-01-24,324.0
24,2007-01-25,325.0
25,2007-01-26,316.0
26,2007-01-27,315.0
27,2007-01-28,315.0
28,2007-01-29,334.0
29,2007-01-30,333.0
30,2007-01-31,325.0
31,2007-02-01,333.0
32,2007-02-02,359.0
33,2007-02-03,345.0
34,2007-02-04,345.0
35,2007-02-05,348.0
36,2007-02-06,348.0
37,2007-02-07,318.0
38,2007-02-08,320.0
39,2007-02-09,328.0
40,2007-02-10,311.0
41,2007-02-11,311.0
42,2007-02-12,346.0
43,2007-02-13,354.0
44,2007-02-14,351.0
45,2007-02-15,338.0
46,2007-02-16,360.0
47,2007-02-17,345.0
48,2007-02-18,345.0
49,2007-02-19,347.0
50,2007-02-20,346.0
51,2007-02-21,350.0
52,2007-02-22,289.0
53,2007-02-23,324.0
54,2007-02-24,296.0
55,2007-02-25,296.0
56,2007-02-26,363.0
57,2007-02-27,348.0
58,2007-02-28,316.0
59,2007-03-01,298.0
60,2007-03-02,293.0
61,2007-03-03,200.0
62,2007-03-04,200.0
63,2007-03-05,208.0
64,2007-03-06,191.0
65,2007-03-07,221.0
66,2007-03-08,221.0
67,2007-03-09,190.0
68,2007-03-10,172.0
69,2007-03-11,172.0
70,2007-03-12,182.0
71,2007-03-13,158.0
72,2007-03-14,156.0
73,2007-03-15,154.0
74,2007-03-16,169.0
75,2007-03-17,169.0
76,2007-03-18,169.0
77,2007-03-19,180.0
78,2007-03-20,179.0
79,2007-03-21,183.0
80,2007-03-22,163.0
81,2007-03-23,168.0
82,2007-03-24,161.0
83,2007-03-25,156.0
84,2007-03-26,181.0
85,2007-03-27,192.0
86,2007-03-28,200.0
87,2007-03-29,198.0
88,2007-03-30,198.0
89,2007-03-31,194.0
90,2007-04-01,194.0
91,2007-04-02,194.0
92,2007-04-03,197.0
93,2007-04-04,184.0
94,2007-04-05,199.0
95,2007-04-06,186.0
96,2007-04-07,190.0
97,2007-04-08,186.0
98,2007-04-09,186.0
