,End_Order,End_Datum,Ret_Aantal
1917603,458754,24-05-2019,16.0
205754,327684,10-03-2010,2.0
205766,327684,10-03-2010,2.0
3033962,524293,15-12-2021,2.0
3042533,524294,22-12-2021,4.0
1935689,458759,28-05-2019,2.0
1917533,458759,14-05-2019,2.0
3020916,524296,14-12-2021,8.0
3029312,524296,14-12-2021,4.0
2507022,491524,13-10-2020,6.0
2625023,491529,11-01-2021,4.0
2625044,491529,11-01-2021,2.0
1925980,458763,17-05-2019,4.0
984982,390776,06-01-2016,1.0
1462491,425997,11-12-2017,4.0
1926018,458770,17-05-2019,9.0
1923769,458773,15-05-2019,4.0
3041841,524311,21-12-2021,3.0
1985367,458775,11-07-2019,2.0
1917809,458777,19-05-2019,10.0
1449569,426011,08-12-2017,4.0
2446945,491548,03-09-2020,5.0
2459476,491549,04-09-2020,4.0
2459502,491549,04-09-2020,12.0
203487,327711,03-03-2010,4.0
2593384,491551,27-11-2020,0.0
577450,360480,27-09-2013,4.0
615829,360480,15-11-2013,8.0
580285,360482,27-09-2013,1.0
587864,360482,11-10-2013,3.0
2446972,491554,17-07-2020,4.0
2447132,491556,04-09-2020,18.0
1917912,458791,13-05-2019,4.0
1008944,393256,14-03-2016,12.0
1011711,393265,11-03-2016,8.0
3044973,524337,24-12-2021,2.0
591725,360497,21-10-2013,1.0
586269,360497,11-10-2013,2.0
586273,360497,11-10-2013,4.0
3036595,524340,17-12-2021,4.0
1485614,426037,05-02-2018,2.0
2008154,458804,02-08-2019,7.0
1999192,458804,24-07-2019,2.0
1999233,458804,24-07-2019,3.0
579350,360502,26-09-2013,1.0
1952004,458809,13-06-2019,3.0
2038261,458812,19-08-2019,2.0
2038288,458812,19-08-2019,4.0
2038302,458812,19-08-2019,1.0
2038303,458812,19-08-2019,2.0
577485,360509,23-09-2013,6.0
1009228,393279,16-03-2016,4.0
2448169,491583,03-09-2020,6.0
1456209,426052,12-12-2017,4.0
3031597,524359,16-12-2021,15.0
3031609,524359,16-12-2021,3.0
3039953,524360,20-12-2021,6.0
3039123,524361,21-12-2021,4.0
1450263,426058,14-12-2017,6.0
3021741,524363,14-12-2021,1.0
3021766,524364,10-12-2021,4.0
3021718,524365,10-12-2021,2.0
3021732,524366,21-12-2021,2.0
221911,327752,12-05-2010,1.0
221920,327752,12-05-2010,2.0
221924,327752,12-05-2010,2.0
1918209,458825,13-05-2019,3.0
221877,327754,12-05-2010,2.0
221880,327754,12-05-2010,1.0
221888,327754,12-05-2010,2.0
1918225,458828,21-05-2019,3.0
221842,327757,12-05-2010,2.0
228627,327757,01-06-2010,2.0
1955883,458831,20-06-2019,2.0
1955886,458831,20-06-2019,3.0
3021793,524373,08-12-2021,2.0
3021859,524374,08-12-2021,4.0
1457778,426071,20-12-2017,4.0
1457800,426071,20-12-2017,1.0
1473395,426072,12-01-2018,6.0
1921198,458832,14-05-2019,17.0
1918291,458836,13-05-2019,17.0
1918356,458837,14-05-2019,10.0
1918492,458838,15-05-2019,13.0
1918607,458842,15-05-2019,1.0
203082,327774,03-03-2010,2.0
1919579,458846,13-05-2019,6.0
209487,327776,19-03-2010,3.0
3022146,524385,16-12-2021,9.0
2500494,491612,06-10-2020,4.0
2500499,491612,06-10-2020,16.0
2463258,491614,10-09-2020,5.0
2472011,491616,15-09-2020,9.0
2458577,491619,03-09-2020,2.0
2504080,491623,14-09-2020,9.0
1056850,393320,07-06-2016,2.0
1085795,393320,29-07-2016,8.0
1085800,393320,29-07-2016,1.0
2562438,491625,31-10-2020,5.0
1918564,458859,16-05-2019,10.0
600953,360555,05-11-2013,1.0
2448265,491632,28-08-2020,7.0
2448212,491633,28-08-2020,2.0
600884,360562,30-10-2013,4.0
1451046,426101,22-12-2017,6.0
2448218,491637,01-09-2020,2.0
1029652,393335,15-04-2016,6.0
