,Date,Net_month_art
0,2007-01-31,334.0
1,2007-02-28,363.0
2,2007-03-31,298.0
3,2007-04-30,358.0
4,2007-05-31,448.0
5,2007-06-30,603.0
6,2007-07-31,643.0
7,2007-08-31,385.0
8,2007-09-30,497.0
9,2007-10-31,639.0
10,2007-11-30,703.0
11,2007-12-31,660.0
12,2008-01-31,444.0
13,2008-02-29,629.0
14,2008-03-31,612.0
15,2008-04-30,742.0
16,2008-05-31,668.0
17,2008-06-30,677.0
18,2008-07-31,668.0
19,2008-08-31,708.0
20,2008-09-30,955.0
21,2008-10-31,795.0
22,2008-11-30,739.0
23,2008-12-31,743.0
24,2009-01-31,568.0
25,2009-02-28,508.0
26,2009-03-31,558.0
27,2009-04-30,520.0
28,2009-05-31,591.0
29,2009-06-30,586.0
30,2009-07-31,584.0
31,2009-08-31,606.0
32,2009-09-30,667.0
33,2009-10-31,621.0
34,2009-11-30,642.0
35,2009-12-31,586.0
36,2010-01-31,423.0
37,2010-02-28,572.0
38,2010-03-31,830.0
39,2010-04-30,836.0
40,2010-05-31,923.0
41,2010-06-30,773.0
42,2010-07-31,674.0
43,2010-08-31,701.0
44,2010-09-30,903.0
45,2010-10-31,918.0
46,2010-11-30,873.0
47,2010-12-31,726.0
48,2011-01-31,721.0
49,2011-02-28,813.0
50,2011-03-31,1076.0
51,2011-04-30,1148.0
52,2011-05-31,1251.0
53,2011-06-30,1082.0
54,2011-07-31,1071.0
55,2011-08-31,785.0
56,2011-09-30,812.0
57,2011-10-31,860.0
58,2011-11-30,895.0
59,2011-12-31,851.0
60,2012-01-31,582.0
61,2012-02-29,593.0
62,2012-03-31,812.0
63,2012-04-30,841.0
64,2012-05-31,909.0
65,2012-06-30,902.0
66,2012-07-31,938.0
67,2012-08-31,977.0
68,2012-09-30,1072.0
69,2012-10-31,1258.0
70,2012-11-30,1271.0
71,2012-12-31,1050.0
72,2013-01-31,960.0
73,2013-02-28,929.0
74,2013-03-31,1026.0
75,2013-04-30,1047.0
76,2013-05-31,1016.0
77,2013-06-30,1091.0
78,2013-07-31,1067.0
79,2013-08-31,1096.0
80,2013-09-30,1143.0
81,2013-10-31,1227.0
82,2013-11-30,1262.0
83,2013-12-31,1152.0
84,2014-01-31,912.0
85,2014-02-28,974.0
86,2014-03-31,1079.0
87,2014-04-30,1151.0
88,2014-05-31,1123.0
89,2014-06-30,1125.0
90,2014-07-31,1098.0
91,2014-08-31,1195.0
92,2014-09-30,1293.0
93,2014-10-31,1319.0
94,2014-11-30,1148.0
95,2014-12-31,1077.0
96,2015-01-31,1142.0
97,2015-02-28,934.0
98,2015-03-31,1009.0
99,2015-04-30,1008.0
100,2015-05-31,1050.0
101,2015-06-30,1069.0
102,2015-07-31,830.0
103,2015-08-31,1069.0
104,2015-09-30,1175.0
105,2015-10-31,1295.0
106,2015-11-30,1299.0
107,2015-12-31,1145.0
108,2016-01-31,1121.0
109,2016-02-29,1311.0
110,2016-03-31,1452.0
111,2016-04-30,1502.0
112,2016-05-31,1418.0
113,2016-06-30,1312.0
114,2016-07-31,1381.0
115,2016-08-31,1210.0
116,2016-09-30,1264.0
117,2016-10-31,1307.0
118,2016-11-30,1397.0
119,2016-12-31,1387.0
120,2017-01-31,1371.0
121,2017-02-28,1662.0
122,2017-03-31,1757.0
123,2017-04-30,1631.0
124,2017-05-31,1623.0
125,2017-06-30,1645.0
126,2017-07-31,1642.0
127,2017-08-31,1555.0
128,2017-09-30,1692.0
129,2017-10-31,1928.0
130,2017-11-30,2101.0
131,2017-12-31,1873.0
132,2018-01-31,1726.0
133,2018-02-28,1764.0
134,2018-03-31,2094.0
135,2018-04-30,2147.0
136,2018-05-31,2283.0
137,2018-06-30,2241.0
138,2018-07-31,2224.0
139,2018-08-31,2180.0
140,2018-09-30,2586.0
141,2018-10-31,2658.0
142,2018-11-30,2691.0
143,2018-12-31,2493.0
144,2019-01-31,2114.0
145,2019-02-28,2497.0
146,2019-03-31,2602.0
147,2019-04-30,2969.0
148,2019-05-31,2796.0
149,2019-06-30,2812.0
150,2019-07-31,2730.0
151,2019-08-31,2470.0
152,2019-09-30,2961.0
153,2019-10-31,2933.0
154,2019-11-30,2949.0
155,2019-12-31,2726.0
156,2020-01-31,2316.0
157,2020-02-29,2537.0
158,2020-03-31,2590.0
159,2020-04-30,2761.0
160,2020-05-31,2698.0
161,2020-06-30,2783.0
162,2020-07-31,2779.0
163,2020-08-31,2916.0
164,2020-09-30,3056.0
165,2020-10-31,3157.0
166,2020-11-30,2923.0
167,2020-12-31,2690.0
168,2021-01-31,2199.0
169,2021-02-28,2358.0
170,2021-03-31,2448.0
171,2021-04-30,2345.0
172,2021-05-31,2364.0
173,2021-06-30,2472.0
174,2021-07-31,2426.0
175,2021-08-31,2448.0
176,2021-09-30,2547.0
177,2021-10-31,2580.0
178,2021-11-30,2637.0
179,2021-12-31,2469.0
