,Date,Net_week_art
0,2007-01-14,401.0
1,2007-01-21,250.0
2,2007-01-28,332.0
3,2007-02-04,325.0
4,2007-02-11,359.0
5,2007-02-18,348.0
6,2007-02-25,360.0
7,2007-03-04,350.0
8,2007-03-11,363.0
9,2007-03-18,221.0
10,2007-03-25,182.0
11,2007-04-01,183.0
12,2007-04-08,200.0
13,2007-04-15,199.0
14,2007-04-22,337.0
15,2007-04-29,358.0
16,2007-05-06,255.0
17,2007-05-13,329.0
18,2007-05-20,365.0
19,2007-05-27,368.0
20,2007-06-03,357.0
21,2007-06-10,456.0
22,2007-06-17,504.0
23,2007-06-24,603.0
24,2007-07-01,564.0
25,2007-07-08,473.0
26,2007-07-15,611.0
27,2007-07-22,643.0
28,2007-07-29,630.0
29,2007-08-05,445.0
30,2007-08-12,385.0
31,2007-08-19,368.0
32,2007-08-26,345.0
33,2007-09-02,356.0
34,2007-09-09,368.0
35,2007-09-16,361.0
36,2007-09-23,396.0
37,2007-09-30,416.0
38,2007-10-07,497.0
39,2007-10-14,556.0
40,2007-10-21,639.0
41,2007-10-28,595.0
42,2007-11-04,610.0
43,2007-11-11,638.0
44,2007-11-18,606.0
45,2007-11-25,609.0
46,2007-12-02,693.0
47,2007-12-09,703.0
48,2007-12-16,660.0
49,2007-12-23,522.0
50,2007-12-30,464.0
51,2008-01-06,403.0
52,2008-01-13,431.0
53,2008-01-20,444.0
54,2008-01-27,362.0
55,2008-02-03,373.0
56,2008-02-10,549.0
57,2008-02-17,559.0
58,2008-02-24,609.0
59,2008-03-02,629.0
60,2008-03-09,588.0
61,2008-03-16,612.0
62,2008-03-23,599.0
63,2008-03-30,599.0
64,2008-04-06,569.0
65,2008-04-13,611.0
66,2008-04-20,643.0
67,2008-04-27,742.0
68,2008-05-04,706.0
69,2008-05-11,617.0
70,2008-05-18,586.0
71,2008-05-25,637.0
72,2008-06-01,668.0
73,2008-06-08,661.0
74,2008-06-15,624.0
75,2008-06-22,635.0
76,2008-06-29,677.0
77,2008-07-06,669.0
78,2008-07-13,668.0
79,2008-07-20,650.0
80,2008-07-27,539.0
81,2008-08-03,471.0
82,2008-08-10,447.0
83,2008-08-17,516.0
84,2008-08-24,616.0
85,2008-08-31,708.0
86,2008-09-07,703.0
87,2008-09-14,741.0
88,2008-09-21,741.0
89,2008-09-28,955.0
90,2008-10-05,744.0
91,2008-10-12,725.0
92,2008-10-19,795.0
93,2008-10-26,744.0
94,2008-11-02,734.0
95,2008-11-09,687.0
96,2008-11-16,702.0
97,2008-11-23,712.0
98,2008-11-30,674.0
99,2008-12-07,739.0
100,2008-12-14,743.0
101,2008-12-21,696.0
102,2008-12-28,644.0
103,2009-01-04,453.0
104,2009-01-11,431.0
105,2009-01-18,495.0
106,2009-01-25,541.0
107,2009-02-01,568.0
108,2009-02-08,471.0
109,2009-02-15,499.0
110,2009-02-22,508.0
111,2009-03-01,507.0
112,2009-03-08,483.0
113,2009-03-15,540.0
114,2009-03-22,513.0
115,2009-03-29,558.0
116,2009-04-05,527.0
117,2009-04-12,522.0
118,2009-04-19,498.0
119,2009-04-26,512.0
120,2009-05-03,512.0
121,2009-05-10,520.0
122,2009-05-17,569.0
123,2009-05-24,591.0
124,2009-05-31,568.0
125,2009-06-07,530.0
126,2009-06-14,537.0
127,2009-06-21,559.0
128,2009-06-28,551.0
129,2009-07-05,580.0
130,2009-07-12,586.0
131,2009-07-19,503.0
132,2009-07-26,468.0
133,2009-08-02,393.0
134,2009-08-09,357.0
135,2009-08-16,349.0
136,2009-08-23,404.0
137,2009-08-30,504.0
138,2009-09-06,606.0
139,2009-09-13,634.0
140,2009-09-20,620.0
141,2009-09-27,667.0
142,2009-10-04,665.0
143,2009-10-11,631.0
144,2009-10-18,621.0
145,2009-10-25,523.0
146,2009-11-01,538.0
147,2009-11-08,555.0
148,2009-11-15,544.0
149,2009-11-22,585.0
150,2009-11-29,642.0
151,2009-12-06,583.0
152,2009-12-13,594.0
153,2009-12-20,568.0
154,2009-12-27,450.0
155,2010-01-03,430.0
156,2010-01-10,372.0
157,2010-01-17,362.0
158,2010-01-24,372.0
159,2010-01-31,418.0
160,2010-02-07,423.0
161,2010-02-14,459.0
162,2010-02-21,491.0
163,2010-02-28,521.0
164,2010-03-07,572.0
165,2010-03-14,712.0
166,2010-03-21,743.0
167,2010-03-28,795.0
168,2010-04-04,830.0
169,2010-04-11,807.0
170,2010-04-18,836.0
171,2010-04-25,836.0
172,2010-05-02,822.0
173,2010-05-09,813.0
174,2010-05-16,793.0
175,2010-05-23,923.0
176,2010-05-30,791.0
177,2010-06-06,764.0
178,2010-06-13,773.0
179,2010-06-20,770.0
180,2010-06-27,716.0
181,2010-07-04,699.0
182,2010-07-11,712.0
183,2010-07-18,674.0
184,2010-07-25,659.0
185,2010-08-01,623.0
186,2010-08-08,597.0
187,2010-08-15,587.0
188,2010-08-22,583.0
189,2010-08-29,612.0
190,2010-09-05,660.0
191,2010-09-12,706.0
192,2010-09-19,776.0
193,2010-09-26,857.0
194,2010-10-03,880.0
195,2010-10-10,903.0
196,2010-10-17,907.0
197,2010-10-24,918.0
198,2010-10-31,826.0
199,2010-11-07,815.0
200,2010-11-14,783.0
201,2010-11-21,849.0
202,2010-11-28,873.0
203,2010-12-05,829.0
204,2010-12-12,729.0
205,2010-12-19,723.0
206,2010-12-26,713.0
207,2011-01-02,703.0
208,2011-01-09,694.0
209,2011-01-16,694.0
210,2011-01-23,693.0
211,2011-01-30,721.0
212,2011-02-06,692.0
213,2011-02-13,665.0
214,2011-02-20,670.0
215,2011-02-27,752.0
216,2011-03-06,772.0
217,2011-03-13,846.0
218,2011-03-20,875.0
219,2011-03-27,1036.0
220,2011-04-03,1076.0
221,2011-04-10,1075.0
222,2011-04-17,1055.0
223,2011-04-24,1106.0
224,2011-05-01,1071.0
225,2011-05-08,1148.0
226,2011-05-15,1175.0
227,2011-05-22,1251.0
228,2011-05-29,1230.0
229,2011-06-05,1182.0
230,2011-06-12,1141.0
231,2011-06-19,1039.0
232,2011-06-26,1067.0
233,2011-07-03,1044.0
234,2011-07-10,1082.0
235,2011-07-17,1071.0
236,2011-07-24,1014.0
237,2011-07-31,945.0
238,2011-08-07,879.0
239,2011-08-14,682.0
240,2011-08-21,670.0
241,2011-08-28,721.0
242,2011-09-04,742.0
243,2011-09-11,790.0
244,2011-09-18,793.0
245,2011-09-25,805.0
246,2011-10-02,812.0
247,2011-10-09,786.0
248,2011-10-16,860.0
249,2011-10-23,856.0
250,2011-10-30,854.0
251,2011-11-06,840.0
252,2011-11-13,840.0
253,2011-11-20,868.0
254,2011-11-27,866.0
255,2011-12-04,895.0
256,2011-12-11,895.0
257,2011-12-18,851.0
258,2011-12-25,763.0
259,2012-01-01,710.0
260,2012-01-08,694.0
261,2012-01-15,777.0
262,2012-01-22,549.0
263,2012-01-29,566.0
264,2012-02-05,582.0
265,2012-02-12,574.0
266,2012-02-19,583.0
267,2012-02-26,564.0
268,2012-03-04,593.0
269,2012-03-11,589.0
270,2012-03-18,681.0
271,2012-03-25,751.0
272,2012-04-01,794.0
273,2012-04-08,812.0
274,2012-04-15,841.0
275,2012-04-22,764.0
276,2012-04-29,763.0
277,2012-05-06,789.0
278,2012-05-13,850.0
279,2012-05-20,909.0
280,2012-05-27,809.0
281,2012-06-03,845.0
282,2012-06-10,902.0
283,2012-06-17,873.0
284,2012-06-24,837.0
285,2012-07-01,842.0
286,2012-07-08,895.0
287,2012-07-15,938.0
288,2012-07-22,921.0
289,2012-07-29,898.0
290,2012-08-05,859.0
291,2012-08-12,852.0
292,2012-08-19,853.0
293,2012-08-26,856.0
294,2012-09-02,954.0
295,2012-09-09,977.0
296,2012-09-16,987.0
297,2012-09-23,1053.0
298,2012-09-30,1066.0
299,2012-10-07,1072.0
300,2012-10-14,1118.0
301,2012-10-21,1163.0
302,2012-10-28,1163.0
303,2012-11-04,1258.0
304,2012-11-11,1242.0
305,2012-11-18,1271.0
306,2012-11-25,1161.0
307,2012-12-02,1131.0
308,2012-12-09,1077.0
309,2012-12-16,1050.0
310,2012-12-23,1003.0
311,2012-12-30,903.0
312,2013-01-06,779.0
313,2013-01-13,799.0
314,2013-01-20,897.0
315,2013-01-27,892.0
316,2013-02-03,960.0
317,2013-02-10,877.0
318,2013-02-17,890.0
319,2013-02-24,838.0
320,2013-03-03,922.0
321,2013-03-10,929.0
322,2013-03-17,961.0
323,2013-03-24,979.0
324,2013-03-31,981.0
325,2013-04-07,1026.0
326,2013-04-14,1003.0
327,2013-04-21,1047.0
328,2013-04-28,975.0
329,2013-05-05,978.0
330,2013-05-12,897.0
331,2013-05-19,902.0
332,2013-05-26,962.0
333,2013-06-02,940.0
334,2013-06-09,1016.0
335,2013-06-16,1079.0
336,2013-06-23,1091.0
337,2013-06-30,974.0
338,2013-07-07,1003.0
339,2013-07-14,1054.0
340,2013-07-21,1067.0
341,2013-07-28,1063.0
342,2013-08-04,944.0
343,2013-08-11,936.0
344,2013-08-18,944.0
345,2013-08-25,1021.0
346,2013-09-01,1096.0
347,2013-09-08,1069.0
348,2013-09-15,1053.0
349,2013-09-22,1127.0
350,2013-09-29,1071.0
351,2013-10-06,1132.0
352,2013-10-13,1214.0
353,2013-10-20,1206.0
354,2013-10-27,1227.0
355,2013-11-03,1108.0
356,2013-11-10,1166.0
357,2013-11-17,1175.0
358,2013-11-24,1262.0
359,2013-12-01,1181.0
360,2013-12-08,1143.0
361,2013-12-15,1152.0
362,2013-12-22,1070.0
363,2013-12-29,1005.0
364,2014-01-05,809.0
365,2014-01-12,752.0
366,2014-01-19,863.0
367,2014-01-26,864.0
368,2014-02-02,912.0
369,2014-02-09,894.0
370,2014-02-16,906.0
371,2014-02-23,942.0
372,2014-03-02,946.0
373,2014-03-09,974.0
374,2014-03-16,999.0
375,2014-03-23,1045.0
376,2014-03-30,1079.0
377,2014-04-06,1005.0
378,2014-04-13,1082.0
379,2014-04-20,1091.0
380,2014-04-27,1103.0
381,2014-05-04,1069.0
382,2014-05-11,1151.0
383,2014-05-18,1123.0
384,2014-05-25,1076.0
385,2014-06-01,1095.0
386,2014-06-08,1084.0
387,2014-06-15,1103.0
388,2014-06-22,1074.0
389,2014-06-29,1125.0
390,2014-07-06,1082.0
391,2014-07-13,1078.0
392,2014-07-20,1098.0
393,2014-07-27,1056.0
394,2014-08-03,1018.0
395,2014-08-10,1010.0
396,2014-08-17,997.0
397,2014-08-24,1022.0
398,2014-08-31,1151.0
399,2014-09-07,1195.0
400,2014-09-14,1222.0
401,2014-09-21,1237.0
402,2014-09-28,1251.0
403,2014-10-05,1293.0
404,2014-10-12,1271.0
405,2014-10-19,1319.0
406,2014-10-26,1315.0
407,2014-11-02,1267.0
408,2014-11-09,1227.0
409,2014-11-16,1148.0
410,2014-11-23,1101.0
411,2014-11-30,1072.0
412,2014-12-07,1057.0
413,2014-12-14,1077.0
414,2014-12-21,1010.0
415,2014-12-28,932.0
416,2015-01-04,745.0
417,2015-01-11,731.0
418,2015-01-18,790.0
419,2015-01-25,1047.0
420,2015-02-01,1142.0
421,2015-02-08,849.0
422,2015-02-15,847.0
423,2015-02-22,891.0
424,2015-03-01,934.0
425,2015-03-08,889.0
426,2015-03-15,874.0
427,2015-03-22,940.0
428,2015-03-29,936.0
429,2015-04-05,1009.0
430,2015-04-12,974.0
431,2015-04-19,990.0
432,2015-04-26,1006.0
433,2015-05-03,942.0
434,2015-05-10,1050.0
435,2015-05-17,998.0
436,2015-05-24,961.0
437,2015-05-31,997.0
438,2015-06-07,977.0
439,2015-06-14,1069.0
440,2015-06-21,946.0
441,2015-06-28,876.0
442,2015-07-05,849.0
443,2015-07-12,830.0
444,2015-07-19,817.0
445,2015-07-26,800.0
446,2015-08-02,789.0
447,2015-08-09,789.0
448,2015-08-16,807.0
449,2015-08-23,856.0
450,2015-08-30,978.0
451,2015-09-06,1069.0
452,2015-09-13,1060.0
453,2015-09-20,1073.0
454,2015-09-27,1158.0
455,2015-10-04,1114.0
456,2015-10-11,1175.0
457,2015-10-18,1192.0
458,2015-10-25,1276.0
459,2015-11-01,1295.0
460,2015-11-08,1246.0
461,2015-11-15,1299.0
462,2015-11-22,1247.0
463,2015-11-29,1218.0
464,2015-12-06,1157.0
465,2015-12-13,1145.0
466,2015-12-20,1110.0
467,2015-12-27,1088.0
468,2016-01-03,894.0
469,2016-01-10,867.0
470,2016-01-17,911.0
471,2016-01-24,1007.0
472,2016-01-31,1063.0
473,2016-02-07,1121.0
474,2016-02-14,1133.0
475,2016-02-21,1157.0
476,2016-02-28,1183.0
477,2016-03-06,1306.0
478,2016-03-13,1317.0
479,2016-03-20,1384.0
480,2016-03-27,1322.0
481,2016-04-03,1389.0
482,2016-04-10,1452.0
483,2016-04-17,1439.0
484,2016-04-24,1477.0
485,2016-05-01,1502.0
486,2016-05-08,1392.0
487,2016-05-15,1418.0
488,2016-05-22,1242.0
489,2016-05-29,1236.0
490,2016-06-05,1337.0
491,2016-06-12,1302.0
492,2016-06-19,1312.0
493,2016-06-26,1312.0
494,2016-07-03,1247.0
495,2016-07-10,1265.0
496,2016-07-17,1253.0
497,2016-07-24,1381.0
498,2016-07-31,1377.0
499,2016-08-07,1280.0
500,2016-08-14,1119.0
501,2016-08-21,1137.0
502,2016-08-28,1118.0
503,2016-09-04,1178.0
504,2016-09-11,1210.0
505,2016-09-18,1170.0
506,2016-09-25,1264.0
507,2016-10-02,1183.0
508,2016-10-09,1262.0
509,2016-10-16,1166.0
510,2016-10-23,1250.0
511,2016-10-30,1307.0
512,2016-11-06,1268.0
513,2016-11-13,1227.0
514,2016-11-20,1304.0
515,2016-11-27,1345.0
516,2016-12-04,1397.0
517,2016-12-11,1366.0
518,2016-12-18,1376.0
519,2016-12-25,1387.0
520,2017-01-01,1259.0
521,2017-01-08,1004.0
522,2017-01-15,1086.0
523,2017-01-22,1252.0
524,2017-01-29,1258.0
525,2017-02-05,1322.0
526,2017-02-12,1414.0
527,2017-02-19,1503.0
528,2017-02-26,1527.0
529,2017-03-05,1641.0
530,2017-03-12,1662.0
531,2017-03-19,1757.0
532,2017-03-26,1757.0
533,2017-04-02,1683.0
534,2017-04-09,1580.0
535,2017-04-16,1585.0
536,2017-04-23,1601.0
537,2017-04-30,1625.0
538,2017-05-07,1631.0
539,2017-05-14,1536.0
540,2017-05-21,1623.0
541,2017-05-28,1600.0
