,End_Order,End_Datum,Ret_Aantal
1885471,456704,16-04-2019,2.0
1086750,397313,25-07-2016,2.0
261893,333829,28-10-2010,1.0
261897,333829,28-10-2010,1.0
2208622,477190,07-02-2020,1.0
2566129,495623,11-12-2020,2.0
1305247,415757,23-06-2017,1.0
712180,370702,17-07-2014,1.0
2237393,479251,18-03-2020,2.0
477606,352278,07-12-2012,2.0
1232438,409626,27-03-2017,1.0
1767194,446490,29-11-2018,1.0
2804323,509982,04-06-2021,2.0
2129833,471072,18-11-2019,1.0
2996874,522275,12-11-2021,1.0
133427,317476,07-04-2009,6.0
2046187,466983,12-09-2019,1.0
1567521,432173,14-05-2018,1.0
2386798,485423,03-07-2020,1.0
1485612,426037,05-02-2018,1.0
1485613,426037,05-02-2018,1.0
2540306,495671,02-11-2020,2.0
289478,335930,09-03-2011,1.0
674130,366651,09-05-2014,1.0
2557471,497725,17-11-2020,2.0
2110631,471102,11-11-2019,2.0
121032,317504,02-02-2009,1.0
126175,317504,06-03-2009,1.0
148290,317504,12-06-2009,1.0
2209627,477252,07-02-2020,1.0
1861231,426053,22-03-2019,2.0
186840,325708,09-12-2009,1.0
596264,360525,28-10-2013,1.0
420163,348239,02-07-2012,1.0
1663449,440400,28-09-2018,2.0
174137,323667,12-10-2009,2.0
174148,323667,12-10-2009,1.0
1778561,434260,21-04-2018,1.0
1918276,458836,13-05-2019,1.0
1772058,442454,21-12-2018,1.0
1918497,458838,15-05-2019,1.0
2488718,491608,28-09-2020,1.0
555328,358484,05-08-2013,1.0
1458814,424028,18-12-2017,2.0
1469523,424028,18-12-2017,1.0
1469524,424028,18-12-2017,1.0
1469536,424028,18-12-2017,1.0
2595309,499806,11-12-2020,1.0
1751535,446558,20-11-2018,1.0
1751546,446558,20-11-2018,1.0
189056,325728,04-12-2009,1.0
3022153,524385,16-12-2021,1.0
2481160,493675,27-09-2020,1.0
444792,350318,20-09-2012,1.0
444797,350318,20-09-2012,1.0
448966,350318,01-10-2012,1.0
909860,385136,01-09-2015,1.0
909902,385136,01-09-2015,2.0
398285,346224,19-04-2012,1.0
398313,346224,19-04-2012,1.0
2771308,508022,06-05-2021,1.0
2481499,493688,22-09-2020,2.0
2239156,479357,18-03-2020,1.0
1733077,444542,02-11-2018,1.0
2477074,491647,17-09-2020,1.0
2159536,473213,05-12-2019,1.0
2175794,469121,20-12-2019,0.0
2766452,508034,04-05-2021,1.0
2422914,481406,31-07-2020,1.0
2433221,481406,14-08-2020,2.0
2433254,481406,14-08-2020,1.0
2433273,481406,14-08-2020,1.0
2433296,481406,14-08-2020,1.0
2433353,481406,14-08-2020,1.0
904064,385161,19-08-2015,1.0
967070,385161,25-11-2015,1.0
983170,385162,17-12-2015,1.0
1335102,417930,07-08-2017,2.0
2596629,499852,21-12-2020,1.0
2596639,499852,21-12-2020,1.0
1140197,403602,11-11-2016,1.0
2731764,506005,12-04-2021,1.0
2731773,506005,12-04-2021,1.0
608251,362646,20-11-2013,1.0
317550,338073,19-06-2011,2.0
317573,338073,19-06-2011,1.0
1084421,395420,20-07-2016,2.0
2011829,463005,05-08-2019,2.0
2090516,465053,18-10-2019,1.0
1569281,434336,18-05-2018,1.0
2448802,491682,02-10-2020,2.0
497360,354466,17-03-2013,1.0
1666138,440486,31-08-2018,6.0
1253592,411816,21-04-2017,1.0
2835959,514217,01-07-2021,1.0
85054,311470,12-08-2008,2.0
85057,311470,12-08-2008,1.0
1387827,420024,06-10-2017,1.0
1387854,420024,06-10-2017,1.0
1838432,452797,27-02-2019,1.0
269973,329918,25-11-2010,1.0
2067901,467135,23-09-2019,1.0
2588546,497853,07-12-2020,1.0
1717330,442561,22-10-2018,1.0
1465591,426178,21-12-2017,1.0
1465594,426178,21-12-2017,1.0
2247581,479425,16-03-2020,1.0
1781123,430275,26-10-2018,2.0
2000568,463045,29-07-2019,1.0
1304158,415944,23-06-2017,1.0
743858,372939,01-10-2014,1.0
2450629,491724,11-09-2020,1.0
4803,301265,09-03-2007,1.0
1116212,401619,28-09-2016,1.0
1116216,401619,28-09-2016,1.0
1297490,413907,16-06-2017,1.0
1912617,454868,06-05-2019,3.0
800696,374995,12-12-2014,0.0
1277506,413913,29-05-2017,1.0
960754,385243,16-11-2015,2.0
1638726,434396,24-07-2018,1.0
2449535,491741,03-09-2020,1.0
1454796,426206,18-12-2017,1.0
1886857,454876,15-04-2019,1.0
1591018,436448,07-06-2018,1.0
1591019,436448,07-06-2018,1.0
1464443,407774,20-12-2017,1.0
2113721,471268,13-11-2019,1.0
990810,391397,26-01-2016,1.0
753724,370920,06-10-2014,1.0
726844,370921,01-09-2014,1.0
1503253,430317,14-03-2018,1.0
1880975,454899,12-04-2019,1.0
669747,364790,30-04-2014,1.0
669749,364790,30-04-2014,2.0
379850,344316,15-02-2012,0.0
379855,344316,15-02-2012,1.0
379861,344316,15-02-2012,1.0
1805511,450816,24-01-2019,1.0
1932195,459008,24-05-2019,2.0
2318039,483585,12-05-2020,1.0
2313829,483585,11-05-2020,1.0
2313833,483585,11-05-2020,1.0
922612,385283,22-09-2015,1.0
1353745,418051,25-08-2017,1.0
2397825,485634,13-07-2020,1.0
102524,315651,01-11-2008,1.0
2394761,487685,09-07-2020,1.0
2340816,481536,28-05-2020,1.0
2994716,522498,26-11-2021,1.0
1858674,454922,29-03-2019,1.0
1523632,430347,03-04-2018,1.0
1523635,430347,03-04-2018,1.0
2100404,465162,25-10-2019,1.0
2443703,489739,22-08-2020,1.0
1835424,452883,25-02-2019,1.0
1701010,442645,05-10-2018,1.0
2950163,520469,20-10-2021,1.0
352614,340247,28-10-2011,5.0
352657,340247,28-10-2011,1.0
2565382,497942,26-11-2020,1.0
2610082,497942,15-12-2020,1.0
2905069,516378,31-08-2021,1.0
2905084,516378,31-08-2021,2.0
2484791,493852,29-09-2020,1.0
2484827,493852,29-09-2020,1.0
2152499,446748,05-12-2019,1.0
2527287,495900,23-10-2020,1.0
312584,338207,31-05-2011,2.0
330626,338207,27-07-2011,3.0
338255,338207,25-08-2011,0.0
352296,338207,26-10-2011,1.0
1197026,407843,12-02-2017,1.0
2341714,485669,02-06-2020,1.0
2274538,481574,10-04-2020,1.0
2276460,481574,17-04-2020,1.0
6656,301351,09-03-2007,2.0
6658,301351,09-03-2007,3.0
1142949,403757,04-11-2016,1.0
422901,348461,04-07-2012,4.0
422920,348461,04-07-2012,1.0
1591987,436527,08-06-2018,1.0
1592001,436527,08-06-2018,1.0
1595331,436527,14-06-2018,1.0
1595334,436527,14-06-2018,1.0
188935,325933,07-12-2009,1.0
784650,375086,02-12-2014,1.0
784652,375086,02-12-2014,1.0
2989819,522542,23-11-2021,1.0
2424540,489779,24-08-2020,1.0
2451912,491830,11-09-2020,1.0
2451948,491830,11-09-2020,1.0
2101604,467255,25-10-2019,1.0
2577240,493880,04-12-2020,1.0
1365119,420153,20-09-2017,1.0
849563,381239,28-04-2015,1.0
2341865,485691,03-06-2020,2.0
1592144,436540,09-07-2018,1.0
714361,371006,13-08-2014,8.0
714407,371006,14-08-2014,9.0
2025397,465216,26-08-2019,1.0
138507,319810,29-04-2009,1.0
364718,342342,28-11-2011,3.0
364765,342342,28-11-2011,1.0
367093,342342,22-12-2011,4.0
367142,342342,22-12-2011,1.0
2367281,485705,22-06-2020,1.0
753524,371018,17-10-2014,1.0
753615,371018,17-10-2014,1.0
2920952,518473,10-09-2021,2.0
2956718,516429,12-10-2021,1.0
1866551,454990,01-04-2019,1.0
2561954,454992,13-11-2020,1.0
1122542,401746,04-10-2016,4.0
2188415,475474,12-01-2020,1.0
2188453,475474,12-01-2020,2.0
1070154,397652,29-06-2016,3.0
1127993,399700,11-10-2016,1.0
1698673,438615,14-09-2018,1.0
2377361,487768,01-07-2020,1.0
2377381,487768,01-07-2020,1.0
1953542,461145,16-06-2019,1.0
1399232,422233,26-10-2017,1.0
751643,373082,13-10-2014,0.0
783293,373082,01-12-2014,7.0
783332,373082,01-12-2014,1.0
1544830,432473,29-04-2018,7.0
2417658,489820,03-08-2020,1.0
1380282,420190,25-09-2017,1.0
1427039,420190,14-11-2017,1.0
571785,358751,09-09-2013,1.0
1337167,416096,28-07-2017,1.0
1337326,416096,28-07-2017,1.0
2408399,485729,17-07-2020,1.0
2408453,485729,17-07-2020,1.0
1660600,440674,27-08-2018,1.0
1659646,440674,26-08-2018,1.0
1596560,434531,15-06-2018,1.0
276945,334179,04-01-2011,1.0
467427,350563,09-11-2012,1.0
467447,350563,09-11-2012,4.0
2560899,498021,19-11-2020,2.0
2114991,471404,13-11-2019,1.0
720545,371055,22-08-2014,1.0
2314305,477552,08-05-2020,1.0
1197961,407920,06-02-2017,1.0
1104750,399729,02-09-2016,6.0
1926488,452979,20-05-2019,1.0
1866993,452980,28-03-2019,2.0
1490947,428405,12-02-2018,1.0
742044,373107,29-09-2014,2.0
67261,309619,16-05-2008,1.0
1879160,448890,08-04-2019,1.0
1880436,448890,19-04-2019,1.0
341647,340357,13-09-2011,1.0
341649,340357,13-09-2011,1.0
346848,340357,05-10-2011,4.0
2591970,498055,07-12-2020,1.0
686605,369034,11-06-2014,1.0
660261,366988,07-04-2014,2.0
1345104,418189,09-08-2017,1.0
276317,334224,15-12-2010,1.0
276348,334224,15-12-2010,2.0
121615,317842,08-02-2009,1.0
933091,387475,16-10-2015,1.0
2562479,498070,30-11-2020,1.0
1954253,461212,18-06-2019,1.0
1096758,399772,18-08-2016,1.0
626980,362910,19-12-2013,2.0
637034,362910,10-02-2014,2.0
1923549,457116,17-05-2019,1.0
1923552,457116,17-05-2019,1.0
2567317,498078,27-11-2020,1.0
1305622,416163,11-07-2017,3.0
1779975,448934,13-12-2018,1.0
2547445,496041,06-11-2020,2.0
340981,340394,15-09-2011,4.0
2883151,516523,04-08-2021,2.0
206639,328109,16-03-2010,1.0
2552265,496045,09-11-2020,1.0
422669,348591,16-07-2012,1.0
2155726,473519,05-12-2019,1.0
1543172,420275,20-04-2018,1.0
1558399,420275,20-04-2018,1.0
2576646,498100,30-11-2020,1.0
2576655,498100,30-11-2020,1.0
377648,344501,27-01-2012,1.0
1779146,448950,15-12-2018,1.0
2848248,512439,08-07-2021,1.0
2136657,467387,15-11-2019,2.0
2135676,467387,22-11-2019,1.0
2522735,496062,05-11-2020,1.0
2325120,481726,20-05-2020,3.0
1964002,459202,24-06-2019,1.0
2090047,467396,17-10-2019,1.0
2135697,467396,22-11-2019,1.0
1018562,391621,24-03-2016,1.0
2662049,504262,08-03-2021,2.0
2858756,512462,14-07-2021,1.0
2865066,512462,23-07-2021,1.0
1366259,420303,09-10-2017,4.0
1666039,440785,10-09-2018,2.0
1451364,424402,07-12-2017,1.0
3033930,520659,16-12-2021,1.0
2362806,479700,16-06-2020,1.0
1794881,442837,07-01-2019,1.0
1830796,442837,20-02-2019,1.0
1978770,442837,05-07-2019,2.0
1990672,442837,05-07-2019,1.0
1251273,412117,24-04-2017,1.0
1251281,412117,24-04-2017,1.0
2100605,457178,21-10-2019,1.0
3027567,520667,10-12-2021,1.0
2562971,498138,11-12-2020,1.0
689653,369118,13-06-2014,1.0
689680,369118,13-06-2014,2.0
653020,365023,01-04-2014,2.0
653028,365023,01-04-2014,2.0
287369,336352,24-02-2011,1.0
