,Ing_Order,Ing_Datum,Ing_Aantal
2017861,456704,15-04-2019,2.0
1166090,397313,17-06-2016,2.0
316581,333829,22-10-2010,1.0
316585,333829,22-10-2010,1.0
2342086,477190,06-02-2020,1.0
2665254,495623,07-12-2020,2.0
1419187,415757,21-06-2017,1.0
798475,370702,16-07-2014,1.0
2375802,479251,09-03-2020,2.0
545197,352278,26-11-2012,2.0
1334971,409626,13-03-2017,1.0
1869093,446490,09-11-2018,1.0
2906211,509982,03-05-2021,2.0
2251072,471072,04-11-2019,1.0
3124421,522275,10-11-2021,1.0
146891,317476,06-01-2009,6.0
2181596,466983,12-09-2019,1.0
1652798,432173,09-04-2018,1.0
2485936,485423,04-06-2020,1.0
1580514,426037,15-01-2018,1.0
1580533,426037,15-01-2018,1.0
2663877,495671,19-10-2020,2.0
336300,335930,07-02-2011,1.0
741283,366651,01-04-2014,1.0
2702353,497725,16-11-2020,2.0
2251260,471102,11-11-2019,2.0
147356,317504,05-01-2009,2.0
147363,317504,05-01-2009,1.0
2343531,477252,06-02-2020,1.0
1611046,426053,13-02-2018,2.0
229934,325708,26-11-2009,1.0
661167,360525,23-09-2013,1.0
491199,348239,29-06-2012,1.0
1791930,440400,14-09-2018,2.0
207848,323667,15-09-2009,1.0
207849,323667,15-09-2009,2.0
1683768,434260,21-04-2018,1.0
2051033,458836,13-05-2019,1.0
1807911,442454,17-09-2018,1.0
2051138,458838,15-05-2019,1.0
2588281,491608,07-09-2020,1.0
631135,358484,15-07-2013,1.0
1542064,424028,08-11-2017,2.0
1550651,424028,15-11-2017,1.0
1550736,424028,15-11-2017,1.0
1550739,424028,15-11-2017,1.0
2736335,499806,10-12-2020,1.0
1870127,446558,08-11-2018,1.0
1870138,446558,08-11-2018,1.0
230121,325728,01-12-2009,1.0
3159334,524385,07-12-2021,1.0
2625161,493675,26-09-2020,1.0
516797,350318,18-09-2012,2.0
516809,350318,18-09-2012,1.0
1002488,385136,24-08-2015,2.0
1002268,385136,22-08-2015,1.0
462123,346224,10-04-2012,1.0
462126,346224,10-04-2012,1.0
