,Date,Net_daily_art
0,2007-01-01,29.0
1,2007-01-02,29.0
2,2007-01-03,29.0
3,2007-01-04,31.0
4,2007-01-05,34.0
5,2007-01-06,34.0
6,2007-01-07,39.0
7,2007-01-08,49.0
8,2007-01-09,49.0
9,2007-01-10,50.0
10,2007-01-11,42.0
11,2007-01-12,42.0
12,2007-01-13,41.0
13,2007-01-14,41.0
14,2007-01-15,47.0
15,2007-01-16,57.0
16,2007-01-17,56.0
17,2007-01-18,55.0
18,2007-01-19,58.0
19,2007-01-20,52.0
20,2007-01-21,52.0
21,2007-01-22,66.0
22,2007-01-23,66.0
23,2007-01-24,64.0
24,2007-01-25,68.0
25,2007-01-26,60.0
26,2007-01-27,56.0
27,2007-01-28,56.0
28,2007-01-29,67.0
29,2007-01-30,60.0
30,2007-01-31,56.0
31,2007-02-01,66.0
32,2007-02-02,84.0
33,2007-02-03,78.0
34,2007-02-04,78.0
35,2007-02-05,81.0
36,2007-02-06,84.0
37,2007-02-07,83.0
38,2007-02-08,91.0
39,2007-02-09,101.0
40,2007-02-10,92.0
41,2007-02-11,92.0
42,2007-02-12,98.0
43,2007-02-13,100.0
44,2007-02-14,101.0
45,2007-02-15,95.0
46,2007-02-16,99.0
47,2007-02-17,88.0
48,2007-02-18,88.0
49,2007-02-19,90.0
50,2007-02-20,101.0
51,2007-02-21,103.0
52,2007-02-22,111.0
53,2007-02-23,115.0
54,2007-02-24,106.0
55,2007-02-25,106.0
56,2007-02-26,126.0
57,2007-02-27,113.0
58,2007-02-28,107.0
59,2007-03-01,100.0
60,2007-03-02,106.0
61,2007-03-03,90.0
62,2007-03-04,90.0
63,2007-03-05,90.0
64,2007-03-06,80.0
65,2007-03-07,78.0
66,2007-03-08,79.0
67,2007-03-09,73.0
68,2007-03-10,71.0
69,2007-03-11,71.0
70,2007-03-12,73.0
71,2007-03-13,73.0
72,2007-03-14,75.0
73,2007-03-15,77.0
74,2007-03-16,75.0
75,2007-03-17,75.0
76,2007-03-18,75.0
77,2007-03-19,91.0
78,2007-03-20,103.0
79,2007-03-21,86.0
80,2007-03-22,87.0
81,2007-03-23,89.0
82,2007-03-24,81.0
83,2007-03-25,81.0
84,2007-03-26,92.0
85,2007-03-27,95.0
86,2007-03-28,102.0
87,2007-03-29,94.0
88,2007-03-30,97.0
89,2007-03-31,93.0
90,2007-04-01,93.0
91,2007-04-02,95.0
92,2007-04-03,97.0
93,2007-04-04,93.0
94,2007-04-05,93.0
95,2007-04-06,81.0
96,2007-04-07,81.0
97,2007-04-08,81.0
98,2007-04-09,105.0
99,2007-04-10,112.0
100,2007-04-11,120.0
101,2007-04-12,122.0
102,2007-04-13,122.0
103,2007-04-14,117.0
104,2007-04-15,117.0
105,2007-04-16,123.0
106,2007-04-17,126.0
107,2007-04-18,122.0
108,2007-04-19,120.0
109,2007-04-20,120.0
110,2007-04-21,112.0
111,2007-04-22,112.0
112,2007-04-23,115.0
113,2007-04-24,133.0
114,2007-04-25,117.0
115,2007-04-26,118.0
116,2007-04-27,116.0
117,2007-04-28,114.0
118,2007-04-29,114.0
119,2007-04-30,114.0
120,2007-05-01,120.0
121,2007-05-02,119.0
122,2007-05-03,121.0
123,2007-05-04,122.0
124,2007-05-05,120.0
125,2007-05-06,120.0
126,2007-05-07,146.0
127,2007-05-08,146.0
128,2007-05-09,148.0
129,2007-05-10,148.0
130,2007-05-11,140.0
131,2007-05-12,138.0
132,2007-05-13,138.0
133,2007-05-14,138.0
134,2007-05-15,120.0
135,2007-05-16,113.0
136,2007-05-17,104.0
137,2007-05-18,104.0
138,2007-05-19,104.0
139,2007-05-20,104.0
140,2007-05-21,112.0
141,2007-05-22,112.0
142,2007-05-23,117.0
143,2007-05-24,125.0
144,2007-05-25,119.0
145,2007-05-26,110.0
146,2007-05-27,110.0
147,2007-05-28,110.0
148,2007-05-29,126.0
149,2007-05-30,127.0
150,2007-05-31,120.0
151,2007-06-01,106.0
152,2007-06-02,106.0
153,2007-06-03,106.0
154,2007-06-04,119.0
155,2007-06-05,123.0
156,2007-06-06,119.0
