,Ing_Order,Ing_Datum,Ing_Aantal
2049918,458754,14-05-2019,12.0
2049925,458754,14-05-2019,2.0
249439,327684,01-03-2010,4.0
3157585,524293,15-12-2021,2.0
3157562,524294,06-12-2021,4.0
2061056,458759,24-05-2019,2.0
2049875,458759,14-05-2019,2.0
3158158,524296,10-12-2021,1.0
3158169,524296,10-12-2021,7.0
2593039,491524,07-09-2020,2.0
2591836,491529,04-09-2020,1.0
2591839,491529,04-09-2020,2.0
2591846,491529,04-09-2020,3.0
2049975,458763,13-05-2019,5.0
254076,327692,12-03-2010,2.0
1570939,425997,07-12-2017,4.0
1570975,426000,06-12-2017,4.0
1571020,426000,06-12-2017,4.0
2050172,458770,10-05-2019,5.0
1571034,426004,07-12-2017,4.0
3157930,524311,03-12-2021,2.0
1110537,393240,08-03-2016,3.0
1571081,426009,07-12-2017,8.0
2050202,458775,13-05-2019,2.0
1571098,426011,08-12-2017,3.0
2587286,491548,31-08-2020,1.0
2587290,491548,31-08-2020,1.0
2587293,491548,31-08-2020,4.0
2587235,491549,31-08-2020,2.0
2587240,491549,31-08-2020,2.0
2587268,491549,31-08-2020,4.0
2587203,491551,07-09-2020,2.0
660590,360480,23-09-2013,3.0
660591,360480,23-09-2013,1.0
661033,360480,26-09-2013,1.0
660629,360482,23-09-2013,4.0
2587315,491554,06-07-2020,1.0
2050357,458791,12-05-2019,3.0
1110668,393256,13-03-2016,2.0
1110677,393256,13-03-2016,3.0
1110769,393265,07-03-2016,6.0
1110777,393265,07-03-2016,4.0
3158770,524337,20-12-2021,1.0
3158775,524337,20-12-2021,3.0
249794,327729,02-03-2010,4.0
249806,327729,02-03-2010,4.0
3158427,524340,08-12-2021,5.0
1580507,426037,15-01-2018,2.0
1580518,426037,15-01-2018,1.0
1580529,426037,15-01-2018,2.0
2050537,458804,13-05-2019,5.0
2050580,458804,13-05-2019,2.0
660932,360497,23-09-2013,4.0
2066726,458809,04-06-2019,6.0
2050640,458812,13-05-2019,4.0
2050646,458812,13-05-2019,1.0
2115102,458812,25-06-2019,3.0
2050783,458814,13-05-2019,2.0
2050793,458814,13-05-2019,2.0
1110869,393279,08-03-2016,2.0
1110872,393279,08-03-2016,2.0
2050761,458815,13-05-2019,2.0
2050773,458815,13-05-2019,2.0
2588623,491583,31-08-2020,2.0
1571563,426052,06-12-2017,2.0
1571588,426053,08-12-2017,4.0
3160134,524359,07-12-2021,3.0
3160136,524359,07-12-2021,4.0
250017,327752,02-03-2010,2.0
250019,327752,02-03-2010,3.0
3158914,524361,16-12-2021,4.0
1571617,426058,13-12-2017,1.0
1571635,426058,13-12-2017,2.0
3159082,524363,14-12-2021,4.0
1110969,393292,07-03-2016,2.0
3159126,524364,10-12-2021,4.0
3159018,524365,08-12-2021,1.0
3159022,524365,08-12-2021,2.0
3159067,524366,10-12-2021,1.0
2050919,458825,13-05-2019,2.0
250074,327754,03-03-2010,2.0
2050967,458828,21-05-2019,2.0
250109,327757,03-03-2010,4.0
3159137,524372,08-12-2021,3.0
3159139,524372,08-12-2021,2.0
3159150,524373,08-12-2021,3.0
3159157,524373,08-12-2021,3.0
3159194,524374,08-12-2021,3.0
1571846,426071,08-12-2017,1.0
1571847,426071,08-12-2017,4.0
1571858,426072,08-12-2017,1.0
1571859,426072,08-12-2017,6.0
2051035,458836,13-05-2019,4.0
2051056,458836,13-05-2019,4.0
2051097,458837,14-05-2019,5.0
2051107,458837,14-05-2019,4.0
2051140,458838,15-05-2019,4.0
2051155,458838,15-05-2019,3.0
661257,360532,07-10-2013,4.0
661293,360532,15-10-2013,5.0
661311,360532,15-10-2013,3.0
2588137,491605,09-09-2020,2.0
250323,327774,02-03-2010,5.0
2588238,491607,14-09-2020,2.0
250358,327776,12-03-2010,3.0
3159333,524385,07-12-2021,4.0
2588378,491612,07-09-2020,3.0
2588382,491612,07-09-2020,2.0
2588449,491614,31-08-2020,4.0
2588455,491614,31-08-2020,1.0
2588447,491616,07-09-2020,3.0
2588565,491619,27-08-2020,2.0
661463,360548,30-09-2013,2.0
667678,360548,04-10-2013,2.0
661571,360548,01-10-2013,2.0
661584,360548,01-10-2013,3.0
661585,360548,01-10-2013,2.0
2588592,491623,28-08-2020,2.0
2588611,491623,28-08-2020,2.0
1118113,393320,21-03-2016,10.0
2607655,491625,11-09-2020,4.0
2607663,491625,11-09-2020,3.0
2051175,458859,16-05-2019,2.0
661683,360555,23-09-2013,2.0
2588802,491632,28-08-2020,2.0
2588810,491632,28-08-2020,2.0
2588839,491633,27-08-2020,2.0
2588845,491633,27-08-2020,4.0
661700,360562,24-09-2013,2.0
1572228,426101,14-12-2017,3.0
2588872,491637,01-09-2020,4.0
1111549,393335,11-03-2016,2.0
1120851,393335,29-03-2016,1.0
1572281,426105,05-12-2017,2.0
1111570,393339,09-03-2016,1.0
1111593,393339,09-03-2016,3.0
661774,360571,03-10-2013,2.0
1572407,426111,07-12-2017,2.0
3159899,524416,16-12-2021,8.0
1572465,426112,11-12-2017,5.0
2589066,491647,28-08-2020,3.0
2589171,491650,31-08-2020,1.0
2589185,491650,31-08-2020,9.0
2051534,458886,16-05-2019,2.0
1572506,426120,08-12-2017,2.0
3159862,524425,09-12-2021,3.0
250774,327816,03-03-2010,1.0
250790,327816,03-03-2010,2.0
301858,327816,06-09-2010,4.0
662038,360591,25-09-2013,2.0
