,Date,Net_week_art
0,2007-01-14,146.0
1,2007-01-21,50.0
2,2007-01-28,58.0
3,2007-02-04,68.0
4,2007-02-11,84.0
5,2007-02-18,101.0
6,2007-02-25,101.0
7,2007-03-04,115.0
8,2007-03-11,126.0
9,2007-03-18,90.0
10,2007-03-25,77.0
11,2007-04-01,103.0
12,2007-04-08,102.0
13,2007-04-15,97.0
14,2007-04-22,122.0
15,2007-04-29,126.0
16,2007-05-06,133.0
17,2007-05-13,122.0
18,2007-05-20,148.0
19,2007-05-27,138.0
20,2007-06-03,125.0
21,2007-06-10,127.0
22,2007-06-17,123.0
23,2007-06-24,127.0
24,2007-07-01,122.0
25,2007-07-08,137.0
26,2007-07-15,154.0
27,2007-07-22,143.0
28,2007-07-29,128.0
29,2007-08-05,99.0
30,2007-08-12,104.0
31,2007-08-19,104.0
32,2007-08-26,125.0
33,2007-09-02,146.0
34,2007-09-09,159.0
35,2007-09-16,145.0
36,2007-09-23,166.0
37,2007-09-30,168.0
38,2007-10-07,181.0
39,2007-10-14,194.0
40,2007-10-21,217.0
41,2007-10-28,208.0
42,2007-11-04,193.0
43,2007-11-11,213.0
44,2007-11-18,222.0
45,2007-11-25,223.0
46,2007-12-02,225.0
47,2007-12-09,221.0
48,2007-12-16,213.0
49,2007-12-23,214.0
50,2007-12-30,171.0
51,2008-01-06,146.0
52,2008-01-13,183.0
53,2008-01-20,182.0
54,2008-01-27,183.0
55,2008-02-03,201.0
56,2008-02-10,195.0
57,2008-02-17,204.0
58,2008-02-24,189.0
59,2008-03-02,190.0
60,2008-03-09,241.0
61,2008-03-16,254.0
62,2008-03-23,256.0
63,2008-03-30,253.0
64,2008-04-06,246.0
65,2008-04-13,248.0
66,2008-04-20,293.0
67,2008-04-27,335.0
68,2008-05-04,305.0
69,2008-05-11,265.0
70,2008-05-18,261.0
71,2008-05-25,198.0
72,2008-06-01,205.0
73,2008-06-08,211.0
74,2008-06-15,231.0
75,2008-06-22,241.0
76,2008-06-29,271.0
77,2008-07-06,282.0
78,2008-07-13,257.0
79,2008-07-20,246.0
80,2008-07-27,199.0
81,2008-08-03,143.0
82,2008-08-10,141.0
83,2008-08-17,169.0
84,2008-08-24,238.0
85,2008-08-31,251.0
86,2008-09-07,254.0
87,2008-09-14,211.0
88,2008-09-21,228.0
89,2008-09-28,241.0
90,2008-10-05,274.0
91,2008-10-12,251.0
92,2008-10-19,262.0
93,2008-10-26,231.0
94,2008-11-02,260.0
95,2008-11-09,291.0
96,2008-11-16,295.0
97,2008-11-23,351.0
98,2008-11-30,347.0
99,2008-12-07,339.0
100,2008-12-14,337.0
101,2008-12-21,316.0
102,2008-12-28,279.0
103,2009-01-04,188.0
104,2009-01-11,183.0
105,2009-01-18,216.0
106,2009-01-25,242.0
107,2009-02-01,258.0
108,2009-02-08,225.0
109,2009-02-15,231.0
110,2009-02-22,240.0
111,2009-03-01,223.0
112,2009-03-08,225.0
113,2009-03-15,249.0
114,2009-03-22,244.0
115,2009-03-29,273.0
116,2009-04-05,264.0
117,2009-04-12,276.0
118,2009-04-19,254.0
119,2009-04-26,217.0
120,2009-05-03,228.0
121,2009-05-10,222.0
122,2009-05-17,262.0
123,2009-05-24,281.0
124,2009-05-31,257.0
125,2009-06-07,239.0
126,2009-06-14,229.0
127,2009-06-21,242.0
128,2009-06-28,238.0
129,2009-07-05,226.0
130,2009-07-12,235.0
131,2009-07-19,221.0
132,2009-07-26,219.0
133,2009-08-02,213.0
134,2009-08-09,185.0
135,2009-08-16,187.0
136,2009-08-23,225.0
137,2009-08-30,258.0
138,2009-09-06,284.0
139,2009-09-13,340.0
140,2009-09-20,326.0
141,2009-09-27,368.0
142,2009-10-04,369.0
143,2009-10-11,344.0
144,2009-10-18,363.0
145,2009-10-25,345.0
146,2009-11-01,347.0
147,2009-11-08,331.0
148,2009-11-15,325.0
149,2009-11-22,355.0
150,2009-11-29,374.0
151,2009-12-06,366.0
152,2009-12-13,344.0
153,2009-12-20,345.0
154,2009-12-27,303.0
155,2010-01-03,262.0
156,2010-01-10,242.0
157,2010-01-17,242.0
158,2010-01-24,250.0
159,2010-01-31,295.0
160,2010-02-07,294.0
161,2010-02-14,330.0
162,2010-02-21,337.0
163,2010-02-28,322.0
164,2010-03-07,351.0
165,2010-03-14,365.0
166,2010-03-21,346.0
167,2010-03-28,382.0
168,2010-04-04,388.0
169,2010-04-11,376.0
170,2010-04-18,381.0
171,2010-04-25,361.0
172,2010-05-02,349.0
173,2010-05-09,355.0
174,2010-05-16,342.0
175,2010-05-23,339.0
176,2010-05-30,331.0
177,2010-06-06,332.0
178,2010-06-13,324.0
179,2010-06-20,328.0
180,2010-06-27,333.0
181,2010-07-04,325.0
