,Date,Net_daily_art
0,2007-01-01,18.0
1,2007-01-02,18.0
2,2007-01-03,18.0
3,2007-01-04,34.0
4,2007-01-05,62.0
5,2007-01-06,62.0
6,2007-01-07,62.0
7,2007-01-08,62.0
8,2007-01-09,60.0
9,2007-01-10,60.0
10,2007-01-11,60.0
11,2007-01-12,60.0
12,2007-01-13,52.0
13,2007-01-14,52.0
14,2007-01-15,52.0
15,2007-01-16,52.0
16,2007-01-17,52.0
17,2007-01-18,39.0
18,2007-01-19,35.0
19,2007-01-20,35.0
20,2007-01-21,35.0
21,2007-01-22,44.0
22,2007-01-23,44.0
23,2007-01-24,50.0
24,2007-01-25,50.0
25,2007-01-26,44.0
26,2007-01-27,44.0
27,2007-01-28,44.0
28,2007-01-29,47.0
29,2007-01-30,47.0
30,2007-01-31,35.0
31,2007-02-01,35.0
32,2007-02-02,50.0
33,2007-02-03,50.0
34,2007-02-04,50.0
35,2007-02-05,50.0
36,2007-02-06,54.0
37,2007-02-07,54.0
38,2007-02-08,47.0
39,2007-02-09,54.0
40,2007-02-10,54.0
41,2007-02-11,54.0
42,2007-02-12,54.0
43,2007-02-13,54.0
44,2007-02-14,61.0
45,2007-02-15,54.0
46,2007-02-16,54.0
47,2007-02-17,54.0
48,2007-02-18,54.0
49,2007-02-19,54.0
50,2007-02-20,54.0
51,2007-02-21,57.0
52,2007-02-22,57.0
53,2007-02-23,57.0
54,2007-02-24,57.0
55,2007-02-25,57.0
56,2007-02-26,85.0
57,2007-02-27,67.0
58,2007-02-28,67.0
59,2007-03-01,86.0
60,2007-03-02,90.0
61,2007-03-03,90.0
62,2007-03-04,90.0
63,2007-03-05,90.0
64,2007-03-06,71.0
65,2007-03-07,71.0
66,2007-03-08,61.0
67,2007-03-09,61.0
68,2007-03-10,55.0
69,2007-03-11,55.0
70,2007-03-12,55.0
71,2007-03-13,55.0
72,2007-03-14,55.0
73,2007-03-15,55.0
74,2007-03-16,64.0
75,2007-03-17,64.0
76,2007-03-18,64.0
77,2007-03-19,72.0
78,2007-03-20,72.0
79,2007-03-21,89.0
80,2007-03-22,72.0
81,2007-03-23,76.0
82,2007-03-24,68.0
83,2007-03-25,68.0
84,2007-03-26,74.0
85,2007-03-27,78.0
86,2007-03-28,78.0
87,2007-03-29,78.0
88,2007-03-30,78.0
89,2007-03-31,78.0
90,2007-04-01,78.0
91,2007-04-02,78.0
92,2007-04-03,78.0
93,2007-04-04,72.0
94,2007-04-05,89.0
95,2007-04-06,83.0
96,2007-04-07,83.0
97,2007-04-08,81.0
98,2007-04-09,81.0
99,2007-04-10,92.0
100,2007-04-11,73.0
101,2007-04-12,73.0
102,2007-04-13,52.0
103,2007-04-14,52.0
104,2007-04-15,52.0
105,2007-04-16,60.0
106,2007-04-17,60.0
107,2007-04-18,60.0
108,2007-04-19,60.0
109,2007-04-20,60.0
110,2007-04-21,60.0
111,2007-04-22,60.0
112,2007-04-23,60.0
113,2007-04-24,60.0
114,2007-04-25,60.0
115,2007-04-26,60.0
116,2007-04-27,58.0
117,2007-04-28,58.0
118,2007-04-29,58.0
119,2007-04-30,58.0
120,2007-05-01,71.0
121,2007-05-02,60.0
122,2007-05-03,70.0
123,2007-05-04,70.0
124,2007-05-05,70.0
125,2007-05-06,70.0
126,2007-05-07,77.0
127,2007-05-08,57.0
128,2007-05-09,62.0
129,2007-05-10,62.0
130,2007-05-11,74.0
131,2007-05-12,74.0
132,2007-05-13,74.0
133,2007-05-14,81.0
134,2007-05-15,77.0
135,2007-05-16,77.0
136,2007-05-17,59.0
137,2007-05-18,59.0
138,2007-05-19,46.0
139,2007-05-20,46.0
140,2007-05-21,57.0
141,2007-05-22,51.0
142,2007-05-23,50.0
143,2007-05-24,50.0
144,2007-05-25,50.0
145,2007-05-26,50.0
146,2007-05-27,50.0
147,2007-05-28,50.0
148,2007-05-29,58.0
149,2007-05-30,54.0
150,2007-05-31,54.0
151,2007-06-01,54.0
152,2007-06-02,54.0
153,2007-06-03,54.0
154,2007-06-04,110.0
155,2007-06-05,123.0
156,2007-06-06,116.0
157,2007-06-07,62.0
158,2007-06-08,76.0
159,2007-06-09,74.0
160,2007-06-10,74.0
161,2007-06-11,108.0
162,2007-06-12,102.0
163,2007-06-13,120.0
164,2007-06-14,116.0
165,2007-06-15,101.0
166,2007-06-16,101.0
167,2007-06-17,101.0
168,2007-06-18,139.0
169,2007-06-19,132.0
170,2007-06-20,104.0
171,2007-06-21,104.0
172,2007-06-22,106.0
173,2007-06-23,98.0
174,2007-06-24,98.0
175,2007-06-25,98.0
176,2007-06-26,98.0
177,2007-06-27,98.0
178,2007-06-28,98.0
179,2007-06-29,98.0
180,2007-06-30,100.0
181,2007-07-01,100.0
182,2007-07-02,126.0
183,2007-07-03,135.0
184,2007-07-04,138.0
185,2007-07-05,112.0
186,2007-07-06,118.0
187,2007-07-07,131.0
188,2007-07-08,123.0
189,2007-07-09,144.0
190,2007-07-10,120.0
191,2007-07-11,120.0
192,2007-07-12,118.0
193,2007-07-13,108.0
194,2007-07-14,83.0
195,2007-07-15,83.0
196,2007-07-16,103.0
197,2007-07-17,103.0
198,2007-07-18,78.0
199,2007-07-19,73.0
200,2007-07-20,56.0
201,2007-07-21,39.0
202,2007-07-22,39.0
203,2007-07-23,68.0
204,2007-07-24,73.0
205,2007-07-25,73.0
206,2007-07-26,73.0
207,2007-07-27,73.0
208,2007-07-28,74.0
209,2007-07-29,74.0
