,Ing_Order,Ing_Datum,Ing_Aantal
1570828,425986,16-10-2017,33.0
1570849,425988,23-10-2017,36.0
1570853,425988,23-10-2017,3.0
2586912,491526,27-08-2020,10.0
2586914,491526,27-08-2020,13.0
3158149,524296,10-12-2021,8.0
3158166,524296,10-12-2021,15.0
3158173,524296,10-12-2021,6.0
2050166,458770,10-05-2019,4.0
2050173,458770,10-05-2019,2.0
2050277,458773,13-05-2019,3.0
2050279,458773,13-05-2019,1.0
2050226,458777,17-05-2019,2.0
2587287,491548,31-08-2020,2.0
2587230,491549,31-08-2020,4.0
660587,360480,23-09-2013,6.0
2587352,491556,27-08-2020,5.0
2587354,491556,27-08-2020,7.0
2050368,458791,12-05-2019,9.0
1110665,393256,13-03-2016,6.0
1110672,393256,13-03-2016,22.0
249802,327729,02-03-2010,1.0
2050548,458804,13-05-2019,9.0
2050577,458804,13-05-2019,7.0
2066724,458809,04-06-2019,9.0
2066725,458809,04-06-2019,11.0
2075242,458809,03-06-2019,9.0
2588641,491583,31-08-2020,6.0
1611048,426053,13-02-2018,5.0
661139,360525,23-09-2013,6.0
2051034,458836,13-05-2019,9.0
2051111,458837,14-05-2019,8.0
2051149,458838,15-05-2019,6.0
2588139,491605,09-09-2020,3.0
2588239,491607,14-09-2020,1.0
2588246,491607,14-09-2020,2.0
2051195,458842,13-05-2019,4.0
2051205,458842,13-05-2019,4.0
2588595,491623,28-08-2020,5.0
2607671,491625,11-09-2020,3.0
2607677,491625,11-09-2020,3.0
2588808,491632,28-08-2020,2.0
250471,327797,08-03-2010,10.0
1111565,393339,09-03-2016,5.0
1111587,393339,09-03-2016,9.0
1111591,393339,09-03-2016,7.0
1111596,393339,09-03-2016,7.0
1111601,393339,09-03-2016,4.0
301860,327816,06-09-2010,3.0
2589218,491666,27-08-2020,8.0
2589241,491666,27-08-2020,6.0
2589265,491672,07-09-2020,4.0
2589272,491672,07-09-2020,10.0
2589408,491677,07-09-2020,4.0
2589410,491677,07-09-2020,2.0
2589367,491678,28-08-2020,7.0
2589371,491678,28-08-2020,2.0
2633987,491681,28-09-2020,1.0
2642569,491681,01-10-2020,2.0
2630498,491681,25-09-2020,13.0
2630514,491681,25-09-2020,3.0
2630529,491681,25-09-2020,33.0
2589477,491682,14-09-2020,2.0
3160406,524467,21-12-2021,1.0
3160408,524467,21-12-2021,8.0
3160414,524467,21-12-2021,2.0
3160417,524467,21-12-2021,5.0
3160423,524467,21-12-2021,2.0
3160443,524467,21-12-2021,1.0
3160445,524467,21-12-2021,1.0
3160455,524467,21-12-2021,1.0
3160478,524467,21-12-2021,2.0
3160495,524467,21-12-2021,4.0
3160503,524467,21-12-2021,2.0
662527,360627,07-10-2013,8.0
251387,327865,05-03-2010,8.0
1112421,393409,21-03-2016,41.0
1112462,393409,21-03-2016,7.0
1112474,393409,21-03-2016,32.0
1573189,426178,11-12-2017,1.0
2589819,491714,28-08-2020,3.0
662807,360649,04-10-2013,12.0
2592172,491724,07-09-2020,3.0
1573337,426194,08-12-2017,4.0
1573339,426194,08-12-2017,2.0
1573380,426200,11-12-2017,6.0
2590255,491741,03-09-2020,1.0
2590427,491741,03-09-2020,3.0
1575369,426206,14-12-2017,3.0
663569,360681,30-09-2013,7.0
663570,360681,30-09-2013,6.0
663572,360681,30-09-2013,3.0
671093,360681,30-09-2013,4.0
2611483,491756,10-09-2020,5.0
255537,327924,19-03-2010,3.0
255489,327924,18-03-2010,5.0
262126,327924,06-04-2010,8.0
279642,327924,11-06-2010,5.0
279663,327924,11-06-2010,3.0
2591120,491765,31-08-2020,6.0
2591127,491765,31-08-2020,12.0
307380,327933,24-09-2010,2.0
664700,360702,01-10-2013,4.0
700195,360702,05-12-2013,4.0
1113083,393471,15-03-2016,3.0
1113088,393471,15-03-2016,3.0
2053385,459008,15-05-2019,3.0
1113177,393474,17-03-2016,12.0
1113191,393474,17-03-2016,1.0
2591310,491780,14-09-2020,8.0
2591316,491780,14-09-2020,7.0
1573933,426247,10-12-2017,8.0
663650,360716,30-09-2013,3.0
663654,360716,30-09-2013,7.0
2591546,491788,31-08-2020,2.0
1113403,393486,18-03-2016,8.0
1113412,393486,18-03-2016,10.0
2625493,491813,25-09-2020,42.0
2625499,491813,25-09-2020,31.0
2625585,491813,25-09-2020,29.0
2625608,491813,25-09-2020,33.0
2625613,491813,25-09-2020,3.0
2625669,491813,25-09-2020,18.0
2592389,491828,03-09-2020,14.0
2592417,491828,03-09-2020,15.0
2592952,491830,09-09-2020,9.0
2592500,491833,03-09-2020,10.0
2592506,491833,03-09-2020,9.0
3163004,524605,13-12-2021,14.0
3163029,524605,13-12-2021,12.0
664539,360777,30-09-2013,3.0
2592837,491851,04-09-2020,5.0
2592920,491852,11-09-2020,5.0
1114052,393549,29-04-2016,17.0
1114062,393549,29-04-2016,10.0
1114100,393549,29-04-2016,12.0
1114113,393549,29-04-2016,10.0
2593100,491854,04-09-2020,5.0
2593130,491854,04-09-2020,6.0
2593132,491854,04-09-2020,12.0
1122796,393558,31-03-2016,8.0
1122797,393558,31-03-2016,10.0
2054696,459095,16-05-2019,2.0
2054705,459095,16-05-2019,3.0
1574786,426329,26-10-2017,7.0
3162947,524641,24-11-2021,4.0
665786,360819,02-10-2013,16.0
665979,360833,02-10-2013,9.0
665992,360833,02-10-2013,10.0
2593979,491907,04-09-2020,2.0
2593987,491907,04-09-2020,9.0
2593906,491907,03-09-2020,4.0
665574,360837,01-10-2013,5.0
665663,360847,04-10-2013,13.0
2608650,491924,14-09-2020,5.0
2608653,491924,14-09-2020,2.0
669373,360874,09-10-2013,6.0
669388,360874,09-10-2013,6.0
254205,328109,15-03-2010,4.0
666027,360878,03-10-2013,13.0
3164249,524722,14-12-2021,6.0
3164255,524722,14-12-2021,5.0
2056615,459222,17-05-2019,8.0
2080863,459222,07-06-2019,3.0
254800,328159,25-03-2010,12.0
258741,328160,06-04-2010,2.0
667441,360927,07-10-2013,9.0
667447,360927,07-10-2013,1.0
1576989,426468,19-12-2017,3.0
1576998,426468,19-12-2017,4.0
1577040,426470,19-12-2017,3.0
2058920,459239,21-05-2019,1.0
2058929,459239,21-05-2019,3.0
1119794,393712,24-03-2016,7.0
1119834,393712,24-03-2016,3.0
1119842,393712,24-03-2016,7.0
1119843,393712,24-03-2016,5.0
1116625,393719,18-03-2016,4.0
667122,360951,04-10-2013,4.0
2059811,459262,23-05-2019,6.0
2059815,459262,23-05-2019,3.0
2059839,459262,23-05-2019,3.0
2059844,459262,23-05-2019,3.0
2059845,459262,23-05-2019,2.0
2596417,492048,07-09-2020,2.0
2596419,492048,07-09-2020,2.0
669212,360979,09-10-2013,2.0
667671,360984,07-10-2013,12.0
255137,328218,22-03-2010,13.0
264911,328218,16-04-2010,8.0
264912,328218,16-04-2010,5.0
2596784,492060,14-09-2020,4.0
2596789,492060,14-09-2020,5.0
255302,328229,22-03-2010,72.0
255286,328232,16-03-2010,4.0
2596917,492074,28-09-2020,2.0
2596922,492074,28-09-2020,4.0
2596923,492074,28-09-2020,2.0
2596925,492074,28-09-2020,3.0
669049,361009,14-10-2013,9.0
669051,361009,14-10-2013,9.0
669062,361009,14-10-2013,1.0
669065,361009,14-10-2013,1.0
669080,361009,14-10-2013,4.0
669087,361009,14-10-2013,1.0
669089,361009,14-10-2013,12.0
669101,361009,14-10-2013,12.0
669106,361009,18-10-2013,2.0
669111,361009,18-10-2013,2.0
669126,361009,25-10-2013,2.0
669131,361009,25-10-2013,2.0
680158,361009,25-10-2013,1.0
2610366,492092,12-09-2020,5.0
2610373,492092,12-09-2020,3.0
2659773,492092,13-10-2020,4.0
2634596,492092,13-09-2020,11.0
1118771,393790,21-03-2016,5.0
1118779,393790,21-03-2016,2.0
1118789,393790,21-03-2016,5.0
2058308,459326,20-05-2019,6.0
1578622,426563,21-12-2017,10.0
2609563,492104,11-09-2020,9.0
2609571,492104,11-09-2020,6.0
255657,328265,18-03-2010,4.0
2597873,492107,02-09-2020,4.0
255731,328271,18-03-2010,4.0
2082579,459349,12-06-2019,5.0
2082594,459349,12-06-2019,3.0
2635360,492122,29-09-2020,2.0
2635370,492122,29-09-2020,1.0
1578836,426598,05-01-2018,8.0
1578840,426598,05-01-2018,9.0
1118832,393838,23-03-2016,5.0
1578933,426609,04-01-2018,5.0
1578939,426609,04-01-2018,6.0
2063139,459377,23-05-2019,12.0
2063140,459377,23-05-2019,10.0
2063145,459377,23-05-2019,12.0
2059112,459379,23-05-2019,11.0
2059119,459379,23-05-2019,7.0
256471,328337,19-03-2010,16.0
2059577,459413,18-05-2019,7.0
2059600,459413,18-05-2019,5.0
1579480,426648,16-01-2018,4.0
2059949,459432,07-06-2019,9.0
2059951,459432,07-06-2019,4.0
2599365,492204,03-09-2020,3.0
2599367,492204,03-09-2020,3.0
2599384,492204,03-09-2020,7.0
1579850,426671,08-01-2018,2.0
1579869,426671,08-01-2018,4.0
2599475,492210,07-09-2020,9.0
2060111,459450,21-06-2019,6.0
2599635,492221,14-09-2020,13.0
2599638,492221,14-09-2020,3.0
2600051,492239,03-09-2020,2.0
2600053,492239,03-09-2020,1.0
670788,361181,14-10-2013,6.0
670801,361181,14-10-2013,7.0
672073,361186,14-10-2013,5.0
672084,361186,14-10-2013,1.0
672088,361186,14-10-2013,1.0
670174,361186,11-10-2013,11.0
670226,361186,11-10-2013,6.0
670230,361186,11-10-2013,5.0
670238,361186,11-10-2013,7.0
1580115,426724,22-12-2017,3.0
1580214,426733,20-12-2017,2.0
1580224,426733,20-12-2017,3.0
670410,361202,10-10-2013,6.0
1120623,393986,24-03-2016,3.0
258017,328472,29-03-2010,4.0
258034,328472,29-03-2010,7.0
263881,328472,02-04-2010,6.0
670937,361242,15-10-2013,3.0
670949,361242,15-10-2013,8.0
670970,361242,15-10-2013,8.0
671083,361242,15-10-2013,3.0
1122986,394028,30-03-2016,4.0
2601731,492338,21-09-2020,4.0
2601736,492338,21-09-2020,26.0
2601753,492338,21-09-2020,6.0
1581042,426810,18-01-2018,2.0
1121615,394046,29-04-2016,8.0
1121621,394046,29-04-2016,17.0
2068198,459582,28-05-2019,6.0
1581264,426823,12-01-2018,17.0
1581279,426823,12-01-2018,10.0
671676,361289,15-10-2013,7.0
258602,328522,29-03-2010,4.0
1581363,426831,08-01-2018,5.0
2602387,492381,14-09-2020,8.0
2602396,492381,14-09-2020,9.0
2602414,492381,14-09-2020,8.0
2602458,492384,14-09-2020,2.0
2602465,492384,14-09-2020,1.0
2063752,459627,28-05-2019,2.0
2063773,459627,28-05-2019,2.0
2066321,459631,29-05-2019,7.0
2066334,459631,29-05-2019,5.0
672421,361338,16-10-2013,4.0
672430,361338,16-10-2013,18.0
2063218,459647,28-05-2019,5.0
2603091,492421,17-09-2020,6.0
1122239,394120,31-03-2016,3.0
1122242,394120,31-03-2016,3.0
1122261,394120,31-03-2016,4.0
259327,328587,12-04-2010,2.0
259336,328587,12-04-2010,3.0
259388,328591,20-04-2010,2.0
259403,328591,20-04-2010,2.0
1122539,394137,29-03-2016,1.0
1122583,394137,29-03-2016,3.0
1122584,394137,29-03-2016,7.0
676793,361373,21-10-2013,13.0
1122750,394149,08-04-2016,3.0
2603328,492455,10-09-2020,4.0
1123035,394163,04-04-2016,4.0
1123059,394163,04-04-2016,4.0
1123092,394165,13-04-2016,3.0
260255,328632,16-04-2010,10.0
260283,328632,16-04-2010,5.0
1123273,394177,22-04-2016,17.0
1123283,394177,22-04-2016,7.0
1130196,394178,08-04-2016,1.0
1123374,394180,04-04-2016,7.0
260422,328651,09-04-2010,12.0
260449,328651,09-04-2010,8.0
260468,328651,09-04-2010,10.0
2064406,459734,06-06-2019,6.0
673523,361434,07-10-2013,2.0
673546,361434,07-10-2013,2.0
1124179,394205,01-04-2016,20.0
1124215,394205,01-04-2016,31.0
1124224,394205,01-04-2016,16.0
1124247,394205,01-04-2016,5.0
1582770,426974,08-01-2018,4.0
1582782,426974,08-01-2018,6.0
1644878,426974,26-03-2018,2.0
2604957,492518,10-09-2020,2.0
2604958,492518,10-09-2020,2.0
2604960,492518,10-09-2020,1.0
2604985,492518,10-09-2020,1.0
2609062,492525,11-09-2020,2.0
2609066,492525,11-09-2020,7.0
2609076,492525,11-09-2020,14.0
2609080,492525,11-09-2020,6.0
2609087,492525,11-09-2020,4.0
2604493,492533,14-09-2020,1.0
2604637,492539,21-09-2020,2.0
2604908,492540,10-09-2020,3.0
2604909,492540,10-09-2020,3.0
2065220,459785,27-05-2019,7.0
2605230,492559,14-09-2020,1.0
2605245,492559,14-09-2020,1.0
2605269,492559,14-09-2020,3.0
2605275,492559,14-09-2020,2.0
2605292,492559,14-09-2020,1.0
2605296,492559,14-09-2020,2.0
2605300,492559,14-09-2020,2.0
2605304,492559,14-09-2020,1.0
2605305,492559,14-09-2020,1.0
2605309,492559,14-09-2020,2.0
2605334,492559,14-09-2020,1.0
2605339,492559,14-09-2020,1.0
2675089,492559,26-10-2020,2.0
2675100,492559,26-10-2020,3.0
2675101,492559,26-10-2020,4.0
2675102,492559,26-10-2020,1.0
2631016,492559,28-09-2020,1.0
1583437,427031,05-01-2018,3.0
