,Date,Net_week_art
0,2007-01-14,121.0
1,2007-01-21,62.0
2,2007-01-28,52.0
3,2007-02-04,50.0
4,2007-02-11,50.0
5,2007-02-18,54.0
6,2007-02-25,61.0
7,2007-03-04,57.0
8,2007-03-11,90.0
9,2007-03-18,90.0
10,2007-03-25,64.0
11,2007-04-01,89.0
12,2007-04-08,78.0
13,2007-04-15,89.0
14,2007-04-22,92.0
15,2007-04-29,60.0
16,2007-05-06,60.0
17,2007-05-13,71.0
18,2007-05-20,77.0
19,2007-05-27,81.0
20,2007-06-03,57.0
21,2007-06-10,58.0
22,2007-06-17,123.0
23,2007-06-24,120.0
24,2007-07-01,139.0
25,2007-07-08,100.0
26,2007-07-15,138.0
27,2007-07-22,144.0
28,2007-07-29,103.0
29,2007-08-05,74.0
30,2007-08-12,74.0
31,2007-08-19,48.0
32,2007-08-26,69.0
33,2007-09-02,71.0
34,2007-09-09,80.0
35,2007-09-16,89.0
36,2007-09-23,74.0
37,2007-09-30,89.0
38,2007-10-07,90.0
39,2007-10-14,124.0
40,2007-10-21,124.0
41,2007-10-28,123.0
42,2007-11-04,117.0
43,2007-11-11,168.0
44,2007-11-18,158.0
45,2007-11-25,153.0
46,2007-12-02,187.0
47,2007-12-09,175.0
48,2007-12-16,190.0
49,2007-12-23,214.0
50,2007-12-30,154.0
51,2008-01-06,121.0
52,2008-01-13,154.0
53,2008-01-20,182.0
54,2008-01-27,188.0
55,2008-02-03,198.0
56,2008-02-10,201.0
57,2008-02-17,199.0
58,2008-02-24,201.0
59,2008-03-02,230.0
60,2008-03-09,280.0
61,2008-03-16,283.0
62,2008-03-23,280.0
63,2008-03-30,326.0
64,2008-04-06,293.0
65,2008-04-13,296.0
66,2008-04-20,261.0
67,2008-04-27,287.0
68,2008-05-04,295.0
69,2008-05-11,266.0
70,2008-05-18,210.0
71,2008-05-25,180.0
72,2008-06-01,170.0
73,2008-06-08,205.0
74,2008-06-15,201.0
75,2008-06-22,262.0
76,2008-06-29,327.0
77,2008-07-06,272.0
78,2008-07-13,230.0
79,2008-07-20,201.0
80,2008-07-27,158.0
81,2008-08-03,103.0
82,2008-08-10,99.0
83,2008-08-17,242.0
84,2008-08-24,268.0
85,2008-08-31,336.0
86,2008-09-07,290.0
87,2008-09-14,283.0
88,2008-09-21,260.0
89,2008-09-28,207.0
90,2008-10-05,253.0
91,2008-10-12,225.0
92,2008-10-19,257.0
93,2008-10-26,214.0
94,2008-11-02,268.0
95,2008-11-09,245.0
96,2008-11-16,232.0
97,2008-11-23,204.0
98,2008-11-30,193.0
99,2008-12-07,212.0
100,2008-12-14,211.0
101,2008-12-21,152.0
102,2008-12-28,120.0
103,2009-01-04,100.0
104,2009-01-11,91.0
105,2009-01-18,130.0
106,2009-01-25,130.0
107,2009-02-01,188.0
108,2009-02-08,193.0
109,2009-02-15,210.0
110,2009-02-22,221.0
111,2009-03-01,265.0
112,2009-03-08,243.0
113,2009-03-15,244.0
114,2009-03-22,200.0
115,2009-03-29,182.0
116,2009-04-05,185.0
117,2009-04-12,146.0
118,2009-04-19,161.0
119,2009-04-26,209.0
120,2009-05-03,243.0
121,2009-05-10,260.0
122,2009-05-17,376.0
123,2009-05-24,385.0
124,2009-05-31,361.0
125,2009-06-07,295.0
126,2009-06-14,274.0
127,2009-06-21,310.0
128,2009-06-28,308.0
129,2009-07-05,334.0
130,2009-07-12,322.0
131,2009-07-19,226.0
132,2009-07-26,176.0
133,2009-08-02,125.0
134,2009-08-09,125.0
135,2009-08-16,114.0
136,2009-08-23,235.0
137,2009-08-30,354.0
138,2009-09-06,391.0
139,2009-09-13,440.0
140,2009-09-20,379.0
141,2009-09-27,414.0
142,2009-10-04,339.0
143,2009-10-11,324.0
144,2009-10-18,330.0
145,2009-10-25,294.0
146,2009-11-01,337.0
147,2009-11-08,337.0
148,2009-11-15,305.0
149,2009-11-22,275.0
150,2009-11-29,262.0
151,2009-12-06,268.0
152,2009-12-13,303.0
153,2009-12-20,278.0
154,2009-12-27,143.0
155,2010-01-03,121.0
156,2010-01-10,113.0
157,2010-01-17,101.0
158,2010-01-24,132.0
159,2010-01-31,119.0
160,2010-02-07,143.0
161,2010-02-14,165.0
162,2010-02-21,165.0
163,2010-02-28,192.0
164,2010-03-07,240.0
165,2010-03-14,197.0
166,2010-03-21,180.0
167,2010-03-28,203.0
168,2010-04-04,262.0
169,2010-04-11,167.0
170,2010-04-18,209.0
171,2010-04-25,215.0
172,2010-05-02,189.0
173,2010-05-09,179.0
174,2010-05-16,218.0
175,2010-05-23,209.0
176,2010-05-30,236.0
177,2010-06-06,315.0
178,2010-06-13,314.0
179,2010-06-20,276.0
180,2010-06-27,255.0
181,2010-07-04,254.0
182,2010-07-11,222.0
183,2010-07-18,235.0
184,2010-07-25,214.0
185,2010-08-01,179.0
186,2010-08-08,156.0
187,2010-08-15,176.0
188,2010-08-22,176.0
189,2010-08-29,233.0
190,2010-09-05,241.0
191,2010-09-12,283.0
192,2010-09-19,301.0
193,2010-09-26,326.0
194,2010-10-03,334.0
195,2010-10-10,447.0
196,2010-10-17,431.0
197,2010-10-24,403.0
198,2010-10-31,368.0
199,2010-11-07,301.0
200,2010-11-14,341.0
201,2010-11-21,378.0
202,2010-11-28,361.0
203,2010-12-05,324.0
204,2010-12-12,242.0
205,2010-12-19,228.0
206,2010-12-26,233.0
207,2011-01-02,192.0
208,2011-01-09,181.0
209,2011-01-16,186.0
210,2011-01-23,194.0
211,2011-01-30,279.0
212,2011-02-06,263.0
213,2011-02-13,265.0
214,2011-02-20,285.0
215,2011-02-27,283.0
216,2011-03-06,297.0
217,2011-03-13,312.0
218,2011-03-20,326.0
219,2011-03-27,309.0
220,2011-04-03,265.0
221,2011-04-10,276.0
222,2011-04-17,279.0
223,2011-04-24,311.0
224,2011-05-01,263.0
225,2011-05-08,292.0
226,2011-05-15,250.0
227,2011-05-22,303.0
228,2011-05-29,270.0
229,2011-06-05,309.0
230,2011-06-12,298.0
231,2011-06-19,345.0
232,2011-06-26,393.0
233,2011-07-03,326.0
234,2011-07-10,390.0
235,2011-07-17,427.0
236,2011-07-24,345.0
237,2011-07-31,394.0
238,2011-08-07,271.0
239,2011-08-14,176.0
240,2011-08-21,212.0
241,2011-08-28,259.0
242,2011-09-04,329.0
243,2011-09-11,407.0
244,2011-09-18,352.0
245,2011-09-25,368.0
246,2011-10-02,345.0
247,2011-10-09,342.0
248,2011-10-16,470.0
249,2011-10-23,450.0
250,2011-10-30,429.0
251,2011-11-06,468.0
252,2011-11-13,470.0
253,2011-11-20,431.0
254,2011-11-27,416.0
255,2011-12-04,457.0
256,2011-12-11,459.0
257,2011-12-18,309.0
258,2011-12-25,212.0
259,2012-01-01,208.0
260,2012-01-08,181.0
261,2012-01-15,209.0
262,2012-01-22,153.0
263,2012-01-29,190.0
264,2012-02-05,224.0
265,2012-02-12,207.0
266,2012-02-19,226.0
267,2012-02-26,226.0
268,2012-03-04,263.0
269,2012-03-11,285.0
270,2012-03-18,385.0
271,2012-03-25,364.0
272,2012-04-01,321.0
273,2012-04-08,345.0
274,2012-04-15,369.0
275,2012-04-22,323.0
276,2012-04-29,366.0
277,2012-05-06,381.0
278,2012-05-13,446.0
279,2012-05-20,435.0
280,2012-05-27,388.0
281,2012-06-03,353.0
282,2012-06-10,374.0
283,2012-06-17,385.0
284,2012-06-24,407.0
285,2012-07-01,445.0
286,2012-07-08,494.0
287,2012-07-15,488.0
288,2012-07-22,487.0
289,2012-07-29,343.0
290,2012-08-05,306.0
291,2012-08-12,291.0
292,2012-08-19,305.0
293,2012-08-26,298.0
294,2012-09-02,321.0
295,2012-09-09,321.0
296,2012-09-16,339.0
297,2012-09-23,392.0
298,2012-09-30,318.0
299,2012-10-07,320.0
300,2012-10-14,362.0
301,2012-10-21,395.0
302,2012-10-28,579.0
303,2012-11-04,624.0
304,2012-11-11,548.0
305,2012-11-18,548.0
306,2012-11-25,647.0
307,2012-12-02,614.0
308,2012-12-09,468.0
309,2012-12-16,471.0
310,2012-12-23,346.0
311,2012-12-30,263.0
312,2013-01-06,211.0
313,2013-01-13,253.0
314,2013-01-20,282.0
315,2013-01-27,324.0
316,2013-02-03,325.0
317,2013-02-10,337.0
318,2013-02-17,359.0
319,2013-02-24,377.0
320,2013-03-03,422.0
321,2013-03-10,409.0
322,2013-03-17,491.0
323,2013-03-24,472.0
324,2013-03-31,444.0
325,2013-04-07,471.0
326,2013-04-14,434.0
327,2013-04-21,457.0
328,2013-04-28,416.0
329,2013-05-05,423.0
330,2013-05-12,446.0
331,2013-05-19,371.0
332,2013-05-26,492.0
333,2013-06-02,485.0
334,2013-06-09,446.0
335,2013-06-16,508.0
336,2013-06-23,529.0
337,2013-06-30,399.0
338,2013-07-07,451.0
339,2013-07-14,537.0
340,2013-07-21,556.0
341,2013-07-28,548.0
