,Ing_Order,Ing_Datum,Ing_Aantal
1570827,425986,16-10-2017,2.0
1570830,425986,16-10-2017,1.0
2586792,491524,26-08-2020,5.0
2586900,491526,27-08-2020,1.0
2586913,491526,27-08-2020,1.0
3158118,524296,10-12-2021,2.0
3158119,524296,10-12-2021,1.0
3158128,524296,10-12-2021,1.0
3158131,524296,10-12-2021,1.0
3157698,524296,06-12-2021,2.0
2050142,458770,10-05-2019,1.0
2050163,458770,10-05-2019,1.0
2050167,458770,10-05-2019,1.0
2050275,458773,13-05-2019,2.0
2050278,458773,13-05-2019,1.0
2050281,458773,13-05-2019,1.0
2050321,458784,13-05-2019,2.0
660584,360480,23-09-2013,3.0
2587370,491556,27-08-2020,4.0
2587378,491556,27-08-2020,1.0
2050355,458791,12-05-2019,4.0
1110742,393256,07-03-2016,3.0
1110659,393256,13-03-2016,2.0
1110660,393256,13-03-2016,5.0
1110689,393256,13-03-2016,4.0
2050545,458804,13-05-2019,2.0
2050591,458809,14-05-2019,4.0
2066754,458809,04-06-2019,2.0
2066755,458809,04-06-2019,5.0
2051982,458815,13-05-2019,6.0
2587765,491583,27-08-2020,4.0
1571586,426053,08-12-2017,5.0
1611069,426053,13-02-2018,3.0
661154,360525,23-09-2013,2.0
661172,360525,23-09-2013,5.0
2050999,458833,14-05-2019,3.0
3159073,524371,07-12-2021,2.0
3159076,524371,07-12-2021,2.0
2051030,458836,13-05-2019,2.0
2051052,458836,13-05-2019,3.0
2051090,458837,14-05-2019,1.0
2051141,458838,15-05-2019,1.0
2588134,491605,09-09-2020,3.0
2588228,491607,14-09-2020,2.0
2051197,458842,13-05-2019,2.0
2051201,458842,13-05-2019,3.0
250348,327776,03-03-2010,4.0
2588463,491616,01-09-2020,2.0
2588442,491616,07-09-2020,5.0
3159420,524390,08-12-2021,2.0
2051160,458854,14-05-2019,9.0
2051161,458854,14-05-2019,2.0
940661,360555,17-04-2015,3.0
1111414,393334,08-03-2016,2.0
1111555,393339,09-03-2016,5.0
1111583,393339,09-03-2016,2.0
1111588,393339,09-03-2016,1.0
1111595,393339,09-03-2016,1.0
1111597,393339,09-03-2016,2.0
1111610,393339,09-03-2016,1.0
3159866,524416,09-12-2021,3.0
2051486,458881,20-05-2019,2.0
1572549,426128,09-12-2017,2.0
2589217,491666,27-08-2020,1.0
2589236,491666,27-08-2020,3.0
2589250,491666,27-08-2020,1.0
2589257,491672,31-08-2020,2.0
2589262,491672,07-09-2020,4.0
2589263,491672,07-09-2020,2.0
2589274,491672,07-09-2020,2.0
2589350,491677,28-08-2020,2.0
2589395,491677,07-09-2020,2.0
2589364,491678,28-08-2020,2.0
2590020,491680,28-08-2020,4.0
