,Date,Net_month_art
0,2007-01-31,0.0
1,2007-02-28,18.0
2,2007-03-31,8.0
3,2007-04-30,15.0
4,2007-05-31,16.0
5,2007-06-30,14.0
6,2007-07-31,23.0
7,2007-08-31,15.0
8,2007-09-30,18.0
9,2007-10-31,22.0
10,2007-11-30,13.0
11,2007-12-31,20.0
12,2008-01-31,12.0
13,2008-02-29,27.0
14,2008-03-31,27.0
15,2008-04-30,27.0
16,2008-05-31,24.0
17,2008-06-30,48.0
18,2008-07-31,38.0
19,2008-08-31,32.0
20,2008-09-30,51.0
21,2008-10-31,51.0
22,2008-11-30,51.0
23,2008-12-31,34.0
24,2009-01-31,29.0
25,2009-02-28,31.0
26,2009-03-31,52.0
27,2009-04-30,46.0
28,2009-05-31,71.0
29,2009-06-30,93.0
30,2009-07-31,92.0
31,2009-08-31,166.0
32,2009-09-30,184.0
33,2009-10-31,122.0
34,2009-11-30,115.0
35,2009-12-31,81.0
36,2010-01-31,40.0
37,2010-02-28,73.0
38,2010-03-31,79.0
39,2010-04-30,95.0
40,2010-05-31,131.0
41,2010-06-30,114.0
42,2010-07-31,117.0
43,2010-08-31,127.0
44,2010-09-30,224.0
45,2010-10-31,220.0
46,2010-11-30,224.0
47,2010-12-31,119.0
48,2011-01-31,130.0
49,2011-02-28,158.0
50,2011-03-31,159.0
51,2011-04-30,136.0
52,2011-05-31,191.0
53,2011-06-30,187.0
54,2011-07-31,159.0
55,2011-08-31,168.0
56,2011-09-30,156.0
57,2011-10-31,169.0
58,2011-11-30,166.0
59,2011-12-31,122.0
60,2012-01-31,92.0
61,2012-02-29,112.0
62,2012-03-31,151.0
63,2012-04-30,188.0
64,2012-05-31,213.0
65,2012-06-30,231.0
66,2012-07-31,243.0
67,2012-08-31,125.0
68,2012-09-30,140.0
69,2012-10-31,245.0
70,2012-11-30,239.0
71,2012-12-31,159.0
72,2013-01-31,116.0
73,2013-02-28,167.0
74,2013-03-31,181.0
75,2013-04-30,189.0
76,2013-05-31,244.0
77,2013-06-30,218.0
78,2013-07-31,232.0
79,2013-08-31,213.0
80,2013-09-30,238.0
81,2013-10-31,306.0
82,2013-11-30,267.0
83,2013-12-31,264.0
84,2014-01-31,196.0
85,2014-02-28,234.0
86,2014-03-31,251.0
87,2014-04-30,316.0
88,2014-05-31,354.0
89,2014-06-30,311.0
90,2014-07-31,320.0
91,2014-08-31,272.0
92,2014-09-30,343.0
93,2014-10-31,296.0
94,2014-11-30,214.0
95,2014-12-31,209.0
96,2015-01-31,147.0
97,2015-02-28,177.0
98,2015-03-31,232.0
99,2015-04-30,218.0
100,2015-05-31,233.0
101,2015-06-30,248.0
102,2015-07-31,137.0
103,2015-08-31,312.0
104,2015-09-30,291.0
105,2015-10-31,307.0
106,2015-11-30,285.0
107,2015-12-31,259.0
108,2016-01-31,258.0
109,2016-02-29,333.0
110,2016-03-31,410.0
111,2016-04-30,452.0
112,2016-05-31,368.0
113,2016-06-30,314.0
114,2016-07-31,348.0
115,2016-08-31,263.0
116,2016-09-30,324.0
117,2016-10-31,365.0
118,2016-11-30,450.0
119,2016-12-31,345.0
120,2017-01-31,361.0
121,2017-02-28,453.0
122,2017-03-31,466.0
123,2017-04-30,388.0
124,2017-05-31,410.0
125,2017-06-30,442.0
126,2017-07-31,455.0
127,2017-08-31,391.0
128,2017-09-30,506.0
129,2017-10-31,601.0
130,2017-11-30,694.0
131,2017-12-31,529.0
132,2018-01-31,364.0
133,2018-02-28,428.0
134,2018-03-31,546.0
135,2018-04-30,552.0
136,2018-05-31,554.0
137,2018-06-30,579.0
138,2018-07-31,582.0
139,2018-08-31,819.0
140,2018-09-30,847.0
141,2018-10-31,645.0
142,2018-11-30,638.0
143,2018-12-31,538.0
144,2019-01-31,489.0
145,2019-02-28,568.0
146,2019-03-31,658.0
147,2019-04-30,679.0
148,2019-05-31,796.0
149,2019-06-30,743.0
150,2019-07-31,762.0
151,2019-08-31,869.0
152,2019-09-30,897.0
153,2019-10-31,874.0
154,2019-11-30,801.0
155,2019-12-31,564.0
156,2020-01-31,497.0
157,2020-02-29,521.0
158,2020-03-31,584.0
159,2020-04-30,626.0
160,2020-05-31,621.0
161,2020-06-30,649.0
162,2020-07-31,757.0
163,2020-08-31,686.0
164,2020-09-30,763.0
165,2020-10-31,725.0
166,2020-11-30,654.0
167,2020-12-31,521.0
168,2021-01-31,422.0
169,2021-02-28,430.0
170,2021-03-31,485.0
171,2021-04-30,440.0
172,2021-05-31,436.0
173,2021-06-30,469.0
174,2021-07-31,468.0
175,2021-08-31,864.0
176,2021-09-30,914.0
177,2021-10-31,516.0
178,2021-11-30,529.0
179,2021-12-31,435.0
