,Date,Net_week_art
0,2007-01-14,12.0
1,2007-01-21,0.0
2,2007-01-28,0.0
3,2007-02-04,0.0
4,2007-02-11,3.0
5,2007-02-18,4.0
6,2007-02-25,4.0
7,2007-03-04,4.0
8,2007-03-11,18.0
9,2007-03-18,8.0
10,2007-03-25,2.0
11,2007-04-01,4.0
12,2007-04-08,4.0
13,2007-04-15,4.0
14,2007-04-22,11.0
15,2007-04-29,11.0
16,2007-05-06,15.0
17,2007-05-13,2.0
18,2007-05-20,5.0
19,2007-05-27,15.0
20,2007-06-03,16.0
21,2007-06-10,12.0
22,2007-06-17,9.0
23,2007-06-24,8.0
24,2007-07-01,14.0
25,2007-07-08,12.0
26,2007-07-15,19.0
27,2007-07-22,23.0
28,2007-07-29,14.0
29,2007-08-05,15.0
30,2007-08-12,15.0
31,2007-08-19,2.0
32,2007-08-26,5.0
33,2007-09-02,2.0
34,2007-09-09,3.0
35,2007-09-16,7.0
36,2007-09-23,13.0
37,2007-09-30,18.0
38,2007-10-07,8.0
39,2007-10-14,20.0
40,2007-10-21,22.0
41,2007-10-28,22.0
42,2007-11-04,21.0
43,2007-11-11,21.0
44,2007-11-18,13.0
45,2007-11-25,9.0
46,2007-12-02,9.0
47,2007-12-09,12.0
48,2007-12-16,20.0
49,2007-12-23,18.0
50,2007-12-30,16.0
51,2008-01-06,12.0
52,2008-01-13,13.0
53,2008-01-20,12.0
54,2008-01-27,12.0
55,2008-02-03,12.0
56,2008-02-10,12.0
57,2008-02-17,16.0
58,2008-02-24,16.0
59,2008-03-02,24.0
60,2008-03-09,27.0
61,2008-03-16,27.0
62,2008-03-23,23.0
63,2008-03-30,24.0
64,2008-04-06,20.0
65,2008-04-13,20.0
66,2008-04-20,23.0
67,2008-04-27,25.0
68,2008-05-04,27.0
69,2008-05-11,23.0
70,2008-05-18,19.0
71,2008-05-25,18.0
72,2008-06-01,24.0
73,2008-06-08,22.0
74,2008-06-15,25.0
75,2008-06-22,35.0
76,2008-06-29,48.0
77,2008-07-06,40.0
78,2008-07-13,38.0
79,2008-07-20,36.0
80,2008-07-27,23.0
81,2008-08-03,8.0
82,2008-08-10,6.0
83,2008-08-17,11.0
84,2008-08-24,11.0
85,2008-08-31,26.0
86,2008-09-07,32.0
87,2008-09-14,21.0
88,2008-09-21,34.0
89,2008-09-28,41.0
90,2008-10-05,51.0
91,2008-10-12,47.0
92,2008-10-19,51.0
93,2008-10-26,34.0
94,2008-11-02,37.0
95,2008-11-09,39.0
96,2008-11-16,43.0
97,2008-11-23,50.0
98,2008-11-30,49.0
99,2008-12-07,51.0
100,2008-12-14,34.0
101,2008-12-21,27.0
102,2008-12-28,18.0
103,2009-01-04,13.0
104,2009-01-11,13.0
105,2009-01-18,28.0
106,2009-01-25,28.0
107,2009-02-01,29.0
108,2009-02-08,29.0
109,2009-02-15,26.0
110,2009-02-22,31.0
111,2009-03-01,24.0
112,2009-03-08,26.0
113,2009-03-15,33.0
114,2009-03-22,28.0
115,2009-03-29,50.0
116,2009-04-05,52.0
117,2009-04-12,31.0
118,2009-04-19,31.0
119,2009-04-26,43.0
120,2009-05-03,46.0
121,2009-05-10,44.0
122,2009-05-17,68.0
123,2009-05-24,71.0
124,2009-05-31,62.0
125,2009-06-07,67.0
126,2009-06-14,68.0
127,2009-06-21,86.0
128,2009-06-28,78.0
129,2009-07-05,90.0
130,2009-07-12,93.0
131,2009-07-19,72.0
132,2009-07-26,55.0
