,End_Order,End_Datum,Ret_Aantal
2301848,483329,24-04-2020,2.0
1805577,450562,17-01-2019,2.0
1556877,434179,09-05-2018,6.0
1255905,409603,20-04-2017,2.0
1260381,409603,01-05-2017,2.0
1939800,458766,03-06-2019,1.0
2061330,466970,30-09-2019,2.0
3020989,524316,17-12-2021,2.0
1546157,426014,20-04-2018,2.0
3027838,524321,13-12-2021,16.0
902909,385060,26-08-2015,2.0
1023136,393253,01-04-2016,2.0
2303835,483377,30-04-2020,2.0
3037748,524338,06-12-2021,2.0
1557881,434227,17-05-2018,2.0
2535153,483383,28-10-2020,2.0
2597137,499771,11-12-2020,4.0
1691767,442429,01-10-2018,5.0
1743758,442429,14-11-2018,4.0
2185105,475197,10-01-2020,3.0
1230409,409663,24-03-2017,1.0
797745,376898,09-01-2015,2.0
1116884,401475,28-09-2016,1.0
3021438,524357,16-12-2021,1.0
1114029,401484,21-09-2016,2.0
1631621,434253,25-07-2018,7.0
2185207,475215,16-01-2020,2.0
1450650,426066,07-12-2017,10.0
2762764,507998,12-05-2021,2.0
2448062,491620,11-09-2020,6.0
1466706,426085,12-12-2017,4.0
2595316,499814,08-12-2020,4.0
811783,376938,09-02-2015,4.0
1891385,442477,01-04-2019,4.0
2598132,499823,10-12-2020,2.0
2211637,467060,21-11-2019,2.0
2598145,499831,10-12-2020,4.0
2875777,516219,25-08-2021,6.0
2617839,499836,17-12-2020,2.0
1115101,401533,30-09-2016,4.0
1696242,442493,03-10-2018,4.0
2316883,483460,07-05-2020,8.0
903956,385157,20-08-2015,1.0
2879088,516228,26-08-2021,3.0
1919022,458887,20-05-2019,2.0
1454445,426126,11-12-2017,3.0
2473516,491663,28-09-2020,2.0
2185978,475278,15-01-2020,1.0
1219650,409746,10-03-2017,4.0
904163,385173,26-08-2015,3.0
3025101,524438,20-12-2021,11.0
1559580,434332,11-05-2018,4.0
917585,385180,10-09-2015,3.0
904211,385182,21-08-2015,3.0
2598068,499871,14-12-2020,2.0
2597389,499873,09-12-2020,1.0
886879,376996,30-06-2015,4.0
904239,385188,19-08-2015,3.0
2732122,508072,20-05-2021,1.0
1220021,409774,13-03-2017,2.0
1220040,409774,13-03-2017,6.0
