,Ing_Order,Ing_Datum,Ing_Aantal
2586728,491522,27-08-2020,2.0
2050033,458766,13-05-2019,1.0
3158070,524316,15-12-2021,2.0
3158083,524316,15-12-2021,2.0
3158107,524316,15-12-2021,3.0
1571140,426014,05-12-2017,2.0
3158605,524321,07-12-2021,16.0
1110606,393253,08-03-2016,2.0
3158419,524338,06-12-2021,2.0
2587714,491575,28-08-2020,3.0
3158846,524357,14-12-2021,2.0
3158847,524357,14-12-2021,1.0
1571681,426054,18-12-2017,3.0
1110945,393291,15-03-2016,2.0
1110959,393291,15-03-2016,5.0
3159174,524368,13-12-2021,2.0
1571749,426066,07-12-2017,10.0
3159258,524375,17-12-2021,2.0
3159288,524376,08-12-2021,2.0
3159291,524376,08-12-2021,2.0
2588558,491620,10-09-2020,6.0
1572062,426085,12-12-2017,4.0
1572077,426085,12-12-2017,4.0
2051852,458861,16-05-2019,2.0
2051284,458871,16-05-2019,2.0
1572284,426104,08-12-2017,5.0
2051540,458887,20-05-2019,2.0
2051590,458892,29-05-2019,2.0
1572582,426126,08-12-2017,3.0
1572595,426126,08-12-2017,3.0
2616479,491663,25-09-2020,6.0
2616484,491663,25-09-2020,2.0
1111742,393360,14-03-2016,2.0
1573436,426133,11-12-2017,2.0
3160202,524438,14-12-2021,2.0
3160226,524438,14-12-2021,11.0
1111897,393372,21-03-2016,4.0
3160799,524460,13-12-2021,3.0
1573113,426170,12-12-2017,3.0
1112220,393406,21-03-2016,1.0
1112230,393407,22-03-2016,2.0
2616257,491729,27-09-2020,4.0
2616277,491729,27-09-2020,8.0
1121202,393426,24-03-2016,4.0
1123243,393426,30-03-2016,4.0
3160876,524504,22-12-2021,4.0
1573472,426202,11-12-2017,2.0
1573480,426202,11-12-2017,1.0
3160934,524508,09-12-2021,1.0
2590433,491743,02-09-2020,2.0
1112782,393443,11-03-2016,4.0
2590514,491748,01-09-2020,1.0
2590520,491748,01-09-2020,6.0
2590748,491753,01-09-2020,2.0
2590749,491753,01-09-2020,3.0
2590898,491757,04-09-2020,3.0
2590996,491764,01-09-2020,5.0
3161294,524535,16-12-2021,2.0
2053839,459000,17-05-2019,8.0
2053876,459000,17-05-2019,5.0
1573749,426236,11-12-2017,3.0
3161446,524542,21-12-2021,4.0
3161477,524549,24-12-2021,1.0
2053535,459016,17-05-2019,2.0
2591497,491785,31-08-2020,3.0
2591502,491785,31-08-2020,2.0
1113218,393483,18-03-2016,1.0
1113294,393484,18-03-2016,5.0
2053954,459030,24-05-2019,2.0
2053959,459030,24-05-2019,3.0
2591882,491804,01-09-2020,2.0
1574230,426282,11-12-2017,2.0
1574244,426282,11-12-2017,2.0
2592281,491822,31-08-2020,2.0
3162327,524595,23-12-2021,3.0
3162377,524597,23-12-2021,2.0
3162393,524597,23-12-2021,1.0
1113854,393535,14-03-2016,2.0
2054543,459077,20-05-2019,4.0
3162468,524620,15-12-2021,2.0
3162542,524628,14-12-2021,1.0
3162549,524628,14-12-2021,1.0
1114142,393557,30-03-2016,2.0
3162569,524632,15-12-2021,1.0
3162583,524632,15-12-2021,1.0
3162850,524638,13-12-2021,2.0
1575310,426335,19-12-2017,2.0
1574977,426342,13-12-2017,1.0
1114649,393591,21-03-2016,2.0
1578380,426371,18-12-2017,1.0
1578431,426371,20-12-2017,2.0
1114840,393606,15-03-2016,4.0
1575607,426383,19-12-2017,2.0
3163744,524687,16-12-2021,2.0
2594364,491922,01-09-2020,6.0
2594367,491922,01-09-2020,2.0
2055285,459156,04-06-2019,2.0
2055393,459163,16-05-2019,2.0
1575796,426397,22-12-2017,2.0
3164092,524702,15-12-2021,4.0
1575980,426404,13-12-2017,2.0
2055638,459173,16-05-2019,1.0
2055644,459173,16-05-2019,1.0
2055651,459173,16-05-2019,1.0
2594609,491943,11-09-2020,3.0
1115260,393646,21-03-2016,3.0
2055834,459183,21-05-2019,3.0
3164281,524723,17-12-2021,2.0
2055953,459189,17-05-2019,2.0
3164444,524731,13-12-2021,3.0
3164447,524731,13-12-2021,1.0
3167945,524739,22-12-2021,4.0
2056530,459207,21-05-2019,1.0
2056532,459207,21-05-2019,4.0
1576781,426442,14-12-2017,1.0
1603688,426442,15-12-2017,1.0
1576676,426455,14-12-2017,4.0
2595694,491995,17-09-2020,1.0
1577217,426482,20-12-2017,1.0
2057137,459250,21-05-2019,2.0
1116848,393724,21-03-2016,2.0
1116853,393724,21-03-2016,2.0
1577445,426498,18-12-2017,1.0
1577447,426498,18-12-2017,6.0
3165439,524806,16-12-2021,2.0
1577862,426519,15-12-2017,1.0
1117903,393761,22-03-2016,2.0
1117907,393761,22-03-2016,1.0
3165761,524834,20-12-2021,2.0
1118014,393768,21-03-2016,6.0
