,Ing_Order,Ing_Datum,Ing_Aantal
1806380,442375,12-09-2018,2.0
2050049,458766,13-05-2019,2.0
2050050,458766,13-05-2019,2.0
2181406,466970,13-09-2019,4.0
2181408,466970,13-09-2019,3.0
1806757,442399,19-09-2018,8.0
998528,385060,26-08-2015,3.0
998542,385060,26-08-2015,4.0
2313835,475190,09-01-2020,6.0
2313847,475190,09-01-2020,6.0
2587795,491577,28-08-2020,3.0
2587801,491577,28-08-2020,3.0
2894718,507968,29-04-2021,11.0
2894735,507968,29-04-2021,1.0
2894746,507968,29-04-2021,22.0
2878901,507968,28-04-2021,26.0
2878905,507968,28-04-2021,4.0
2892744,507968,28-04-2021,2.0
3158824,524357,14-12-2021,4.0
3158852,524357,14-12-2021,1.0
1571659,426054,18-12-2017,2.0
1110960,393291,15-03-2016,10.0
1757410,434253,23-07-2018,8.0
2869962,507998,07-04-2021,9.0
2869966,507998,07-04-2021,11.0
2736292,499814,05-12-2020,7.0
2736305,499814,05-12-2020,4.0
1807766,442470,14-09-2018,12.0
885869,376938,05-01-2015,6.0
885872,376938,05-01-2015,2.0
2051296,458871,16-05-2019,2.0
1572330,426104,08-12-2017,7.0
1572345,426104,08-12-2017,7.0
3016915,516219,24-08-2021,1.0
3016928,516219,24-08-2021,10.0
1826382,442493,02-10-2018,6.0
3017097,516225,24-08-2021,1.0
3017099,516225,24-08-2021,8.0
3020449,516228,24-08-2021,1.0
3020455,516228,24-08-2021,11.0
2446950,483468,30-04-2020,7.0
1572588,426126,08-12-2017,2.0
2737264,499854,08-12-2020,8.0
1573412,426133,11-12-2017,6.0
2616609,491670,24-09-2020,10.0
2616626,491670,24-09-2020,9.0
2616630,491670,24-09-2020,5.0
2616636,491670,24-09-2020,13.0
2616643,491670,24-09-2020,8.0
2616644,491670,24-09-2020,8.0
2616645,491670,24-09-2020,1.0
1000124,385173,14-08-2015,6.0
1333641,409752,15-03-2017,3.0
1111898,393372,21-03-2016,4.0
1111912,393372,21-03-2016,6.0
2446822,483488,29-04-2020,2.0
1000337,385188,18-08-2015,5.0
2877824,508072,11-05-2021,5.0
3160794,524460,13-12-2021,5.0
1685071,434353,07-05-2018,1.0
2883059,508091,26-04-2021,3.0
2883097,508091,26-04-2021,2.0
2315821,475335,13-01-2020,9.0
2616279,491729,27-09-2020,1.0
2616319,491729,27-09-2020,1.0
1126709,393426,05-04-2016,2.0
1136969,393426,21-04-2016,1.0
1136977,393426,21-04-2016,2.0
1151262,393426,20-05-2016,1.0
1151269,393426,20-05-2016,3.0
1154689,393426,25-05-2016,4.0
1154693,393426,25-05-2016,1.0
2316069,475347,15-01-2020,6.0
1573457,426202,11-12-2017,6.0
2872537,508129,08-04-2021,4.0
1112783,393443,11-03-2016,6.0
1001349,385265,18-08-2015,7.0
2053817,459000,17-05-2019,19.0
2053826,459000,17-05-2019,16.0
887889,377080,07-01-2015,6.0
2872919,508155,20-04-2021,1.0
888057,377093,12-01-2015,4.0
2594209,491785,01-09-2020,2.0
1113200,393483,18-03-2016,3.0
1113299,393484,18-03-2016,4.0
1113354,393484,18-03-2016,3.0
2591863,491804,01-09-2020,2.0
1810545,442664,21-09-2018,12.0
1928997,450857,18-01-2019,7.0
1929002,450857,18-01-2019,9.0
3162372,524597,23-12-2021,1.0
3162379,524597,23-12-2021,1.0
2318536,475446,13-01-2020,6.0
2318566,475446,13-01-2020,14.0
1810739,442681,20-09-2018,6.0
1810742,442681,20-09-2018,3.0
1002697,385347,20-08-2015,3.0
1227028,401736,24-09-2016,3.0
888473,377162,12-01-2015,7.0
888480,377162,12-01-2015,7.0
1811036,442702,24-09-2018,11.0
2874460,508242,12-04-2021,4.0
1002883,385369,31-07-2015,2.0
2874396,508250,11-05-2021,2.0
2874417,508251,11-05-2021,8.0
3022652,516456,04-08-2021,8.0
3022560,516461,04-08-2021,9.0
1930940,450955,24-01-2019,2.0
1930958,450955,24-01-2019,2.0
1575592,426383,19-12-2017,5.0
2875257,508310,09-04-2021,2.0
2875277,508310,09-04-2021,3.0
2883702,508310,20-04-2021,4.0
3023668,516505,09-08-2021,8.0
2057292,459174,16-05-2019,1.0
1930676,450984,05-02-2019,14.0
1931609,450984,05-02-2019,5.0
1931614,450984,05-02-2019,4.0
1931763,450984,06-02-2019,8.0
1931784,450984,06-02-2019,21.0
2319997,475580,17-01-2020,2.0
3024493,516543,13-08-2021,6.0
3024500,516543,13-08-2021,4.0
3024530,516551,23-08-2021,4.0
1456489,418251,10-08-2017,4.0
1456497,418251,10-08-2017,4.0
1689625,434636,23-05-2018,3.0
2877509,508378,21-04-2021,5.0
1813125,442849,18-09-2018,5.0
1813357,442858,20-09-2018,6.0
1577201,426482,20-12-2017,7.0
1005267,385523,26-08-2015,5.0
1005283,385523,26-08-2015,5.0
1005428,385523,28-08-2015,1.0
1943932,451064,11-02-2019,11.0
1943956,451064,11-02-2019,12.0
1943958,451064,11-02-2019,1.0
1577407,426498,18-12-2017,14.0
1577417,426498,18-12-2017,13.0
1935301,451075,31-01-2019,19.0
1935375,451075,31-01-2019,5.0
1935393,451075,31-01-2019,16.0
3165449,524806,16-12-2021,5.0
3165465,524806,16-12-2021,4.0
1005857,385561,04-09-2015,6.0
1005859,385561,04-09-2015,8.0
1117878,393761,22-03-2016,4.0
2877357,508450,28-04-2021,2.0
2877358,508450,28-04-2021,2.0
2877432,508451,22-04-2021,4.0
3026160,516641,04-08-2021,11.0
3026310,516643,05-08-2021,8.0
895685,377396,26-01-2015,3.0
1229893,401976,29-09-2016,4.0
1229913,401976,29-09-2016,5.0
2321833,475704,17-01-2020,5.0
2321842,475704,17-01-2020,1.0
3043784,516671,23-08-2021,11.0
3043785,516671,23-08-2021,14.0
3044045,516671,23-08-2021,5.0
3044047,516671,23-08-2021,9.0
3042492,516671,24-08-2021,4.0
3042493,516671,24-08-2021,4.0
3053816,516671,03-09-2021,3.0
3053829,516671,03-09-2021,1.0
3053835,516671,03-09-2021,1.0
1341743,410183,21-03-2017,2.0
1815147,442951,26-09-2018,3.0
2321962,475722,21-01-2020,6.0
2321985,475722,21-01-2020,2.0
3026830,516687,16-08-2021,5.0
1578655,426586,15-12-2017,5.0
1460416,418403,11-08-2017,5.0
1460423,418403,11-08-2017,7.0
1460427,418403,11-08-2017,4.0
1933254,451172,01-02-2019,2.0
2322291,475755,16-01-2020,6.0
1008504,385645,01-09-2015,4.0
2322389,475765,27-01-2020,5.0
2322406,475765,27-01-2020,1.0
2322449,475771,17-01-2020,2.0
1007017,385661,28-08-2015,4.0
2322509,475774,23-01-2020,1.0
892907,377476,28-01-2015,4.0
1579338,426630,20-12-2017,1.0
1579219,426630,19-12-2017,12.0
1579222,426630,19-12-2017,12.0
1579225,426630,19-12-2017,1.0
2322724,475782,23-01-2020,2.0
2322738,475782,23-01-2020,6.0
1007378,385674,28-08-2015,7.0
2599281,492172,04-09-2020,6.0
2599287,492172,04-09-2020,7.0
2599297,492172,04-09-2020,5.0
1119377,393880,22-03-2016,2.0
2192329,467608,20-09-2019,3.0
2192347,467608,20-09-2019,7.0
1460044,418463,14-08-2017,2.0
3028733,516771,17-08-2021,14.0
3028737,516771,17-08-2021,8.0
3028765,516771,17-08-2021,32.0
3028778,516771,17-08-2021,10.0
2059971,459436,21-05-2019,10.0
1012072,385712,14-09-2015,4.0
1693199,434867,18-05-2018,8.0
2364127,475828,04-03-2020,6.0
2364154,475828,04-03-2020,1.0
2364177,475828,04-03-2020,8.0
3028899,516787,19-08-2021,5.0
3028905,516787,19-08-2021,10.0
2060056,459446,20-05-2019,1.0
2060057,459446,20-05-2019,1.0
2061107,459446,23-05-2019,16.0
2065978,459446,26-05-2019,3.0
3028969,516788,19-08-2021,9.0
