,Ing_Order,Ing_Datum,Ing_Aantal
826521,371820.0,17-9-2014,3.0
826524,371820.0,17-9-2014,3.0
821140,372229.0,5-9-2014,9.0
821923,372272.0,11-9-2014,15.0
831711,373007.0,23-9-2014,3.0
833167,373149.0,24-9-2014,18.0
833362,373149.0,25-9-2014,3.0
839684,373582.0,6-10-2014,6.0
840422,373621.0,7-10-2014,5.0
845917,373970.0,15-10-2014,2.0
846817,373993.0,16-10-2014,10.0
846772,374027.0,20-10-2014,4.0
847806,374093.0,17-10-2014,9.0
847816,374093.0,17-10-2014,7.0
852424,374391.0,24-10-2014,6.0
852646,374409.0,24-10-2014,12.0
852694,374410.0,28-10-2014,10.0
852887,374428.0,27-10-2014,4.0
856183,374705.0,31-10-2014,3.0
856541,374726.0,7-11-2014,6.0
858958,374920.0,10-11-2014,3.0
863288,375030.0,18-11-2014,20.0
863294,375030.0,18-11-2014,26.0
861167,375065.0,10-11-2014,8.0
864270,375294.0,13-11-2014,4.0
866371,375432.0,21-11-2014,7.0
866385,375432.0,21-11-2014,4.0
868042,375550.0,26-11-2014,7.0
868045,375550.0,26-11-2014,16.0
868050,375550.0,26-11-2014,34.0
868374,375566.0,21-11-2014,2.0
873370,375957.0,26-11-2014,11.0
877054,376231.0,4-12-2014,2.0
879716,376466.0,9-12-2014,2.0
880367,376534.0,15-12-2014,3.0
880376,376534.0,15-12-2014,4.0
883110,376777.0,22-12-2014,4.0
883128,376777.0,22-12-2014,6.0
883167,376780.0,5-1-2015,5.0
883173,376780.0,5-1-2015,12.0
883192,376780.0,5-1-2015,3.0
887443,376780.0,8-1-2015,2.0
887446,376780.0,8-1-2015,12.0
885033,376938.0,5-1-2015,6.0
885036,376938.0,5-1-2015,2.0
887053,377080.0,7-1-2015,6.0
887221,377093.0,12-1-2015,4.0
887637,377162.0,12-1-2015,7.0
887644,377162.0,12-1-2015,7.0
894849,377396.0,26-1-2015,3.0
892071,377476.0,28-1-2015,4.0
896386,377817.0,29-1-2015,1.0
898223,377948.0,30-1-2015,2.0
899349,378061.0,10-2-2015,2.0
899352,378061.0,10-2-2015,3.0
899499,378070.0,18-2-2015,3.0
899503,378070.0,18-2-2015,2.0
899612,378079.0,5-2-2015,7.0
899632,378079.0,5-2-2015,15.0
901594,378244.0,9-2-2015,5.0
902068,378281.0,13-2-2015,9.0
905041,378366.0,13-2-2015,2.0
905362,378536.0,19-2-2015,22.0
905519,378578.0,17-2-2015,3.0
905520,378578.0,17-2-2015,4.0
906548,378632.0,20-2-2015,31.0
909535,378830.0,27-2-2015,31.0
909552,378830.0,28-2-2015,4.0
909729,378841.0,27-2-2015,7.0
913396,379088.0,6-3-2015,6.0
913401,379088.0,6-3-2015,4.0
914425,379152.0,9-3-2015,8.0
922546,379152.0,23-3-2015,2.0
914443,379156.0,6-3-2015,5.0
914458,379156.0,6-3-2015,8.0
916531,379191.0,9-3-2015,15.0
918011,379218.0,10-3-2015,2.0
917752,379322.0,13-3-2015,24.0
917793,379322.0,13-3-2015,6.0
917800,379322.0,13-3-2015,10.0
924650,379881.0,2-4-2015,3.0
924679,379881.0,2-4-2015,4.0
924869,379899.0,30-3-2015,6.0
924908,379899.0,1-4-2015,2.0
925262,379936.0,2-4-2015,5.0
929563,380099.0,30-3-2015,2.0
929517,380152.0,7-4-2015,6.0
936528,380469.0,3-6-2015,2.0
933984,380489.0,10-4-2015,3.0
934263,380506.0,10-4-2015,8.0
934345,380508.0,13-4-2015,2.0
938753,380779.0,30-4-2015,8.0
942132,380865.0,28-4-2015,7.0
956883,380865.0,26-5-2015,42.0
959000,380865.0,22-5-2015,1.0
940443,380891.0,18-5-2015,3.0
940467,380891.0,18-5-2015,5.0
946069,381053.0,4-5-2015,7.0
946075,381053.0,4-5-2015,6.0
946936,381388.0,4-5-2015,16.0
949236,381535.0,18-5-2015,3.0
951435,381694.0,12-6-2015,9.0
951437,381694.0,12-6-2015,9.0
951853,381739.0,18-5-2015,3.0
953076,381805.0,13-5-2015,9.0
962749,382453.0,4-6-2015,10.0
962752,382453.0,4-6-2015,10.0
962755,382453.0,4-6-2015,7.0
962787,382453.0,4-6-2015,17.0
962809,382453.0,4-6-2015,9.0
966444,382708.0,4-6-2015,9.0
968579,382859.0,12-6-2015,4.0
968532,382918.0,13-7-2015,3.0
968552,382918.0,13-7-2015,6.0
974315,383493.0,7-8-2015,3.0
974331,383493.0,7-8-2015,5.0
974343,383493.0,7-8-2015,6.0
975330,383552.0,7-7-2015,7.0
975338,383552.0,7-7-2015,9.0
976352,383635.0,26-6-2015,4.0
977701,383776.0,8-7-2015,24.0
977704,383776.0,8-7-2015,6.0
977709,383776.0,8-7-2015,10.0
978506,383837.0,3-8-2015,2.0
978836,383855.0,16-7-2015,14.0
978848,383855.0,16-7-2015,13.0
978893,383855.0,24-7-2015,7.0
978912,383855.0,24-7-2015,1.0
982897,384117.0,13-7-2015,3.0
984320,384238.0,13-7-2015,5.0
987238,384498.0,20-7-2015,7.0
990832,384805.0,31-7-2015,5.0
990866,384805.0,31-7-2015,5.0
992697,384934.0,5-8-2015,7.0
994347,385060.0,26-8-2015,3.0
994361,385060.0,26-8-2015,4.0
995943,385173.0,14-8-2015,6.0
996156,385188.0,18-8-2015,5.0
1002836,385661.0,28-8-2015,4.0
1003197,385674.0,28-8-2015,7.0
997168,385265.0,18-8-2015,7.0
998516,385347.0,20-8-2015,3.0
998702,385369.0,31-7-2015,2.0
1001086,385523.0,26-8-2015,5.0
1001102,385523.0,26-8-2015,5.0
1001247,385523.0,28-8-2015,1.0
1001676,385561.0,4-9-2015,6.0
1001678,385561.0,4-9-2015,8.0
1004323,385645.0,1-9-2015,4.0
1007891,385712.0,14-9-2015,4.0
1002836,385661.0,28-8-2015,4.0
1003197,385674.0,28-8-2015,7.0
1004323,385645.0,1-9-2015,4.0
1007891,385712.0,14-9-2015,4.0
1007006,385949.0,12-10-2015,10.0
1007379,385983.0,4-9-2015,4.0
1007393,385983.0,4-9-2015,6.0
1007940,386019.0,15-9-2015,3.0
1007955,386019.0,15-9-2015,4.0
1008219,386040.0,10-9-2015,5.0
1008220,386040.0,10-9-2015,5.0
1011259,386186.0,10-9-2015,6.0
1011239,386189.0,10-9-2015,1.0
1011251,386189.0,10-9-2015,3.0
1011336,386192.0,10-9-2015,1.0
1013374,386236.0,16-9-2015,2.0
1013393,386236.0,16-9-2015,4.0
1013396,386236.0,16-9-2015,2.0
