,End_Order,End_Datum,Ret_Aantal
1186177,401421,22-12-2016,1.0
1939796,458766,03-06-2019,1.0
1939810,458766,03-06-2019,1.0
2165820,466970,11-12-2019,2.0
2165823,466970,11-12-2019,1.0
2165826,466970,11-12-2019,1.0
2165829,466970,11-12-2019,1.0
2522198,466970,22-10-2020,1.0
2522212,466970,22-10-2020,1.0
2522214,466970,22-10-2020,1.0
2522219,466970,22-10-2020,1.0
1678243,442399,21-09-2018,0.0
902911,385060,26-08-2015,1.0
902912,385060,26-08-2015,1.0
902921,385060,26-08-2015,1.0
2185060,475190,14-01-2020,3.0
2185087,475190,14-01-2020,2.0
2185099,475190,14-01-2020,2.0
2521515,491577,09-10-2020,1.0
2521520,491577,09-10-2020,2.0
2521521,491577,09-10-2020,1.0
2521523,491577,09-10-2020,2.0
2521524,491577,09-10-2020,1.0
2521527,491577,09-10-2020,1.0
2521528,491577,09-10-2020,1.0
797596,376895,09-01-2015,4.0
2743541,507968,21-05-2021,5.0
2743545,507968,21-05-2021,1.0
2743549,507968,21-05-2021,1.0
2743553,507968,21-05-2021,10.0
2743554,507968,21-05-2021,1.0
2743559,507968,21-05-2021,17.0
3021436,524357,16-12-2021,1.0
3021452,524357,16-12-2021,1.0
1454844,426054,20-12-2017,2.0
1454860,426054,20-12-2017,1.0
1454864,426054,20-12-2017,1.0
1029807,393290,14-04-2016,5.0
1020554,393291,30-03-2016,2.0
1020558,393291,30-03-2016,1.0
1020567,393291,30-03-2016,1.0
1020571,393291,30-03-2016,3.0
1020576,393291,30-03-2016,2.0
1631635,434253,25-07-2018,1.0
903659,385115,10-09-2015,7.0
903663,385115,10-09-2015,7.0
903665,385115,10-09-2015,3.0
903668,385115,10-09-2015,3.0
903672,385115,10-09-2015,11.0
903674,385115,10-09-2015,11.0
903677,385115,10-09-2015,3.0
903679,385115,10-09-2015,2.0
798285,376930,07-01-2015,5.0
2595341,499814,08-12-2020,4.0
2595343,499814,08-12-2020,2.0
1695062,442470,01-10-2018,2.0
811777,376938,09-02-2015,1.0
1919508,458861,16-05-2019,2.0
1919509,458861,16-05-2019,1.0
1919513,458861,16-05-2019,1.0
2500240,491631,29-09-2020,1.0
2500245,491631,29-09-2020,1.0
2598130,499823,10-12-2020,4.0
1115084,401527,28-09-2016,2.0
1515182,426104,03-04-2018,1.0
1515186,426104,03-04-2018,2.0
1515191,426104,03-04-2018,1.0
1515197,426104,03-04-2018,1.0
1515210,426104,03-04-2018,1.0
1515218,426104,03-04-2018,2.0
2598151,499831,10-12-2020,4.0
2875772,516219,25-08-2021,2.0
1115113,401533,30-09-2016,2.0
1679329,442493,03-10-2018,2.0
1696221,442493,03-10-2018,3.0
1696223,442493,03-10-2018,3.0
1696261,442493,03-10-2018,1.0
1696269,442493,03-10-2018,1.0
2876000,516225,25-08-2021,2.0
