,Ing_Order,Ing_Datum,Ing_Aantal
1234262,401421,04-10-2016,1.0
2050029,458766,13-05-2019,1.0
2050047,458766,13-05-2019,1.0
2181361,466970,13-09-2019,1.0
2181369,466970,13-09-2019,1.0
2181371,466970,13-09-2019,1.0
2181378,466970,13-09-2019,1.0
2181379,466970,13-09-2019,1.0
2181385,466970,13-09-2019,1.0
2181412,466970,13-09-2019,1.0
2181416,466970,13-09-2019,2.0
1806761,442399,19-09-2018,2.0
998517,385060,26-08-2015,1.0
998521,385060,26-08-2015,1.0
998549,385060,26-08-2015,1.0
2313825,475190,09-01-2020,2.0
2313839,475190,09-01-2020,3.0
2313843,475190,09-01-2020,2.0
2587771,491577,28-08-2020,1.0
2587775,491577,28-08-2020,2.0
2587778,491577,28-08-2020,1.0
2587780,491577,28-08-2020,1.0
2587783,491577,28-08-2020,1.0
2587787,491577,28-08-2020,1.0
2587793,491577,28-08-2020,2.0
885045,376895,05-01-2015,4.0
2894723,507968,29-04-2021,5.0
2894724,507968,29-04-2021,10.0
2894725,507968,29-04-2021,1.0
2894728,507968,29-04-2021,1.0
2894742,507968,29-04-2021,1.0
2894747,507968,29-04-2021,17.0
3158797,524357,08-12-2020,1.0
3158826,524357,14-12-2021,1.0
1571673,426054,18-12-2017,2.0
1571683,426054,18-12-2017,1.0
1571687,426054,18-12-2017,1.0
1110896,393290,08-03-2016,5.0
1110944,393291,15-03-2016,1.0
1110958,393291,15-03-2016,1.0
1110964,393291,15-03-2016,2.0
1110932,393291,09-03-2016,2.0
1110935,393291,09-03-2016,3.0
1757394,434253,23-07-2018,1.0
999476,385115,27-08-2015,7.0
999477,385115,27-08-2015,3.0
999478,385115,27-08-2015,2.0
999486,385115,27-08-2015,3.0
999488,385115,27-08-2015,3.0
999490,385115,27-08-2015,11.0
999492,385115,27-08-2015,7.0
999496,385115,27-08-2015,11.0
885680,376930,24-12-2014,5.0
2736321,499814,05-12-2020,4.0
2736330,499814,05-12-2020,2.0
1807767,442470,14-09-2018,2.0
885853,376938,05-01-2015,1.0
2051181,458861,14-05-2019,1.0
2051846,458861,16-05-2019,1.0
2051855,458861,16-05-2019,2.0
2588783,491631,26-08-2020,1.0
2588788,491631,26-08-2020,1.0
2738115,499823,09-12-2020,4.0
1224000,401527,21-09-2016,2.0
1572287,426104,08-12-2017,2.0
1572292,426104,08-12-2017,1.0
1572305,426104,08-12-2017,1.0
1572333,426104,08-12-2017,2.0
1572335,426104,08-12-2017,1.0
1572344,426104,08-12-2017,1.0
2738157,499831,09-12-2020,4.0
3016923,516219,24-08-2021,2.0
1224040,401533,21-09-2016,2.0
1808023,442493,14-09-2018,2.0
1826367,442493,02-10-2018,1.0
1826402,442493,02-10-2018,3.0
1826410,442493,02-10-2018,3.0
1826419,442493,02-10-2018,1.0
3017102,516225,24-08-2021,2.0
3020442,516228,24-08-2021,1.0
999988,385157,14-08-2015,4.0
999989,385157,14-08-2015,1.0
1000002,385157,20-08-2015,1.0
2051539,458887,13-05-2019,1.0
2589189,491660,11-09-2020,2.0
1572589,426126,08-12-2017,3.0
2737253,499854,08-12-2020,3.0
2737258,499854,08-12-2020,2.0
1573421,426133,11-12-2017,3.0
1573429,426133,11-12-2017,1.0
2616615,491670,24-09-2020,6.0
2616619,491670,24-09-2020,9.0
2616634,491670,24-09-2020,15.0
1000127,385173,14-08-2015,1.0
1000132,385173,14-08-2015,4.0
1333627,409752,15-03-2017,3.0
1111875,393372,14-03-2016,2.0
1111896,393372,21-03-2016,3.0
1000359,385188,14-08-2015,2.0
1000336,385188,18-08-2015,3.0
2877820,508072,11-05-2021,1.0
2877759,508072,05-05-2021,1.0
1451951,417961,27-07-2017,4.0
3160783,524460,13-12-2021,2.0
1333896,409774,13-03-2017,1.0
1333913,409774,13-03-2017,1.0
2616589,491695,24-09-2020,7.0
2878967,508091,20-04-2021,7.0
2883051,508091,26-04-2021,2.0
2883066,508091,26-04-2021,1.0
2883068,508091,26-04-2021,1.0
2883078,508091,26-04-2021,2.0
2883087,508091,26-04-2021,1.0
2883114,508091,26-04-2021,1.0
2883120,508091,26-04-2021,2.0
2883128,508091,26-04-2021,1.0
2883129,508091,26-04-2021,2.0
2883133,508091,26-04-2021,2.0
2895351,508091,22-04-2021,1.0
2616269,491729,27-09-2020,6.0
2616300,491729,27-09-2020,2.0
2616341,491729,27-09-2020,1.0
1121216,393426,24-03-2016,1.0
1126708,393426,05-04-2016,2.0
1124727,393426,01-04-2016,1.0
1136972,393426,21-04-2016,1.0
1151274,393426,20-05-2016,1.0
1151278,393426,20-05-2016,1.0
1151285,393426,20-05-2016,1.0
1151288,393426,20-05-2016,1.0
1151291,393426,20-05-2016,1.0
1154695,393426,25-05-2016,2.0
1154698,393426,25-05-2016,1.0
2316063,475347,10-01-2020,1.0
2316089,475347,15-01-2020,2.0
1573484,426202,11-12-2017,2.0
1573496,426202,11-12-2017,1.0
1573500,426202,11-12-2017,1.0
2316110,475355,10-01-2020,2.0
2316134,475356,16-01-2020,2.0
1112562,393443,10-03-2016,1.0
2738608,499945,17-12-2020,4.0
2738677,499947,17-12-2020,4.0
2316502,475378,09-01-2020,1.0
2591014,491764,01-09-2020,2.0
2053823,459000,17-05-2019,3.0
2053838,459000,17-05-2019,3.0
2053845,459000,17-05-2019,3.0
2053864,459000,17-05-2019,3.0
2053871,459000,17-05-2019,6.0
2053243,459000,14-05-2019,2.0
2738857,499961,09-12-2020,1.0
2738874,499961,09-12-2020,1.0
887884,377080,07-01-2015,3.0
2316654,475390,20-01-2020,3.0
2316665,475390,20-01-2020,2.0
2316671,475390,20-01-2020,1.0
888065,377093,08-01-2015,1.0
2185580,467208,26-09-2019,2.0
2185582,467208,26-09-2019,1.0
2591469,491785,31-08-2020,1.0
2591470,491785,31-08-2020,1.0
2591504,491785,31-08-2020,2.0
1113213,393483,18-03-2016,2.0
1113236,393483,18-03-2016,1.0
1113292,393484,18-03-2016,1.0
1113312,393484,18-03-2016,2.0
1113326,393484,18-03-2016,1.0
1113369,393484,18-03-2016,1.0
2316972,475408,10-01-2020,1.0
3032758,516371,30-08-2021,6.0
2591865,491804,01-09-2020,2.0
888113,377126,09-01-2015,1.0
1810467,442664,19-09-2018,2.0
1810574,442664,21-09-2018,5.0
1928970,450857,18-01-2019,4.0
1928999,450857,18-01-2019,6.0
2592239,491821,28-08-2020,1.0
2592244,491821,28-08-2020,1.0
2592245,491821,28-08-2020,1.0
888200,377133,09-01-2015,6.0
3162396,524597,23-12-2021,1.0
2739568,500022,10-12-2020,2.0
2318544,475446,13-01-2020,1.0
2318565,475446,13-01-2020,1.0
2318579,475446,13-01-2020,1.0
2318581,475446,13-01-2020,1.0
3027442,516405,27-08-2021,1.0
3027446,516405,27-08-2021,10.0
1810733,442681,20-09-2018,2.0
1810757,442681,20-09-2018,2.0
1227030,401736,24-09-2016,1.0
1227051,401736,24-09-2016,1.0
888481,377162,12-01-2015,1.0
3021548,516426,28-07-2021,1.0
3021567,516426,04-08-2021,1.0
1811057,442702,24-09-2018,5.0
2874308,508242,09-04-2021,1.0
2874309,508242,09-04-2021,2.0
2874319,508242,09-04-2021,1.0
1336237,409939,17-03-2017,4.0
1002890,385369,31-07-2015,1.0
1002896,385369,31-07-2015,1.0
1002911,385369,31-07-2015,1.0
1811102,442714,18-09-2018,1.0
2874395,508250,11-05-2021,1.0
2874397,508250,11-05-2021,1.0
2874495,508252,08-04-2021,4.0
2740073,500060,15-12-2020,1.0
2740085,500060,15-12-2020,2.0
1811119,442717,20-09-2018,1.0
1336482,409951,15-03-2017,1.0
1336520,409951,15-03-2017,1.0
1336532,409952,16-03-2017,1.0
1336533,409952,16-03-2017,1.0
1336586,409953,17-03-2017,1.0
1336589,409953,17-03-2017,1.0
2740155,500065,16-12-2020,2.0
2740188,500068,17-12-2020,4.0
3022651,516456,04-08-2021,1.0
3022663,516456,04-08-2021,1.0
3022555,516461,04-08-2021,1.0
1336792,409970,14-03-2017,1.0
1336794,409970,14-03-2017,1.0
1336796,409970,14-03-2017,1.0
2187376,467315,16-09-2019,1.0
1811455,442744,18-09-2018,2.0
3022972,516477,09-08-2021,4.0
3023325,516487,09-08-2021,2.0
3023349,516487,09-09-2021,1.0
1930947,450955,24-01-2019,1.0
1930959,450955,24-01-2019,1.0
2451557,483724,30-04-2020,1.0
1575594,426383,19-12-2017,2.0
1575595,426383,19-12-2017,1.0
1575596,426383,19-12-2017,1.0
1575599,426383,19-12-2017,1.0
2875248,508310,09-04-2021,1.0
2875251,508310,09-04-2021,3.0
2875273,508310,09-04-2021,1.0
2883684,508310,20-04-2021,1.0
2883690,508310,20-04-2021,1.0
2929425,508310,21-05-2021,2.0
3023663,516505,09-08-2021,5.0
3023643,516505,29-07-2021,1.0
2055632,459173,16-05-2019,1.0
2058392,459174,17-05-2019,1.0
2058394,459174,17-05-2019,1.0
1931759,450984,06-02-2019,1.0
1931762,450984,06-02-2019,1.0
1931766,450984,06-02-2019,1.0
1931768,450984,06-02-2019,1.0
1931769,450984,06-02-2019,4.0
1931772,450984,06-02-2019,3.0
1931773,450984,06-02-2019,1.0
1931777,450984,06-02-2019,1.0
1931783,450984,06-02-2019,1.0
1930566,450996,21-01-2019,1.0
3164422,524730,13-12-2021,1.0
3164425,524730,13-12-2021,2.0
3164426,524730,13-12-2021,1.0
3164432,524730,13-12-2021,3.0
889886,377275,12-01-2015,8.0
889899,377278,12-01-2015,3.0
3024477,516543,13-08-2021,1.0
3024496,516543,13-08-2021,1.0
3024506,516543,13-08-2021,1.0
2595320,491975,07-09-2020,2.0
3024532,516551,23-08-2021,1.0
3024802,516554,09-08-2021,2.0
1456441,418251,04-08-2017,3.0
1456488,418251,10-08-2017,2.0
1456492,418251,10-08-2017,1.0
1456495,418251,10-08-2017,1.0
1456496,418251,10-08-2017,1.0
1456517,418251,10-08-2017,2.0
1689580,434636,23-05-2018,2.0
1689569,434636,18-05-2018,2.0
1689572,434636,18-05-2018,2.0
3024935,516558,30-07-2021,1.0
3024944,516558,30-07-2021,1.0
3024959,516558,30-07-2021,1.0
2879031,508371,20-04-2021,4.0
2876464,508378,21-04-2021,1.0
2877485,508378,21-04-2021,1.0
2877499,508378,21-04-2021,1.0
2189019,467420,19-09-2019,3.0
2189020,467420,19-09-2019,3.0
2189023,467420,19-09-2019,4.0
2189025,467420,19-09-2019,1.0
2189030,467420,19-09-2019,4.0
2189036,467420,19-09-2019,3.0
2189041,467420,19-09-2019,2.0
1813127,442849,18-09-2018,1.0
1813360,442858,20-09-2018,2.0
1577196,426482,20-12-2017,1.0
1577222,426482,20-12-2017,1.0
1577223,426482,20-12-2017,2.0
1005255,385523,26-08-2015,3.0
1005290,385523,26-08-2015,3.0
1005422,385523,28-08-2015,5.0
1943946,451064,11-02-2019,1.0
1943948,451064,11-02-2019,1.0
1943949,451064,11-02-2019,3.0
1943964,451064,11-02-2019,2.0
1943885,451064,07-02-2019,1.0
1577393,426498,18-12-2017,1.0
1577414,426498,18-12-2017,1.0
1577418,426498,18-12-2017,2.0
1577424,426498,18-12-2017,1.0
1577432,426498,18-12-2017,4.0
1577441,426498,18-12-2017,1.0
1577442,426498,18-12-2017,2.0
1577443,426498,18-12-2017,2.0
1577449,426498,18-12-2017,4.0
