,Ing_Order,Ing_Datum,Ing_Aantal
2444058,483329,23-04-2020,2.0
1925616,450562,15-01-2019,2.0
1682667,434179,04-05-2018,6.0
1331657,409603,14-03-2017,4.0
2050030,458766,13-05-2019,1.0
2181426,466970,13-09-2019,2.0
3158063,524316,15-12-2021,2.0
1571139,426014,05-12-2017,2.0
3158615,524321,07-12-2021,16.0
998522,385060,26-08-2015,2.0
1110638,393253,08-03-2016,2.0
2446282,483377,30-04-2020,2.0
3158421,524338,06-12-2021,2.0
1683317,434227,16-05-2018,2.0
2520233,483383,25-06-2020,2.0
2735515,499771,09-12-2020,4.0
1807135,442429,14-09-2018,9.0
2313946,475197,08-01-2020,3.0
1332232,409663,09-03-2017,1.0
885097,376898,08-01-2015,2.0
1225985,401475,26-09-2016,1.0
3158828,524357,14-12-2021,1.0
1223230,401484,21-09-2016,2.0
1757406,434253,23-07-2018,7.0
2314002,475215,10-01-2020,2.0
1571751,426066,07-12-2017,10.0
2869956,507998,07-04-2021,2.0
2588547,491620,10-09-2020,6.0
1572070,426085,12-12-2017,4.0
2736319,499814,05-12-2020,4.0
885856,376938,05-01-2015,4.0
1807821,442477,14-09-2018,4.0
2738126,499823,09-12-2020,2.0
2182867,467060,13-09-2019,2.0
2738148,499831,09-12-2020,4.0
3016929,516219,24-08-2021,6.0
2736864,499836,16-12-2020,2.0
1224059,401533,23-09-2016,4.0
1826373,442493,02-10-2018,4.0
2446443,483460,07-05-2020,8.0
1000004,385157,20-08-2015,1.0
3020463,516228,24-08-2021,3.0
2051552,458887,20-05-2019,2.0
1572581,426126,08-12-2017,3.0
2616441,491663,25-09-2020,2.0
2315691,475278,14-01-2020,1.0
1333513,409746,10-03-2017,4.0
1000121,385173,14-08-2015,3.0
3160210,524438,14-12-2021,11.0
1684683,434332,08-05-2018,4.0
1000408,385180,17-08-2015,3.0
1000230,385182,18-08-2015,3.0
2737502,499871,14-12-2020,2.0
2737523,499873,09-12-2020,1.0
886719,376996,05-01-2015,4.0
1000326,385188,18-08-2015,3.0
2877807,508072,11-05-2021,1.0
1333895,409774,13-03-2017,2.0
1333912,409774,13-03-2017,6.0
1333934,409775,13-03-2017,4.0
2871494,508081,19-04-2021,2.0
1334013,409783,13-03-2017,4.0
887099,377019,06-01-2015,1.0
2883052,508091,26-04-2021,6.0
2883061,508091,26-04-2021,11.0
2883064,508091,26-04-2021,5.0
1000689,385212,17-08-2015,1.0
2315841,475335,13-01-2020,1.0
2739712,499919,11-12-2020,4.0
2616263,491729,27-09-2020,4.0
1121209,393426,24-03-2016,4.0
1123245,393426,30-03-2016,4.0
2316072,475347,15-01-2020,2.0
2738688,499927,21-12-2020,2.0
3160872,524504,22-12-2021,4.0
1573460,426202,11-12-2017,2.0
3160946,524508,09-12-2021,1.0
2590430,491743,02-09-2020,2.0
1335011,409827,17-03-2017,3.0
2590517,491748,01-09-2020,6.0
2590744,491753,01-09-2020,3.0
2738603,499945,17-12-2020,5.0
1685883,434410,18-05-2018,3.0
2738676,499947,17-12-2020,4.0
2590905,491757,04-09-2020,3.0
1001332,385264,18-08-2015,2.0
1228066,401651,26-09-2016,4.0
2590998,491764,01-09-2020,5.0
2053825,459000,17-05-2019,8.0
2738884,499961,09-12-2020,4.0
887892,377080,07-01-2015,2.0
1453451,418045,31-07-2017,4.0
2316656,475390,20-01-2020,2.0
888001,377091,12-01-2015,1.0
3020306,516356,04-08-2021,2.0
2591477,491785,31-08-2020,3.0
1686243,434442,17-05-2018,3.0
1113223,393483,18-03-2016,1.0
1113360,393484,18-03-2016,5.0
