,End_Order,End_Datum,Ret_Aantal
1939811,458766,03-06-2019,4.0
3020961,524316,17-12-2021,10.0
3027865,524321,13-12-2021,10.0
1023134,393253,01-04-2016,12.0
1052265,393255,30-05-2016,3.0
1041195,393255,06-05-2016,5.0
3037739,524338,06-12-2021,4.0
2703508,491575,23-03-2021,2.0
3021469,524357,16-12-2021,8.0
1454847,426054,20-12-2017,7.0
1020568,393291,30-03-2016,8.0
1450632,426066,07-12-2017,12.0
3021934,524375,23-12-2021,2.0
3022049,524376,10-12-2021,6.0
2448069,491620,11-09-2020,1.0
1919512,458861,16-05-2019,4.0
1957226,458871,19-06-2019,4.0
1515241,426104,03-04-2018,6.0
1919014,458887,20-05-2019,2.0
1020245,393353,25-03-2016,2.0
1919065,458892,31-05-2019,2.0
1454456,426126,11-12-2017,4.0
2473512,491663,28-09-2020,17.0
1009814,393360,17-03-2016,2.0
1452516,426133,12-12-2017,2.0
3025130,524438,20-12-2021,10.0
1009853,393372,24-03-2016,4.0
1014316,393378,16-03-2016,4.0
3024501,524460,15-12-2021,7.0
1452222,426170,13-12-2017,6.0
1010170,393406,21-03-2016,2.0
1010172,393407,22-03-2016,2.0
2744257,491729,21-04-2021,1.0
2744289,491729,21-04-2021,2.0
2711143,491729,08-04-2021,6.0
1021791,393426,01-04-2016,1.0
1056493,393426,07-06-2016,1.0
1056495,393426,07-06-2016,2.0
1092557,393426,29-07-2016,4.0
1092569,393426,29-07-2016,2.0
1092578,393426,29-07-2016,5.0
1463087,426198,21-12-2017,15.0
1467200,426202,08-01-2018,4.0
1467222,426202,08-01-2018,1.0
1467225,426202,08-01-2018,3.0
3024742,524508,10-12-2021,1.0
2449597,491743,03-09-2020,2.0
1019077,393443,24-03-2016,12.0
2449676,491748,03-09-2020,2.0
2449726,491753,04-09-2020,4.0
2457543,491757,07-09-2020,2.0
2450076,491764,02-09-2020,8.0
3025258,524535,16-12-2021,2.0
1937695,459000,03-06-2019,1.0
1937883,459000,03-06-2019,11.0
3025413,524537,13-12-2021,1.0
1452891,426235,08-01-2018,4.0
1458510,426236,15-12-2017,2.0
3025416,524542,22-12-2021,4.0
3025478,524549,24-12-2021,2.0
1920993,459016,17-05-2019,4.0
2472633,491785,01-10-2020,4.0
1023211,393483,01-04-2016,2.0
1024613,393484,11-04-2016,5.0
1028688,393484,11-04-2016,1.0
1708113,426258,16-10-2018,5.0
1921404,459030,31-05-2019,5.0
2450419,491804,02-09-2020,4.0
1455018,426282,11-12-2017,6.0
3026958,524595,23-12-2021,2.0
3027046,524597,23-12-2021,3.0
1921867,459077,23-05-2019,4.0
3027140,524620,15-12-2021,2.0
3027218,524628,14-12-2021,4.0
1056097,393557,03-06-2016,2.0
3027258,524632,15-12-2021,4.0
3027589,524638,13-12-2021,2.0
1454749,426335,19-12-2017,11.0
1458148,426342,15-12-2017,2.0
1012159,393591,22-03-2016,4.0
1459521,426371,22-12-2017,11.0
1459403,426371,21-12-2017,8.0
1459422,426371,21-12-2017,12.0
3028230,524677,15-12-2021,2.0
1037442,393606,26-04-2016,8.0
1455262,426383,21-12-2017,4.0
3028844,524687,16-12-2021,4.0
2453024,491922,04-09-2020,2.0
1922640,459156,04-06-2019,4.0
1958084,459163,19-06-2019,2.0
1455496,426397,22-12-2017,4.0
3029279,524702,15-12-2021,2.0
1465401,426404,27-12-2017,4.0
1922744,459173,16-05-2019,4.0
2453277,491943,11-09-2020,4.0
1012914,393646,22-03-2016,4.0
1931385,459183,22-05-2019,2.0
3029493,524723,20-12-2021,2.0
1968079,459189,10-08-2019,2.0
1923515,459207,21-05-2019,7.0
1519069,426442,28-03-2018,4.0
1519074,426442,28-03-2018,3.0
1528991,426442,28-03-2018,2.0
1998604,459215,24-07-2019,2.0
2454403,491995,18-09-2020,2.0
1458797,426482,22-12-2017,4.0
1923973,459250,21-05-2019,2.0
1015006,393724,21-03-2016,2.0
1458158,426498,22-12-2017,10.0
2776981,492038,14-09-2020,2.0
3030851,524806,20-12-2021,6.0
1015816,393761,23-03-2016,4.0
3031373,524834,20-12-2021,2.0
1016061,393768,24-03-2016,2.0
3031521,524841,22-12-2021,2.0
1925354,459311,21-05-2019,2.0
1021285,393818,01-04-2016,4.0
1021286,393818,01-04-2016,2.0
1459829,426586,20-12-2017,4.0
1016524,393821,22-03-2016,2.0
1021867,393837,01-04-2016,6.0
1460393,426605,19-12-2017,2.0
1043902,393839,17-05-2016,4.0
3033361,524924,21-12-2021,2.0
1460769,426629,20-12-2017,1.0
1461093,426630,21-12-2017,2.0
2504723,492171,08-10-2020,6.0
2481902,492172,28-09-2020,2.0
2580119,492172,17-11-2020,3.0
2667873,492172,24-02-2021,3.0
1033599,393870,20-04-2016,2.0
1033611,393870,20-04-2016,4.0
1033616,393870,20-04-2016,2.0
