,Ing_Order,Ing_Datum,Ing_Aantal
2050042,458766,13-05-2019,4.0
3158091,524316,15-12-2021,10.0
3158625,524321,07-12-2021,10.0
1110602,393253,08-03-2016,12.0
1110711,393255,08-03-2016,8.0
3158423,524338,06-12-2021,4.0
2587721,491575,28-08-2020,2.0
3158848,524357,14-12-2021,8.0
1571670,426054,18-12-2017,7.0
1110963,393291,15-03-2016,8.0
1571736,426066,07-12-2017,12.0
3159255,524375,17-12-2021,2.0
3159290,524376,08-12-2021,6.0
2588553,491620,10-09-2020,1.0
2051850,458861,16-05-2019,4.0
2051295,458871,16-05-2019,4.0
1572294,426104,08-12-2017,6.0
2051544,458887,20-05-2019,2.0
1111713,393353,08-03-2016,2.0
2051592,458892,29-05-2019,2.0
1572584,426126,08-12-2017,4.0
2616439,491663,25-09-2020,17.0
1111741,393360,14-03-2016,2.0
1573428,426133,11-12-2017,2.0
3160198,524438,14-12-2021,10.0
1111910,393372,21-03-2016,4.0
1111983,393378,09-03-2016,4.0
3160796,524460,13-12-2021,7.0
1573122,426170,12-12-2017,6.0
1112219,393406,21-03-2016,2.0
1112228,393407,22-03-2016,2.0
2635655,491729,29-09-2020,2.0
2616251,491729,27-09-2020,6.0
2624980,491729,27-09-2020,1.0
1121215,393426,24-03-2016,7.0
1112380,393426,11-03-2016,2.0
1123238,393426,30-03-2016,4.0
1151279,393426,20-05-2016,2.0
1573355,426198,07-12-2017,15.0
1573445,426202,11-12-2017,1.0
1573446,426202,11-12-2017,4.0
1573499,426202,11-12-2017,3.0
3160940,524508,09-12-2021,1.0
2590437,491743,02-09-2020,2.0
1112767,393443,11-03-2016,12.0
2590508,491748,01-09-2020,2.0
2590767,491753,01-09-2020,4.0
2590903,491757,04-09-2020,2.0
2591015,491764,01-09-2020,8.0
3161283,524535,16-12-2021,2.0
2053850,459000,17-05-2019,12.0
3161435,524537,13-12-2021,1.0
1573743,426235,05-01-2018,4.0
1573752,426236,11-12-2017,2.0
3161444,524542,21-12-2021,4.0
3161472,524549,24-12-2021,2.0
2053526,459016,17-05-2019,4.0
2591499,491785,31-08-2020,4.0
1113214,393483,18-03-2016,2.0
1113317,393484,18-03-2016,6.0
3161680,524561,15-12-2021,2.0
1574063,426258,12-12-2017,5.0
2053967,459030,24-05-2019,5.0
2591876,491804,01-09-2020,4.0
1574237,426282,11-12-2017,6.0
2592280,491822,31-08-2020,2.0
3162329,524595,23-12-2021,2.0
3162388,524597,23-12-2021,3.0
2054541,459077,20-05-2019,4.0
3162465,524620,15-12-2021,2.0
3162531,524628,14-12-2021,4.0
1114143,393557,30-03-2016,2.0
3162567,524632,15-12-2021,4.0
3162844,524638,13-12-2021,2.0
1575307,426335,19-12-2017,11.0
1574976,426342,13-12-2017,2.0
1114656,393591,21-03-2016,4.0
1578370,426371,18-12-2017,8.0
1578383,426371,18-12-2017,12.0
1578434,426371,20-12-2017,11.0
3163482,524677,13-12-2021,2.0
1114847,393606,15-03-2016,8.0
1575616,426383,19-12-2017,4.0
3163753,524687,16-12-2021,4.0
2594386,491922,01-09-2020,2.0
2055294,459156,04-06-2019,4.0
2055385,459163,16-05-2019,2.0
1575810,426397,22-12-2017,4.0
3164091,524702,15-12-2021,2.0
1575976,426404,13-12-2017,4.0
2055639,459173,16-05-2019,4.0
2594610,491943,11-09-2020,4.0
1115255,393646,21-03-2016,4.0
2055811,459183,21-05-2019,2.0
3164277,524723,17-12-2021,2.0
2055959,459189,17-05-2019,2.0
2056538,459207,21-05-2019,7.0
1576871,426442,14-12-2017,4.0
1603694,426442,15-12-2017,5.0
2056562,459215,15-05-2019,2.0
2595692,491995,17-09-2020,2.0
1577195,426482,20-12-2017,4.0
2057129,459250,21-05-2019,2.0
1116851,393724,21-03-2016,2.0
1577392,426498,18-12-2017,10.0
2596260,492038,01-09-2020,2.0
3165428,524806,16-12-2021,6.0
1117893,393761,22-03-2016,4.0
3165767,524834,20-12-2021,2.0
1118005,393768,21-03-2016,2.0
3165846,524841,22-12-2021,2.0
2058108,459311,21-05-2019,2.0
1118649,393818,29-03-2016,2.0
1122997,393818,30-03-2016,4.0
1578672,426586,15-12-2017,4.0
1118675,393821,22-03-2016,2.0
1118742,393837,21-03-2016,6.0
1578857,426605,19-12-2017,2.0
1118749,393839,21-03-2016,4.0
3166861,524920,21-12-2021,1.0
3166922,524924,21-12-2021,2.0
3166998,524927,22-12-2021,6.0
1579155,426629,18-12-2017,1.0
1579209,426630,19-12-2017,2.0
2598766,492171,17-09-2020,6.0
2599301,492172,04-09-2020,8.0
1122596,393870,29-03-2016,4.0
1119232,393870,22-03-2016,2.0
1129380,393870,07-04-2016,2.0
1579332,426640,21-12-2017,1.0
1119314,393874,22-03-2016,2.0
2598923,492178,17-09-2020,5.0
1119356,393880,22-03-2016,10.0
2059750,459423,21-05-2019,2.0
2599237,492194,07-09-2020,2.0
1579705,426665,02-01-2018,4.0
2059983,459436,21-05-2019,16.0
2599434,492208,08-09-2020,2.0
1579798,426680,08-01-2018,8.0
3168035,524995,21-12-2021,5.0
1579982,426692,08-01-2018,4.0
3168187,525002,23-12-2021,1.0
2600066,492241,05-09-2020,5.0
3168818,525022,21-12-2021,4.0
2600447,492265,04-09-2020,2.0
2600478,492265,04-09-2020,2.0
2600611,492273,30-09-2020,4.0
2600743,492276,30-09-2020,6.0
2601328,492314,04-09-2020,4.0
2601381,492321,05-10-2020,6.0
2601594,492326,10-09-2020,4.0
3170126,525095,20-12-2021,2.0
1121307,394029,29-03-2016,7.0
3170281,525107,21-12-2021,2.0
3170428,525109,21-12-2021,5.0
1121504,394043,29-03-2016,6.0
1121724,394060,29-03-2016,7.0
1581171,426828,09-01-2018,2.0
2602283,492373,09-09-2020,2.0
1581379,426846,05-01-2018,2.0
1581434,426854,08-01-2018,2.0
3171384,525167,21-12-2021,4.0
2604581,492402,22-09-2020,5.0
2602825,492416,16-09-2020,4.0
2602937,492432,08-09-2020,2.0
1581959,426905,15-01-2018,4.0
1123117,394168,30-03-2016,6.0
2603625,492481,11-09-2020,4.0
2603663,492483,08-09-2020,4.0
1124255,394188,31-03-2016,4.0
1123534,394193,06-04-2016,1.0
1588011,426976,17-01-2018,4.0
2064660,459747,23-05-2019,2.0
2604784,492546,10-09-2020,2.0
2604899,492551,14-09-2020,2.0
1583469,427028,04-01-2018,5.0
2605447,492565,17-09-2020,6.0
1124851,394266,05-04-2016,2.0
1583537,427035,04-01-2018,7.0
2605354,492570,21-09-2020,4.0
2605505,492573,14-09-2020,2.0
3173637,525341,25-01-2021,2.0
1131131,394277,11-04-2016,3.0
1124908,394277,05-04-2016,5.0
1585256,427049,12-01-2018,4.0
2605607,492586,22-09-2020,4.0
2605892,492598,23-09-2020,4.0
1125194,394298,04-04-2016,2.0
1128907,394298,06-04-2016,2.0
2073495,459834,01-06-2019,6.0
1125332,394313,31-05-2016,2.0
1126007,394347,04-04-2016,5.0
2654762,492712,13-10-2020,4.0
1585419,427188,19-01-2018,2.0
2067726,459959,03-06-2019,2.0
2094154,459959,26-06-2019,2.0
1585359,427198,15-01-2018,2.0
2608616,492747,11-09-2020,5.0
2068250,459980,27-05-2019,3.0
1126926,394451,25-05-2016,6.0
1127386,394452,08-04-2016,4.0
2068326,459988,27-05-2019,2.0
2068344,459990,21-06-2019,16.0
2609142,492755,10-09-2020,3.0
2609222,492775,14-09-2020,2.0
1127402,394475,06-04-2016,4.0
1138479,394477,22-04-2016,2.0
1127560,394477,07-04-2016,11.0
1144052,394477,04-05-2016,2.0
2609635,492788,14-09-2020,2.0
2609742,492793,18-09-2020,2.0
1127758,394494,08-04-2016,3.0
2609884,492800,10-09-2020,2.0
2609888,492801,14-09-2020,7.0
2610324,492824,10-09-2020,4.0
1586649,427297,25-01-2018,4.0
1586630,427298,09-01-2018,2.0
1591427,427298,16-01-2018,2.0
2069771,460067,04-06-2019,2.0
2618783,492837,18-09-2020,3.0
2069705,460071,01-07-2019,5.0
2610864,492855,15-09-2020,2.0
1586831,427321,17-01-2018,4.0
1586852,427321,17-01-2018,2.0
2076937,460090,21-06-2019,2.0
2091372,460090,21-06-2019,6.0
2076721,460106,21-06-2019,8.0
1587490,427367,12-01-2018,4.0
2611673,492905,10-09-2020,6.0
2071010,460147,31-05-2019,11.0
2071192,460147,31-05-2019,7.0
2073218,460147,03-06-2019,2.0
2611872,492921,14-09-2020,7.0
1129855,394630,11-04-2016,5.0
1130869,394631,12-04-2016,6.0
1129929,394637,18-04-2016,4.0
1131747,394640,13-04-2016,4.0
1130294,394641,11-04-2016,5.0
1130343,394645,11-04-2016,4.0
1129991,394648,11-04-2016,2.0
1134652,394648,15-04-2016,2.0
1131861,394652,11-04-2016,1.0
1142563,394652,25-04-2016,4.0
2071547,460200,29-05-2019,2.0
2071891,460209,03-06-2019,7.0
2612742,492982,22-09-2020,2.0
2612816,492985,22-09-2020,2.0
1588528,427450,12-01-2018,3.0
2072228,460223,17-06-2019,5.0
1588685,427460,24-01-2018,4.0
2612955,492999,21-09-2020,2.0
1588842,427474,17-01-2018,2.0
2072437,460248,03-06-2019,4.0
1589068,427492,24-01-2018,4.0
2072621,460261,11-06-2019,2.0
1130892,394729,11-04-2016,8.0
1589364,427518,19-01-2018,2.0
1589491,427526,16-01-2018,1.0
1131544,394774,18-04-2016,4.0
1589648,427548,12-01-2018,1.0
2073587,460317,19-06-2019,2.0
2074013,460337,14-06-2019,2.0
2615092,493109,15-09-2020,1.0
1132007,394811,13-04-2016,2.0
1132049,394817,15-04-2016,2.0
2615723,493151,16-09-2020,6.0
2074780,460396,07-06-2019,10.0
1590601,427632,16-01-2018,2.0
2616355,493169,28-09-2020,5.0
2075787,460409,07-06-2019,6.0
2617224,493203,17-09-2020,10.0
1591194,427675,16-01-2018,10.0
2617193,493222,29-09-2020,4.0
1591422,427688,17-01-2018,2.0
2623558,493227,25-09-2020,2.0
2617472,493234,18-09-2020,2.0
2076137,460469,07-06-2019,4.0
2617646,493250,02-10-2020,2.0
1592219,427733,19-01-2018,2.0
1592276,427738,19-01-2018,8.0
1592496,427758,19-01-2018,2.0
1592497,427758,19-01-2018,2.0
1592499,427758,19-01-2018,1.0
1134571,394995,18-04-2016,4.0
2083712,460533,12-06-2019,2.0
2077118,460533,07-06-2019,2.0
2618898,493305,22-09-2020,8.0
1134695,395012,18-04-2016,4.0
1592760,427784,08-01-2018,12.0
1134859,395022,18-04-2016,5.0
2619561,493338,21-09-2020,2.0
2620946,493357,21-09-2020,9.0
1135237,395076,20-04-2016,2.0
1601512,427875,25-01-2018,6.0
1595663,427893,26-01-2018,16.0
2634586,493439,12-10-2020,4.0
2079749,460679,11-06-2019,2.0
1594486,427914,31-01-2018,4.0
2079918,460684,11-06-2019,2.0
1136843,395153,19-04-2016,11.0
1139235,395167,26-04-2016,6.0
1137004,395168,20-04-2016,6.0
1594818,427937,31-01-2018,6.0
2080181,460703,07-06-2019,3.0
1595322,427943,09-02-2018,8.0
1595165,427958,22-01-2018,6.0
2080473,460727,11-06-2019,2.0
2622469,493503,25-09-2020,2.0
2622887,493519,21-09-2020,6.0
1595482,427992,23-01-2018,1.0
1137744,395225,20-04-2016,2.0
2081717,460807,11-06-2019,4.0
2104712,460807,30-06-2019,2.0
2081741,460811,11-06-2019,2.0
1596111,428047,02-03-2018,6.0
2623893,493596,22-09-2020,2.0
2082940,460852,21-06-2019,5.0
2624330,493622,22-09-2020,4.0
1138937,395319,25-04-2016,2.0
1598100,428099,01-02-2018,8.0
2626278,493636,23-09-2020,2.0
1139153,395345,22-04-2016,2.0
2624813,493658,23-09-2020,4.0
2624964,493664,26-10-2020,4.0
2624979,493664,26-10-2020,4.0
1596922,428131,24-01-2018,2.0
1139387,395365,25-04-2016,3.0
2625479,493671,22-09-2020,5.0
1597038,428144,25-01-2018,4.0
1139573,395382,28-04-2016,2.0
1139823,395390,02-05-2016,4.0
1140872,395391,02-05-2016,3.0
1139897,395403,28-04-2016,4.0
2626128,493711,28-09-2020,2.0
2083766,460946,12-06-2019,2.0
2627945,493742,01-10-2020,2.0
1597960,428222,29-01-2018,6.0
2085210,461023,17-06-2019,6.0
1599740,428259,02-02-2018,12.0
3193495,526564,26-01-2021,2.0
2627869,493800,22-09-2020,2.0
1141415,395511,29-04-2016,5.0
2628132,493818,07-10-2020,4.0
1143434,395516,09-05-2016,4.0
1146458,395516,09-05-2016,2.0
2085678,461056,18-06-2019,2.0
2085884,461062,26-06-2019,2.0
1599146,428299,26-01-2018,1.0
1599162,428299,26-01-2018,15.0
2628701,493842,28-09-2020,4.0
2713227,493842,02-11-2020,2.0
1141882,395542,02-05-2016,7.0
1598904,428310,26-01-2018,2.0
1598912,428310,26-01-2018,1.0
1612657,428310,14-02-2018,1.0
1141977,395558,09-05-2016,5.0
2087102,461112,14-06-2019,4.0
2087260,461115,14-06-2019,2.0
2629712,493885,25-09-2020,2.0
2629941,493889,25-09-2020,4.0
2630250,493907,28-09-2020,6.0
2087122,461143,14-06-2019,6.0
2087278,461156,14-06-2019,8.0
2630669,493934,28-09-2020,5.0
2630680,493934,28-09-2020,1.0
2630685,493934,28-09-2020,1.0
1143420,395635,04-05-2016,2.0
1600563,428411,01-02-2018,8.0
2630975,493954,26-09-2020,2.0
2631000,493955,05-10-2020,8.0
2089371,461195,18-06-2019,4.0
2631057,493968,15-10-2020,2.0
1601310,428460,31-01-2018,14.0
1601333,428460,16-02-2018,2.0
1601488,428463,02-02-2018,4.0
1146441,395699,10-05-2016,2.0
2668981,494012,20-10-2020,4.0
1601592,428477,02-02-2018,4.0
1164043,395713,10-06-2016,6.0
1601693,428497,30-01-2018,2.0
1144719,395736,09-05-2016,2.0
1144747,395736,09-05-2016,1.0
1601837,428508,30-01-2018,4.0
2089345,461283,08-07-2019,2.0
2633238,494075,06-10-2020,4.0
2633429,494076,05-10-2020,6.0
2646011,494076,12-10-2020,6.0
2633462,494081,07-10-2020,3.0
2633748,494089,06-10-2020,8.0
2633781,494095,06-10-2020,4.0
2090554,461333,26-06-2019,6.0
1602867,428572,31-01-2018,2.0
2634202,494108,16-10-2020,4.0
2633946,494109,02-10-2020,4.0
2092571,461343,09-07-2019,13.0
2092587,461343,09-07-2019,6.0
2090511,461347,18-06-2019,2.0
2090595,461359,18-06-2019,1.0
1603156,428596,31-01-2018,4.0
2090806,461372,05-07-2019,4.0
1146169,395844,12-05-2016,4.0
2634667,494151,02-10-2020,2.0
1146291,395854,12-05-2016,4.0
1603553,428623,05-02-2018,12.0
1146356,395860,13-05-2016,2.0
1603771,428635,01-02-2018,2.0
2091428,461410,21-06-2019,4.0
2635105,494187,01-10-2020,8.0
1604736,428657,02-02-2018,4.0
1147226,395900,23-05-2016,6.0
1147212,395902,19-05-2016,4.0
2091889,461438,21-06-2019,2.0
2635497,494209,02-10-2020,8.0
2635446,494210,29-09-2020,14.0
2092003,461450,02-08-2019,4.0
2092219,461459,19-06-2019,1.0
1147249,395927,10-05-2016,4.0
1605292,428696,02-02-2018,9.0
1605214,428703,05-02-2018,4.0
2113391,461474,09-07-2019,2.0
2105316,461474,02-07-2019,6.0
2636442,494256,05-10-2020,2.0
2093072,461501,24-06-2019,2.0
1605666,428734,02-02-2018,36.0
2636892,494279,30-09-2020,2.0
1605913,428749,12-02-2018,2.0
2093268,461517,24-06-2019,5.0
1148111,395990,12-05-2016,4.0
1148136,395991,13-05-2016,3.0
1148158,395991,13-05-2016,1.0
1606081,428761,07-02-2018,4.0
2637440,494299,19-10-2020,4.0
2093476,461542,20-06-2019,2.0
1148490,396016,13-05-2016,2.0
1148615,396021,19-05-2016,6.0
1606561,428794,06-02-2018,6.0
2093981,461563,21-06-2019,4.0
2639871,494332,16-10-2020,13.0
1155330,396035,26-05-2016,4.0
1148796,396035,20-05-2016,4.0
1606694,428804,12-02-2018,2.0
1606892,428811,12-02-2018,2.0
2094248,461582,03-07-2019,2.0
1607014,428823,06-02-2018,2.0
2094482,461592,24-06-2019,4.0
2639369,494381,09-10-2020,4.0
2639339,494385,01-10-2020,2.0
1607627,428855,07-02-2018,6.0
1607410,428864,20-02-2018,2.0
2642839,494412,02-10-2020,2.0
1158810,396117,03-06-2016,6.0
2640523,494428,01-10-2020,6.0
1150162,396134,17-05-2016,4.0
1157926,396136,02-06-2016,1.0
1160074,396136,03-06-2016,3.0
1150799,396136,01-06-2016,1.0
1150832,396136,01-06-2016,10.0
1150951,396136,01-06-2016,11.0
1151057,396136,01-06-2016,8.0
1166953,396136,15-06-2016,1.0
2640868,494442,28-09-2020,3.0
1607854,428907,07-02-2018,2.0
2641477,494447,05-10-2020,14.0
2640990,494450,02-10-2020,4.0
2641262,494454,06-10-2020,2.0
1608145,428931,07-02-2018,2.0
1608216,428935,12-02-2018,2.0
2641760,494473,02-10-2020,33.0
2646877,494477,05-10-2020,3.0
2642827,494477,02-10-2020,3.0
2095689,461711,11-07-2019,2.0
2641883,494483,05-10-2020,17.0
1608305,428953,22-02-2018,2.0
2095963,461733,25-06-2019,2.0
2100978,461733,26-06-2019,2.0
1608893,428996,20-02-2018,5.0
2096397,461766,26-06-2019,2.0
1609002,429001,08-02-2018,2.0
1151921,396240,03-06-2016,6.0
1151985,396243,24-05-2016,2.0
1609625,429041,12-02-2018,4.0
2097339,461820,15-07-2019,4.0
2125104,461820,18-07-2019,4.0
1152457,396287,20-05-2016,50.0
1152638,396299,20-05-2016,4.0
1152955,396318,23-05-2016,6.0
1610530,429095,22-02-2018,2.0
1610606,429096,22-02-2018,1.0
1610628,429097,22-02-2018,1.0
1610410,429102,15-02-2018,1.0
1610365,429102,08-02-2018,4.0
1153050,396339,23-05-2016,6.0
1610703,429113,09-02-2018,4.0
1610719,429117,17-02-2018,4.0
1619512,429117,21-02-2018,1.0
2644951,494653,06-10-2020,2.0
2101119,461896,27-06-2019,37.0
2645189,494678,07-10-2020,2.0
2645221,494678,07-10-2020,7.0
1611146,429149,05-03-2018,6.0
1615059,429150,26-02-2018,5.0
1611759,429194,21-02-2018,7.0
1611803,429197,13-02-2018,4.0
1629607,429203,21-03-2018,6.0
1612019,429212,14-02-2018,6.0
1615257,429212,14-02-2018,1.0
2646704,494749,12-10-2020,3.0
2646751,494750,09-10-2020,2.0
1612075,429217,19-02-2018,4.0
1612105,429221,15-02-2018,2.0
1612167,429231,19-02-2018,2.0
1612723,429255,16-02-2018,8.0
1154972,396489,31-05-2016,4.0
1155033,396501,06-06-2016,2.0
1208400,396501,30-08-2016,1.0
2100767,462054,28-06-2019,4.0
1155811,396523,02-06-2016,12.0
1155669,396523,03-06-2016,2.0
1155676,396523,03-06-2016,2.0
2101224,462079,27-06-2019,15.0
1155359,396544,30-05-2016,2.0
2101271,462087,27-06-2019,13.0
2648326,494867,06-10-2020,6.0
2648344,494869,07-10-2020,3.0
1613161,429335,14-02-2018,2.0
2648357,494874,07-10-2020,2.0
2648661,494877,09-10-2020,14.0
1613503,429347,15-02-2018,9.0
1155962,396580,30-05-2016,3.0
1613794,429372,21-02-2018,4.0
2102330,462151,01-07-2019,4.0
1614070,429392,16-02-2018,4.0
2649781,494935,23-10-2020,4.0
1157154,396648,08-06-2016,18.0
1617130,429417,19-02-2018,2.0
1614881,429446,16-02-2018,4.0
1615232,429457,19-02-2018,3.0
2650776,494997,13-10-2020,4.0
1615801,429469,17-02-2018,14.0
2103669,462241,01-07-2019,4.0
2103725,462245,03-07-2019,2.0
2123256,462260,05-09-2019,5.0
2115520,462261,21-08-2019,2.0
2651637,495034,08-10-2020,10.0
2104137,462275,01-07-2019,2.0
1616479,429512,16-02-2018,2.0
2651795,495049,14-10-2020,4.0
2651845,495051,28-10-2020,2.0
2104526,462284,01-07-2019,2.0
2104349,462288,02-07-2019,2.0
1616118,429526,27-02-2018,2.0
2104438,462295,15-07-2019,4.0
1626210,429534,09-03-2018,3.0
1158453,396779,01-06-2016,4.0
1160298,396781,06-06-2016,2.0
1158680,396805,08-06-2016,1.0
1158776,396809,14-06-2016,2.0
2653334,495114,12-10-2020,3.0
2653341,495114,12-10-2020,2.0
1158834,396816,17-06-2016,4.0
1158827,396816,16-06-2016,1.0
1158862,396816,20-06-2016,4.0
1158915,396816,23-06-2016,1.0
2653364,495122,14-10-2020,3.0
1617038,429591,19-02-2018,4.0
2653423,495128,12-10-2020,6.0
2653621,495132,15-10-2020,3.0
2105285,462365,02-07-2019,2.0
2653596,495134,12-10-2020,6.0
1159142,396839,06-06-2016,2.0
1159188,396840,06-06-2016,4.0
1617271,429610,20-02-2018,2.0
2653908,495150,28-10-2020,2.0
1617469,429617,20-02-2018,4.0
1617540,429625,21-02-2018,2.0
2106082,462396,04-07-2019,4.0
1159563,396866,03-06-2016,4.0
1623818,429634,06-03-2018,10.0
1617631,429640,23-02-2018,2.0
2654473,495181,09-10-2020,4.0
1617854,429672,21-02-2018,1.0
1617860,429672,21-02-2018,2.0
2654744,495210,12-10-2020,2.0
1160056,396908,08-06-2016,4.0
1617918,429680,20-02-2018,4.0
2654936,495221,12-10-2020,2.0
2655022,495226,13-10-2020,6.0
2655050,495227,19-10-2020,2.0
2655400,495245,21-10-2020,4.0
2107018,462488,03-07-2019,5.0
1161296,396989,07-06-2016,2.0
2670675,495294,02-11-2020,5.0
2670690,495294,02-11-2020,2.0
1622793,429759,12-03-2018,4.0
1161175,396998,08-06-2016,4.0
2656320,495304,02-11-2020,2.0
1619097,429792,05-03-2018,2.0
1619121,429792,09-03-2018,4.0
2149485,462567,22-08-2019,14.0
2108657,462578,08-07-2019,12.0
1161909,397050,08-06-2016,4.0
2657487,495362,16-10-2020,8.0
2117325,462600,25-07-2019,4.0
2108957,462602,08-07-2019,2.0
2657557,495380,13-10-2020,6.0
1620068,429851,23-02-2018,4.0
1620102,429851,23-02-2018,12.0
1162487,397084,16-06-2016,2.0
2657844,495396,21-10-2020,4.0
2658172,495403,19-10-2020,4.0
2109915,462669,04-07-2019,4.0
1163608,397138,10-06-2016,4.0
1167575,397140,14-06-2016,1.0
2110013,462677,08-07-2019,4.0
1620541,429910,05-03-2018,2.0
2659001,495444,15-10-2020,10.0
2117810,462681,11-07-2019,1.0
1628789,429915,13-03-2018,2.0
2110096,462686,11-07-2019,4.0
2110219,462691,05-07-2019,3.0
1620688,429924,27-02-2018,2.0
1164801,397182,21-06-2016,2.0
2110666,462719,05-07-2019,17.0
2659530,495491,15-10-2020,8.0
2662303,495491,21-10-2020,8.0
2110816,462730,09-07-2019,3.0
1164853,397223,10-06-2016,2.0
1164865,397224,13-06-2016,2.0
2660263,495529,13-10-2020,2.0
2660385,495536,15-10-2020,4.0
1165381,397263,13-06-2016,4.0
1165419,397266,13-06-2016,2.0
1165426,397266,13-06-2016,2.0
1622120,430044,02-03-2018,2.0
1165588,397278,15-06-2016,6.0
2112187,462822,11-07-2019,2.0
1623214,430063,05-03-2018,2.0
2662905,495601,20-10-2020,2.0
2112422,462835,08-07-2019,2.0
1166184,397310,15-06-2016,2.0
2112628,462856,12-07-2019,2.0
1171188,397332,24-06-2016,2.0
2112674,462872,19-07-2019,5.0
2112785,462876,08-07-2019,2.0
2663340,495644,19-10-2020,8.0
2112805,462881,08-07-2019,1.0
2112822,462884,08-07-2019,2.0
1623313,430121,12-03-2018,2.0
1623431,430121,12-03-2018,3.0
2113027,462896,12-07-2019,6.0
2113104,462899,09-07-2019,4.0
2663803,495676,16-10-2020,8.0
2114795,462911,09-07-2019,1.0
2117382,462912,12-07-2019,1.0
2114827,462914,09-07-2019,3.0
1166827,397379,17-06-2016,4.0
1184308,397380,15-07-2016,6.0
2114762,462916,09-07-2019,3.0
2122153,462922,17-07-2019,9.0
2113488,462939,19-07-2019,4.0
2664458,495722,15-10-2020,4.0
1624227,430200,05-03-2018,16.0
1624184,430203,16-02-2018,6.0
1624156,430203,06-02-2018,6.0
1624223,430203,19-02-2018,4.0
2664954,495749,21-10-2020,4.0
2115268,463001,10-07-2019,1.0
1625192,430256,06-03-2018,2.0
2665699,495793,19-10-2020,4.0
1625269,430262,07-03-2018,3.0
1627204,430265,23-03-2018,2.0
1625742,430286,07-03-2018,2.0
2666218,495823,20-10-2020,4.0
1168641,397521,20-06-2016,8.0
1180843,397549,17-06-2016,4.0
2666676,495856,23-10-2020,2.0
2666690,495856,23-10-2020,2.0
2666576,495869,22-10-2020,2.0
2116664,463128,12-07-2019,3.0
1169812,397595,20-06-2016,2.0
2667574,495902,23-10-2020,4.0
2702999,495907,18-11-2020,6.0
2708905,495909,19-11-2020,6.0
1169971,397608,21-06-2016,2.0
2710849,495913,20-11-2020,5.0
2712952,495915,23-11-2020,6.0
2667463,495916,03-11-2020,2.0
2713221,495917,24-11-2020,8.0
2713377,495919,25-11-2020,4.0
1170099,397619,20-06-2016,2.0
2116893,463157,11-07-2019,2.0
1627246,430395,08-03-2018,4.0
1170514,397646,22-06-2016,3.0
1170534,397647,23-06-2016,4.0
2668249,495951,05-10-2020,2.0
2668275,495952,05-10-2020,2.0
2117584,463195,12-07-2019,3.0
