,Ing_Order,Ing_Datum,Ing_Aantal
1331651,409603,14-03-2017,1.0
1331677,409603,14-03-2017,1.0
1935380,451075,31-01-2019,1.0
2258689,471559,11-11-2019,1.0
2474586,484879,22-05-2020,1.0
2474628,484879,22-05-2020,3.0
2498668,486416,11-06-2020,1.0
3078172,519697,01-10-2021,1.0
2835652,503824,11-03-2021,1.0
1395847,413715,29-05-2017,1.0
1079639,390672,21-12-2015,1.0
2605469,492565,17-09-2020,2.0
2914576,510486,21-05-2021,1.0
2914580,510486,21-05-2021,1.0
2605363,492570,21-09-2020,1.0
3070208,519195,21-09-2021,1.0
2663338,495644,19-10-2020,1.0
2138054,464411,12-08-2019,1.0
1884521,447519,21-11-2018,1.0
1884548,447519,21-11-2018,1.0
2418982,481823,04-04-2020,1.0
3026298,516643,05-08-2021,1.0
2088463,459820,14-06-2019,1.0
1369001,412206,24-04-2017,1.0
2299345,474163,12-12-2019,14.0
2322215,474163,15-01-2020,2.0
2605902,492598,23-09-2020,1.0
2343391,477243,10-02-2020,1.0
1807138,442429,14-09-2018,2.0
1798967,441918,10-09-2018,2.0
1072609,389696,04-12-2015,1.0
2516527,487495,03-07-2020,4.0
1341387,410184,21-03-2017,1.0
2321986,475722,21-01-2020,1.0
2517100,487501,26-06-2020,1.0
898929,377935,09-02-2015,1.0
1653185,432207,05-04-2018,1.0
898863,377937,02-02-2015,1.0
1139177,395345,22-04-2016,1.0
2508585,486994,17-06-2020,1.0
1870025,446554,07-11-2018,1.0
2278129,472667,25-11-2019,1.0
1653139,432218,06-04-2018,1.0
1181726,398429,07-07-2016,1.0
2139461,464478,15-08-2019,2.0
2139487,464478,15-08-2019,2.0
1907477,449117,07-11-2018,1.0
2437239,482399,24-04-2020,1.0
1535053,423522,01-11-2017,1.0
2536637,488547,16-07-2020,1.0
1933245,451172,01-02-2019,1.0
1292146,406629,06-01-2017,1.0
1435852,416868,11-07-2017,1.0
2352393,477802,23-02-2020,1.0
2526039,488042,08-07-2020,1.0
1014452,386157,14-09-2015,1.0
1014457,386157,14-09-2015,1.0
2535986,488557,09-07-2020,1.0
1362076,411759,15-04-2017,1.0
1925945,450160,15-01-2019,2.0
1209101,400498,06-09-2016,1.0
1459546,418422,16-08-2017,1.0
1826352,442493,02-10-2018,1.0
2091923,461438,21-06-2019,1.0
3098456,520829,13-10-2021,1.0
2278816,472701,25-11-2019,1.0
2278847,472701,25-11-2019,1.0
1355117,411269,08-04-2017,1.0
2322746,475782,23-01-2020,1.0
1055430,388745,09-11-2015,2.0
