,End_Order,End_Datum,Ret_Aantal
2602678,491522,11-12-2020,2.0
1939791,458766,03-06-2019,1.0
3020942,524316,17-12-2021,3.0
3020950,524316,17-12-2021,2.0
3020990,524316,17-12-2021,2.0
1546161,426014,20-04-2018,2.0
3027860,524321,13-12-2021,16.0
1023173,393253,01-04-2016,2.0
3037743,524338,06-12-2021,2.0
2703512,491575,23-03-2021,3.0
3021448,524357,16-12-2021,1.0
3021454,524357,16-12-2021,2.0
1454845,426054,20-12-2017,3.0
1020546,393291,30-03-2016,5.0
1020553,393291,30-03-2016,2.0
3021832,524368,23-12-2021,2.0
1450652,426066,07-12-2017,10.0
3021940,524375,23-12-2021,2.0
3022047,524376,10-12-2021,2.0
3022053,524376,10-12-2021,2.0
2448064,491620,11-09-2020,6.0
1466709,426085,12-12-2017,4.0
1466716,426085,12-12-2017,4.0
1919506,458861,16-05-2019,2.0
1957233,458871,19-06-2019,2.0
1515202,426104,03-04-2018,5.0
1919029,458887,20-05-2019,2.0
1919062,458892,31-05-2019,2.0
1454454,426126,11-12-2017,3.0
1454462,426126,11-12-2017,3.0
2473522,491663,28-09-2020,6.0
2473549,491663,28-09-2020,2.0
1009811,393360,17-03-2016,2.0
1452527,426133,12-12-2017,2.0
3025109,524438,20-12-2021,11.0
3025131,524438,20-12-2021,2.0
1009858,393372,24-03-2016,4.0
3024495,524460,15-12-2021,3.0
1452236,426170,13-12-2017,3.0
1010164,393406,21-03-2016,1.0
1010177,393407,22-03-2016,2.0
2744287,491729,21-04-2021,2.0
2744290,491729,21-04-2021,4.0
2711155,491729,08-04-2021,2.0
2711181,491729,08-04-2021,4.0
1092551,393426,29-07-2016,4.0
1092576,393426,29-07-2016,4.0
3024660,524504,22-12-2021,4.0
1467286,426202,09-01-2018,2.0
1467297,426202,09-01-2018,1.0
3024743,524508,10-12-2021,1.0
2449605,491743,03-09-2020,2.0
1019103,393443,24-03-2016,4.0
2449654,491748,03-09-2020,1.0
2449655,491748,03-09-2020,6.0
2449709,491753,04-09-2020,2.0
2449716,491753,04-09-2020,3.0
2457541,491757,07-09-2020,3.0
2450081,491764,02-09-2020,5.0
3025253,524535,16-12-2021,2.0
1937699,459000,03-06-2019,2.0
1937853,459000,03-06-2019,5.0
1937899,459000,03-06-2019,2.0
1942610,459000,03-06-2019,4.0
1458508,426236,15-12-2017,3.0
3025421,524542,22-12-2021,4.0
3025468,524549,24-12-2021,1.0
1921000,459016,17-05-2019,2.0
2568457,491785,30-10-2020,3.0
2568459,491785,30-10-2020,2.0
1023227,393483,01-04-2016,1.0
1024648,393484,11-04-2016,4.0
1028694,393484,11-04-2016,1.0
1921369,459030,31-05-2019,3.0
1921384,459030,31-05-2019,2.0
2450417,491804,02-09-2020,2.0
1455002,426282,11-12-2017,2.0
1455012,426282,11-12-2017,2.0
3026960,524595,23-12-2021,3.0
3027039,524597,23-12-2021,2.0
3027041,524597,23-12-2021,1.0
1011306,393535,14-03-2016,2.0
1921869,459077,23-05-2019,4.0
3027137,524620,15-12-2021,2.0
3027224,524628,14-12-2021,1.0
3027230,524628,14-12-2021,1.0
1056086,393557,03-06-2016,2.0
3027256,524632,15-12-2021,1.0
3027259,524632,15-12-2021,1.0
3027580,524638,13-12-2021,2.0
1454746,426335,19-12-2017,2.0
1459295,426342,15-12-2017,1.0
1012158,393591,22-03-2016,2.0
1459519,426371,22-12-2017,2.0
1459412,426371,21-12-2017,1.0
1037438,393606,26-04-2016,4.0
1455265,426383,21-12-2017,2.0
3028842,524687,16-12-2021,2.0
2453029,491922,04-09-2020,6.0
2453035,491922,04-09-2020,2.0
1922648,459156,04-06-2019,2.0
1934248,459163,27-05-2019,2.0
1455498,426397,22-12-2017,2.0
3029284,524702,15-12-2021,4.0
1465403,426404,27-12-2017,2.0
1922742,459173,16-05-2019,1.0
1922753,459173,16-05-2019,1.0
1922758,459173,16-05-2019,1.0
2453269,491943,11-09-2020,3.0
1012907,393646,22-03-2016,3.0
1931392,459183,22-05-2019,3.0
3029498,524723,20-12-2021,2.0
1968075,459189,10-08-2019,2.0
3029542,524731,17-12-2021,1.0
3029543,524731,17-12-2021,3.0
3035306,524739,23-12-2021,4.0
1923531,459207,21-05-2019,1.0
1923535,459207,21-05-2019,4.0
1528979,426442,28-03-2018,1.0
1528992,426442,28-03-2018,1.0
1539538,426455,14-12-2017,4.0
2454412,491995,18-09-2020,1.0
1458789,426482,22-12-2017,1.0
1923987,459250,21-05-2019,2.0
1015014,393724,21-03-2016,2.0
1015017,393724,21-03-2016,2.0
1458165,426498,22-12-2017,1.0
1458167,426498,22-12-2017,6.0
3030829,524806,20-12-2021,2.0
1458388,426519,18-12-2017,1.0
1015807,393761,23-03-2016,1.0
1015821,393761,23-03-2016,2.0
3031383,524834,20-12-2021,2.0
1016059,393768,24-03-2016,6.0
3031520,524841,22-12-2021,3.0
1925356,459311,21-05-2019,4.0
1459817,426586,20-12-2017,3.0
1016529,393821,22-03-2016,2.0
1021868,393837,01-04-2016,3.0
1460399,426605,19-12-2017,4.0
1043904,393839,17-05-2016,6.0
3033368,524924,21-12-2021,3.0
3033371,524924,21-12-2021,2.0
3033378,524924,21-12-2021,3.0
1460774,426629,20-12-2017,7.0
2504730,492171,08-10-2020,2.0
2504736,492171,08-10-2020,3.0
2481885,492172,28-09-2020,4.0
2481895,492172,28-09-2020,2.0
2580105,492172,17-11-2020,2.0
2580108,492172,17-11-2020,2.0
1033615,393870,20-04-2016,2.0
1460938,426640,21-12-2017,3.0
2472921,492178,08-10-2020,1.0
1022314,393880,01-04-2016,2.0
2012530,459423,09-08-2019,2.0
2457863,492194,10-09-2020,1.0
2457872,492194,10-09-2020,3.0
1486884,426665,02-02-2018,3.0
1978945,459436,05-07-2019,6.0
1517454,426680,22-03-2018,2.0
1544136,426680,20-04-2018,2.0
3035284,524995,23-12-2021,2.0
1462984,426692,25-01-2018,5.0
3035329,525002,23-12-2021,1.0
3035330,525002,23-12-2021,1.0
2472184,492241,18-09-2020,4.0
2472189,492241,18-09-2020,2.0
3036254,525022,23-12-2021,2.0
3036271,525023,23-12-2021,2.0
2458800,492265,09-09-2020,2.0
2458860,492265,10-09-2020,2.0
2458871,492265,10-09-2020,1.0
2458998,492273,01-10-2020,3.0
2459337,492276,02-10-2020,3.0
2459341,492276,02-10-2020,1.0
2462983,492313,21-09-2020,4.0
2462991,492313,21-09-2020,3.0
2459847,492314,09-09-2020,4.0
2460097,492321,06-10-2020,4.0
2460128,492326,14-09-2020,3.0
3038462,525095,24-12-2021,2.0
1019699,394029,01-04-2016,1.0
1019719,394029,01-04-2016,4.0
3038512,525107,21-12-2021,2.0
3038535,525109,22-12-2021,2.0
3038546,525109,22-12-2021,3.0
1021993,394043,31-03-2016,6.0
1046088,394060,18-05-2016,1.0
1046092,394060,18-05-2016,2.0
1465517,426828,10-01-2018,2.0
2488262,492373,26-09-2020,3.0
1958073,459611,02-07-2019,2.0
2462620,492402,28-09-2020,2.0
2461316,492416,21-09-2020,1.0
2471160,492432,14-09-2020,1.0
2498757,492432,02-10-2020,0.0
1489900,426905,08-02-2018,1.0
1489951,426905,15-02-2018,3.0
2553104,492458,13-11-2020,2.0
2553110,492458,13-11-2020,1.0
1042457,394164,30-03-2016,0.0
1042472,394164,30-03-2016,0.0
1020504,394168,01-04-2016,4.0
2538737,492481,30-10-2020,4.0
2479943,492483,18-09-2020,4.0
1058111,394188,10-06-2016,3.0
1020756,394193,07-04-2016,1.0
1471003,426976,17-01-2018,2.0
1471024,426976,17-01-2018,2.0
1956073,459747,18-06-2019,4.0
1956095,459747,18-06-2019,2.0
1956151,459747,19-06-2019,3.0
2462765,492546,15-09-2020,1.0
2462780,492546,15-09-2020,3.0
2477373,492551,18-09-2020,3.0
1546456,427028,20-04-2018,2.0
1537255,427028,13-04-2018,2.0
2463058,492565,21-09-2020,2.0
1021893,394266,05-04-2016,2.0
1467867,427035,15-01-2018,2.0
1467897,427035,15-01-2018,1.0
2463015,492570,22-09-2020,1.0
2463077,492573,15-09-2020,2.0
2463085,492573,15-09-2020,2.0
1044055,394277,12-05-2016,2.0
1044070,394277,12-05-2016,2.0
1469161,427049,22-01-2018,1.0
2463227,492586,22-09-2020,3.0
1022078,394283,12-04-2016,6.0
2463379,492598,23-09-2020,1.0
1031563,394298,18-04-2016,1.0
1949238,459834,12-06-2019,2.0
1949268,459834,12-06-2019,4.0
1022433,394313,31-05-2016,2.0
1064244,394347,16-06-2016,1.0
1064249,394347,16-06-2016,1.0
1987134,459933,12-07-2019,2.0
2507597,492712,20-11-2020,3.0
1469252,427188,01-02-2018,3.0
1967686,459959,26-06-2019,1.0
2022374,459959,29-07-2019,1.0
2022379,459959,29-07-2019,3.0
2022391,459959,29-07-2019,2.0
1469218,427198,16-01-2018,3.0
2626914,492747,13-01-2021,1.0
1024079,394451,30-05-2016,4.0
1045080,394452,13-05-2016,4.0
2466564,492775,15-09-2020,2.0
1024397,394475,07-04-2016,4.0
1044147,394477,04-05-2016,1.0
1042818,394477,11-05-2016,2.0
1050572,394477,26-05-2016,1.0
1050575,394477,26-05-2016,1.0
1057652,394477,09-06-2016,1.0
1057679,394477,09-06-2016,2.0
2467169,492788,16-09-2020,1.0
2467175,492788,16-09-2020,4.0
2467129,492793,21-09-2020,5.0
2467135,492793,21-09-2020,1.0
1035131,394494,25-04-2016,4.0
2494447,492801,30-09-2020,3.0
2573753,492801,24-11-2020,4.0
2468153,492824,10-09-2020,3.0
1470110,427297,26-01-2018,1.0
1475231,427298,17-01-2018,2.0
1937020,460067,04-06-2019,2.0
2476892,492837,06-10-2020,5.0
1937088,460071,02-08-2019,2.0
2573940,492855,24-11-2020,2.0
1501282,427321,02-03-2018,6.0
2065072,460090,19-07-2019,1.0
1958922,460090,11-07-2019,3.0
1943489,460106,24-06-2019,8.0
1473858,427367,18-01-2018,3.0
2468672,492905,15-09-2020,4.0
2468675,492905,15-09-2020,2.0
1938691,460147,11-06-2019,1.0
2000464,460147,15-07-2019,5.0
2000469,460147,15-07-2019,5.0
2000471,460147,15-07-2019,3.0
1502320,427397,17-01-2018,4.0
1502331,427397,17-01-2018,4.0
1026473,394630,11-04-2016,2.0
1027576,394631,13-04-2016,4.0
1027581,394631,13-04-2016,2.0
1026748,394637,18-04-2016,2.0
1028581,394640,13-04-2016,2.0
1027390,394641,12-04-2016,2.0
1027649,394645,12-04-2016,2.0
1040478,394648,09-05-2016,5.0
1040487,394648,09-05-2016,2.0
1041206,394652,06-05-2016,1.0
1949917,460200,13-06-2019,6.0
1027043,394670,13-04-2016,2.0
1948596,460209,12-06-2019,2.0
1948605,460209,12-06-2019,2.0
2469921,492982,22-09-2020,2.0
2470002,492985,22-09-2020,3.0
1475862,427450,18-01-2018,3.0
1939380,460223,21-06-2019,2.0
1471490,427460,24-01-2018,1.0
2490665,492999,28-09-2020,2.0
1471635,427474,17-01-2018,4.0
1939763,460248,06-06-2019,4.0
1939779,460248,06-06-2019,2.0
1471691,427492,24-01-2018,1.0
1471695,427492,24-01-2018,2.0
1939828,460261,12-06-2019,1.0
1939839,460261,12-06-2019,2.0
1043578,394729,12-05-2016,2.0
1472024,427518,22-01-2018,2.0
1976602,460289,04-06-2019,2.0
1472197,427526,17-01-2018,5.0
1039692,394774,02-05-2016,4.0
1063059,394778,20-06-2016,1.0
1159879,394778,20-06-2016,0.0
1472302,427548,12-01-2018,5.0
1940560,460317,19-06-2019,2.0
1940809,460337,14-06-2019,2.0
2480768,493116,18-09-2020,2.0
1031580,394814,18-04-2016,2.0
1031581,394814,18-04-2016,2.0
1028731,394817,18-04-2016,2.0
1472989,427600,17-01-2018,2.0
2484365,493151,01-10-2020,2.0
2568425,493151,30-10-2020,2.0
2568434,493151,30-10-2020,2.0
2383328,460396,01-07-2020,1.0
2383347,460396,01-07-2020,5.0
2383364,460396,01-07-2020,4.0
2473200,493169,29-09-2020,1.0
2473203,493169,29-09-2020,5.0
1942168,460409,13-06-2019,3.0
2101681,460410,25-10-2019,3.0
2101682,460410,25-10-2019,1.0
2473908,493203,25-09-2020,5.0
1485234,427675,02-02-2018,3.0
1485237,427675,02-02-2018,2.0
2473896,493222,29-09-2020,4.0
2479270,493227,25-09-2020,3.0
2479279,493227,25-09-2020,2.0
1474311,427695,19-01-2018,4.0
2474261,493234,25-09-2020,2.0
1954932,460469,14-06-2019,2.0
2474359,493250,02-10-2020,3.0
2474374,493250,02-10-2020,1.0
1478193,427733,24-01-2018,1.0
1478213,427738,24-01-2018,3.0
1478216,427738,24-01-2018,1.0
1474612,427742,19-01-2018,2.0
1031256,394995,26-04-2016,2.0
1943664,460533,14-06-2019,4.0
2475374,493305,23-09-2020,6.0
2475381,493305,23-09-2020,3.0
1031381,395012,20-04-2016,1.0
1510779,427784,16-03-2018,5.0
1035552,395022,25-04-2016,1.0
1035556,395022,25-04-2016,3.0
2477460,493338,28-09-2020,1.0
2477470,493338,28-09-2020,7.0
2477235,493357,23-09-2020,3.0
1031804,395076,20-04-2016,4.0
1482253,427875,29-01-2018,3.0
1945575,460643,14-06-2019,4.0
1477058,427893,29-01-2018,1.0
1477066,427893,29-01-2018,1.0
1477082,427893,29-01-2018,4.0
1946182,460679,11-06-2019,2.0
1475842,427914,31-01-2018,2.0
1946462,460684,28-06-2019,2.0
1051991,395153,30-05-2016,2.0
1953717,460694,13-06-2019,2.0
1953727,460694,13-06-2019,2.0
1041427,395167,10-05-2016,1.0
1033422,395168,25-04-2016,4.0
1033423,395168,25-04-2016,2.0
1476202,427937,01-02-2018,4.0
2000453,460703,15-07-2019,1.0
1476581,427943,13-02-2018,3.0
1512016,427958,28-02-2018,1.0
1523204,427958,28-02-2018,0.0
2478475,493503,28-09-2020,2.0
2561184,493519,16-11-2020,3.0
1476873,427992,23-01-2018,3.0
