,End_Order,End_Datum,Ret_Aantal
1810799,442375,29-01-2019,2.0
1939814,458766,03-06-2019,2.0
1939815,458766,03-06-2019,2.0
2165838,466970,11-12-2019,4.0
2522199,466970,22-10-2020,3.0
1678246,442399,21-09-2018,0.0
902899,385060,26-08-2015,3.0
902931,385060,26-08-2015,4.0
2185049,475190,14-01-2020,6.0
2185053,475190,14-01-2020,6.0
2521506,491577,09-10-2020,3.0
2521526,491577,09-10-2020,3.0
2743517,507968,21-05-2021,4.0
2743518,507968,21-05-2021,26.0
2743556,507968,21-05-2021,22.0
2743564,507968,21-05-2021,1.0
2743567,507968,21-05-2021,11.0
2743570,507968,21-05-2021,2.0
3021433,524357,16-12-2021,4.0
3021456,524357,16-12-2021,1.0
1454849,426054,20-12-2017,2.0
1020552,393291,30-03-2016,10.0
1631634,434253,25-07-2018,8.0
2762757,507998,12-05-2021,9.0
2762773,507998,12-05-2021,11.0
2595313,499814,08-12-2020,7.0
2595345,499814,08-12-2020,4.0
1695067,442470,01-10-2018,12.0
811778,376938,09-02-2015,6.0
811802,376938,09-02-2015,2.0
1957225,458871,19-06-2019,2.0
1515183,426104,03-04-2018,7.0
1515214,426104,03-04-2018,7.0
2875768,516219,25-08-2021,10.0
2875780,516219,25-08-2021,1.0
1696224,442493,03-10-2018,6.0
2876003,516225,25-08-2021,8.0
2876004,516225,25-08-2021,1.0
2879102,516228,26-08-2021,1.0
2879113,516228,26-08-2021,11.0
2377319,483468,14-05-2020,7.0
1454464,426126,11-12-2017,2.0
2796474,499854,28-05-2021,8.0
1452536,426133,12-12-2017,6.0
2492241,491670,30-09-2020,8.0
2492264,491670,30-09-2020,13.0
2492265,491670,30-09-2020,10.0
2492267,491670,30-09-2020,8.0
2492268,491670,30-09-2020,1.0
2492270,491670,30-09-2020,9.0
2492273,491670,30-09-2020,5.0
904148,385173,26-08-2015,6.0
1219707,409752,16-03-2017,3.0
1009854,393372,24-03-2016,6.0
1009857,393372,24-03-2016,4.0
2304373,483488,30-04-2020,2.0
904273,385188,19-08-2015,5.0
2732165,508072,20-05-2021,5.0
3024514,524460,15-12-2021,5.0
1567284,434353,16-05-2018,1.0
2785233,508091,20-05-2021,2.0
2785256,508091,20-05-2021,3.0
2186512,475335,16-01-2020,9.0
2744281,491729,21-04-2021,1.0
2744299,491729,21-04-2021,1.0
1050053,393426,25-05-2016,1.0
1050065,393426,25-05-2016,2.0
1050068,393426,25-05-2016,1.0
1056518,393426,07-06-2016,1.0
1056547,393426,07-06-2016,3.0
1056550,393426,07-06-2016,1.0
1056556,393426,07-06-2016,4.0
1092567,393426,29-07-2016,1.0
2186666,475347,17-01-2020,6.0
1467288,426202,09-01-2018,2.0
1467216,426202,08-01-2018,4.0
2726417,508129,08-04-2021,4.0
1019100,393443,24-03-2016,6.0
925946,385265,29-09-2015,5.0
955219,385265,09-11-2015,2.0
1937895,459000,03-06-2019,16.0
1937905,459000,03-06-2019,19.0
799783,377080,09-01-2015,6.0
2726768,508155,21-04-2021,1.0
799828,377093,13-01-2015,4.0
2568458,491785,30-10-2020,2.0
1023209,393483,01-04-2016,3.0
1024594,393484,11-04-2016,4.0
1024607,393484,11-04-2016,3.0
2450413,491804,02-09-2020,2.0
1694377,442664,01-10-2018,12.0
1817206,450857,05-02-2019,7.0
1817212,450857,05-02-2019,9.0
3027043,524597,23-12-2021,1.0
3027053,524597,23-12-2021,1.0
2188867,475446,15-01-2020,6.0
2188878,475446,15-01-2020,14.0
1681773,442681,24-09-2018,3.0
1681776,442681,24-09-2018,6.0
925897,385347,29-09-2015,2.0
955228,385347,09-11-2015,1.0
1117752,401736,26-09-2016,3.0
814070,377162,16-02-2015,7.0
814082,377162,16-02-2015,7.0
1682344,442702,26-09-2018,11.0
2907798,508242,01-09-2021,4.0
1232675,385369,24-03-2017,2.0
2882256,516456,05-08-2021,8.0
2882290,516461,05-08-2021,9.0
1807626,450955,24-01-2019,2.0
1807631,450955,24-01-2019,2.0
1455296,426383,21-12-2017,5.0
2744590,508310,20-04-2021,4.0
2784618,508310,21-05-2021,2.0
2784661,508310,21-05-2021,3.0
2941089,516505,28-09-2021,8.0
1886067,450984,12-04-2019,6.0
2352113,450984,11-06-2020,4.0
2352121,450984,11-06-2020,15.0
2352137,450984,11-06-2020,5.0
2352171,450984,11-06-2020,14.0
2352178,450984,11-06-2020,8.0
2190233,475580,24-01-2020,2.0
2904087,516543,26-08-2021,4.0
2904093,516543,26-08-2021,6.0
2951243,516551,07-10-2021,4.0
1340648,418251,14-08-2017,4.0
1340680,418251,14-08-2017,4.0
1564102,434636,25-05-2018,3.0
2731439,508378,21-04-2021,5.0
1706506,442849,11-10-2018,5.0
1686550,442858,21-09-2018,6.0
1458783,426482,22-12-2017,7.0
908443,385523,28-08-2015,2.0
908458,385523,28-08-2015,3.0
908466,385523,28-08-2015,1.0
908485,385523,28-08-2015,5.0
1818844,451064,18-02-2019,11.0
1818846,451064,18-02-2019,1.0
1818876,451064,18-02-2019,12.0
1458168,426498,22-12-2017,14.0
1458177,426498,22-12-2017,13.0
1868021,451075,01-04-2019,19.0
1868027,451075,01-04-2019,5.0
1868029,451075,01-04-2019,16.0
3030849,524806,20-12-2021,4.0
3030860,524806,20-12-2021,5.0
908769,385561,08-09-2015,6.0
908777,385561,08-09-2015,8.0
1015825,393761,23-03-2016,4.0
2731358,508450,30-04-2021,2.0
2731380,508450,30-04-2021,2.0
2731401,508451,22-04-2021,4.0
2885740,516641,05-08-2021,11.0
2885832,516643,09-08-2021,8.0
807867,377396,30-01-2015,3.0
1120250,401976,05-10-2016,4.0
1120260,401976,05-10-2016,5.0
2192620,475704,29-01-2020,5.0
2191677,475704,22-01-2020,1.0
2962258,516671,19-10-2021,5.0
2962277,516671,19-10-2021,1.0
2962280,516671,19-10-2021,11.0
2962281,516671,19-10-2021,3.0
2962308,516671,19-10-2021,9.0
2962336,516671,19-10-2021,14.0
2962351,516671,19-10-2021,1.0
2962203,516671,17-10-2021,4.0
