,End_Order,End_Datum,Ret_Aantal
1008716,393231,10-03-2016,5.0
1941249,458768,04-06-2019,2.0
1449481,426001,14-12-2017,3.0
1008850,393244,11-03-2016,6.0
1459594,426013,19-12-2017,5.0
1481890,426017,29-01-2018,3.0
1917969,458785,15-05-2019,4.0
1949436,458800,16-05-2019,5.0
1453828,426040,11-12-2017,5.0
3032663,524345,22-12-2021,5.0
1918156,458817,15-05-2019,1.0
2447744,491597,31-08-2020,6.0
1450424,426065,13-12-2017,4.0
2447672,491602,23-09-2020,4.0
1024034,393312,11-03-2016,4.0
1482026,426080,31-01-2018,10.0
2498089,491618,02-10-2020,12.0
1032884,393315,15-04-2016,12.0
2025348,458857,26-08-2019,4.0
1918633,458865,21-05-2019,2.0
1922450,458866,15-05-2019,4.0
1009534,393331,15-03-2016,3.0
1012777,393333,15-03-2016,7.0
1451087,426102,22-12-2017,4.0
1451080,426103,13-12-2017,2.0
1461396,426137,19-12-2017,9.0
1011314,393370,14-03-2016,5.0
1451688,426139,11-12-2017,5.0
1451807,426140,18-12-2017,6.0
1919546,458905,11-05-2019,2.0
2448822,491683,04-09-2020,4.0
2461690,491688,09-09-2020,5.0
2461708,491688,09-09-2020,13.0
1919726,458923,11-04-2019,11.0
2448965,491693,23-10-2020,7.0
1451893,426158,09-01-2018,5.0
1011364,393391,14-03-2016,5.0
1981519,458929,26-06-2019,5.0
1982511,458929,10-07-2019,4.0
1929687,458936,21-05-2019,54.0
2161138,458936,05-12-2019,2.0
1459372,426171,18-12-2017,7.0
1459448,426172,19-12-2017,4.0
2459798,491711,30-08-2020,2.0
2459814,491711,05-09-2020,2.0
1459460,426177,20-12-2017,5.0
2516929,491715,20-10-2020,4.0
2516893,491721,20-10-2020,2.0
1011381,393421,14-03-2016,5.0
1989300,458964,15-07-2019,10.0
2449579,491744,02-09-2020,2.0
2459883,491747,03-09-2020,1.0
2516840,491749,20-10-2020,4.0
2551377,491751,21-10-2020,2.0
2449859,491758,08-09-2020,1.0
2449865,491758,08-09-2020,1.0
1955475,459006,18-06-2019,1.0
1955484,459006,18-06-2019,8.0
1921451,459031,23-05-2019,6.0
1921166,459034,15-05-2019,1.0
1940969,459038,07-06-2019,12.0
2458441,491814,08-09-2020,8.0
2458455,491814,08-09-2020,2.0
2459076,491815,09-09-2020,7.0
2461569,491816,14-09-2020,3.0
2459925,491816,11-09-2020,2.0
2493831,491816,01-10-2020,2.0
2521273,491816,22-10-2020,4.0
2465323,491817,16-09-2020,4.0
2465372,491817,16-09-2020,1.0
2521257,491817,22-10-2020,2.0
1928180,459050,17-05-2019,5.0
2465383,491818,16-09-2020,8.0
2465385,491818,16-09-2020,2.0
2450842,491820,04-09-2020,8.0
1011560,393518,14-03-2016,4.0
2460388,491824,16-09-2020,5.0
2521246,491824,22-10-2020,2.0
2465811,491825,17-09-2020,25.0
1453926,426299,14-12-2017,5.0
2451143,491835,11-09-2020,4.0
2451191,491839,11-09-2020,3.0
1662895,426316,28-08-2018,2.0
1662909,426316,28-08-2018,6.0
1011766,393559,17-03-2016,2.0
1011789,393560,21-03-2016,7.0
1011818,393561,05-04-2016,2.0
1026587,393562,08-04-2016,2.0
1026591,393562,08-04-2016,7.0
2466938,491870,18-09-2020,4.0
2476236,491871,17-09-2020,3.0
2458526,491872,08-09-2020,2.0
2459450,491873,09-09-2020,6.0
1454444,426341,15-12-2017,9.0
1571801,426341,16-05-2018,2.0
2494466,491885,02-10-2020,5.0
2494491,491885,02-10-2020,3.0
2466810,491886,16-09-2020,6.0
2473025,491887,18-09-2020,17.0
2464463,491888,24-09-2020,9.0
2548126,491891,06-10-2020,7.0
2491170,491891,05-10-2020,4.0
2467725,491892,10-09-2020,4.0
1020173,393593,01-04-2016,12.0
2487602,491921,30-09-2020,5.0
1930406,459159,24-05-2019,10.0
1012665,393639,24-03-2016,3.0
2468558,491950,25-09-2020,10.0
1465874,426415,21-12-2017,6.0
1926641,459185,23-05-2019,3.0
3032903,524724,15-12-2021,2.0
1456921,426422,14-12-2017,5.0
2460171,491959,03-09-2020,1.0
1456188,426426,27-11-2017,11.0
1472599,426440,12-01-2018,4.0
1923328,459209,17-05-2019,2.0
2497497,491977,02-10-2020,5.0
1985538,459213,12-07-2019,8.0
2029093,459213,29-08-2019,3.0
2499993,491981,07-10-2020,2.0
2499999,491981,07-10-2020,4.0
1924413,459220,21-06-2019,3.0
1939703,459225,17-06-2019,2.0
1939715,459225,17-06-2019,3.0
1014324,393696,18-03-2016,2.0
1499740,426467,27-02-2018,7.0
1460231,426469,22-12-2017,2.0
1020699,393702,01-04-2016,3.0
1020704,393702,01-04-2016,5.0
2454828,492027,08-09-2020,6.0
1021311,393740,01-04-2016,1.0
1021339,393740,01-04-2016,20.0
1458447,426513,08-12-2017,6.0
2482599,492065,24-09-2020,5.0
1542403,426549,18-04-2018,15.0
1018729,393784,23-03-2016,16.0
1459183,426552,08-12-2017,4.0
1925618,459331,28-05-2019,1.0
1466969,426565,19-01-2018,14.0
1026043,393798,06-04-2016,6.0
1925767,459338,21-05-2019,4.0
1016629,393824,23-03-2016,6.0
2489193,492134,14-09-2020,4.0
1016659,393833,22-03-2016,2.0
1460541,426601,21-12-2017,3.0
1932034,459373,07-06-2019,8.0
2462058,492149,07-09-2020,2.0
1069993,393847,02-08-2016,6.0
1092507,393847,08-08-2016,3.0
1945169,459387,05-06-2019,5.0
2456933,492156,07-09-2020,2.0
2016093,459389,15-07-2019,3.0
1926931,459395,20-05-2019,4.0
2798098,492170,01-06-2021,8.0
2798112,492170,01-06-2021,8.0
2465182,492176,18-09-2020,14.0
2457576,492195,14-09-2020,5.0
1461332,426664,30-10-2017,5.0
1937803,459444,31-05-2019,6.0
1937804,459444,31-05-2019,8.0
1946483,459444,07-06-2019,4.0
1067420,393921,24-06-2016,3.0
2461783,492226,04-09-2020,2.0
1042919,393932,10-05-2016,9.0
2468520,492249,12-09-2020,8.0
1023362,393948,01-04-2016,19.0
2458694,492258,11-09-2020,3.0
2518911,492263,30-10-2020,2.0
1480021,426732,26-01-2018,8.0
2458918,492268,25-09-2020,19.0
1468925,426735,12-01-2018,4.0
1468737,426740,11-01-2018,7.0
1468430,426741,09-01-2018,5.0
1469092,426742,18-01-2018,8.0
1525565,426743,04-04-2018,5.0
1928403,459509,29-05-2019,5.0
1928360,459513,24-05-2019,5.0
1962820,459523,21-06-2019,5.0
2026280,459523,19-07-2019,1.0
2026282,459523,19-07-2019,2.0
2040445,459523,09-09-2019,10.0
2608747,492294,18-12-2020,3.0
1928605,459533,03-06-2019,6.0
2459528,492304,11-09-2020,5.0
1950195,459544,09-06-2019,8.0
1929500,459549,07-06-2019,11.0
1932290,459550,03-06-2019,8.0
1932318,459550,03-06-2019,2.0
2611892,492327,22-12-2020,11.0
1965636,459562,24-06-2019,10.0
1929196,459563,28-06-2019,9.0
1025806,394032,08-04-2016,4.0
1950218,459569,09-06-2019,13.0
1029434,394036,14-04-2016,6.0
2460312,492341,14-09-2020,6.0
1933111,459581,21-06-2019,4.0
1960674,459581,24-06-2019,12.0
2460451,492352,11-09-2020,2.0
1948838,459595,09-06-2019,7.0
1948858,459598,09-06-2019,10.0
1948887,459602,09-06-2019,13.0
1948920,459604,09-06-2019,7.0
2460730,492382,14-09-2020,4.0
1572627,426847,18-05-2018,6.0
1929983,459632,27-05-2019,5.0
2558938,492400,13-11-2020,2.0
2558943,492400,13-11-2020,5.0
2599012,492400,08-12-2020,3.0
1466119,426871,12-01-2018,12.0
2582875,492414,01-12-2020,1.0
1466173,426881,19-01-2018,11.0
1930320,459657,07-06-2019,8.0
1949991,459657,12-06-2019,1.0
2471845,492427,17-09-2020,12.0
1980596,459663,08-07-2019,2.0
1943432,459664,06-06-2019,2.0
1980710,459664,25-06-2019,9.0
