,Ing_Order,Ing_Datum,Ing_Aantal
1110463,393231,07-03-2016,5.0
2050076,458768,10-05-2019,2.0
1570984,426001,14-12-2017,3.0
1110567,393244,07-03-2016,6.0
1571118,426013,06-12-2017,5.0
1583145,426017,15-01-2018,3.0
2050342,458785,15-05-2019,4.0
2050468,458800,09-05-2019,5.0
1571313,426040,07-12-2017,5.0
3158476,524345,09-12-2021,5.0
2050826,458817,14-05-2019,1.0
2588015,491597,31-08-2020,6.0
1571777,426065,12-12-2017,4.0
2588115,491602,31-08-2020,4.0
1111096,393312,08-03-2016,4.0
1571999,426080,15-12-2017,10.0
2588492,491618,28-08-2020,12.0
1111400,393315,14-03-2016,12.0
2151313,458857,19-08-2019,4.0
2051211,458865,21-05-2019,2.0
2051315,458866,13-05-2019,4.0
1111317,393331,08-03-2016,3.0
1111366,393333,08-03-2016,7.0
1572246,426102,12-12-2017,4.0
1572274,426103,13-12-2017,2.0
1572721,426137,08-12-2017,9.0
1111858,393370,10-03-2016,5.0
1572782,426139,11-12-2017,5.0
1572846,426140,12-12-2017,6.0
2051873,458905,11-05-2019,2.0
2589498,491683,02-09-2020,4.0
2589670,491688,31-08-2020,13.0
2601165,491688,07-09-2020,5.0
2052133,458923,11-03-2019,11.0
2589621,491693,31-08-2020,7.0
1573024,426158,09-01-2018,5.0
1112139,393391,10-03-2016,5.0
2052152,458929,06-05-2019,9.0
2052849,458936,15-05-2019,56.0
1578493,426169,18-12-2017,4.0
1578200,426171,18-12-2017,7.0
1578417,426172,19-12-2017,4.0
2590001,491711,30-08-2020,2.0
2601241,491711,05-09-2020,2.0
1578454,426177,20-12-2017,5.0
2589881,491715,28-08-2020,4.0
2590123,491721,31-08-2020,2.0
1112346,393421,10-03-2016,5.0
2053692,458964,24-05-2019,10.0
2590380,491744,01-09-2020,2.0
2590786,491747,30-08-2020,1.0
2590683,491749,21-09-2020,4.0
2590731,491751,27-08-2020,2.0
2590937,491758,31-08-2020,1.0
2595031,491758,01-09-2020,1.0
1573767,426237,11-12-2017,1.0
2054234,459006,20-05-2019,8.0
2054274,459006,20-05-2019,6.0
2054040,459031,21-05-2019,6.0
2053684,459034,15-05-2019,1.0
2055872,459038,16-05-2019,12.0
2596510,491814,07-09-2020,8.0
2600083,491814,07-09-2020,2.0
2600716,491815,08-09-2020,7.0
2601471,491816,10-09-2020,11.0
2603176,491817,14-09-2020,4.0
2603230,491817,14-09-2020,3.0
2053921,459050,14-05-2019,5.0
2607821,491818,14-09-2020,8.0
2612383,491818,14-09-2020,2.0
2592210,491820,02-09-2020,8.0
1113698,393518,14-03-2016,4.0
2601899,491824,14-09-2020,7.0
2608497,491825,17-09-2020,25.0
1574338,426299,12-12-2017,5.0
2592462,491835,04-09-2020,4.0
2592535,491839,09-09-2020,3.0
1575532,426316,21-12-2017,6.0
1687448,426316,08-05-2018,2.0
1114211,393559,15-03-2016,2.0
1114239,393560,21-03-2016,7.0
1114300,393561,05-04-2016,2.0
1114399,393562,04-04-2016,7.0
1114401,393562,04-04-2016,2.0
2609590,491870,18-09-2020,4.0
2618199,491871,16-09-2020,3.0
2600124,491872,07-09-2020,2.0
2601026,491873,09-09-2020,6.0
1574896,426341,13-12-2017,11.0
2616784,491885,16-09-2020,3.0
2610404,491885,12-09-2020,5.0
2609347,491886,15-09-2020,6.0
2593437,491887,07-09-2020,17.0
2607323,491888,10-09-2020,9.0
2595215,491891,08-09-2020,11.0
2593493,491892,02-09-2020,4.0
1114677,393593,17-03-2016,12.0
2632578,491921,30-09-2020,5.0
2055271,459159,17-05-2019,10.0
1115162,393639,22-03-2016,3.0
2611467,491950,14-09-2020,10.0
1581592,426415,21-12-2017,6.0
2059317,459185,17-05-2019,3.0
3164236,524724,10-12-2021,2.0
1576354,426422,14-12-2017,5.0
