,End_Order,End_Datum,Ret_Aantal
1008708,393231,10-03-2016,2.0
1941255,458768,04-06-2019,2.0
1449472,426001,14-12-2017,4.0
2031932,458772,30-08-2019,33.0
2198433,458772,30-08-2019,3.0
1008849,393244,11-03-2016,2.0
1459597,426013,19-12-2017,4.0
1459607,426013,19-12-2017,2.0
1917951,458785,15-05-2019,2.0
1917952,458785,15-05-2019,3.0
1949450,458800,16-05-2019,5.0
3032656,524345,22-12-2021,1.0
3032684,524345,22-12-2021,10.0
1918153,458817,15-05-2019,4.0
1918166,458817,15-05-2019,1.0
2447746,491597,31-08-2020,4.0
1450413,426065,13-12-2017,2.0
1450434,426065,13-12-2017,3.0
2447686,491602,23-09-2020,4.0
1024045,393312,11-03-2016,2.0
1482035,426080,31-01-2018,3.0
2498059,491618,02-10-2020,3.0
1032915,393315,15-04-2016,12.0
2025349,458857,26-08-2019,4.0
1918627,458865,21-05-2019,4.0
1918636,458865,21-05-2019,4.0
1009533,393331,15-03-2016,3.0
1918646,458867,15-05-2019,2.0
1918658,458867,15-05-2019,4.0
1012767,393333,15-03-2016,5.0
1012776,393333,15-03-2016,5.0
1451084,426102,22-12-2017,2.0
1451062,426103,13-12-2017,5.0
1451083,426103,13-12-2017,3.0
1451560,426127,14-12-2017,4.0
1461391,426137,19-12-2017,6.0
1011338,393370,14-03-2016,4.0
1451687,426139,11-12-2017,3.0
1451774,426140,18-12-2017,3.0
1451675,426145,13-12-2017,6.0
2448830,491683,04-09-2020,7.0
2461664,491688,09-09-2020,3.0
2461688,491688,09-09-2020,2.0
2448932,491693,23-10-2020,2.0
1451907,426158,09-01-2018,6.0
1011366,393391,14-03-2016,4.0
1925853,458931,16-05-2019,1.0
1929688,458936,21-05-2019,18.0
1929694,458936,21-05-2019,40.0
2044419,458936,09-09-2019,1.0
1459374,426171,18-12-2017,2.0
1459389,426171,18-12-2017,6.0
1459438,426172,19-12-2017,4.0
2459812,491711,05-09-2020,2.0
2459821,491711,05-09-2020,3.0
1471116,426176,14-12-2017,2.0
1459467,426177,20-12-2017,7.0
2516935,491715,20-10-2020,2.0
2516936,491715,20-10-2020,1.0
