,Ing_Order,Ing_Datum,Ing_Aantal
1110460,393231,07-03-2016,2.0
2050065,458768,10-05-2019,2.0
1570992,426001,14-12-2017,4.0
2050304,458772,13-05-2019,36.0
1110569,393244,07-03-2016,2.0
1571119,426013,06-12-2017,2.0
1571127,426013,06-12-2017,4.0
2050329,458785,15-05-2019,2.0
2050349,458785,15-05-2019,3.0
2050466,458800,09-05-2019,5.0
3158494,524345,09-12-2021,1.0
3158495,524345,09-12-2021,10.0
1571473,426045,07-12-2017,3.0
2050837,458817,14-05-2019,4.0
2050839,458817,14-05-2019,1.0
2588037,491597,31-08-2020,4.0
1571768,426065,12-12-2017,2.0
1571793,426065,12-12-2017,3.0
2588112,491602,31-08-2020,4.0
1111093,393312,08-03-2016,2.0
1571993,426080,15-12-2017,3.0
2588546,491618,28-08-2020,3.0
1111384,393315,14-03-2016,12.0
2151315,458857,19-08-2019,4.0
2051216,458865,21-05-2019,4.0
2051217,458865,21-05-2019,4.0
1111313,393331,08-03-2016,3.0
2051250,458867,15-05-2019,2.0
2051253,458867,15-05-2019,4.0
1111351,393333,08-03-2016,5.0
1111359,393333,08-03-2016,5.0
1572249,426102,12-12-2017,2.0
1572256,426103,13-12-2017,5.0
1572275,426103,13-12-2017,3.0
1572548,426127,11-12-2017,4.0
1572722,426137,08-12-2017,6.0
1111863,393370,10-03-2016,4.0
1572781,426139,11-12-2017,3.0
1572842,426140,12-12-2017,3.0
1572773,426145,13-12-2017,6.0
2589500,491683,02-09-2020,7.0
2589668,491688,31-08-2020,2.0
2589684,491688,31-08-2020,3.0
2589633,491693,31-08-2020,2.0
1573010,426158,09-01-2018,6.0
1112136,393391,10-03-2016,4.0
2052175,458931,13-05-2019,1.0
2052847,458936,15-05-2019,19.0
2052853,458936,15-05-2019,40.0
1578497,426169,18-12-2017,5.0
1578203,426171,18-12-2017,6.0
1578226,426171,18-12-2017,2.0
1578420,426172,19-12-2017,4.0
2589993,491711,30-08-2020,2.0
2589998,491711,30-08-2020,3.0
1576677,426176,14-12-2017,2.0
1578477,426177,20-12-2017,7.0
2589865,491715,28-08-2020,2.0
2589873,491715,28-08-2020,1.0
2590132,491721,31-08-2020,3.0
1112335,393421,10-03-2016,4.0
2053704,458964,24-05-2019,1.0
2053720,458964,24-05-2019,3.0
2590373,491744,01-09-2020,2.0
2590378,491744,01-09-2020,2.0
2590776,491747,30-08-2020,5.0
2590661,491749,21-09-2020,2.0
1576245,426214,13-12-2017,4.0
2590728,491751,27-08-2020,2.0
1573777,426237,11-12-2017,4.0
1573778,426237,11-12-2017,4.0
2054235,459006,20-05-2019,5.0
2054279,459006,20-05-2019,7.0
2054045,459031,21-05-2019,4.0
2054052,459031,21-05-2019,2.0
2053676,459034,15-05-2019,2.0
2055875,459038,16-05-2019,4.0
2055924,459038,16-05-2019,3.0
2596474,491814,07-09-2020,4.0
2596495,491814,07-09-2020,3.0
2600094,491814,07-09-2020,2.0
2600693,491815,08-09-2020,1.0
2600721,491815,08-09-2020,3.0
2601477,491816,10-09-2020,3.0
2601480,491816,10-09-2020,3.0
2603165,491817,14-09-2020,1.0
2603175,491817,14-09-2020,2.0
2607818,491818,14-09-2020,2.0
2607840,491818,14-09-2020,2.0
2607852,491818,14-09-2020,3.0
2592207,491820,02-09-2020,5.0
1113694,393518,14-03-2016,3.0
2601901,491824,14-09-2020,5.0
2608484,491825,17-09-2020,12.0
2608503,491825,17-09-2020,4.0
1574351,426299,12-12-2017,1.0
1574358,426299,12-12-2017,1.0
2592477,491835,04-09-2020,3.0
2592478,491835,04-09-2020,3.0
2592525,491839,09-09-2020,1.0
2592539,491839,09-09-2020,1.0
1113945,393545,14-03-2016,6.0
1575521,426316,21-12-2017,6.0
1114194,393559,15-03-2016,2.0
1114227,393560,21-03-2016,2.0
1114252,393560,21-03-2016,3.0
1114290,393561,05-04-2016,4.0
1114344,393562,04-04-2016,10.0
1114398,393562,04-04-2016,3.0
2609584,491870,18-09-2020,2.0
2609586,491870,18-09-2020,1.0
2618207,491871,16-09-2020,2.0
2618210,491871,16-09-2020,4.0
2600129,491872,07-09-2020,2.0
2601033,491873,09-09-2020,2.0
1574889,426341,13-12-2017,1.0
1574903,426341,13-12-2017,1.0
2610408,491885,12-09-2020,2.0
2610412,491885,12-09-2020,4.0
2609350,491886,15-09-2020,2.0
2593424,491887,07-09-2020,3.0
2593443,491887,07-09-2020,4.0
2595178,491891,08-09-2020,4.0
2595206,491891,08-09-2020,2.0
2593487,491892,02-09-2020,2.0
2596746,491896,03-09-2020,1.0
2596752,491896,03-09-2020,3.0
1114683,393593,17-03-2016,4.0
1114692,393593,17-03-2016,6.0
2632589,491921,30-09-2020,2.0
2632614,491921,30-09-2020,5.0
2055229,459157,20-05-2019,2.0
1115156,393639,22-03-2016,3.0
2611472,491950,14-09-2020,5.0
1581599,426415,21-12-2017,2.0
2059302,459185,17-05-2019,2.0
2059311,459185,17-05-2019,2.0
3164231,524724,10-12-2021,2.0
1576340,426422,14-12-2017,5.0
1576359,426422,14-12-2017,2.0
1576365,426422,14-12-2017,3.0
2595040,491959,02-09-2020,2.0
1576393,426426,02-11-2017,4.0
1576400,426426,02-11-2017,2.0
1581609,426440,08-01-2018,4.0
1581624,426440,08-01-2018,2.0
2056500,459209,16-05-2019,2.0
2595339,491977,21-09-2020,6.0
2088338,459213,19-06-2019,8.0
2595429,491981,04-09-2020,2.0
2057420,459220,17-06-2019,5.0
2056640,459225,16-05-2019,4.0
2056642,459225,16-05-2019,3.0
2056663,459225,16-05-2019,3.0
1116093,393696,18-03-2016,3.0
1576926,426467,05-01-2018,4.0
1576958,426469,18-12-2017,4.0
1116159,393702,16-03-2016,3.0
1116227,393706,21-03-2016,4.0
1116499,393718,22-03-2016,4.0
1116543,393720,23-03-2016,4.0
1116584,393721,23-03-2016,4.0
2596083,492027,07-09-2020,3.0
2596091,492027,07-09-2020,4.0
1117217,393734,21-03-2016,2.0
1117382,393740,29-03-2016,4.0
1117383,393740,29-03-2016,1.0
1117460,393740,29-03-2016,5.0
2596527,492045,02-09-2020,10.0
1577694,426513,06-12-2017,2.0
1577920,426528,22-12-2017,2.0
2596713,492065,03-09-2020,5.0
2596715,492065,03-09-2020,6.0
1578145,426549,18-12-2017,2.0
1578155,426552,05-12-2017,4.0
2058342,459331,27-05-2019,8.0
2058351,459331,27-05-2019,1.0
1582564,426565,18-01-2018,9.0
1118399,393798,04-04-2016,3.0
1118407,393798,04-04-2016,1.0
2597641,492102,07-09-2020,6.0
1118692,393824,21-03-2016,3.0
2598241,492134,07-09-2020,5.0
1118728,393833,21-03-2016,3.0
2064873,459373,27-05-2019,4.0
2059288,459387,20-05-2019,3.0
2598547,492156,07-09-2020,2.0
2067081,459389,27-05-2019,6.0
2067087,459389,27-05-2019,1.0
2599644,492162,04-09-2020,4.0
2599649,492162,04-09-2020,2.0
2599674,492162,04-09-2020,2.0
2059417,459395,20-05-2019,5.0
2599798,492165,04-09-2020,2.0
2599806,492165,04-09-2020,7.0
2599838,492170,06-09-2020,8.0
2605740,492170,09-09-2020,1.0
2607900,492176,16-09-2020,5.0
2607941,492176,16-09-2020,3.0
2607943,492176,16-09-2020,3.0
3167249,524947,17-12-2021,4.0
1120033,393932,29-03-2016,3.0
2600228,492249,04-09-2020,6.0
2600237,492249,04-09-2020,2.0
1121091,393948,21-03-2016,3.0
1121103,393948,21-03-2016,11.0
2600347,492258,11-09-2020,3.0
2600410,492263,08-09-2020,3.0
2600421,492263,08-09-2020,1.0
1580202,426732,15-01-2018,2.0
2600555,492268,14-09-2020,6.0
2600569,492268,14-09-2020,3.0
2600589,492268,14-09-2020,2.0
1584895,426735,11-01-2018,4.0
1584749,426740,10-01-2018,4.0
1580304,426741,08-01-2018,4.0
1585212,426742,16-01-2018,1.0
1585221,426742,16-01-2018,5.0
1626102,426743,19-03-2018,4.0
2060815,459509,28-05-2019,4.0
2060816,459509,28-05-2019,4.0
2060771,459513,23-05-2019,3.0
2060920,459523,22-05-2019,2.0
