,End_Order,End_Datum,Ret_Aantal
1119984,401411,22-09-2016,2.0
2793095,507909,31-05-2021,7.0
2793115,507909,31-05-2021,17.0
2793142,507909,31-05-2021,10.0
2793151,507909,31-05-2021,14.0
2793165,507909,31-05-2021,2.0
2892126,516102,24-08-2021,1.0
2892155,516102,24-08-2021,1.0
1234270,409610,29-03-2017,1.0
1234290,409610,29-03-2017,4.0
1234308,409610,29-03-2017,5.0
1243288,409610,07-04-2017,7.0
1243300,409610,07-04-2017,5.0
1243305,409610,07-04-2017,10.0
1256476,409610,28-04-2017,12.0
1260425,409610,02-05-2017,4.0
1260426,409610,02-05-2017,23.0
1465707,417802,20-12-2017,12.0
2799363,507916,09-06-2021,4.0
2799434,507916,09-06-2021,4.0
2799435,507916,09-06-2021,6.0
2799467,507916,09-06-2021,9.0
2873611,516107,30-07-2021,2.0
1630849,434191,18-07-2018,16.0
1362769,417814,08-09-2017,9.0
2593633,499742,22-12-2020,4.0
2112368,466978,05-11-2019,3.0
2324860,483368,13-05-2020,3.0
2302378,483368,02-06-2020,4.0
2302399,483368,02-06-2020,5.0
2350813,483369,15-06-2020,7.0
2350831,483369,15-06-2020,1.0
2350839,483369,15-06-2020,1.0
2350846,483369,15-06-2020,7.0
2344217,483369,04-06-2020,1.0
2344233,483369,04-06-2020,4.0
2602913,499754,09-12-2020,3.0
2602914,499754,09-12-2020,2.0
1723174,442410,26-10-2018,6.0
1723208,442410,26-10-2018,5.0
1722823,442414,26-10-2018,3.0
1722829,442414,26-10-2018,3.0
1722831,442414,26-10-2018,2.0
1722850,442414,26-10-2018,2.0
1333617,417838,25-08-2017,20.0
1418535,417839,10-11-2017,13.0
1418565,417839,10-11-2017,22.0
1333649,417840,25-08-2017,12.0
2466533,491574,11-09-2020,2.0
2466541,491574,11-09-2020,2.0
1453852,426040,11-12-2017,4.0
1453854,426040,11-12-2017,2.0
1681055,442425,14-09-2018,1.0
1681056,442425,14-09-2018,4.0
2783745,507961,19-05-2021,5.0
2783754,507961,19-05-2021,3.0
2594072,499772,05-01-2021,4.0
2594104,499772,05-01-2021,3.0
2594694,499774,17-12-2020,3.0
