,Ing_Order,Ing_Datum,Ing_Aantal
1229705,401411,21-09-2016,2.0
2868344,507909,19-04-2021,7.0
2868360,507909,19-04-2021,14.0
2868380,507909,19-04-2021,10.0
2868407,507909,19-04-2021,17.0
2896854,507909,22-04-2021,2.0
3014886,516102,23-07-2021,1.0
3014921,516102,23-07-2021,1.0
1334255,409610,22-03-2017,25.0
1334294,409610,22-03-2017,38.0
1334325,409610,22-03-2017,8.0
1449765,417802,17-08-2017,12.0
2868835,507916,19-04-2021,9.0
2868838,507916,19-04-2021,4.0
2868841,507916,19-04-2021,6.0
2897910,507916,23-04-2021,4.0
3014964,516107,29-07-2021,2.0
1682893,434191,07-05-2018,16.0
1457593,417814,07-08-2017,9.0
2735155,499742,21-12-2020,4.0
2181521,466978,13-09-2019,3.0
2444778,483368,08-05-2020,7.0
2444799,483368,08-05-2020,5.0
2444871,483369,02-06-2020,4.0
2444873,483369,02-06-2020,7.0
2444877,483369,02-06-2020,8.0
2488933,483369,04-06-2020,1.0
2495468,483369,04-06-2020,1.0
2735318,499754,08-12-2020,3.0
2735319,499754,08-12-2020,2.0
1829471,442410,08-10-2018,5.0
1829547,442410,08-10-2018,6.0
1829121,442414,08-10-2018,2.0
1829127,442414,08-10-2018,3.0
1829141,442414,08-10-2018,2.0
1829163,442414,08-10-2018,3.0
1450372,417838,21-08-2017,20.0
1451427,417839,21-08-2017,23.0
1451430,417839,21-08-2017,13.0
1450406,417840,21-08-2017,12.0
2594547,491574,04-09-2020,2.0
2594551,491574,04-09-2020,2.0
1571295,426040,07-12-2017,2.0
1571324,426040,07-12-2017,4.0
1807074,442425,12-09-2018,1.0
1807078,442425,12-09-2018,4.0
2869448,507961,02-04-2021,5.0
2869450,507961,02-04-2021,3.0
2735545,499772,04-01-2021,3.0
2735561,499772,04-01-2021,4.0
2735878,499774,12-12-2020,3.0
2735620,499777,16-12-2020,9.0
2869581,507973,03-05-2021,5.0
2869602,507973,03-05-2021,6.0
2588031,491597,31-08-2020,6.0
2588032,491597,31-08-2020,4.0
2870307,507983,02-04-2021,4.0
2870323,507983,02-04-2021,11.0
2195397,467024,25-09-2019,7.0
2195450,467024,25-09-2019,14.0
2195464,467024,25-09-2019,8.0
2236680,467024,23-10-2019,5.0
1571794,426065,12-12-2017,9.0
1571796,426065,12-12-2017,5.0
3018400,516176,03-09-2021,3.0
3018410,516176,03-09-2021,5.0
2870664,507987,07-04-2021,6.0
2870669,507987,07-04-2021,1.0
1712620,434263,05-06-2018,1.0
2220080,467032,21-10-2019,14.0
2220085,467032,21-10-2019,2.0
2220087,467032,21-10-2019,17.0
2220106,467032,21-10-2019,3.0
3018474,516188,31-08-2021,7.0
3018486,516188,31-08-2021,7.0
1571992,426080,15-12-2017,9.0
1572010,426080,15-12-2017,8.0
1227823,401505,01-10-2016,18.0
1227828,401505,01-10-2016,15.0
2588485,491618,28-08-2020,18.0
2185048,467041,27-09-2019,2.0
2185049,467041,27-09-2019,3.0
2185072,467041,27-09-2019,20.0
2185108,467041,27-09-2019,20.0
2185129,467041,27-09-2019,5.0
3017526,516194,27-08-2021,6.0
3073453,516194,29-09-2021,6.0
1230535,401510,03-10-2016,20.0
1230537,401510,03-10-2016,19.0
3016673,516203,02-08-2021,4.0
1841110,442479,22-10-2018,4.0
1453103,417904,27-07-2017,2.0
2446071,483440,04-05-2020,5.0
2446089,483440,04-05-2020,5.0
1926835,450674,28-01-2019,7.0
2446197,483442,04-05-2020,5.0
2446199,483442,04-05-2020,4.0
1111364,393333,08-03-2016,10.0
2736894,499835,09-12-2020,3.0
2736917,499835,09-12-2020,2.0
2736933,499835,09-12-2020,7.0
1926969,450684,21-01-2019,5.0
1926970,450684,21-01-2019,5.0
1684343,434305,07-05-2018,2.0
1929315,450697,24-01-2019,8.0
1929359,450697,24-01-2019,7.0
2870848,508049,08-04-2021,6.0
1937455,450713,31-01-2019,5.0
1937472,450713,31-01-2019,5.0
1111856,393370,10-03-2016,2.0
1111857,393370,10-03-2016,2.0
2183425,467098,23-09-2019,8.0
2183452,467098,23-09-2019,6.0
2183456,467098,23-09-2019,7.0
2183457,467098,23-09-2019,7.0
1572813,426140,12-12-2017,10.0
1572840,426140,12-12-2017,6.0
1572844,426140,12-12-2017,4.0
1572845,426140,12-12-2017,10.0
1831312,442527,02-11-2018,16.0
1831315,442527,02-11-2018,6.0
1831323,442527,02-11-2018,6.0
1831336,442527,02-11-2018,15.0
3018495,516264,05-08-2021,12.0
3018518,516264,05-08-2021,10.0
3018539,516264,05-08-2021,4.0
3018549,516264,05-08-2021,4.0
2052120,458921,11-03-2019,21.0
2052130,458922,11-03-2019,29.0
2183643,467113,18-10-2019,11.0
2052143,458924,11-03-2019,14.0
1684982,434347,15-05-2018,3.0
2871345,508075,13-04-2021,5.0
2871353,508075,13-04-2021,6.0
2871445,508076,08-04-2021,3.0
2871461,508076,08-04-2021,4.0
2589854,491715,28-08-2020,3.0
2589863,491715,28-08-2020,3.0
1234391,401603,14-10-2016,4.0
1234399,401603,14-10-2016,10.0
1225126,401606,21-09-2016,2.0
1928375,450761,22-01-2019,4.0
1928386,450761,22-01-2019,4.0
2184185,467147,17-09-2019,2.0
1112336,393421,10-03-2016,3.0
1112353,393421,10-03-2016,3.0
2187194,467149,01-10-2019,3.0
2187206,467149,01-10-2019,31.0
2187209,467149,01-10-2019,13.0
2187244,467149,01-10-2019,11.0
2187251,467149,01-10-2019,14.0
2187265,467149,01-10-2019,3.0
2187267,467149,01-10-2019,10.0
2187278,467149,01-10-2019,1.0
1928081,450765,04-02-2019,10.0
1928082,450765,04-02-2019,2.0
1928100,450765,04-02-2019,2.0
2738036,499921,18-12-2020,3.0
2738066,499921,18-12-2020,2.0
2740498,499929,04-01-2021,2.0
2740513,499929,04-01-2021,3.0
1928122,450778,04-02-2019,2.0
1928138,450778,04-02-2019,3.0
1928146,450778,04-02-2019,3.0
1928153,450778,04-02-2019,3.0
2316274,475361,24-01-2020,2.0
2878379,508130,12-04-2021,1.0
2872556,508130,08-04-2021,8.0
2872569,508130,08-04-2021,7.0
2590658,491749,21-09-2020,2.0
2590682,491749,21-09-2020,4.0
2738630,499944,04-01-2021,6.0
2738635,499944,04-01-2021,5.0
2908391,499944,03-05-2021,5.0
2872647,508137,09-04-2021,1.0
2872671,508137,10-05-2021,2.0
3019950,516330,23-08-2021,4.0
3019992,516330,23-08-2021,6.0
2185188,467179,17-09-2019,4.0
1453079,418031,21-08-2017,8.0
2208625,467189,04-10-2019,3.0
2208684,467189,04-10-2019,20.0
2208691,467189,04-10-2019,2.0
2208699,467189,04-10-2019,5.0
2208714,467189,04-10-2019,20.0
1686067,434422,22-05-2018,5.0
1686076,434422,22-05-2018,4.0
2448076,483573,04-05-2020,11.0
2448097,483573,04-05-2020,7.0
2054269,459006,20-05-2019,6.0
2054270,459006,20-05-2019,7.0
2054284,459006,20-05-2019,5.0
2054290,459006,20-05-2019,13.0
2054475,459006,27-05-2019,3.0
2054476,459006,27-05-2019,12.0
1686301,434434,14-05-2018,6.0
2185499,467206,14-09-2019,5.0
2185509,467206,14-09-2019,4.0
2185511,467206,14-09-2019,7.0
2185536,467206,14-09-2019,1.0
2317235,475405,03-02-2020,9.0
2317255,475405,03-02-2020,27.0
2317263,475405,03-02-2020,15.0
2317299,475405,03-02-2020,9.0
2316901,475406,10-01-2020,8.0
2316904,475406,10-01-2020,5.0
2316920,475406,10-01-2020,7.0
2053677,459034,15-05-2019,6.0
2055896,459038,16-05-2019,4.0
2596493,491814,07-09-2020,9.0
2596499,491814,07-09-2020,5.0
2600706,491815,08-09-2020,4.0
2601426,491816,10-09-2020,14.0
2601455,491816,10-09-2020,9.0
2601457,491816,10-09-2020,6.0
2603158,491817,14-09-2020,1.0
2603221,491817,14-09-2020,13.0
2603234,491817,14-09-2020,9.0
2053915,459050,14-05-2019,3.0
2053924,459050,14-05-2019,3.0
2607825,491818,14-09-2020,3.0
2592199,491820,02-09-2020,40.0
2601900,491824,14-09-2020,7.0
2601905,491824,14-09-2020,7.0
2608450,491825,17-09-2020,14.0
2608486,491825,17-09-2020,7.0
2608532,491825,17-09-2020,3.0
2608533,491825,17-09-2020,4.0
1574342,426299,12-12-2017,3.0
1574356,426299,12-12-2017,4.0
3021350,516415,27-08-2021,4.0
3021354,516415,27-08-2021,2.0
3021361,516415,27-08-2021,2.0
3021385,516416,27-08-2021,11.0
3063596,516416,14-09-2021,12.0
3032606,516422,24-08-2021,13.0
3032653,516422,24-08-2021,12.0
3032660,516422,24-08-2021,2.0
3032722,516422,24-08-2021,11.0
3072842,516422,21-09-2021,1.0
1575523,426316,21-12-2017,6.0
