,End_Order,End_Datum,Ret_Aantal
2793096,507909,31-05-2021,1.0
2793125,507909,31-05-2021,4.0
2793146,507909,31-05-2021,1.0
2793153,507909,31-05-2021,1.0
2793175,507909,31-05-2021,1.0
2892121,516102,24-08-2021,1.0
2892124,516102,24-08-2021,1.0
2892134,516102,24-08-2021,2.0
2892151,516102,24-08-2021,1.0
1165968,401417,01-12-2016,4.0
1234260,409610,29-03-2017,5.0
1234264,409610,29-03-2017,2.0
1234285,409610,29-03-2017,2.0
1234302,409610,29-03-2017,1.0
1234304,409610,29-03-2017,4.0
1234307,409610,29-03-2017,5.0
1234312,409610,29-03-2017,1.0
1234316,409610,29-03-2017,3.0
1234317,409610,29-03-2017,1.0
1234322,409610,29-03-2017,1.0
1234332,409610,29-03-2017,1.0
1234343,409610,29-03-2017,4.0
1234344,409610,29-03-2017,1.0
1234346,409610,29-03-2017,2.0
1234349,409610,29-03-2017,4.0
1234351,409610,29-03-2017,2.0
1234355,409610,29-03-2017,1.0
1243303,409610,07-04-2017,2.0
1243318,409610,07-04-2017,1.0
1243320,409610,07-04-2017,1.0
1243321,409610,07-04-2017,2.0
1368364,417802,14-09-2017,2.0
1465709,417802,20-12-2017,2.0
2728226,507916,08-04-2021,4.0
2752837,507916,23-04-2021,1.0
2752840,507916,23-04-2021,2.0
2752843,507916,23-04-2021,3.0
2752846,507916,23-04-2021,1.0
2799362,507916,09-06-2021,1.0
2799365,507916,09-06-2021,2.0
2799369,507916,09-06-2021,6.0
2799386,507916,09-06-2021,1.0
2799419,507916,09-06-2021,1.0
2799451,507916,09-06-2021,1.0
2799456,507916,09-06-2021,1.0
1886454,455905,12-04-2019,1.0
1008717,393231,10-03-2016,2.0
2593304,499730,16-12-2020,2.0
2264308,475154,26-03-2020,1.0
1362774,417814,08-09-2017,7.0
1362776,417814,08-09-2017,2.0
2593634,499742,22-12-2020,1.0
1122473,401440,29-09-2016,2.0
2112346,466978,05-11-2019,2.0
2112358,466978,05-11-2019,2.0
2593700,499747,11-01-2021,1.0
1121248,401447,29-09-2016,1.0
1151518,401447,11-11-2016,2.0
1151522,401447,11-11-2016,1.0
2324877,483368,13-05-2020,1.0
2324881,483368,13-05-2020,2.0
2302382,483368,02-06-2020,3.0
2302404,483368,02-06-2020,1.0
2302407,483368,02-06-2020,3.0
2302411,483368,02-06-2020,2.0
2302419,483368,02-06-2020,1.0
2344207,483369,04-06-2020,1.0
2344218,483369,04-06-2020,1.0
2344223,483369,04-06-2020,1.0
2344231,483369,04-06-2020,1.0
2350801,483369,15-06-2020,1.0
2350843,483369,15-06-2020,1.0
2350845,483369,15-06-2020,6.0
2350847,483369,15-06-2020,1.0
2350854,483369,15-06-2020,1.0
1723134,442410,26-10-2018,2.0
1723226,442410,26-10-2018,2.0
1577412,434219,04-06-2018,1.0
1577415,434219,04-06-2018,1.0
1513424,426028,19-03-2018,63.0
1513426,426028,19-03-2018,13.0
1624202,426028,10-04-2018,3.0
1624204,426028,10-04-2018,1.0
1474859,426029,15-01-2018,1.0
1722824,442414,26-10-2018,1.0
1722858,442414,26-10-2018,1.0
1333587,417838,25-08-2017,2.0
1333603,417838,25-08-2017,1.0
1333608,417838,25-08-2017,4.0
1333615,417838,25-08-2017,3.0
1418532,417839,10-11-2017,0.0
1418550,417839,10-11-2017,1.0
1418551,417839,10-11-2017,9.0
1418557,417839,10-11-2017,2.0
1418558,417839,10-11-2017,1.0
1418564,417839,10-11-2017,1.0
1333654,417840,25-08-2017,1.0
1333661,417840,25-08-2017,1.0
1333670,417840,25-08-2017,2.0
1830592,450609,20-02-2019,1.0
1830594,450609,20-02-2019,2.0
1830596,450609,20-02-2019,1.0
2466523,491574,11-09-2020,2.0
2466526,491574,11-09-2020,2.0
2466527,491574,11-09-2020,1.0
2466534,491574,11-09-2020,1.0
1579067,434231,04-06-2018,1.0
1579075,434231,04-06-2018,1.0
1579086,434231,04-06-2018,3.0
1579094,434231,04-06-2018,1.0
1579106,434231,04-06-2018,2.0
1579118,434231,04-06-2018,1.0
1453826,426040,11-12-2017,4.0
1453851,426040,11-12-2017,2.0
3032643,524345,22-12-2021,2.0
2783744,507961,19-05-2021,1.0
2783748,507961,19-05-2021,2.0
2783756,507961,19-05-2021,1.0
2334980,483384,20-05-2020,1.0
2594713,499774,17-12-2020,1.0
2594720,499774,17-12-2020,1.0
2594721,499774,17-12-2020,1.0
2594725,499774,17-12-2020,1.0
1478695,426047,29-12-2017,1.0
2594295,499777,16-12-2020,3.0
2723602,507973,10-05-2021,1.0
2723608,507973,10-05-2021,5.0
2723617,507973,10-05-2021,2.0
2723623,507973,10-05-2021,1.0
2723625,507973,10-05-2021,1.0
2723629,507973,10-05-2021,2.0
2135124,467016,22-11-2019,2.0
2135125,467016,22-11-2019,3.0
2135138,467016,22-11-2019,1.0
2211197,467016,31-01-2020,1.0
2447728,491597,31-08-2020,4.0
2447736,491597,31-08-2020,2.0
2447752,491597,31-08-2020,2.0
2724519,507983,08-04-2021,2.0
2724520,507983,08-04-2021,1.0
2724527,507983,08-04-2021,1.0
2724529,507983,08-04-2021,1.0
2724542,507983,08-04-2021,1.0
2724546,507983,08-04-2021,2.0
2724674,507983,06-04-2021,3.0
2095125,467024,23-10-2019,1.0
2095128,467024,23-10-2019,1.0
2105258,467024,01-11-2019,6.0
2105265,467024,01-11-2019,1.0
2105275,467024,01-11-2019,3.0
2105286,467024,01-11-2019,1.0
2105338,467024,01-11-2019,10.0
2105340,467024,01-11-2019,4.0
2105345,467024,01-11-2019,1.0
2105361,467024,01-11-2019,3.0
2105378,467024,01-11-2019,3.0
2105394,467024,01-11-2019,4.0
1450421,426065,13-12-2017,2.0
1450443,426065,13-12-2017,1.0
2447673,491602,23-09-2020,1.0
2723711,507986,10-05-2021,2.0
