,Ing_Order,Ing_Datum,Ing_Aantal
2868332,507909,06-04-2021,4.0
2868335,507909,19-04-2021,1.0
2868338,507909,19-04-2021,1.0
2868371,507909,19-04-2021,1.0
2868406,507909,19-04-2021,1.0
3014884,516102,23-07-2021,1.0
3014893,516102,23-07-2021,2.0
3014908,516102,23-07-2021,1.0
3014911,516102,23-07-2021,1.0
1222147,401417,19-09-2016,4.0
1334215,409610,22-03-2017,4.0
1334220,409610,22-03-2017,1.0
1334223,409610,22-03-2017,1.0
1334226,409610,22-03-2017,3.0
1334231,409610,22-03-2017,2.0
1334237,409610,22-03-2017,5.0
1334241,409610,22-03-2017,1.0
1334245,409610,22-03-2017,2.0
1334252,409610,22-03-2017,1.0
1334253,409610,22-03-2017,5.0
1334256,409610,22-03-2017,2.0
1334259,409610,22-03-2017,1.0
1334269,409610,22-03-2017,2.0
1334270,409610,22-03-2017,2.0
1334275,409610,22-03-2017,4.0
1334316,409610,22-03-2017,2.0
1334318,409610,22-03-2017,4.0
1334327,409610,22-03-2017,3.0
1334333,409610,22-03-2017,1.0
1449769,417802,17-08-2017,2.0
1449725,417802,25-07-2017,2.0
2868734,507916,06-04-2021,6.0
2897912,507916,23-04-2021,6.0
2897914,507916,23-04-2021,1.0
2897919,507916,23-04-2021,1.0
2868799,507916,19-04-2021,1.0
2868802,507916,19-04-2021,1.0
2868805,507916,19-04-2021,2.0
2868808,507916,19-04-2021,2.0
2868811,507916,19-04-2021,3.0
2868814,507916,19-04-2021,1.0
2006082,455905,11-04-2019,1.0
1110464,393231,07-03-2016,2.0
2734915,499730,09-12-2020,2.0
2313254,475154,06-01-2020,1.0
1457597,417814,07-08-2017,7.0
1450167,417814,25-07-2017,2.0
2735135,499742,08-12-2020,1.0
1222592,401440,19-09-2016,2.0
2181511,466978,12-09-2019,2.0
2181516,466978,13-09-2019,2.0
2735158,499747,04-01-2021,1.0
1222675,401447,21-09-2016,1.0
1228400,401447,27-09-2016,1.0
1228414,401447,27-09-2016,2.0
2444773,483368,04-05-2020,4.0
2444779,483368,08-05-2020,1.0
2444782,483368,08-05-2020,4.0
2444793,483368,08-05-2020,3.0
2444809,483368,08-05-2020,1.0
2444824,483369,25-05-2020,6.0
2444827,483369,02-06-2020,1.0
2444834,483369,02-06-2020,1.0
2444842,483369,02-06-2020,2.0
2444849,483369,02-06-2020,1.0
2444857,483369,02-06-2020,1.0
2488926,483369,04-06-2020,1.0
2488930,483369,04-06-2020,1.0
1829461,442410,08-10-2018,2.0
1829519,442410,08-10-2018,2.0
1702934,434219,01-06-2018,1.0
1702935,434219,01-06-2018,1.0
1571209,426028,07-12-2017,14.0
1571210,426028,07-12-2017,66.0
1571213,426029,16-11-2017,1.0
1829128,442414,08-10-2018,1.0
1829130,442414,08-10-2018,1.0
1450348,417838,14-08-2017,2.0
1450369,417838,21-08-2017,4.0
1450377,417838,21-08-2017,1.0
1450379,417838,21-08-2017,3.0
1451296,417839,14-08-2017,2.0
1451418,417839,21-08-2017,10.0
1451421,417839,21-08-2017,1.0
1451424,417839,21-08-2017,1.0
1451449,417839,21-08-2017,1.0
1451452,417839,21-08-2017,1.0
1450397,417840,14-08-2017,2.0
1450407,417840,21-08-2017,1.0
1450423,417840,21-08-2017,1.0
1926077,450609,16-01-2019,1.0
1926081,450609,16-01-2019,1.0
1926082,450609,16-01-2019,2.0
2587686,491574,31-08-2020,1.0
2594528,491574,04-09-2020,2.0
2594530,491574,04-09-2020,1.0
2594539,491574,04-09-2020,2.0
1704408,434231,31-05-2018,1.0
1704415,434231,31-05-2018,2.0
1704425,434231,31-05-2018,3.0
1704430,434231,31-05-2018,1.0
1704438,434231,31-05-2018,1.0
1712080,434231,01-06-2018,1.0
1571289,426040,06-12-2017,4.0
1571292,426040,06-12-2017,2.0
3158474,524345,09-12-2021,2.0
2869452,507961,02-04-2021,1.0
2869456,507961,02-04-2021,1.0
2869461,507961,02-04-2021,2.0
2445083,483384,28-04-2020,1.0
1571472,426045,07-12-2017,3.0
2735593,499774,07-12-2020,1.0
2735882,499774,12-12-2020,1.0
2735901,499774,12-12-2020,1.0
2735941,499774,12-12-2020,1.0
1571441,426047,12-12-2017,1.0
2735618,499777,16-12-2020,3.0
2869586,507973,03-05-2021,1.0
2869607,507973,03-05-2021,2.0
2869610,507973,03-05-2021,1.0
2869614,507973,03-05-2021,1.0
2869572,507973,07-04-2021,5.0
2869575,507973,07-04-2021,2.0
2182186,467016,06-09-2019,3.0
2182143,467016,13-09-2019,1.0
2182146,467016,13-09-2019,1.0
2182162,467016,13-09-2019,2.0
2588019,491597,31-08-2020,4.0
2588025,491597,31-08-2020,2.0
2588027,491597,31-08-2020,2.0
2870305,507983,02-04-2021,2.0
2870308,507983,02-04-2021,1.0
2870310,507983,02-04-2021,1.0
2870315,507983,02-04-2021,1.0
2870338,507983,02-04-2021,1.0
2870345,507983,02-04-2021,3.0
2870349,507983,02-04-2021,2.0
2195388,467024,25-09-2019,2.0
2195391,467024,25-09-2019,1.0
2195394,467024,25-09-2019,3.0
2195423,467024,25-09-2019,6.0
2195439,467024,25-09-2019,3.0
2195453,467024,25-09-2019,10.0
2195477,467024,25-09-2019,3.0
2195495,467024,25-09-2019,4.0
2236674,467024,23-10-2019,4.0
2236678,467024,23-10-2019,1.0
2236690,467024,23-10-2019,1.0
1571772,426065,12-12-2017,1.0
1571778,426065,12-12-2017,2.0
2588114,491602,31-08-2020,1.0
2869686,507986,07-04-2021,2.0
1807398,442451,12-09-2018,1.0
2870437,507987,02-04-2021,1.0
2870644,507987,07-04-2021,6.0
2870650,507987,07-04-2021,1.0
2870661,507987,07-04-2021,1.0
2870666,507987,07-04-2021,1.0
2869774,507989,07-04-2021,4.0
2884948,507989,19-04-2021,4.0
2869822,507991,07-04-2021,3.0
2884956,507991,16-04-2021,3.0
2220072,467032,21-10-2019,4.0
2220102,467032,21-10-2019,6.0
2220121,467032,21-10-2019,3.0
2220124,467032,21-10-2019,5.0
2218511,467032,09-10-2019,2.0
3018362,516176,17-08-2021,2.0
3018409,516176,03-09-2021,1.0
3018414,516176,03-09-2021,1.0
3018416,516176,03-09-2021,1.0
3018429,516176,03-09-2021,1.0
2869853,507994,07-04-2021,3.0
2884891,507994,16-04-2021,3.0
2869874,507995,07-04-2021,3.0
2884952,507995,16-04-2021,3.0
3018438,516188,17-08-2021,4.0
3018449,516188,31-08-2021,1.0
3018464,516188,31-08-2021,1.0
1571995,426080,15-12-2017,1.0
1572008,426080,15-12-2017,1.0
1223724,401505,19-09-2016,5.0
1227839,401505,01-10-2016,2.0
1227845,401505,01-10-2016,9.0
1227849,401505,01-10-2016,5.0
1227856,401505,01-10-2016,5.0
1227860,401505,01-10-2016,2.0
2588466,491618,27-08-2020,3.0
2588480,491618,28-08-2020,2.0
2588487,491618,28-08-2020,1.0
2588497,491618,28-08-2020,2.0
2588527,491618,28-08-2020,1.0
2588535,491618,28-08-2020,1.0
1111170,393315,08-03-2016,2.0
1111172,393315,08-03-2016,4.0
1111175,393315,08-03-2016,2.0
1111185,393316,08-03-2016,4.0
2183001,467041,13-09-2019,5.0
2185036,467041,27-09-2019,2.0
2185040,467041,27-09-2019,1.0
