,End_Order,End_Datum,Ret_Aantal
1150491,401408,09-11-2016,2.0
1119965,401411,22-09-2016,2.0
2793147,507909,31-05-2021,3.0
1234325,409610,29-03-2017,1.0
1243311,409610,07-04-2017,2.0
2883175,507916,03-08-2021,4.0
1574019,434191,22-05-2018,10.0
1630844,434191,18-07-2018,5.0
1941246,458768,04-06-2019,2.0
1449468,426001,14-12-2017,4.0
1332851,417808,26-07-2017,4.0
1335812,417810,01-08-2017,3.0
1362756,417814,08-09-2017,6.0
2910599,516122,03-09-2021,13.0
2910602,516122,03-09-2021,8.0
1459604,426013,19-12-2017,4.0
1114160,401437,21-09-2016,2.0
1355283,417824,30-08-2017,2.0
1917956,458785,15-05-2019,3.0
1917967,458785,15-05-2019,1.0
2722988,507939,16-04-2021,4.0
1151525,401447,11-11-2016,2.0
2302396,483368,02-06-2020,4.0
2723201,507945,15-04-2021,1.0
2602893,499754,09-12-2020,4.0
1723153,442410,26-10-2018,1.0
2344215,483369,04-06-2020,3.0
2350804,483369,15-06-2020,2.0
2302435,483370,26-06-2020,4.0
1722865,442414,26-10-2018,3.0
1333619,417838,25-08-2017,4.0
1333660,417840,25-08-2017,2.0
1579070,434231,04-06-2018,4.0
1579115,434231,04-06-2018,2.0
1453830,426040,11-12-2017,2.0
3032644,524345,22-12-2021,10.0
2046651,467003,12-09-2019,6.0
2046664,467003,12-09-2019,1.0
2594102,499772,05-01-2021,2.0
2594696,499774,17-12-2020,2.0
2594715,499774,17-12-2020,1.0
2046419,467007,18-09-2019,5.0
1918150,458817,15-05-2019,4.0
1918164,458817,15-05-2019,1.0
2594288,499777,16-12-2020,2.0
1803352,450625,18-01-2019,3.0
2874545,516164,30-07-2021,2.0
1130272,401479,12-10-2016,1.0
2874566,516167,26-07-2021,4.0
2447757,491597,31-08-2020,4.0
2724664,507983,06-04-2021,2.0
2105307,467024,01-11-2019,3.0
2105323,467024,01-11-2019,6.0
1450428,426065,13-12-2017,3.0
1683980,442448,03-10-2018,5.0
2877639,516176,10-09-2021,1.0
2891635,516177,03-08-2021,1.0
2909327,516180,10-09-2021,4.0
2723766,507990,08-04-2021,2.0
2094074,467032,25-10-2019,6.0
2877731,516188,10-09-2021,4.0
2874923,516190,23-07-2021,1.0
2874925,516190,23-07-2021,2.0
1118405,401505,02-10-2016,5.0
2498063,491618,02-10-2020,3.0
2932460,516194,29-09-2021,5.0
1125210,401510,06-10-2016,10.0
2595735,499817,11-12-2020,2.0
2053295,467051,20-09-2019,6.0
1710782,442479,22-10-2018,1.0
1710787,442479,22-10-2018,4.0
1559126,434290,09-05-2018,4.0
1918656,458867,15-05-2019,2.0
2628092,499828,15-01-2021,9.0
1012758,393333,15-03-2016,5.0
1451091,426102,22-12-2017,2.0
1451060,426103,13-12-2017,5.0
2066464,467062,30-09-2019,23.0
1679764,442484,25-09-2018,2.0
1803852,450674,29-01-2019,6.0
2324859,483442,15-05-2020,6.0
1335372,417915,08-08-2017,2.0
1804123,450684,01-02-2019,2.0
1813662,450686,07-02-2019,5.0
1559208,434303,01-06-2018,4.0
1119196,401538,28-09-2016,4.0
2724831,508039,08-04-2021,4.0
1808542,450697,28-01-2019,8.0
1809098,450697,28-01-2019,9.0
1811490,450700,29-01-2019,3.0
1811498,450700,29-01-2019,3.0
1451567,426127,14-12-2017,4.0
2725133,508049,14-04-2021,4.0
1461410,426137,19-12-2017,6.0
2597417,499865,09-12-2020,7.0
2047499,467098,27-09-2019,3.0
1813126,450713,01-02-2019,2.0
2304295,483486,08-05-2020,2.0
1701155,442527,08-11-2018,5.0
2877337,516254,27-07-2021,3.0
1451671,426145,13-12-2017,6.0
1559611,434341,08-05-2018,4.0
1559670,434342,09-05-2018,10.0
2719984,499879,02-04-2021,12.0
2094193,467109,25-10-2019,2.0
2461712,491688,09-09-2020,3.0
2877812,516264,05-08-2021,4.0
1559759,434347,15-05-2018,5.0
2725261,508075,14-04-2021,2.0
1559974,434349,16-05-2018,1.0
2725307,508076,08-04-2021,2.0
2211909,475311,07-02-2020,6.0
1335835,417965,28-07-2017,3.0
2878171,516276,24-09-2021,4.0
1459379,426171,18-12-2017,6.0
1459451,426172,19-12-2017,4.0
2459824,491711,05-09-2020,3.0
1471123,426176,14-12-2017,2.0
1459466,426177,20-12-2017,7.0
2047884,467136,13-09-2019,2.0
1964940,458947,24-06-2019,3.0
2516943,491715,20-10-2020,2.0
1561178,434370,07-05-2018,2.0
1142353,401603,28-10-2016,2.0
1135063,401606,18-10-2016,7.0
1220532,409796,15-03-2017,8.0
2936918,516289,24-09-2021,3.0
2878247,516291,03-08-2021,4.0
2878260,516292,05-08-2021,3.0
2878269,516292,05-08-2021,2.0
2887153,516293,09-08-2021,1.0
2887158,516293,09-08-2021,2.0
2887164,516293,09-08-2021,1.0
2887177,516293,09-08-2021,8.0
2097714,467149,28-10-2019,1.0
2620577,499921,24-12-2020,2.0
2304974,483538,31-12-2019,2.0
1220665,409811,14-03-2017,5.0
1989319,458964,15-07-2019,3.0
2449593,491744,02-09-2020,2.0
2305180,483555,06-05-2020,2.0
2190439,475364,10-01-2020,4.0
2305204,483556,06-05-2020,4.0
2305205,483557,07-05-2020,2.0
2305230,483558,08-05-2020,3.0
2785043,499944,04-05-2021,4.0
2849937,499944,01-06-2021,2.0
2849941,499944,01-06-2021,3.0
2849945,499944,01-06-2021,1.0
2871829,499944,22-07-2021,2.0
1220841,409833,15-03-2017,1.0
1130809,401642,12-10-2016,2.0
2089034,467179,11-12-2019,1.0
2726578,508137,10-05-2021,11.0
2817195,508137,18-06-2021,8.0
2817211,508137,18-06-2021,15.0
2305315,483562,30-04-2020,2.0
1378051,418031,26-09-2017,3.0
2749549,508146,23-04-2021,6.0
2305611,483573,06-05-2020,6.0
1594807,434422,11-06-2018,2.0
2075677,467190,10-10-2019,13.0
2075723,467190,10-10-2019,10.0
2726727,508154,12-04-2021,2.0
1563793,434427,18-05-2018,2.0
2878846,516348,29-07-2021,4.0
1221132,409853,20-03-2017,3.0
1681337,442622,18-09-2018,2.0
1581000,434434,28-05-2018,2.0
2057055,467206,24-09-2019,3.0
2727123,508170,16-04-2021,3.0
2187788,475405,07-02-2020,4.0
2207101,475406,03-02-2020,2.0
2207179,475406,03-02-2020,7.0
1221311,409878,14-03-2017,2.0
1921428,459031,23-05-2019,4.0
2214773,475414,07-02-2020,2.0
1921174,459034,15-05-2019,2.0
1941004,459038,07-06-2019,4.0
1243747,409890,07-04-2017,3.0
2203025,475427,24-01-2020,2.0
