,Ing_Order,Ing_Datum,Ing_Aantal
1222051,401408,19-09-2016,2.0
1229686,401411,21-09-2016,2.0
2868399,507909,19-04-2021,3.0
1334221,409610,22-03-2017,3.0
2868784,507916,19-04-2021,4.0
1682879,434191,07-05-2018,15.0
2050083,458768,10-05-2019,2.0
1570997,426001,14-12-2017,4.0
1449938,417808,21-07-2017,4.0
1450070,417810,25-07-2017,3.0
1457581,417814,07-08-2017,6.0
3015182,516122,22-07-2021,13.0
3027211,516122,30-07-2021,8.0
1571120,426013,06-12-2017,4.0
1222562,401437,20-09-2016,2.0
1450247,417824,22-07-2017,2.0
2050336,458785,15-05-2019,1.0
2050344,458785,15-05-2019,3.0
2869031,507939,07-04-2021,4.0
1228390,401447,27-09-2016,2.0
2444820,483368,08-05-2020,4.0
2869118,507945,06-04-2021,1.0
2735342,499754,08-12-2020,4.0
1829484,442410,08-10-2018,1.0
2444868,483369,02-06-2020,5.0
2444886,483370,22-06-2020,4.0
1829161,442414,08-10-2018,3.0
1450362,417838,21-08-2017,4.0
1450425,417840,21-08-2017,2.0
1712081,434231,01-06-2018,2.0
1704406,434231,31-05-2018,4.0
1571322,426040,07-12-2017,2.0
3158488,524345,09-12-2021,10.0
2182267,467003,12-09-2019,1.0
2182273,467003,12-09-2019,6.0
2735590,499772,04-01-2021,2.0
2735879,499774,12-12-2020,1.0
2735897,499774,12-12-2020,2.0
2181935,467007,16-09-2019,5.0
2050833,458817,14-05-2019,1.0
2050841,458817,14-05-2019,4.0
2735609,499777,16-12-2020,2.0
1926390,450625,18-01-2019,3.0
3015823,516164,26-07-2021,2.0
1223050,401479,12-10-2016,1.0
3015882,516167,23-07-2021,4.0
2588021,491597,31-08-2020,4.0
2870342,507983,02-04-2021,2.0
2195377,467024,25-09-2019,6.0
2195446,467024,25-09-2019,3.0
1571786,426065,12-12-2017,3.0
1807424,442448,12-09-2018,5.0
3018411,516176,03-09-2021,1.0
3016330,516177,23-07-2021,1.0
3053074,516180,03-09-2021,4.0
2869759,507990,06-04-2021,2.0
2220069,467032,21-10-2019,6.0
3018479,516188,31-08-2021,4.0
3016372,516190,23-07-2021,1.0
3019224,516190,23-07-2021,2.0
1227847,401505,01-10-2016,5.0
2588543,491618,28-08-2020,3.0
3016417,516194,27-08-2021,5.0
1230548,401510,03-10-2016,10.0
2736425,499817,08-12-2020,2.0
2182780,467051,16-09-2019,6.0
1841099,442479,22-10-2018,4.0
1841122,442479,22-10-2018,1.0
1684199,434290,09-05-2018,4.0
2051260,458867,15-05-2019,2.0
2737277,499828,08-12-2020,9.0
1111344,393333,08-03-2016,5.0
1572248,426102,12-12-2017,2.0
1572263,426103,13-12-2017,5.0
2184987,467062,27-09-2019,23.0
1808370,442484,21-09-2018,2.0
1926849,450674,28-01-2019,6.0
2446204,483442,04-05-2020,6.0
1451707,417915,25-07-2017,2.0
1926982,450684,21-01-2019,2.0
1938187,450686,06-02-2019,5.0
1684299,434303,14-05-2018,4.0
1228796,401538,26-09-2016,4.0
2870684,508039,08-04-2021,4.0
1929336,450697,24-01-2019,17.0
1927466,450700,21-01-2019,6.0
1572543,426127,11-12-2017,4.0
2870828,508049,08-04-2021,4.0
1572727,426137,08-12-2017,6.0
2737472,499865,08-12-2020,7.0
2183426,467098,23-09-2019,3.0
1937450,450713,31-01-2019,2.0
2446875,483486,08-05-2020,2.0
1831276,442527,02-11-2018,5.0
3018212,516254,27-07-2021,3.0
1572766,426145,13-12-2017,6.0
1684806,434341,08-05-2018,4.0
1684853,434342,08-05-2018,10.0
2737580,499879,04-01-2021,12.0
2229328,467109,16-10-2019,2.0
2589686,491688,31-08-2020,3.0
3018533,516264,05-08-2021,4.0
1684987,434347,15-05-2018,5.0
2871360,508075,13-04-2021,2.0
1685044,434349,16-05-2018,1.0
2871454,508076,08-04-2021,2.0
2315459,475311,20-01-2020,6.0
1452012,417965,27-07-2017,3.0
3018961,516276,02-09-2021,4.0
1578513,426169,18-12-2017,5.0
1578201,426171,18-12-2017,6.0
1578414,426172,19-12-2017,4.0
2589977,491711,30-08-2020,3.0
1576681,426176,14-12-2017,2.0
1578464,426177,20-12-2017,7.0
2184145,467136,13-09-2019,2.0
2052311,458947,14-05-2019,3.0
2589870,491715,28-08-2020,2.0
1685180,434370,04-05-2018,2.0
1234380,401603,14-10-2016,2.0
1225144,401606,21-09-2016,7.0
1334531,409796,15-03-2017,8.0
3019408,516289,23-08-2021,3.0
3019502,516291,03-08-2021,4.0
3019537,516292,03-08-2021,3.0
3019543,516292,03-08-2021,2.0
3019553,516293,09-08-2021,2.0
3019557,516293,09-08-2021,10.0
2187207,467149,01-10-2019,1.0
2447458,483534,31-12-2019,2.0
2738051,499921,18-12-2020,2.0
2447498,483538,31-12-2019,2.0
1334833,409811,14-03-2017,5.0
2053689,458964,24-05-2019,3.0
2590376,491744,01-09-2020,2.0
2447683,483555,06-05-2020,2.0
2316310,475364,08-01-2020,4.0
2447702,483556,06-05-2020,4.0
2447719,483557,07-05-2020,2.0
2447732,483558,08-05-2020,3.0
2738633,499944,04-01-2021,6.0
2868126,499944,06-04-2021,3.0
2908408,499944,03-05-2021,3.0
1335149,409833,15-03-2017,1.0
1230336,401642,04-10-2016,2.0
2185193,467179,17-09-2019,1.0
2872639,508137,09-04-2021,19.0
2872664,508137,10-05-2021,15.0
2447817,483562,30-04-2020,2.0
3019977,516330,23-08-2021,6.0
1453086,418031,21-08-2017,3.0
2872967,508146,16-04-2021,6.0
2448070,483573,04-05-2020,6.0
1686084,434422,22-05-2018,2.0
2208607,467190,04-10-2019,23.0
2872831,508154,12-04-2021,2.0
1686364,434427,17-05-2018,2.0
3020111,516348,28-07-2021,4.0
1573776,426237,11-12-2017,4.0
1335393,409853,20-03-2017,3.0
1809940,442622,18-09-2018,2.0
1686307,434434,14-05-2018,2.0
2185549,467206,14-09-2019,3.0
2873182,508170,16-04-2021,3.0
2317246,475405,03-02-2020,4.0
2316931,475406,10-01-2020,9.0
1335566,409878,13-03-2017,2.0
2054049,459031,21-05-2019,4.0
2317019,475414,13-01-2020,2.0
2053669,459034,15-05-2019,2.0
2055913,459038,16-05-2019,4.0
1336117,409890,20-03-2017,3.0
2320763,475427,13-01-2020,6.0
2320764,475427,13-01-2020,4.0
2335433,475427,27-01-2020,6.0
2323072,475427,16-01-2020,2.0
2460132,475427,11-05-2020,3.0
2515726,475427,25-06-2020,11.0
3020704,516389,05-08-2021,1.0
2596490,491814,07-09-2020,3.0
2600093,491814,07-09-2020,2.0
2600708,491815,08-09-2020,1.0
2601474,491816,10-09-2020,3.0
2603166,491817,14-09-2020,2.0
2607845,491818,14-09-2020,3.0
1454123,418087,23-08-2017,4.0
2592178,491820,02-09-2020,5.0
1113705,393518,14-03-2016,3.0
2608458,491825,17-09-2020,12.0
1697139,434484,18-05-2018,3.0
1454270,418103,03-08-2017,5.0
1574364,426299,12-12-2017,1.0
2592482,491835,04-09-2020,3.0
1335987,409916,15-03-2017,3.0
2592534,491839,09-09-2020,1.0
1336039,409920,14-03-2017,2.0
2317606,475456,13-01-2020,4.0
3021374,516416,27-08-2021,2.0
1336055,409923,14-03-2017,4.0
3032734,516422,24-08-2021,7.0
2874087,508232,14-04-2021,2.0
2476151,483662,28-05-2020,10.0
2885593,508239,28-04-2021,3.0
2874271,508240,12-04-2021,5.0
3021720,516431,30-08-2021,12.0
1947947,450899,22-02-2019,1.0
2874173,508245,16-04-2021,2.0
1454651,418133,22-08-2017,4.0
1114198,393559,15-03-2016,2.0
1114255,393560,21-03-2016,3.0
2450107,483670,04-05-2020,5.0
1114304,393562,04-04-2016,10.0
1114365,393562,04-04-2016,3.0
2609604,491870,18-09-2020,2.0
2618197,491871,16-09-2020,4.0
2600130,491872,07-09-2020,2.0
2740813,500062,04-01-2021,7.0
2450320,483680,07-05-2020,4.0
3160881,516452,08-12-2021,4.0
1574897,426341,13-12-2017,1.0
2874572,508261,12-04-2021,4.0
2886643,508263,23-04-2021,8.0
2887502,508266,23-04-2021,2.0
1454972,418155,17-08-2017,4.0
2610409,491885,12-09-2020,2.0
2609355,491886,15-09-2020,2.0
2593461,491887,07-09-2020,3.0
3023123,516464,13-08-2021,2.0
3023361,516464,16-08-2021,2.0
1687879,434546,15-05-2018,4.0
1455043,418162,22-08-2017,2.0
3022675,516469,02-08-2021,6.0
2740378,500086,11-12-2020,4.0
1114696,393593,17-03-2016,6.0
1689186,434558,22-05-2018,1.0
1688868,434559,18-05-2018,4.0
1688017,434559,16-05-2018,4.0
2740618,500100,14-12-2020,3.0
2318932,475525,13-01-2020,6.0
2190523,467341,25-09-2019,5.0
2632600,491921,30-09-2020,5.0
1688260,434580,09-05-2018,4.0
2187983,467355,23-09-2019,2.0
3023715,516508,14-06-2021,1.0
3023717,516508,14-06-2021,1.0
1337543,410013,23-03-2017,5.0
1688617,434592,14-05-2018,2.0
1930473,450978,22-01-2019,2.0
2188017,467363,05-09-2019,1.0
2188034,467363,05-09-2019,9.0
2319523,475555,20-01-2020,7.0
3023795,516514,17-09-2021,3.0
1455702,418217,07-08-2017,20.0
2742115,500139,06-01-2021,10.0
1581585,426415,21-12-2017,2.0
2059300,459185,17-05-2019,2.0
1337887,410034,20-03-2017,7.0
3164233,524724,10-12-2021,2.0
2319891,475572,13-01-2020,4.0
1576345,426422,14-12-2017,2.0
2595044,491959,02-09-2020,2.0
3024215,516532,03-08-2021,4.0
1576401,426426,02-11-2017,4.0
1228471,401852,26-09-2016,2.0
2741711,500157,15-12-2020,4.0
2188543,467390,17-09-2019,7.0
1689069,434623,22-05-2018,1.0
2188600,467398,01-10-2019,4.0
2188708,467400,23-09-2019,9.0
2056501,459209,16-05-2019,2.0
2471070,483786,25-05-2020,2.0
2471085,483786,25-05-2020,11.0
2876108,508365,13-04-2021,2.0
2488485,483791,02-06-2020,8.0
3024983,516560,06-09-2021,6.0
2057414,459220,17-06-2019,5.0
1228857,401877,27-09-2016,4.0
2776202,500181,08-02-2021,5.0
2876205,508372,09-04-2021,2.0
2876336,508372,15-04-2021,4.0
2891117,508373,23-04-2021,3.0
2056649,459225,16-05-2019,3.0
2876159,508374,12-04-2021,4.0
1456727,418262,25-08-2017,4.0
2466501,483804,25-05-2020,16.0
2879546,508382,21-04-2021,2.0
1116076,393696,18-03-2016,3.0
1338692,410080,17-03-2017,1.0
2189111,467430,19-09-2019,5.0
2452145,483817,07-05-2020,1.0
2452186,483817,07-05-2020,7.0
1931513,451050,24-01-2019,3.0
2189365,467435,20-09-2019,11.0
2877059,508396,19-04-2021,4.0
2453466,483819,11-05-2020,13.0
2453735,483823,11-05-2020,9.0
2524885,483823,29-06-2020,1.0
1690190,434674,18-05-2018,6.0
2752895,500213,04-01-2021,6.0
1813958,442874,24-09-2018,2.0
2596101,492027,07-09-2020,3.0
1814043,442878,24-09-2018,4.0
2321061,475650,16-01-2020,7.0
2321081,475650,16-01-2020,2.0
1814066,442883,24-09-2018,2.0
3025699,516610,30-08-2021,1.0
3025708,516610,30-08-2021,2.0
2452570,483843,08-05-2020,3.0
1931886,451080,26-01-2019,3.0
1932026,451080,26-01-2019,7.0
3033895,516617,19-08-2021,8.0
3033902,516617,19-08-2021,4.0
2877127,508427,14-04-2021,2.0
1117401,393740,29-03-2016,1.0
3025834,516624,02-08-2021,2.0
1577716,426513,06-12-2017,2.0
1376046,410143,05-05-2017,3.0
1425221,410143,29-06-2017,3.0
1814373,442911,18-09-2018,2.0
2596709,492065,03-09-2020,5.0
2190229,467493,21-09-2019,2.0
2190301,467496,18-09-2019,2.0
2370712,475695,20-03-2020,7.0
1578142,426549,18-12-2017,1.0
1458630,418359,23-08-2017,4.0
3027473,516663,09-08-2021,8.0
3027476,516663,09-08-2021,1.0
3092276,516663,08-10-2021,1.0
1460504,418365,21-08-2017,6.0
3026722,516669,04-08-2021,3.0
1814911,442945,21-09-2018,4.0
1816464,442946,25-09-2018,5.0
2058353,459331,27-05-2019,1.0
2877969,508484,26-04-2021,6.0
1582554,426565,18-01-2018,9.0
1118401,393798,04-04-2016,1.0
3030530,516674,04-08-2021,13.0
2321849,475720,15-01-2020,2.0
1458752,418371,21-08-2017,2.0
2190727,467533,30-09-2019,1.0
2190745,467533,30-09-2019,5.0
3026844,516688,06-08-2021,4.0
1815260,442964,21-09-2018,2.0
2190879,467541,23-09-2019,4.0
3027080,516693,06-09-2021,4.0
2190982,467544,19-09-2019,4.0
2478488,483932,28-05-2020,1.0
2478497,483932,28-05-2020,1.0
1230608,402015,29-09-2016,2.0
1118702,393824,21-03-2016,3.0
2743843,500321,16-12-2020,2.0
2878545,508511,16-04-2021,1.0
3027355,516710,30-08-2021,3.0
1118734,393833,21-03-2016,3.0
3027400,516713,30-08-2021,4.0
2878756,508523,19-04-2021,6.0
2191489,467567,02-09-2019,12.0
2744204,500335,18-12-2020,4.0
1815660,442993,26-09-2018,1.0
1815600,442994,21-09-2018,9.0
2454362,483955,13-05-2020,4.0
1933392,451190,31-01-2019,4.0
2454751,483963,17-05-2020,5.0
2598546,492156,07-09-2020,2.0
2067089,459389,27-05-2019,1.0
3027909,516733,06-08-2021,1.0
3027934,516734,30-07-2021,4.0
2599652,492162,04-09-2020,2.0
2059393,459395,20-05-2019,5.0
1459730,418436,21-08-2017,4.0
2599805,492165,04-09-2020,2.0
1933545,451206,28-01-2019,7.0
1816028,443016,01-10-2018,4.0
1817700,443017,16-11-2018,2.0
2599840,492170,06-09-2020,8.0
2605742,492170,09-09-2020,1.0
2192544,467595,07-10-2019,2.0
2193115,467595,21-10-2019,3.0
2193549,467595,04-11-2019,2.0
2322632,475788,17-01-2020,5.0
1459777,418441,21-08-2017,2.0
3028153,516746,30-08-2021,2.0
2607950,492176,16-09-2020,3.0
2460254,483984,15-05-2020,2.0
3167254,524947,17-12-2021,4.0
2879464,508563,03-04-2021,2.0
2879502,508565,05-04-2021,2.0
1340981,410262,20-03-2017,2.0
2455010,483991,14-05-2020,5.0
2744896,500376,23-12-2020,8.0
1933825,451224,28-01-2019,5.0
1692924,434848,16-05-2018,2.0
1231751,402081,28-09-2016,4.0
2323010,475810,16-01-2020,4.0
1692963,434851,22-05-2018,4.0
1231883,402084,03-10-2016,8.0
2192441,467620,20-09-2019,2.0
2469121,484003,28-05-2020,3.0
3031886,516774,17-09-2021,4.0
1579607,426664,16-10-2017,2.0
3029086,516778,31-08-2021,7.0
2192517,467627,20-09-2019,1.0
1232165,402093,03-10-2016,4.0
1819120,443055,27-09-2018,4.0
1460640,418482,11-08-2017,2.0
3029060,516793,07-09-2021,7.0
2192770,467648,20-09-2019,2.0
2209701,467657,07-10-2019,4.0
1693511,434893,22-05-2018,2.0
1464267,418514,16-08-2017,2.0
2323494,475860,22-01-2020,3.0
2193187,467669,20-09-2019,2.0
2600220,492249,04-09-2020,6.0
1121092,393948,21-03-2016,3.0
2880765,508637,23-04-2021,5.0
2880790,508637,23-04-2021,4.0
2880856,508637,23-04-2021,4.0
1934996,451300,29-01-2019,2.0
2600428,492263,08-09-2020,3.0
1232884,402154,03-10-2016,2.0
1935473,451306,30-01-2019,4.0
1580187,426732,15-01-2018,2.0
2600541,492268,14-09-2020,3.0
1233017,402157,30-09-2016,5.0
1239617,402157,07-10-2016,5.0
1584901,426735,11-01-2018,4.0
1820319,443119,02-10-2018,4.0
1584750,426740,10-01-2018,4.0
1580310,426741,08-01-2018,4.0
1585205,426742,16-01-2018,5.0
1626095,426743,19-03-2018,4.0
2060824,459509,28-05-2019,4.0
1817523,443124,24-09-2018,2.0
2324031,475905,17-01-2020,6.0
2060842,459523,21-05-2019,1.0
2060942,459523,22-05-2019,2.0
2115875,459523,10-07-2019,1.0
1694369,434949,22-05-2018,8.0
2613927,492294,17-09-2020,2.0
1233228,402185,30-09-2016,5.0
1120784,393997,21-03-2016,6.0
2200346,467727,07-09-2019,3.0
2601047,492304,10-09-2020,2.0
2746896,500497,11-01-2021,3.0
2324603,475927,21-01-2020,2.0
2061494,459544,22-05-2019,2.0
2061499,459544,22-05-2019,1.0
2747042,500505,16-12-2020,5.0
2881842,508698,28-04-2021,13.0
2881747,508699,30-04-2021,6.0
2907601,508704,29-04-2021,4.0
2901696,508704,28-04-2021,2.0
1935769,451362,28-01-2019,2.0
1580676,426788,18-12-2017,3.0
3030565,516902,30-08-2021,6.0
2062110,459563,24-05-2019,5.0
2882062,508715,19-04-2021,2.0
2882121,508715,16-04-2021,5.0
1702978,434991,25-05-2018,7.0
1695083,434991,20-05-2018,4.0
3030761,516912,30-08-2021,2.0
1936043,451379,30-01-2019,4.0
1121476,394036,29-03-2016,1.0
3030844,516916,06-08-2021,2.0
1702973,434998,18-06-2018,26.0
1695186,434998,25-05-2018,35.0
1818621,443195,02-10-2018,6.0
2066079,459581,29-05-2019,5.0
2066135,459581,29-05-2019,6.0
1936149,451390,29-01-2019,2.0
1581028,426815,22-12-2017,2.0
2324800,475967,20-01-2020,2.0
2324916,475970,24-01-2020,4.0
1234025,402244,14-10-2016,4.0
2062562,459595,31-05-2019,4.0
2212225,467788,04-10-2019,2.0
1462545,418636,28-08-2017,2.0
2062677,459602,31-05-2019,4.0
3031567,516946,05-08-2021,8.0
2747327,500565,11-01-2021,2.0
2885530,508757,21-04-2021,2.0
1818899,443222,25-09-2018,8.0
2747412,500569,04-01-2021,3.0
2748095,500569,04-01-2021,4.0
2325369,475997,24-01-2020,4.0
2602419,492382,14-09-2020,4.0
1581396,426847,08-01-2018,4.0
2883391,508766,28-04-2021,1.0
2883409,508766,28-04-2021,3.0
3059232,516962,13-08-2021,4.0
3034803,516965,30-08-2021,4.0
2063054,459632,27-05-2019,3.0
1819604,443248,09-10-2018,7.0
3032156,516982,31-08-2021,1.0
1234931,402295,10-10-2016,2.0
2252334,467831,17-09-2019,7.0
2196018,467831,24-09-2019,1.0
2883728,508791,20-04-2021,4.0
1234982,402304,10-10-2016,11.0
2883899,508805,19-04-2021,4.0
2325817,476039,24-01-2020,2.0
1235066,402314,05-10-2016,2.0
1345156,410508,31-03-2017,2.0
1345173,410509,31-03-2017,2.0
2063496,459664,24-05-2019,4.0
1819723,443283,12-10-2018,8.0
2884165,508820,14-04-2021,1.0
1696979,435094,17-05-2018,3.0
2064429,459681,31-05-2019,6.0
2064440,459681,31-05-2019,6.0
2064470,459681,31-05-2019,4.0
2076182,459681,07-06-2019,1.0
2748882,500648,15-01-2021,2.0
3033440,517033,23-08-2021,4.0
1582042,426922,27-11-2017,2.0
3033458,517035,10-08-2021,4.0
1582083,426928,08-01-2018,3.0
1498697,418738,26-09-2017,1.0
1498285,418738,25-09-2017,5.0
1938051,451510,04-02-2019,8.0
2326216,476087,20-01-2020,5.0
1938100,451514,05-02-2019,2.0
1938129,451517,05-02-2019,2.0
1582330,426943,21-12-2017,2.0
3033813,517055,27-08-2021,6.0
2885234,508865,16-04-2021,1.0
1697789,435142,04-06-2018,2.0
1697911,435145,22-05-2018,6.0
2326510,476106,17-01-2020,4.0
1821459,443343,26-10-2018,2.0
1938668,451542,08-02-2019,2.0
2603949,492504,16-09-2020,4.0
2770473,500696,18-01-2021,4.0
2758597,500696,07-01-2021,8.0
1941657,451545,08-02-2019,1.0
1958960,451545,25-02-2019,1.0
2024958,451545,26-04-2019,1.0
2179415,451545,16-09-2019,2.0
2147625,451545,16-08-2019,2.0
2197505,467932,26-09-2019,4.0
2326753,476131,21-01-2020,4.0
2326769,476133,27-01-2020,1.0
2326791,476136,27-01-2020,1.0
2886062,508906,19-04-2021,8.0
2749794,500715,05-01-2021,1.0
1346440,410603,27-03-2017,2.0
1124049,394221,01-04-2016,1.0
2198199,467955,30-09-2019,10.0
1465197,418804,22-08-2017,4.0
2886135,508917,03-05-2021,10.0
2064964,459767,03-06-2019,8.0
1822723,443387,01-09-2018,18.0
2886351,508923,03-05-2021,10.0
2604765,492542,09-09-2020,3.0
1465534,418815,18-08-2017,4.0
1939241,451587,04-02-2019,4.0
1940022,451587,01-02-2019,4.0
1465591,418820,19-08-2017,5.0
2886510,508934,22-04-2021,3.0
1465656,418823,22-08-2017,3.0
1698758,435210,19-05-2018,2.0
1698876,435211,24-05-2018,14.0
2886710,508941,22-04-2021,1.0
2886715,508941,22-04-2021,2.0
1583279,427022,08-01-2018,5.0
1698953,435215,23-05-2018,4.0
1583344,427024,08-01-2018,3.0
1608045,427025,19-02-2018,4.0
1346805,410640,27-03-2017,4.0
3036455,517135,15-08-2021,2.0
2887056,508948,21-04-2021,8.0
3035242,517139,06-09-2021,4.0
2898629,508951,28-04-2021,6.0
1465966,418839,22-08-2017,2.0
1939804,451607,01-02-2019,6.0
1939780,451609,01-02-2019,1.0
2327922,476195,21-01-2020,2.0
1466291,418852,21-08-2017,2.0
1347020,410662,27-03-2017,1.0
1466438,418856,24-08-2017,3.0
1469169,418857,25-08-2017,3.0
3035469,517161,11-08-2021,4.0
1125057,394284,07-04-2016,4.0
1700774,435246,01-06-2018,10.0
1699460,435252,23-05-2018,2.0
2751355,500788,05-01-2021,6.0
1822601,443446,02-10-2018,8.0
2893105,508984,03-05-2021,4.0
2887567,508985,16-04-2021,3.0
1583938,427066,08-01-2018,2.0
1583902,427072,08-01-2018,5.0
1822931,443458,03-10-2018,6.0
1822793,443459,01-10-2018,3.0
2331769,476228,27-01-2020,3.0
2887943,509004,28-04-2021,3.0
3036070,517211,16-08-2021,2.0
1834705,443486,15-10-2018,2.0
1940900,451678,04-02-2019,1.0
1467180,418912,22-08-2017,3.0
2070425,459873,20-06-2019,4.0
2068852,459874,14-06-2019,3.0
2751950,500834,06-01-2021,4.0
1125999,394340,01-04-2016,10.0
1700168,435300,25-05-2018,5.0
1347728,410722,27-03-2017,6.0
1593659,427111,23-01-2018,4.0
2606911,492648,14-09-2020,4.0
2752026,500839,05-01-2021,7.0
1599719,427114,29-01-2018,4.0
2752131,500841,05-01-2021,3.0
1834751,443491,15-10-2018,4.0
1612474,427117,20-02-2018,4.0
1837550,443494,12-10-2018,16.0
1470322,418918,28-08-2017,4.0
1470718,418919,29-08-2017,6.0
1473111,418921,30-08-2017,3.0
1474168,418922,04-09-2017,4.0
1481597,418923,11-09-2017,5.0
1700298,435317,19-06-2018,2.0
3036758,517237,06-09-2021,1.0
