,Ing_Order,Ing_Datum,Ing_Aantal
2215968,468998,14-10-2019,1.0
2215979,468998,14-10-2019,1.0
2215985,468998,14-10-2019,1.0
1334342,409610,24-03-2017,1.0
2342574,477195,17-02-2020,1.0
2342585,477195,17-02-2020,2.0
2868767,507916,19-04-2021,1.0
2795981,503821,24-02-2021,1.0
1542542,423961,13-11-2017,2.0
1542547,423961,13-11-2017,3.0
1166271,397341,20-06-2016,3.0
1166286,397341,20-06-2016,1.0
1166290,397341,20-06-2016,2.0
2229202,469025,18-10-2019,2.0
2229238,469025,18-10-2019,1.0
2181547,466978,13-09-2019,1.0
2181551,466978,13-09-2019,1.0
2216532,469033,14-10-2019,1.0
1829489,442410,08-10-2018,1.0
1829523,442410,08-10-2018,1.0
2378762,479277,03-03-2020,1.0
2378763,479277,03-03-2020,1.0
2376245,479277,28-02-2020,1.0
2376251,479277,28-02-2020,1.0
2594535,491574,04-09-2020,1.0
1704433,434231,31-05-2018,1.0
2906436,510016,05-05-2021,1.0
2088202,460869,05-07-2019,1.0
2551324,489556,17-07-2020,2.0
1195663,399446,05-09-2016,1.0
2221732,469081,18-10-2019,3.0
2766782,501853,29-01-2021,1.0
3016350,516190,23-07-2021,1.0
1838765,444511,29-10-2018,1.0
1167247,397408,15-06-2016,1.0
2185107,467041,27-09-2019,3.0
1111398,393315,14-03-2016,2.0
2628451,493674,08-10-2020,1.0
1420806,415850,30-06-2017,1.0
1775552,440427,15-08-2018,2.0
1775610,440427,15-08-2018,1.0
2446186,483442,04-05-2020,1.0
2797426,503925,22-02-2021,1.0
2797451,503925,22-02-2021,1.0
2184945,467062,27-09-2019,1.0
2184950,467062,27-09-2019,2.0
2019967,456827,24-04-2019,4.0
2020298,456827,24-04-2019,1.0
2020419,456827,25-04-2019,2.0
2020431,456827,25-04-2019,1.0
2020503,456827,25-04-2019,1.0
2020515,456827,25-04-2019,4.0
1776842,440450,20-08-2018,2.0
1776858,440450,20-08-2018,2.0
1787995,440450,28-08-2018,1.0
2412642,481413,15-04-2020,1.0
1746382,438408,05-07-2018,2.0
1746391,438408,05-07-2018,1.0
2625993,493705,23-09-2020,1.0
2870803,508049,08-04-2021,2.0
2702158,497812,16-11-2020,5.0
1624833,430230,05-03-2018,2.0
1624878,430231,05-03-2018,1.0
2252829,471200,05-11-2019,1.0
2252835,471200,05-11-2019,1.0
2252880,471200,05-11-2019,1.0
2149566,465062,15-08-2019,4.0
2149624,465062,15-08-2019,1.0
2768270,501927,21-01-2021,1.0
1684998,434347,15-05-2018,1.0
2345262,477363,17-03-2020,1.0
3049031,516289,27-08-2021,1.0
3019401,516289,23-08-2021,1.0
2774908,501955,26-01-2021,2.0
1225135,401606,21-09-2016,3.0
1237102,401606,05-10-2016,1.0
2115446,463048,09-08-2019,1.0
2184178,467147,17-09-2019,1.0
2982819,514253,25-06-2021,1.0
2413940,481514,01-04-2020,2.0
2208657,467189,04-10-2019,3.0
2208582,467190,04-10-2019,2.0
2208604,467190,04-10-2019,1.0
2254524,469240,12-11-2019,1.0
2420847,481540,14-04-2020,1.0
1253497,403721,24-11-2016,1.0
1656071,432403,13-04-2018,1.0
2086125,461085,18-06-2019,1.0
2091562,461104,19-06-2019,1.0
2151970,465203,23-08-2019,2.0
1170212,397624,27-06-2016,1.0
3047807,516422,26-08-2021,1.0
2023289,457036,17-04-2019,1.0
2885600,508239,28-04-2021,6.0
2381047,479568,06-03-2020,1.0
1114305,393562,04-04-2016,1.0
2886795,508260,27-04-2021,1.0
2593457,491887,07-09-2020,4.0
2593464,491887,07-09-2020,4.0
2486836,485743,29-05-2020,1.0
2802054,504181,22-02-2021,1.0
2596738,491896,03-09-2020,2.0
2023925,457083,19-04-2019,1.0
2023927,457083,19-04-2019,1.0
1719400,436623,11-06-2018,3.0
1662218,432533,16-04-2018,1.0
1657803,432533,12-04-2018,7.0
1657832,432533,12-04-2018,4.0
1657849,432533,12-04-2018,1.0
1731719,432533,21-06-2018,1.0
1731793,432533,21-06-2018,4.0
2319468,475553,27-01-2020,1.0
2319544,475555,20-01-2020,2.0
1396542,414121,31-05-2017,3.0
1257519,403887,14-11-2016,1.0
1257532,403887,14-11-2016,1.0
1257535,403887,14-11-2016,3.0
1200112,399792,15-08-2016,1.0
1308572,407985,07-02-2017,1.0
1308606,407985,07-02-2017,1.0
2417256,481717,14-05-2020,1.0
2284912,473086,28-11-2019,1.0
2284924,473086,28-11-2019,1.0
1547530,424374,10-11-2017,1.0
2188525,467390,17-09-2019,1.0
2188539,467390,17-09-2019,1.0
2803401,504255,22-02-2021,1.0
1308755,408001,09-02-2017,1.0
1308762,408001,09-02-2017,1.0
2088879,461251,08-07-2019,1.0
2128129,463306,12-08-2019,6.0
1783030,440778,22-08-2018,1.0
2670394,496079,23-10-2020,1.0
2670401,496079,23-10-2020,1.0
2670405,496079,23-10-2020,1.0
2670408,496079,23-10-2020,1.0
2742320,500176,04-01-2021,1.0
2742330,500176,04-01-2021,1.0
2750130,500177,06-01-2021,1.0
2750133,500177,06-01-2021,1.0
2750148,500177,06-01-2021,1.0
2750701,500178,11-01-2021,1.0
2750713,500178,11-01-2021,1.0
1309185,408020,23-02-2017,6.0
2670865,496086,26-10-2020,1.0
2670891,496086,26-10-2020,1.0
2466517,483804,25-05-2020,1.0
2000558,455136,19-04-2019,3.0
2000609,455136,19-04-2019,1.0
1720663,436706,12-06-2018,4.0
2578175,489955,24-08-2020,1.0
1367907,412150,24-04-2017,1.0
1367933,412151,25-04-2017,3.0
2994888,514552,16-07-2021,1.0
1229337,401913,28-09-2016,1.0
2892585,508414,26-04-2021,1.0
1368095,412160,25-04-2017,1.0
1368174,412160,25-04-2017,1.0
1368192,412160,25-04-2017,1.0
1931885,451080,26-01-2019,2.0
1931898,451080,26-01-2019,1.0
1721444,436748,15-06-2018,1.0
1339473,410130,20-03-2017,1.0
1345392,410130,31-03-2017,1.0
1346916,410143,29-03-2017,1.0
1425245,410143,06-07-2017,2.0
2709192,498208,23-11-2020,1.0
2709208,498208,23-11-2020,1.0
1848499,444968,29-10-2018,1.0
2350757,477737,21-02-2020,1.0
2350760,477737,21-02-2020,1.0
2350763,477737,21-02-2020,1.0
2350773,477737,21-02-2020,2.0
1906973,449070,12-12-2018,1.0
1723782,436789,18-06-2018,2.0
1723796,436789,18-06-2018,1.0
2259102,471606,26-10-2019,1.0
1995991,455227,29-03-2019,1.0
2694061,496188,23-11-2020,1.0
2877963,508481,09-04-2021,2.0
1582561,426565,18-01-2018,1.0
1432006,416329,07-07-2017,1.0
1432023,416329,07-07-2017,1.0
1432024,416329,07-07-2017,2.0
2351595,477779,03-03-2020,1.0
2351606,477779,03-03-2020,2.0
2561269,490074,17-07-2020,1.0
1146589,395869,17-05-2016,2.0
1177175,395869,01-07-2016,1.0
1907639,449126,11-12-2018,1.0
1907649,449126,11-12-2018,1.0
2806822,504428,24-02-2021,1.0
1722862,436852,22-06-2018,1.0
2531741,481912,06-07-2020,1.0
3084811,516732,01-10-2021,1.0
2991351,514686,14-07-2021,2.0
2515580,481919,26-06-2020,1.0
1847276,445056,19-10-2018,1.0
1286538,406145,16-12-2016,1.0
1286548,406145,16-12-2016,1.0
1180828,397959,11-07-2016,1.0
1604966,428682,12-02-2018,3.0
2260745,471693,08-11-2019,1.0
1754475,438926,13-07-2018,1.0
1661321,432782,27-04-2018,1.0
1661331,432782,27-04-2018,1.0
2954421,512654,28-06-2021,2.0
1661501,432789,26-04-2018,1.0
2260894,471704,11-11-2019,1.0
2674285,496282,27-10-2020,1.0
2636016,494235,05-10-2020,1.0
2745095,500384,05-01-2021,1.0
1429627,416421,04-07-2017,1.0
2808109,504486,01-03-2021,1.0
1232161,402093,03-10-2016,1.0
2158706,463538,30-08-2019,4.0
2917009,510643,14-05-2021,1.0
2917048,510643,14-05-2021,1.0
2353988,477884,27-02-2020,2.0
1998234,455364,28-03-2019,1.0
2776431,502480,15-03-2021,2.0
2776433,502480,15-03-2021,2.0
2295140,473809,09-12-2019,1.0
2323472,475860,22-01-2020,1.0
1998965,455391,28-03-2019,1.0
1998980,455391,28-03-2019,1.0
2846506,506591,22-03-2021,1.0
2846517,506591,22-03-2021,1.0
1935012,451300,29-01-2019,1.0
1552722,424688,27-11-2017,1.0
2228437,469745,18-10-2019,1.0
1401310,414451,06-06-2017,1.0
1406143,414451,07-06-2017,1.0
2675892,496377,28-10-2020,1.0
2713349,498429,14-12-2020,4.0
1606665,428800,02-02-2018,1.0
2676123,496385,29-10-2020,1.0
1966329,453382,08-03-2019,1.0
1966348,453382,08-03-2019,1.0
1553106,424710,20-11-2017,1.0
1314658,408331,20-02-2017,1.0
1314666,408331,20-02-2017,1.0
1313829,408336,15-02-2017,1.0
1611641,428818,10-02-2018,1.0
1611669,428818,10-02-2018,1.0
1611688,428818,10-02-2018,1.0
1817954,443155,25-09-2018,1.0
1817976,443155,25-09-2018,1.0
1094474,391955,04-02-2016,1.0
1313532,408339,22-02-2017,1.0
1999622,455447,03-04-2019,1.0
2324398,475935,20-01-2020,1.0
2639439,494370,02-10-2020,1.0
2639448,494370,02-10-2020,1.0
2639464,494370,02-10-2020,1.0
2846181,506659,29-03-2021,1.0
2160335,465701,16-09-2019,1.0
2160401,465704,30-08-2019,1.0
2425238,482090,20-04-2020,1.0
2436537,482090,20-04-2020,1.0
1121485,394036,29-03-2016,1.0
1431449,416569,03-07-2017,2.0
1373599,412489,26-04-2017,1.0
1190103,396108,20-07-2016,1.0
2062691,459604,31-05-2019,3.0
2846885,506715,23-03-2021,1.0
2846889,506715,23-03-2021,1.0
2846908,506715,23-03-2021,1.0
2816049,504686,08-03-2021,2.0
2678405,496501,29-10-2020,1.0
1262462,404342,09-11-2016,1.0
1262463,404342,09-11-2016,1.0
2252331,467831,17-09-2019,2.0
2196008,467831,24-09-2019,1.0
2837081,504699,15-03-2021,1.0
2837104,504699,15-03-2021,1.0
2953651,504699,09-06-2021,1.0
2953654,504699,09-06-2021,1.0
1885120,447360,26-11-2018,1.0
1885137,447360,26-11-2018,1.0
1789194,441225,29-08-2018,1.0
2641687,494478,05-10-2020,1.0
3067822,519056,04-10-2021,1.0
2551929,482192,17-08-2020,1.0
2551930,482192,17-08-2020,1.0
1968192,453522,11-03-2019,1.0
2816710,504723,05-03-2021,2.0
2920678,510868,21-05-2021,3.0
1499304,420760,02-10-2017,1.0
1500474,420761,04-10-2017,1.0
2532136,488354,07-07-2020,1.0
2096360,461731,03-07-2019,2.0
1789042,441257,29-08-2018,1.0
2067531,459693,31-05-2019,2.0
1289719,406454,02-01-2017,1.0
1289748,406454,02-01-2017,1.0
1968881,453562,07-03-2019,1.0
1820426,443323,04-10-2018,1.0
2533388,488381,07-07-2020,1.0
2679961,496574,06-11-2020,1.0
2096409,461774,03-07-2019,2.0
2891820,508898,24-04-2021,1.0
2780934,502755,05-02-2021,1.0
3105128,521197,01-11-2021,1.0
2886144,508917,03-05-2021,3.0
1822701,443387,01-09-2018,1.0
1822702,443387,01-09-2018,2.0
2512688,486396,23-06-2020,1.0
2998330,515072,12-07-2021,1.0
2604832,492548,09-09-2020,1.0
1180083,398344,08-07-2016,1.0
1180095,398344,08-07-2016,1.0
1702181,435211,24-05-2018,1.0
1583251,427022,08-01-2018,1.0
1583280,427022,08-01-2018,1.0
1589225,427022,16-01-2018,1.0
2427517,482326,20-04-2020,2.0
1729355,437280,25-06-2018,2.0
2923625,511010,18-05-2021,1.0
2327914,476195,21-01-2020,1.0
2327932,476195,21-01-2020,1.0
1729399,437292,25-06-2018,3.0
1700766,435246,01-06-2018,1.0
3070590,519222,28-09-2021,1.0
1181755,398393,14-07-2016,2.0
1291596,406586,09-01-2016,16.0
2098149,461883,25-06-2019,1.0
2098152,461883,25-06-2019,3.0
2150245,463929,20-08-2019,3.0
2725697,498750,30-11-2020,1.0
2506058,486474,22-06-2020,1.0
2506075,486474,22-06-2020,1.0
2686434,494668,09-11-2020,1.0
1154016,396375,30-05-2016,1.0
2788678,502871,08-02-2021,1.0
1668836,433240,23-04-2018,1.0
1683635,433240,04-05-2018,1.0
2645657,494682,16-10-2020,2.0
1761972,439399,06-08-2018,2.0
1349875,410740,30-03-2017,1.0
1362054,410741,11-04-2017,1.0
1265865,404599,15-11-2016,12.0
1701537,435324,08-06-2018,2.0
2683134,496764,13-11-2020,1.0
2888747,509054,03-05-2021,1.0
2166501,466048,30-08-2019,2.0
2329152,476289,03-02-2020,1.0
2329173,476289,03-02-2020,5.0
2200270,468100,02-10-2019,1.0
2200312,468101,07-10-2019,3.0
2099398,461970,25-06-2019,2.0
1855319,445588,31-10-2018,1.0
1886186,447636,28-11-2018,2.0
2036116,457877,03-04-2019,2.0
1855398,445594,07-11-2018,1.0
2167223,466076,30-08-2019,1.0
2167239,466076,30-08-2019,1.0
2099513,461981,01-07-2019,1.0
2607693,492710,18-09-2020,1.0
2926612,511142,25-05-2021,1.0
1445156,416938,17-07-2017,2.0
1154635,396460,31-05-2016,1.0
2753749,500924,18-01-2021,1.0
2753752,500924,18-01-2021,2.0
1083065,390341,11-01-2016,2.0
1081922,390341,01-01-2016,1.0
2890105,509126,30-04-2021,1.0
2890138,509126,30-04-2021,1.0
2430584,482502,16-04-2020,1.0
2410842,480461,09-04-2020,1.0
2430736,482510,17-04-2020,2.0
2502170,486615,15-06-2020,1.0
1734927,437465,27-06-2018,2.0
1887126,447707,23-11-2018,1.0
1283750,402653,12-12-2016,1.0
2721476,498911,30-11-2020,1.0
2721506,498911,30-11-2020,1.0
2721643,498915,08-12-2020,1.0
2069232,460018,27-05-2019,2.0
1408093,414964,12-06-2017,1.0
1794149,441605,10-09-2018,1.0
1794163,441605,10-09-2018,1.0
1642180,431386,22-03-2018,8.0
1916538,449819,11-01-2019,1.0
1718126,435487,18-06-2018,1.0
1642218,431391,03-04-2018,2.0
1733983,437537,02-07-2018,3.0
2786103,503074,05-03-2021,2.0
1604102,427299,08-02-2018,1.0
2745491,498977,15-12-2020,1.0
1561301,425250,29-11-2017,3.0
1321253,408872,27-02-2017,1.0
1655504,431405,09-04-2018,1.0
1586742,427311,16-01-2018,2.0
1603985,427317,08-02-2018,3.0
1660610,431413,16-04-2018,1.0
1156226,396603,30-05-2016,1.0
1156238,396603,30-05-2016,1.0
2610972,492863,14-09-2020,1.0
1390230,412992,17-05-2017,1.0
1669068,431441,23-04-2018,1.0
2238821,470354,01-11-2019,1.0
2039056,458070,03-05-2019,1.0
2967735,513379,21-06-2021,1.0
2967348,513379,17-06-2021,1.0
2967354,513379,17-06-2021,1.0
1858297,445797,30-10-2018,5.0
1858380,445797,30-10-2018,1.0
1858399,445797,30-10-2018,1.0
1322000,408935,27-02-2017,1.0
2505158,486772,23-06-2020,1.0
2333019,476533,29-01-2020,1.0
1672714,433528,24-04-2018,1.0
2612142,492925,15-09-2020,1.0
1471288,419203,25-08-2017,2.0
2217330,468361,10-10-2019,2.0
1840836,443787,16-10-2018,1.0
2039624,458126,10-05-2019,2.0
2008445,456079,05-04-2019,1.0
2171176,466319,04-09-2019,2.0
1387468,413073,22-05-2017,4.0
2857130,507297,29-03-2021,2.0
2115829,462248,10-07-2019,1.0
1324587,409007,02-03-2017,1.0
1324597,409007,02-03-2017,1.0
1615667,429488,19-02-2018,1.0
1615682,429488,19-02-2018,1.0
1945874,452026,12-02-2019,1.0
1945878,452026,12-02-2019,1.0
2688986,497083,05-11-2020,1.0
1946224,452040,01-03-2019,1.0
1946250,452040,01-03-2019,1.0
1535522,423371,09-11-2017,1.0
1946358,452049,01-03-2019,1.0
2205563,468434,02-10-2019,1.0
2541932,488917,10-08-2020,1.0
2541933,488917,10-08-2020,1.0
2573203,488917,14-08-2020,1.0
2726163,499159,09-12-2020,1.0
1411586,415192,13-06-2017,1.0
1411605,415192,13-06-2017,4.0
1674223,433625,26-04-2018,1.0
1421327,415201,28-06-2017,2.0
1421266,415201,27-06-2017,1.0
1421367,415201,29-06-2017,2.0
2936122,493037,28-05-2021,1.0
2936126,493037,28-05-2021,1.0
3015275,493037,26-07-2021,1.0
1644931,431597,09-04-2018,1.0
3007142,515566,16-07-2021,3.0
1131071,394740,12-04-2016,2.0
1977120,454148,11-03-2019,1.0
2859236,507405,26-03-2021,1.0
3007607,515598,16-07-2021,1.0
3007665,515606,20-07-2021,1.0
2083287,460312,13-06-2019,1.0
2083290,460312,13-06-2019,1.0
1737363,437791,05-07-2018,1.0
1737429,437791,05-07-2018,4.0
1175699,394786,04-07-2016,1.0
1861240,445986,02-11-2018,1.0
2334671,476708,27-01-2020,1.0
2334686,476708,27-01-2020,1.0
1799456,441890,10-09-2018,1.0
2823946,505383,15-03-2021,1.0
1798829,441895,10-09-2018,1.0
1131964,394806,12-04-2016,2.0
2509563,486968,18-06-2020,1.0
1707095,435769,31-05-2018,1.0
1707112,435769,31-05-2018,1.0
1226164,400953,26-09-2016,4.0
1707768,435771,23-05-2018,1.0
2473078,484928,27-05-2020,1.0
