,Date,Net_daily_art
0,2010-01-01,0.0
1,2010-01-02,2.0
2,2010-01-03,2.0
3,2010-01-04,4.0
4,2010-01-05,6.0
5,2010-01-06,8.0
6,2010-01-07,6.0
7,2010-01-08,6.0
8,2010-01-09,6.0
9,2010-01-10,6.0
10,2010-01-11,10.0
11,2010-01-12,12.0
12,2010-01-13,16.0
13,2010-01-14,14.0
14,2010-01-15,15.0
15,2010-01-16,11.0
16,2010-01-17,11.0
17,2010-01-18,18.0
18,2010-01-19,37.0
19,2010-01-20,38.0
20,2010-01-21,35.0
21,2010-01-22,51.0
22,2010-01-23,46.0
23,2010-01-24,46.0
24,2010-01-25,61.0
25,2010-01-26,70.0
26,2010-01-27,70.0
27,2010-01-28,76.0
28,2010-01-29,87.0
29,2010-01-30,68.0
30,2010-01-31,68.0
31,2010-02-01,94.0
32,2010-02-02,88.0
33,2010-02-03,88.0
34,2010-02-04,84.0
35,2010-02-05,94.0
36,2010-02-06,76.0
37,2010-02-07,76.0
38,2010-02-08,118.0
39,2010-02-09,115.0
40,2010-02-10,127.0
41,2010-02-11,114.0
42,2010-02-12,121.0
43,2010-02-13,111.0
44,2010-02-14,111.0
45,2010-02-15,114.0
46,2010-02-16,129.0
47,2010-02-17,139.0
48,2010-02-18,133.0
49,2010-02-19,131.0
50,2010-02-20,116.0
51,2010-02-21,116.0
52,2010-02-22,146.0
53,2010-02-23,144.0
54,2010-02-24,151.0
55,2010-02-25,150.0
56,2010-02-26,158.0
57,2010-02-27,138.0
58,2010-02-28,138.0
59,2010-03-01,148.0
60,2010-03-02,139.0
61,2010-03-03,132.0
62,2010-03-04,132.0
63,2010-03-05,145.0
64,2010-03-06,132.0
65,2010-03-07,132.0
66,2010-03-08,146.0
67,2010-03-09,141.0
68,2010-03-10,141.0
69,2010-03-11,143.0
70,2010-03-12,131.0
71,2010-03-13,107.0
72,2010-03-14,107.0
73,2010-03-15,132.0
74,2010-03-16,122.0
75,2010-03-17,124.0
76,2010-03-18,104.0
77,2010-03-19,96.0
78,2010-03-20,84.0
79,2010-03-21,84.0
80,2010-03-22,98.0
81,2010-03-23,118.0
82,2010-03-24,133.0
83,2010-03-25,121.0
84,2010-03-26,128.0
85,2010-03-27,107.0
86,2010-03-28,107.0
87,2010-03-29,118.0
88,2010-03-30,123.0
89,2010-03-31,126.0
90,2010-04-01,140.0
91,2010-04-02,146.0
92,2010-04-03,146.0
93,2010-04-04,146.0
94,2010-04-05,150.0
95,2010-04-06,284.0
96,2010-04-07,275.0
97,2010-04-08,282.0
98,2010-04-09,283.0
99,2010-04-10,268.0
100,2010-04-11,268.0
101,2010-04-12,279.0
102,2010-04-13,281.0
103,2010-04-14,154.0
104,2010-04-15,148.0
105,2010-04-16,155.0
106,2010-04-17,127.0
107,2010-04-18,127.0
108,2010-04-19,133.0
109,2010-04-20,132.0
110,2010-04-21,134.0
111,2010-04-22,137.0
112,2010-04-23,152.0
113,2010-04-24,138.0
114,2010-04-25,132.0
115,2010-04-26,160.0
116,2010-04-27,154.0
117,2010-04-28,168.0
118,2010-04-29,156.0
119,2010-04-30,141.0
120,2010-05-01,139.0
121,2010-05-02,139.0
122,2010-05-03,158.0
123,2010-05-04,162.0
124,2010-05-05,146.0
125,2010-05-06,185.0
126,2010-05-07,186.0
127,2010-05-08,172.0
128,2010-05-09,172.0
129,2010-05-10,176.0
130,2010-05-11,169.0
131,2010-05-12,170.0
