,Date,Net_month_art
0,2010-01-31,153.0
1,2010-02-28,277.0
2,2010-03-31,339.0
3,2010-04-30,456.0
4,2010-05-31,352.0
5,2010-06-30,584.0
6,2010-07-31,246.0
7,2010-08-31,409.0
8,2010-09-30,500.0
9,2010-10-31,490.0
10,2010-11-30,435.0
11,2010-12-31,182.0
12,2011-01-31,442.0
13,2011-02-28,277.0
14,2011-03-31,617.0
15,2011-04-30,550.0
16,2011-05-31,566.0
17,2011-06-30,531.0
18,2011-07-31,392.0
19,2011-08-31,511.0
20,2011-09-30,529.0
21,2011-10-31,438.0
22,2011-11-30,493.0
23,2011-12-31,327.0
24,2012-01-31,362.0
25,2012-02-29,334.0
26,2012-03-31,664.0
27,2012-04-30,758.0
28,2012-05-31,555.0
29,2012-06-30,674.0
30,2012-07-31,344.0
31,2012-08-31,435.0
32,2012-09-30,538.0
33,2012-10-31,737.0
34,2012-11-30,853.0
35,2012-12-31,372.0
36,2013-01-31,277.0
37,2013-02-28,537.0
38,2013-03-31,613.0
39,2013-04-30,893.0
40,2013-05-31,647.0
41,2013-06-30,685.0
42,2013-07-31,584.0
43,2013-08-31,488.0
44,2013-09-30,756.0
45,2013-10-31,925.0
46,2013-11-30,1034.0
47,2013-12-31,626.0
48,2014-01-31,543.0
49,2014-02-28,481.0
50,2014-03-31,704.0
51,2014-04-30,1065.0
52,2014-05-31,796.0
53,2014-06-30,774.0
54,2014-07-31,678.0
55,2014-08-31,449.0
56,2014-09-30,697.0
57,2014-10-31,788.0
58,2014-11-30,789.0
59,2014-12-31,638.0
60,2015-01-31,386.0
61,2015-02-28,475.0
62,2015-03-31,619.0
63,2015-04-30,1046.0
64,2015-05-31,608.0
65,2015-06-30,570.0
66,2015-07-31,661.0
67,2015-08-31,578.0
68,2015-09-30,807.0
69,2015-10-31,866.0
70,2015-11-30,882.0
71,2015-12-31,489.0
72,2016-01-31,375.0
73,2016-02-29,417.0
74,2016-03-31,441.0
75,2016-04-30,762.0
76,2016-05-31,460.0
77,2016-06-30,519.0
78,2016-07-31,377.0
79,2016-08-31,322.0
80,2016-09-30,416.0
81,2016-10-31,410.0
82,2016-11-30,661.0
83,2016-12-31,399.0
84,2017-01-31,241.0
85,2017-02-28,482.0
86,2017-03-31,748.0
87,2017-04-30,1126.0
88,2017-05-31,762.0
89,2017-06-30,615.0
90,2017-07-31,368.0
91,2017-08-31,429.0
92,2017-09-30,428.0
93,2017-10-31,540.0
94,2017-11-30,491.0
95,2017-12-31,468.0
96,2018-01-31,254.0
97,2018-02-28,445.0
98,2018-03-31,469.0
99,2018-04-30,732.0
100,2018-05-31,547.0
101,2018-06-30,481.0
102,2018-07-31,436.0
103,2018-08-31,408.0
104,2018-09-30,381.0
105,2018-10-31,563.0
106,2018-11-30,520.0
107,2018-12-31,337.0
108,2019-01-31,453.0
109,2019-02-28,341.0
110,2019-03-31,294.0
111,2019-04-30,631.0
112,2019-05-31,508.0
113,2019-06-30,466.0
114,2019-07-31,431.0
115,2019-08-31,308.0
116,2019-09-30,502.0
117,2019-10-31,489.0
118,2019-11-30,599.0
119,2019-12-31,384.0
120,2020-01-31,322.0
121,2020-02-29,343.0
122,2020-03-31,433.0
123,2020-04-30,338.0
124,2020-05-31,357.0
125,2020-06-30,721.0
126,2020-07-31,470.0
127,2020-08-31,374.0
128,2020-09-30,426.0
129,2020-10-31,405.0
130,2020-11-30,417.0
131,2020-12-31,277.0
132,2021-01-31,219.0
133,2021-02-28,330.0
134,2021-03-31,488.0
135,2021-04-30,335.0
136,2021-05-31,412.0
137,2021-06-30,433.0
138,2021-07-31,411.0
139,2021-08-31,223.0
140,2021-09-30,563.0
141,2021-10-31,726.0
142,2021-11-30,454.0
143,2021-12-31,253.0
