,Date,Net_week_art
0,2010-01-10,8.0
1,2010-01-17,20.0
2,2010-01-24,50.0
3,2010-01-31,73.0
4,2010-02-07,68.0
5,2010-02-14,84.0
6,2010-02-21,39.0
7,2010-02-28,86.0
8,2010-03-07,71.0
9,2010-03-14,84.0
10,2010-03-21,60.0
11,2010-03-28,90.0
12,2010-04-04,84.0
13,2010-04-11,184.0
14,2010-04-18,61.0
15,2010-04-25,53.0
16,2010-05-02,108.0
17,2010-05-09,104.0
18,2010-05-16,36.0
19,2010-05-23,90.0
20,2010-05-30,88.0
21,2010-06-06,94.0
22,2010-06-13,123.0
23,2010-06-20,114.0
24,2010-06-27,179.0
25,2010-07-04,134.0
26,2010-07-11,65.0
27,2010-07-18,70.0
28,2010-07-25,34.0
29,2010-08-01,51.0
30,2010-08-08,47.0
31,2010-08-15,83.0
32,2010-08-22,128.0
33,2010-08-29,73.0
34,2010-09-05,228.0
35,2010-09-12,128.0
36,2010-09-19,68.0
37,2010-09-26,76.0
38,2010-10-03,115.0
39,2010-10-10,100.0
40,2010-10-17,170.0
41,2010-10-24,68.0
42,2010-10-31,115.0
43,2010-11-07,129.0
44,2010-11-14,96.0
45,2010-11-21,82.0
46,2010-11-28,105.0
47,2010-12-05,39.0
48,2010-12-12,90.0
49,2010-12-19,52.0
50,2010-12-26,22.0
51,2011-01-02,2.0
52,2011-01-09,66.0
53,2011-01-16,100.0
54,2011-01-23,120.0
55,2011-01-30,124.0
56,2011-02-06,100.0
57,2011-02-13,37.0
58,2011-02-20,85.0
59,2011-02-27,57.0
60,2011-03-06,125.0
61,2011-03-13,160.0
62,2011-03-20,149.0
63,2011-03-27,121.0
64,2011-04-03,106.0
65,2011-04-10,313.0
66,2011-04-17,67.0
67,2011-04-24,50.0
68,2011-05-01,112.0
69,2011-05-08,96.0
70,2011-05-15,144.0
71,2011-05-22,150.0
72,2011-05-29,127.0
73,2011-06-05,72.0
74,2011-06-12,114.0
75,2011-06-19,219.0
76,2011-06-26,100.0
77,2011-07-03,153.0
78,2011-07-10,153.0
79,2011-07-17,56.0
80,2011-07-24,65.0
81,2011-07-31,34.0
82,2011-08-07,31.0
83,2011-08-14,113.0
84,2011-08-21,166.0
85,2011-08-28,116.0
86,2011-09-04,162.0
87,2011-09-11,95.0
88,2011-09-18,122.0
89,2011-09-25,157.0
90,2011-10-02,78.0
91,2011-10-09,82.0
92,2011-10-16,89.0
93,2011-10-23,103.0
94,2011-10-30,138.0
95,2011-11-06,96.0
96,2011-11-13,156.0
97,2011-11-20,113.0
98,2011-11-27,110.0
99,2011-12-04,112.0
100,2011-12-11,127.0
101,2011-12-18,92.0
102,2011-12-25,40.0
103,2012-01-01,0.0
104,2012-01-08,40.0
105,2012-01-15,117.0
106,2012-01-22,63.0
107,2012-01-29,99.0
108,2012-02-05,56.0
109,2012-02-12,11.0
110,2012-02-19,101.0
111,2012-02-26,123.0
112,2012-03-04,146.0
113,2012-03-11,131.0
114,2012-03-18,177.0
115,2012-03-25,162.0
116,2012-04-01,136.0
117,2012-04-08,428.0
118,2012-04-15,105.0
119,2012-04-22,117.0
120,2012-04-29,107.0
121,2012-05-06,155.0
122,2012-05-13,159.0
123,2012-05-20,89.0
124,2012-05-27,90.0
125,2012-06-03,89.0
126,2012-06-10,150.0
127,2012-06-17,241.0
128,2012-06-24,104.0
129,2012-07-01,153.0
130,2012-07-08,89.0
131,2012-07-15,92.0
132,2012-07-22,60.0
133,2012-07-29,57.0
134,2012-08-05,80.0
135,2012-08-12,91.0
136,2012-08-19,114.0
137,2012-08-26,92.0
138,2012-09-02,105.0
139,2012-09-09,106.0
140,2012-09-16,85.0
141,2012-09-23,157.0
142,2012-09-30,189.0
143,2012-10-07,137.0
144,2012-10-14,160.0
145,2012-10-21,118.0
146,2012-10-28,234.0
147,2012-11-04,182.0
148,2012-11-11,227.0
149,2012-11-18,193.0
150,2012-11-25,167.0
151,2012-12-02,172.0
152,2012-12-09,168.0
153,2012-12-16,123.0
154,2012-12-23,79.0
155,2012-12-30,0.0
156,2013-01-06,42.0
157,2013-01-13,61.0
158,2013-01-20,76.0
159,2013-01-27,13.0
160,2013-02-03,106.0
161,2013-02-10,179.0
162,2013-02-17,94.0
163,2013-02-24,183.0
164,2013-03-03,100.0
165,2013-03-10,172.0
166,2013-03-17,126.0
167,2013-03-24,159.0
168,2013-03-31,116.0
169,2013-04-07,162.0
170,2013-04-14,331.0
171,2013-04-21,279.0
172,2013-04-28,100.0
173,2013-05-05,80.0
174,2013-05-12,66.0
175,2013-05-19,240.0
176,2013-05-26,122.0
177,2013-06-02,160.0
178,2013-06-09,213.0
179,2013-06-16,160.0
180,2013-06-23,163.0
181,2013-06-30,149.0
182,2013-07-07,150.0
