,End_Order,End_Datum,Ret_Aantal
1012184,393227,15-03-2016,4.0
3021037,524302,20-12-2021,2.0
1008766,393236,22-03-2016,2.0
3021103,524326,16-12-2021,2.0
3021164,524330,10-12-2021,2.0
3030025,524330,14-12-2021,4.0
3021193,524336,10-12-2021,2.0
3021712,524347,20-12-2021,5.0
3021407,524355,14-12-2021,4.0
1009273,393289,15-03-2016,4.0
3024158,524369,22-12-2021,8.0
1009349,393300,11-03-2016,6.0
1010242,393305,14-03-2016,6.0
1009376,393306,11-03-2016,1.0
3027999,524379,09-12-2021,4.0
1010151,393307,11-03-2016,5.0
1035977,393310,26-04-2016,4.0
1009441,393319,11-03-2016,2.0
1009427,393319,10-03-2016,4.0
3022346,524392,15-12-2021,10.0
3022367,524392,17-12-2021,13.0
3022424,524392,17-12-2021,4.0
1010610,393323,10-03-2016,6.0
3022615,524408,24-11-2021,1.0
3022663,524411,24-11-2021,1.0
1009662,393340,10-03-2016,2.0
1009682,393341,14-03-2016,2.0
1009715,393343,15-03-2016,2.0
3022816,524418,13-12-2021,10.0
3025486,524420,17-12-2021,2.0
3022871,524421,23-12-2021,4.0
1009720,393348,18-03-2016,2.0
3041521,524445,23-12-2021,2.0
1010530,393376,10-03-2016,2.0
1020837,393377,30-03-2016,2.0
1020838,393377,30-03-2016,1.0
3048162,524452,24-12-2021,4.0
1009961,393385,29-03-2016,4.0
3023859,524463,22-12-2021,3.0
3023870,524468,20-12-2021,4.0
3023907,524475,20-12-2021,6.0
1012898,393405,16-03-2016,20.0
1020832,393408,30-03-2016,4.0
1010281,393419,15-03-2016,2.0
3024469,524492,10-12-2021,6.0
1013289,393425,10-04-2016,1.0
1013317,393425,10-04-2016,3.0
1013477,393425,10-04-2016,3.0
1013603,393425,10-04-2016,4.0
1013653,393425,10-04-2016,2.0
1013706,393425,10-04-2016,7.0
1013765,393425,10-04-2016,8.0
1013817,393425,10-04-2016,1.0
1013829,393425,10-04-2016,4.0
1013874,393425,10-04-2016,6.0
1013917,393425,10-04-2016,6.0
1013951,393425,10-04-2016,1.0
1014416,393425,10-04-2016,10.0
1014440,393425,10-04-2016,2.0
1014489,393425,10-04-2016,5.0
1014505,393425,10-04-2016,3.0
1014527,393425,10-04-2016,2.0
1014553,393425,10-04-2016,2.0
1014607,393425,10-04-2016,1.0
1014644,393425,10-04-2016,1.0
1014842,393425,10-04-2016,15.0
1014856,393425,10-04-2016,4.0
1014884,393425,10-04-2016,2.0
1014922,393425,10-04-2016,9.0
1014969,393425,10-04-2016,5.0
1015329,393425,10-04-2016,21.0
1025561,393425,10-04-2016,1.0
1027103,393425,10-04-2016,4.0
1030625,393425,10-04-2016,2.0
3024967,524519,17-12-2021,2.0
1010492,393448,23-03-2016,2.0
3025135,524523,21-12-2021,2.0
3025199,524530,17-12-2021,4.0
1017699,393458,11-03-2016,2.0
3025235,524533,23-12-2021,2.0
1010658,393465,18-03-2016,6.0
3044294,524538,23-12-2021,2.0
3045767,524543,23-12-2021,4.0
3025329,524545,10-12-2021,4.0
3034857,524547,17-12-2021,2.0
1010783,393475,11-03-2016,1.0
1010787,393475,11-03-2016,1.0
1010789,393475,11-03-2016,2.0
3032823,524551,16-12-2021,8.0
1093667,393481,05-08-2016,1.0
1136380,393481,05-08-2016,4.0
1010875,393482,14-03-2016,8.0
3025771,524555,13-12-2021,4.0
3025848,524556,20-12-2021,4.0
1010904,393487,14-03-2016,2.0
1011141,393507,18-03-2016,2.0
3031164,524583,14-12-2021,4.0
3026354,524584,21-12-2021,4.0
3026472,524588,22-12-2021,3.0
3027317,524590,24-12-2021,7.0
1032435,393529,19-04-2016,2.0
3026707,524603,24-11-2021,10.0
3026731,524603,24-11-2021,13.0
3026738,524603,24-11-2021,4.0
3039338,524606,17-12-2021,2.0
3027023,524616,24-12-2021,4.0
3027109,524618,16-12-2021,12.0
3027395,524619,20-12-2021,12.0
3039946,524633,21-12-2021,4.0
3027371,524635,16-12-2021,4.0
3034945,524639,16-12-2021,4.0
1014448,393568,21-03-2016,6.0
1011914,393569,25-03-2016,2.0
3028720,524643,16-12-2021,4.0
3029868,524645,10-12-2021,2.0
1036100,393573,26-04-2016,4.0
1014217,393575,23-03-2016,1.0
3027958,524655,22-12-2021,2.0
3027943,524656,23-11-2021,4.0
1012106,393585,15-03-2016,8.0
1066412,393590,22-06-2016,4.0
1066413,393590,22-06-2016,1.0
1153662,393590,14-10-2016,0.0
1012196,393594,24-03-2016,6.0
1012258,393595,29-03-2016,6.0
1012285,393600,29-03-2016,10.0
3030895,524676,17-12-2021,6.0
1012457,393619,18-03-2016,8.0
1012500,393625,30-03-2016,2.0
1128348,393628,07-10-2016,1.0
1012564,393629,29-03-2016,2.0
1012585,393631,30-03-2016,2.0
1012617,393633,01-04-2016,4.0
1014732,393643,18-03-2016,8.0
1012705,393644,18-03-2016,1.0
1012731,393645,18-03-2016,2.0
3039347,524727,17-12-2021,2.0
1014364,393658,21-03-2016,2.0
1014025,393670,31-03-2016,4.0
1024116,393676,06-04-2016,4.0
1014128,393679,28-04-2016,4.0
1052550,393686,13-05-2016,4.0
1014309,393691,22-03-2016,1.0
1014313,393691,22-03-2016,1.0
3030133,524764,20-12-2021,2.0
3030098,524765,16-12-2021,6.0
1014359,393695,29-03-2016,4.0
3030213,524774,17-12-2021,4.0
3039316,524776,17-12-2021,4.0
3045778,524777,23-12-2021,2.0
1019129,393722,23-03-2016,2.0
3042687,524804,21-12-2021,4.0
1033873,393743,21-04-2016,4.0
1015554,393747,21-03-2016,5.0
1015596,393750,23-03-2016,4.0
3031104,524824,24-12-2021,4.0
