,End_Order,End_Datum,Ret_Aantal
197728,326605.0,22-1-2010,1.0
195846,326606.0,5-1-2010,6.0
201114,326607.0,19-2-2010,4.0
195924,326620.0,4-1-2010,2.0
195925,326620.0,4-1-2010,3.0
195929,326620.0,4-1-2010,2.0
196116,326652.0,6-1-2010,4.0
196128,326652.0,6-1-2010,2.0
196141,326652.0,6-1-2010,2.0
197170,326666.0,23-2-2010,1.0
197198,326666.0,8-3-2010,4.0
197215,326666.0,8-3-2010,6.0
197219,326666.0,8-3-2010,4.0
197221,326666.0,8-3-2010,2.0
202883,326668.0,3-3-2010,5.0
202902,326669.0,5-3-2010,1.0
202914,326669.0,5-3-2010,4.0
196243,326685.0,29-1-2010,1.0
196274,326685.0,29-1-2010,1.0
196277,326685.0,29-1-2010,1.0
222935,326711.0,7-5-2010,2.0
223218,326711.0,11-5-2010,1.0
223219,326711.0,11-5-2010,1.0
223250,326711.0,11-5-2010,5.0
223266,326711.0,11-5-2010,7.0
240661,326711.0,12-5-2010,4.0
196349,326712.0,11-1-2010,2.0
296981,326715.0,25-3-2011,1.0
205521,326716.0,10-3-2010,4.0
205523,326716.0,10-3-2010,4.0
196405,326720.0,11-1-2010,2.0
196417,326720.0,11-1-2010,2.0
196370,326723.0,14-1-2010,8.0
197916,326741.0,26-1-2010,2.0
197920,326741.0,26-1-2010,2.0
196506,326743.0,13-1-2010,2.0
196594,326747.0,14-1-2010,2.0
196598,326759.0,21-1-2010,4.0
196601,326759.0,21-1-2010,8.0
196634,326763.0,18-1-2010,2.0
196651,326763.0,18-1-2010,1.0
198909,326764.0,2-2-2010,2.0
196666,326772.0,21-1-2010,2.0
196669,326772.0,21-1-2010,2.0
196730,326779.0,15-1-2010,2.0
196820,326783.0,15-1-2010,2.0
196826,326783.0,15-1-2010,2.0
197039,326784.0,22-1-2010,18.0
196770,326788.0,2-2-2010,4.0
196784,326788.0,2-2-2010,1.0
196787,326788.0,2-2-2010,7.0
197462,326790.0,21-1-2010,4.0
198372,326794.0,28-1-2010,5.0
196876,326796.0,9-3-2010,10.0
200150,326799.0,10-2-2010,2.0
200212,326801.0,11-2-2010,9.0
197157,326802.0,21-1-2010,6.0
214026,326810.0,8-4-2010,6.0
224086,326810.0,18-5-2010,1.0
237070,326810.0,18-5-2010,1.0
237076,326810.0,18-5-2010,1.0
237077,326810.0,18-5-2010,1.0
237078,326810.0,18-5-2010,1.0
237083,326810.0,18-5-2010,1.0
237088,326810.0,18-5-2010,1.0
207449,326811.0,17-3-2010,12.0
207486,326811.0,17-3-2010,4.0
207488,326811.0,17-3-2010,4.0
215094,326811.0,13-4-2010,5.0
196987,326817.0,20-1-2010,13.0
211918,326840.0,31-3-2010,8.0
211920,326840.0,31-3-2010,7.0
211922,326840.0,31-3-2010,2.0
224640,326840.0,18-5-2010,1.0
224656,326840.0,18-5-2010,5.0
201883,326843.0,24-2-2010,2.0
270263,326846.0,26-11-2010,2.0
270273,326846.0,26-11-2010,2.0
215010,326858.0,13-4-2010,2.0
198615,326861.0,21-1-2010,1.0
212512,326865.0,12-4-2010,12.0
212541,326865.0,12-4-2010,4.0
212542,326865.0,12-4-2010,1.0
212569,326865.0,12-4-2010,1.0
212598,326865.0,12-4-2010,2.0
212606,326865.0,12-4-2010,1.0
212616,326865.0,12-4-2010,
219367,326865.0,16-4-2010,3.0
197375,326868.0,25-1-2010,2.0
197231,326869.0,26-1-2010,2.0
197347,326884.0,1-3-2010,2.0
202097,326886.0,25-2-2010,4.0
260323,326886.0,10-9-2010,8.0
232349,326894.0,11-6-2010,2.0
204461,326895.0,5-3-2010,4.0
200631,326915.0,9-2-2010,2.0
197590,326923.0,16-3-2010,1.0
204931,326937.0,9-3-2010,4.0
235029,326937.0,29-6-2010,1.0
200131,326945.0,11-2-2010,4.0
235300,326955.0,23-6-2010,5.0
235304,326955.0,23-6-2010,1.0
239342,326955.0,9-7-2010,4.0
239344,326955.0,9-7-2010,1.0
241184,326955.0,16-7-2010,4.0
241190,326955.0,16-7-2010,4.0
197740,326959.0,23-1-2010,4.0
217696,326960.0,13-4-2010,2.0
224507,326966.0,17-5-2010,4.0
224509,326966.0,17-5-2010,4.0
224511,326966.0,17-5-2010,4.0
198040,326967.0,26-1-2010,2.0
197767,326968.0,29-1-2010,13.0
198471,326982.0,29-1-2010,2.0
198542,326999.0,1-2-2010,2.0
198593,327023.0,29-1-2010,1.0
203318,327029.0,3-3-2010,1.0
203320,327029.0,3-3-2010,4.0
203322,327029.0,3-3-2010,2.0
203336,327029.0,3-3-2010,1.0
203344,327029.0,3-3-2010,1.0
203346,327029.0,3-3-2010,4.0
198215,327030.0,28-1-2010,2.0
198343,327030.0,29-1-2010,1.0
198515,327030.0,1-2-2010,2.0
198950,327030.0,3-2-2010,1.0
198957,327030.0,3-2-2010,2.0
199238,327030.0,4-2-2010,1.0
198149,327033.0,27-1-2010,28.0
199342,327043.0,5-2-2010,2.0
204688,327043.0,5-3-2010,1.0
397251,327048.0,23-4-2012,2.0
232401,327052.0,14-6-2010,2.0
232407,327052.0,14-6-2010,2.0
198682,327057.0,1-2-2010,1.0
198398,327061.0,24-2-2010,2.0
226037,327061.0,14-6-2010,2.0
214347,327064.0,8-4-2010,3.0
231235,327064.0,9-6-2010,
198443,327073.0,12-2-2010,5.0
198454,327082.0,8-2-2010,6.0
198462,327083.0,8-2-2010,4.0
200494,327084.0,15-2-2010,2.0
201774,327085.0,26-2-2010,1.0
201786,327085.0,26-2-2010,2.0
198554,327104.0,2-2-2010,2.0
198562,327104.0,2-2-2010,2.0
214981,327113.0,9-4-2010,13.0
