,Ing_Order,Ing_Datum,Ing_Aantal
1110432,393227,07-03-2016,4.0
3157755,524301,06-12-2021,4.0
3158235,524302,20-12-2021,2.0
1110506,393236,21-03-2016,2.0
3158250,524326,16-12-2021,2.0
3158354,524330,08-12-2021,6.0
3158398,524336,10-12-2021,2.0
3158990,524347,16-12-2021,5.0
3158740,524355,13-12-2021,4.0
1110917,393289,14-03-2016,4.0
3158951,524367,03-12-2021,8.0
3160563,524369,22-12-2021,8.0
1111039,393300,07-03-2016,6.0
1111067,393305,08-03-2016,6.0
1111052,393306,08-03-2016,1.0
3159300,524379,08-12-2021,4.0
1112199,393307,10-03-2016,5.0
1111148,393310,15-03-2016,4.0
1111194,393319,10-03-2016,4.0
1111215,393319,11-03-2016,2.0
3159510,524392,13-12-2021,10.0
3159537,524392,13-12-2021,13.0
3159546,524392,06-12-2021,4.0
1111282,393323,07-03-2016,6.0
3159628,524408,23-11-2021,1.0
3159671,524411,23-11-2021,1.0
1111624,393340,09-03-2016,2.0
1111642,393341,11-03-2016,2.0
1111657,393343,14-03-2016,2.0
3159763,524418,10-12-2021,10.0
3161516,524420,13-12-2021,2.0
3159811,524421,23-12-2021,4.0
1111696,393348,17-03-2016,2.0
3160240,524445,08-12-2021,2.0
1111936,393376,09-03-2016,2.0
1111977,393377,09-03-2016,1.0
1111981,393377,09-03-2016,2.0
3160346,524452,06-12-2021,4.0
1112097,393385,23-03-2016,4.0
3160527,524463,22-12-2021,3.0
3160539,524468,20-12-2021,4.0
3160604,524475,17-12-2021,6.0
1112211,393405,15-03-2016,20.0
1112238,393408,09-03-2016,4.0
1112313,393419,14-03-2016,2.0
3160747,524492,10-12-2021,6.0
1115275,393425,05-04-2016,1.0
1115322,393425,05-04-2016,3.0
1115411,393425,05-04-2016,3.0
1115469,393425,05-04-2016,4.0
1115527,393425,05-04-2016,2.0
1115595,393425,05-04-2016,7.0
1115633,393425,05-04-2016,8.0
1115651,393425,05-04-2016,1.0
1115671,393425,05-04-2016,4.0
1115730,393425,05-04-2016,6.0
1115748,393425,05-04-2016,6.0
1115760,393425,05-04-2016,1.0
1116265,393425,05-04-2016,10.0
1116302,393425,05-04-2016,2.0
1116373,393425,05-04-2016,5.0
1116397,393425,05-04-2016,3.0
1116413,393425,05-04-2016,2.0
1116444,393425,05-04-2016,2.0
1116522,393425,05-04-2016,1.0
1116537,393425,05-04-2016,1.0
1116635,393425,05-04-2016,15.0
1116690,393425,05-04-2016,4.0
1116720,393425,05-04-2016,2.0
1116748,393425,05-04-2016,9.0
1116798,393425,05-04-2016,5.0
1117180,393425,06-04-2016,23.0
1123206,393425,10-04-2016,4.0
1128862,393425,07-04-2016,1.0
3161045,524519,13-12-2021,2.0
1112756,393448,16-03-2016,2.0
3161103,524523,21-12-2021,2.0
3161186,524530,14-12-2021,4.0
1112877,393458,10-03-2016,2.0
3161277,524533,23-12-2021,2.0
1112958,393465,17-03-2016,6.0
3161385,524538,08-12-2021,2.0
3161396,524540,08-12-2021,2.0
3161416,524543,13-12-2021,4.0
3161424,524545,10-12-2021,4.0
3161438,524547,09-12-2021,2.0
1113135,393475,10-03-2016,1.0
1113146,393475,10-03-2016,1.0
1113147,393475,10-03-2016,2.0
3163058,524551,13-12-2021,8.0
1113279,393481,14-03-2016,5.0
1113246,393482,14-03-2016,8.0
3161629,524555,13-12-2021,4.0
3161661,524556,14-12-2021,4.0
1113382,393487,14-03-2016,2.0
1113621,393507,15-03-2016,2.0
3161972,524583,09-12-2021,4.0
3162003,524584,17-12-2021,4.0
3162061,524588,14-12-2021,3.0
3162650,524590,15-12-2021,7.0
1113782,393529,14-03-2016,2.0
3162150,524603,22-11-2021,10.0
3162164,524603,22-11-2021,13.0
3162171,524603,22-11-2021,4.0
3162227,524606,13-12-2021,2.0
3162348,524616,20-12-2021,4.0
3162370,524617,14-12-2021,8.0
3162421,524618,13-12-2021,12.0
3162775,524619,16-12-2021,20.0
3162556,524633,10-12-2021,4.0
3162744,524635,13-12-2021,4.0
3162941,524639,14-12-2021,4.0
1114443,393568,14-03-2016,6.0
1114471,393569,21-03-2016,2.0
3163658,524643,16-12-2021,4.0
3163030,524645,10-12-2021,2.0
1114492,393573,15-03-2016,4.0
1115867,393575,22-03-2016,1.0
3163110,524651,25-11-2021,2.0
3163235,524655,22-12-2021,2.0
3163226,524656,23-11-2021,4.0
1114570,393585,15-03-2016,8.0
1125472,393590,01-04-2016,2.0
1122679,393590,14-03-2016,4.0
1114704,393594,22-03-2016,6.0
1114770,393595,24-03-2016,6.0
1114797,393600,23-03-2016,10.0
3165481,524676,16-12-2021,6.0
1114964,393619,17-03-2016,8.0
3163921,524697,10-12-2021,2.0
3163942,524698,13-12-2021,2.0
3163952,524699,13-12-2021,2.0
1115021,393625,24-03-2016,2.0
3163998,524701,10-12-2021,2.0
1122188,393628,29-03-2016,1.0
1115061,393629,25-03-2016,2.0
1115082,393631,29-03-2016,2.0
1115113,393633,24-03-2016,4.0
1115182,393643,17-03-2016,8.0
1115208,393644,17-03-2016,1.0
1115216,393645,17-03-2016,2.0
3164306,524727,14-12-2021,2.0
1115565,393658,16-03-2016,2.0
1115843,393670,29-03-2016,4.0
1115918,393676,17-03-2016,4.0
1115939,393679,26-04-2016,4.0
1116008,393686,16-03-2016,4.0
1116041,393691,21-03-2016,1.0
1116050,393691,21-03-2016,1.0
3164973,524764,20-12-2021,2.0
3164957,524765,15-12-2021,6.0
1116115,393695,24-03-2016,4.0
3165070,524774,17-12-2021,4.0
3165078,524776,14-12-2021,4.0
3165088,524777,15-12-2021,2.0
1116631,393722,17-03-2016,2.0
3165340,524804,20-12-2021,4.0
1117501,393743,18-03-2016,4.0
1117620,393747,21-03-2016,5.0
1117624,393750,22-03-2016,4.0
3165632,524824,23-12-2021,4.0
3165637,524825,15-12-2021,2.0
1117932,393755,23-03-2016,2.0
1117736,393757,15-03-2016,2.0
1117745,393758,21-03-2016,4.0
1121068,393758,23-03-2016,2.0
1117832,393762,18-03-2016,22.0
1118055,393770,19-03-2016,3.0
3166026,524852,16-12-2021,5.0
1118465,393780,21-03-2016,8.0
3169289,524862,07-12-2021,2.0
3166229,524869,16-12-2021,4.0
1118302,393797,23-03-2016,8.0
1118436,393802,22-03-2016,4.0
1118597,393809,21-03-2016,4.0
3166505,524884,14-12-2021,2.0
1118640,393812,21-03-2016,7.0
3166630,524892,16-12-2021,6.0
1126618,393849,04-04-2016,1.0
1118944,393857,29-03-2016,4.0
3175415,524930,24-12-2021,2.0
1119019,393860,22-03-2016,5.0
1119272,393861,22-03-2016,8.0
1122365,393861,30-03-2016,4.0
1119079,393862,22-03-2016,3.0
3169274,524941,07-12-2021,4.0
3169318,524942,07-12-2021,3.0
1119346,393878,02-05-2016,4.0
3167365,524954,17-12-2021,11.0
3167396,524958,15-12-2021,2.0
3167400,524959,20-12-2021,2.0
3167414,524960,17-12-2021,4.0
1119503,393886,22-03-2016,3.0
1119549,393886,22-03-2016,2.0
1119564,393891,22-03-2016,6.0
1119569,393892,22-03-2016,2.0
1119629,393897,24-03-2016,2.0
1119648,393900,24-03-2016,1.0
1119719,393901,29-03-2016,4.0
1119680,393902,22-03-2016,1.0
1119772,393912,24-03-2016,4.0
1119908,393915,30-03-2016,4.0
1120000,393928,23-03-2016,4.0
1120147,393936,23-03-2016,5.0
1120191,393942,31-03-2016,1.0
1120209,393950,04-04-2016,2.0
1120270,393957,24-03-2016,5.0
1120290,393961,11-04-2016,6.0
3168959,525034,17-12-2021,2.0
1120313,393962,15-04-2016,5.0
1120329,393963,15-04-2016,8.0
1120400,393964,11-04-2016,2.0
1120407,393964,11-04-2016,1.0
1126276,393975,04-04-2016,1.0
1120481,393975,29-03-2016,5.0
1120892,393980,24-03-2016,4.0
3171225,525056,20-12-2021,7.0
1120715,393995,23-03-2016,1.0
3169818,525078,20-12-2021,6.0
1120983,394013,24-03-2016,3.0
1120996,394013,24-03-2016,2.0
1134441,394013,18-04-2016,1.0
1121966,394015,31-03-2016,4.0
1125240,394015,31-03-2016,4.0
1124803,394015,04-04-2016,5.0
1121036,394015,29-03-2016,4.0
1121154,394019,29-03-2016,6.0
1121573,394044,24-03-2016,2.0
1121596,394048,12-04-2016,6.0
1121648,394049,24-03-2016,2.0
1121744,394068,31-03-2016,2.0
1121805,394075,29-03-2016,2.0
1121814,394078,29-03-2016,1.0
1121924,394083,29-03-2016,8.0
3171347,525169,22-12-2021,4.0
3171444,525174,22-12-2021,4.0
1122058,394107,27-03-2016,6.0
1122191,394113,29-03-2016,4.0
1122421,394126,01-04-2016,6.0
1131348,394126,13-04-2016,4.0
1122437,394130,01-04-2016,4.0
1122460,394131,11-04-2016,4.0
1122687,394142,30-03-2016,2.0
3172142,525218,21-12-2021,2.0
1122874,394150,04-04-2016,4.0
1122777,394151,31-03-2016,8.0
1123212,394172,30-03-2016,4.0
1123222,394176,04-04-2016,4.0
1123355,394179,06-04-2016,4.0
1130040,394182,08-04-2016,2.0
1125470,394187,01-04-2016,4.0
1123488,394187,04-04-2016,4.0
1123901,394189,18-04-2016,4.0
1123820,394189,15-04-2016,8.0
1123517,394190,05-04-2016,2.0
1123742,394191,11-04-2016,7.0
1123654,394191,08-04-2016,11.0
1123564,394194,31-03-2016,4.0
1123622,394200,13-04-2016,2.0
3172853,525284,23-12-2021,12.0
3172894,525286,23-12-2021,4.0
1124304,394228,17-03-2016,8.0
1124390,394234,04-04-2016,4.0
1124511,394244,04-04-2016,12.0
1153309,394244,24-05-2016,7.0
1124550,394246,14-04-2016,2.0
1124574,394248,14-04-2016,2.0
1124703,394252,13-04-2016,4.0
1124744,394256,04-04-2016,4.0
1138003,394262,25-04-2016,2.0
1124783,394264,06-04-2016,2.0
1125156,394290,01-04-2016,8.0
1125395,394323,04-04-2016,3.0
1125404,394323,04-04-2016,2.0
1125429,394323,05-04-2016,2.0
1125506,394326,04-04-2016,7.0
3174372,525400,23-12-2021,13.0
1125516,394328,28-04-2016,4.0
1125644,394329,04-04-2016,6.0
1125549,394331,28-04-2016,6.0
1126085,394350,04-04-2016,4.0
1126172,394359,04-04-2016,13.0
1126222,394359,04-04-2016,4.0
1127790,394366,11-04-2016,2.0
1127460,394366,07-04-2016,2.0
1136353,394366,12-05-2016,4.0
1138602,394366,17-05-2016,4.0
1126265,394368,07-04-2016,2.0
1126278,394369,04-04-2016,4.0
1126327,394370,05-04-2016,2.0
1126345,394370,12-04-2016,2.0
3175472,525447,24-12-2021,8.0
1126479,394391,08-04-2016,4.0
1126493,394394,05-04-2016,4.0
1126491,394395,05-04-2016,1.0
1126559,394399,12-04-2016,2.0
1126596,394402,11-04-2016,4.0
1129749,394410,11-04-2016,6.0
1133881,394410,22-04-2016,8.0
3176189,525488,24-12-2021,2.0
1126688,394431,05-04-2016,4.0
1126693,394432,04-04-2016,4.0
1126714,394437,12-04-2016,4.0
1126777,394441,03-04-2016,2.0
1126812,394443,02-05-2016,4.0
1145519,394443,04-05-2016,2.0
1141206,394445,21-04-2016,1.0
1126990,394456,05-04-2016,4.0
1127142,394464,12-04-2016,4.0
1127185,394467,07-04-2016,20.0
