,Ing_Order,Ing_Datum,Ing_Aantal
239042,326605.0,4-12-2009,1.0
239053,326606.0,4-1-2010,6.0
239073,326607.0,25-12-2009,4.0
239145,326620.0,4-1-2010,2.0
239155,326620.0,4-1-2010,2.0
239156,326620.0,4-1-2010,3.0
239340,326652.0,6-1-2010,2.0
239348,326652.0,6-1-2010,4.0
239357,326652.0,6-1-2010,2.0
239544,326666.0,19-1-2010,5.0
241972,326666.0,21-1-2010,6.0
242483,326666.0,22-1-2010,2.0
245023,326666.0,4-2-2010,4.0
239585,326668.0,5-2-2010,5.0
239600,326669.0,5-3-2010,1.0
239607,326669.0,5-3-2010,4.0
239741,326685.0,12-1-2010,1.0
239750,326685.0,12-1-2010,1.0
239772,326685.0,12-1-2010,1.0
239890,326711.0,25-1-2010,7.0
239905,326711.0,25-1-2010,5.0
239923,326711.0,25-1-2010,1.0
239924,326711.0,25-1-2010,5.0
271233,326711.0,6-5-2010,2.0
239882,326712.0,9-1-2010,2.0
239954,326715.0,11-1-2010,1.0
239957,326716.0,11-1-2010,4.0
239965,326716.0,11-1-2010,4.0
239969,326720.0,11-1-2010,2.0
239972,326720.0,11-1-2010,2.0
240022,326723.0,12-1-2010,8.0
240111,326741.0,13-1-2010,2.0
240118,326741.0,13-1-2010,2.0
240140,326743.0,13-1-2010,2.0
240247,326747.0,13-1-2010,2.0
240276,326759.0,20-1-2010,4.0
240280,326759.0,20-1-2010,8.0
240339,326763.0,18-1-2010,2.0
240348,326763.0,18-1-2010,1.0
240380,326764.0,15-1-2010,2.0
240438,326772.0,19-1-2010,2.0
240441,326772.0,19-1-2010,2.0
240472,326779.0,14-1-2010,2.0
240547,326783.0,15-1-2010,2.0
240553,326783.0,15-1-2010,2.0
240564,326784.0,18-1-2010,18.0
240643,326788.0,1-2-2010,4.0
240649,326788.0,1-2-2010,1.0
240669,326788.0,1-2-2010,7.0
240678,326790.0,15-1-2010,4.0
240719,326794.0,20-1-2010,5.0
240753,326796.0,28-1-2010,10.0
240773,326799.0,18-1-2010,2.0
240802,326801.0,19-1-2010,9.0
240825,326802.0,19-1-2010,6.0
241190,326810.0,25-1-2010,2.0
241203,326810.0,25-1-2010,7.0
241209,326810.0,25-1-2010,1.0
250528,326810.0,3-3-2010,1.0
250534,326810.0,3-3-2010,1.0
250541,326810.0,3-3-2010,1.0
240888,326811.0,19-1-2010,17.0
248030,326811.0,22-2-2010,4.0
248031,326811.0,22-2-2010,4.0
240959,326817.0,19-1-2010,13.0
241249,326840.0,29-1-2010,7.0
241274,326840.0,29-1-2010,1.0
244270,326840.0,3-2-2010,8.0
247081,326840.0,17-2-2010,7.0
241289,326843.0,19-1-2010,2.0
241339,326846.0,19-1-2010,2.0
260211,326846.0,29-3-2010,2.0
241472,326858.0,22-1-2010,2.0
241511,326861.0,21-1-2010,1.0
241668,326865.0,1-2-2010,2.0
241678,326865.0,1-2-2010,5.0
241688,326865.0,1-2-2010,1.0
241690,326865.0,1-2-2010,4.0
252659,326865.0,10-3-2010,1.0
252669,326865.0,10-3-2010,1.0
261357,326865.0,10-4-2010,12.0
241613,326868.0,22-1-2010,2.0
241577,326869.0,25-1-2010,2.0
241740,326884.0,26-2-2010,2.0
241812,326886.0,22-1-2010,12.0
241904,326894.0,22-1-2010,2.0
241881,326895.0,22-1-2010,4.0
242004,326915.0,25-1-2010,2.0
242072,326923.0,15-3-2010,1.0
242172,326937.0,25-1-2010,4.0
285238,326937.0,29-6-2010,1.0
242308,326945.0,29-1-2010,4.0
242374,326955.0,27-1-2010,5.0
245612,326955.0,25-2-2010,10.0
250437,326955.0,2-3-2010,4.0
242384,326959.0,11-1-2010,4.0
242470,326960.0,25-1-2010,2.0
242490,326966.0,25-1-2010,4.0
242599,326966.0,25-1-2010,4.0
244756,326966.0,3-2-2010,4.0
242493,326967.0,25-1-2010,2.0
242513,326968.0,26-1-2010,13.0
242627,326982.0,25-1-2010,2.0
242741,326999.0,28-1-2010,2.0
242960,327023.0,27-1-2010,1.0
243018,327029.0,29-1-2010,2.0
243024,327029.0,29-1-2010,1.0
243031,327029.0,29-1-2010,1.0
248405,327029.0,23-2-2010,4.0
248416,327029.0,23-2-2010,4.0
248425,327029.0,23-2-2010,1.0
243048,327030.0,28-1-2010,2.0
243389,327030.0,29-1-2010,1.0
243790,327030.0,1-2-2010,2.0
244497,327030.0,3-2-2010,1.0
244501,327030.0,3-2-2010,2.0
244827,327030.0,4-2-2010,1.0
243146,327033.0,26-1-2010,28.0
243212,327043.0,29-1-2010,3.0
348917,327048.0,15-3-2011,2.0
243267,327052.0,29-1-2010,2.0
243269,327052.0,29-1-2010,2.0
243372,327057.0,28-1-2010,1.0
243505,327061.0,8-2-2010,2.0
275570,327061.0,31-5-2010,2.0
243414,327064.0,29-1-2010,4.0
243616,327073.0,1-2-2010,10.0
243635,327082.0,1-2-2010,6.0
243649,327083.0,2-2-2010,4.0
243670,327084.0,9-2-2010,2.0
243700,327085.0,26-2-2010,1.0
243701,327085.0,26-2-2010,2.0
243904,327104.0,2-2-2010,2.0
243911,327104.0,2-2-2010,2.0
243989,327113.0,2-2-2010,20.0
244037,327121.0,2-1-2010,2.0
244065,327126.0,8-2-2010,4.0
244155,327138.0,8-2-2010,6.0
251669,327138.0,9-3-2010,6.0
244245,327155.0,3-2-2010,10.0
245313,327155.0,8-2-2010,6.0
247375,327155.0,22-2-2010,8.0
248154,327155.0,24-2-2010,2.0
249863,327155.0,9-3-2010,2.0
249919,327155.0,10-3-2010,3.0
249924,327155.0,10-3-2010,2.0
253235,327155.0,11-3-2010,3.0
253256,327155.0,11-3-2010,4.0
254052,327155.0,15-3-2010,2.0
254342,327155.0,6-4-2010,2.0
256976,327155.0,22-3-2010,2.0
259230,327155.0,29-3-2010,2.0
261856,327155.0,8-4-2010,4.0
269792,327155.0,29-4-2010,2.0
274073,327155.0,19-5-2010,2.0
274077,327155.0,19-5-2010,2.0
274080,327155.0,19-5-2010,2.0
244305,327169.0,8-2-2010,2.0
244330,327172.0,2-2-2010,4.0
244333,327173.0,3-2-2010,4.0
251073,327173.0,4-3-2010,4.0
244342,327174.0,3-2-2010,2.0
244421,327179.0,10-2-2010,4.0
244558,327184.0,22-2-2010,4.0
248275,327184.0,22-2-2010,4.0
244956,327188.0,13-2-2010,3.0
244957,327188.0,13-2-2010,6.0
244636,327191.0,2-2-2010,2.0
244641,327191.0,2-2-2010,2.0
244665,327192.0,4-2-2010,3.0
244708,327193.0,5-2-2010,2.0
244799,327201.0,4-2-2010,2.0
244870,327208.0,8-2-2010,2.0
245007,327221.0,5-2-2010,7.0
245037,327222.0,5-2-2010,4.0
245118,327228.0,15-2-2010,2.0
245143,327230.0,4-2-2010,2.0
245184,327235.0,10-2-2010,2.0
245186,327235.0,10-2-2010,3.0
245190,327235.0,10-2-2010,2.0
245252,327236.0,23-2-2010,4.0
245226,327237.0,5-2-2010,4.0
245977,327238.0,9-2-2010,2.0
245276,327239.0,24-2-2010,2.0
245336,327246.0,22-2-2010,2.0
245404,327250.0,5-2-2010,1.0
245424,327251.0,5-2-2010,9.0
245431,327251.0,2-2-2010,2.0
250226,327251.0,2-3-2010,4.0
250233,327251.0,2-3-2010,4.0
250299,327251.0,3-3-2010,2.0
252422,327251.0,9-3-2010,20.0
252526,327251.0,10-3-2010,2.0
254142,327251.0,12-3-2010,2.0
254175,327251.0,12-3-2010,2.0
254233,327251.0,12-3-2010,4.0
254236,327251.0,12-3-2010,2.0
254273,327251.0,15-3-2010,2.0
258641,327251.0,26-3-2010,1.0
245464,327255.0,8-3-2010,5.0
245537,327262.0,8-2-2010,2.0
245547,327263.0,15-2-2010,4.0
245620,327267.0,5-2-2010,2.0
245685,327271.0,8-2-2010,5.0
246174,327271.0,9-2-2010,1.0
245723,327272.0,8-2-2010,3.0
245878,327295.0,8-2-2010,6.0
245886,327299.0,28-12-2009,2.0
245937,327306.0,11-3-2010,3.0
245981,327306.0,11-3-2010,2.0
245960,327307.0,9-2-2010,2.0
246069,327312.0,9-3-2010,2.0
246039,327323.0,10-2-2010,4.0
246086,327329.0,9-2-2010,4.0
246097,327332.0,9-2-2010,20.0
246186,327348.0,9-2-2010,5.0
246908,327354.0,16-2-2010,6.0
246239,327356.0,12-2-2010,13.0
250702,327356.0,5-3-2010,7.0
246330,327366.0,16-2-2010,8.0
246647,327366.0,17-2-2010,4.0
246664,327366.0,17-2-2010,1.0
246859,327366.0,18-2-2010,2.0
247180,327366.0,22-2-2010,1.0
246306,327368.0,10-2-2010,2.0
246379,327374.0,12-2-2010,2.0
246416,327375.0,12-2-2010,1.0
246436,327375.0,12-2-2010,1.0
246471,327381.0,16-2-2010,1.0
246727,327424.0,22-2-2010,1.0
246778,327432.0,19-2-2010,8.0
246798,327434.0,23-2-2010,6.0
246898,327446.0,16-2-2010,1.0
246904,327446.0,16-2-2010,1.0
246922,327447.0,17-2-2010,2.0
246962,327451.0,17-2-2010,2.0
247001,327455.0,18-2-2010,2.0
247106,327469.0,17-2-2010,2.0
247119,327471.0,17-2-2010,4.0
247123,327471.0,17-2-2010,3.0
247138,327471.0,17-2-2010,4.0
247143,327471.0,17-2-2010,8.0
247274,327483.0,18-2-2010,3.0
247330,327490.0,23-2-2010,6.0
248649,327496.0,23-2-2010,2.0
248651,327496.0,23-2-2010,2.0
248865,327496.0,24-2-2010,1.0
248869,327496.0,24-2-2010,1.0
247394,327501.0,19-2-2010,1.0
247562,327510.0,23-2-2010,1.0
247592,327513.0,19-2-2010,2.0
247744,327518.0,22-2-2010,2.0
247819,327523.0,22-2-2010,2.0
262697,327523.0,12-4-2010,2.0
247846,327526.0,22-2-2010,2.0
247858,327527.0,22-2-2010,2.0
247869,327527.0,22-2-2010,1.0
247875,327527.0,22-2-2010,1.0
247884,327527.0,22-2-2010,1.0
247885,327527.0,22-2-2010,1.0
247912,327528.0,22-2-2010,6.0
247934,327532.0,22-2-2010,3.0
247958,327533.0,22-2-2010,9.0
247973,327534.0,20-2-2010,4.0
248108,327548.0,23-2-2010,2.0
248141,327549.0,9-4-2010,2.0
248198,327549.0,1-3-2010,2.0
252005,327553.0,8-3-2010,6.0
252025,327553.0,8-3-2010,2.0
248234,327554.0,4-3-2010,2.0
248239,327554.0,4-3-2010,2.0
248241,327554.0,4-3-2010,5.0
252315,327554.0,8-3-2010,4.0
258711,327554.0,26-3-2010,2.0
258713,327554.0,26-3-2010,2.0
248252,327558.0,23-2-2010,6.0
248257,327559.0,23-2-2010,6.0
248264,327561.0,22-2-2010,4.0
248273,327563.0,23-2-2010,6.0
248294,327565.0,26-2-2010,4.0
248318,327570.0,23-2-2010,2.0
248320,327570.0,23-2-2010,2.0
248358,327576.0,24-2-2010,8.0
248538,327578.0,23-2-2010,4.0
248463,327583.0,24-2-2010,7.0
248531,327585.0,23-2-2010,4.0
248499,327592.0,24-2-2010,2.0
248546,327598.0,23-2-2010,2.0
248604,327604.0,26-2-2010,4.0
248613,327604.0,26-2-2010,4.0
248661,327608.0,25-2-2010,8.0
248667,327608.0,25-2-2010,1.0
248719,327612.0,1-3-2010,4.0
248739,327615.0,25-2-2010,3.0
248877,327620.0,4-3-2010,5.0
248780,327622.0,23-2-2010,2.0
248954,327634.0,26-2-2010,2.0
248982,327638.0,26-2-2010,2.0
249011,327639.0,25-2-2010,1.0
249046,327639.0,25-2-2010,4.0
249047,327639.0,25-2-2010,1.0
249080,327640.0,2-3-2010,5.0
249092,327641.0,26-2-2010,12.0
254932,327641.0,19-3-2010,6.0
249057,327643.0,24-2-2010,2.0
249185,327651.0,24-2-2010,2.0
249204,327663.0,1-3-2010,4.0
253501,327663.0,11-3-2010,1.0
249247,327666.0,25-2-2010,6.0
249380,327683.0,1-3-2010,2.0
249451,327686.0,26-2-2010,5.0
253276,327686.0,15-3-2010,2.0
253281,327686.0,15-3-2010,3.0
256066,327686.0,22-3-2010,1.0
256083,327686.0,22-3-2010,4.0
261297,327686.0,1-4-2010,2.0
262244,327686.0,6-4-2010,2.0
262245,327686.0,6-4-2010,2.0
265392,327686.0,19-4-2010,1.0
265405,327686.0,19-4-2010,1.0
265415,327686.0,19-4-2010,1.0
268122,327686.0,26-4-2010,2.0
270208,327686.0,3-5-2010,1.0
270211,327686.0,3-5-2010,1.0
270235,327686.0,3-5-2010,2.0
270237,327686.0,3-5-2010,2.0
272367,327686.0,10-5-2010,1.0
272373,327686.0,10-5-2010,1.0
274844,327686.0,21-5-2010,2.0
274854,327686.0,21-5-2010,2.0
274996,327686.0,21-5-2010,1.0
275013,327686.0,21-5-2010,1.0
278903,327686.0,7-6-2010,8.0
278939,327686.0,3-6-2010,1.0
278946,327686.0,3-6-2010,1.0
316325,327686.0,25-10-2010,4.0
318466,327686.0,1-11-2010,5.0
318726,327686.0,1-11-2010,1.0
320382,327686.0,8-11-2010,7.0
325429,327686.0,13-12-2010,2.0
332484,327686.0,13-1-2011,1.0
343750,327686.0,28-2-2011,1.0
369492,327686.0,16-5-2011,1.0
249486,327687.0,3-3-2010,2.0
249504,327695.0,26-2-2010,2.0
249609,327706.0,9-3-2010,2.0
249613,327707.0,26-2-2010,4.0
249624,327709.0,1-3-2010,2.0
249628,327710.0,1-3-2010,4.0
249634,327712.0,26-2-2010,2.0
249646,327712.0,26-2-2010,4.0
250653,327712.0,2-3-2010,2.0
249726,327718.0,1-3-2010,6.0
277930,327718.0,2-6-2010,2.0
277937,327718.0,2-6-2010,2.0
249854,327733.0,1-3-2010,4.0
249877,327734.0,5-3-2010,8.0
315073,327734.0,20-10-2010,1.0
249934,327737.0,1-3-2010,4.0
249975,327744.0,2-3-2010,4.0
250118,327756.0,3-3-2010,2.0
250136,327756.0,3-3-2010,1.0
250142,327756.0,3-3-2010,2.0
250147,327756.0,3-3-2010,1.0
250200,327758.0,1-3-2010,2.0
250964,327758.0,4-3-2010,
250151,327759.0,4-3-2010,1.0
250153,327759.0,4-3-2010,1.0
250168,327759.0,4-3-2010,2.0
250176,327759.0,4-3-2010,2.0
250220,327765.0,2-3-2010,2.0
250246,327766.0,4-3-2010,2.0
250255,327766.0,4-3-2010,1.0
250310,327772.0,2-3-2010,1.0
250721,327806.0,2-3-2010,4.0
250506,327803.0,3-3-2010,6.0
250593,327805.0,3-3-2010,1.0
253073,327809.0,12-3-2010,1.0
253077,327809.0,12-3-2010,1.0
253089,327809.0,12-3-2010,2.0
253097,327809.0,12-3-2010,2.0
250744,327814.0,3-3-2010,2.0
250764,327815.0,3-3-2010,2.0
250799,327815.0,19-3-2010,2.0
250814,327815.0,19-3-2010,6.0
250823,327815.0,19-3-2010,2.0
250847,327819.0,4-2-2010,2.0
250923,327828.0,12-3-2010,2.0
250984,327832.0,3-3-2010,2.0
250986,327832.0,3-3-2010,2.0
250997,327836.0,4-3-2010,15.0
252787,327836.0,10-3-2010,25.0
251013,327840.0,5-3-2010,2.0
251108,327847.0,8-3-2010,2.0
251155,327854.0,8-3-2010,2.0
251286,327854.0,9-3-2010,2.0
251213,327855.0,4-3-2010,2.0
251266,327856.0,8-3-2010,2.0
251234,327859.0,8-3-2010,13.0
251411,327860.0,19-3-2010,9.0
251423,327860.0,19-3-2010,1.0
251436,327860.0,19-3-2010,1.0
251447,327860.0,19-3-2010,6.0
253737,327860.0,19-3-2010,2.0
253743,327860.0,19-3-2010,2.0
251326,327862.0,9-3-2010,1.0
251331,327862.0,9-3-2010,1.0
251602,327879.0,5-3-2010,4.0
251608,327879.0,5-3-2010,1.0
251629,327879.0,5-3-2010,2.0
252276,327879.0,9-3-2010,2.0
252283,327879.0,9-3-2010,2.0
252579,327879.0,9-3-2010,2.0
252583,327879.0,9-3-2010,2.0
254604,327879.0,15-3-2010,2.0
255265,327879.0,16-3-2010,1.0
255268,327879.0,16-3-2010,1.0
255763,327879.0,18-3-2010,2.0
264067,327879.0,12-4-2010,2.0
269337,327879.0,28-4-2010,1.0
269351,327879.0,28-4-2010,1.0
273130,327879.0,12-5-2010,2.0
251748,327888.0,5-3-2010,13.0
251893,327901.0,8-3-2010,2.0
251938,327903.0,9-3-2010,2.0
253555,327903.0,12-3-2010,2.0
252036,327908.0,5-3-2010,4.0
252096,327915.0,5-3-2010,6.0
252185,327920.0,8-3-2010,6.0
252196,327922.0,8-3-2010,1.0
253287,327932.0,15-3-2010,2.0
253290,327932.0,15-3-2010,2.0
253294,327932.0,15-3-2010,2.0
253315,327932.0,15-3-2010,2.0
252294,327936.0,8-3-2010,6.0
253053,327946.0,9-3-2010,2.0
252370,327954.0,9-3-2010,3.0
252376,327955.0,9-3-2010,2.0
252458,327963.0,10-3-2010,2.0
252493,327967.0,9-3-2010,2.0
252497,327968.0,9-3-2010,4.0
252546,327974.0,29-3-2010,1.0
252563,327977.0,10-3-2010,4.0
252584,327978.0,10-3-2010,2.0
252642,327979.0,24-3-2010,6.0
252645,327980.0,10-3-2010,30.0
252701,327983.0,11-3-2010,4.0
252702,327983.0,11-3-2010,6.0
252763,327983.0,11-3-2010,4.0
252677,327986.0,9-3-2010,1.0
252809,327995.0,15-3-2010,2.0
256771,327997.0,22-3-2010,2.0
252910,327999.0,15-3-2010,1.0
252917,327999.0,15-3-2010,1.0
252943,328003.0,16-3-2010,2.0
252964,328006.0,12-3-2010,2.0
253167,328013.0,30-3-2010,1.0
253170,328013.0,30-3-2010,4.0
253370,328021.0,15-3-2010,4.0
253481,328031.0,17-3-2010,6.0
253646,328051.0,11-3-2010,5.0
253705,328056.0,10-3-2010,7.0
253710,328057.0,15-3-2010,6.0
255350,328057.0,17-3-2010,6.0
253713,328060.0,12-3-2010,2.0
253769,328061.0,15-3-2010,6.0
253880,328062.0,26-3-2010,8.0
253904,328062.0,26-3-2010,2.0
253837,328065.0,16-3-2010,2.0
253930,328074.0,11-3-2010,6.0
253977,328083.0,17-3-2010,2.0
253994,328084.0,11-3-2010,2.0
254031,328091.0,15-3-2010,8.0
254101,328100.0,15-3-2010,4.0
254299,328111.0,15-3-2010,6.0
254421,328128.0,17-3-2010,2.0
254523,328137.0,15-3-2010,1.0
254661,328157.0,16-3-2010,2.0
254667,328157.0,16-3-2010,2.0
254675,328157.0,16-3-2010,1.0
254678,328157.0,16-3-2010,1.0
254713,328162.0,15-3-2010,4.0
254720,328162.0,15-3-2010,2.0
254743,328168.0,19-3-2010,2.0
254857,328180.0,16-3-2010,1.0
255429,328180.0,16-3-2010,1.0
254844,328181.0,16-3-2010,4.0
263586,328181.0,8-4-2010,4.0
264180,328181.0,13-4-2010,2.0
275233,328181.0,21-5-2010,2.0
283304,328181.0,17-6-2010,3.0
286528,328181.0,29-6-2010,3.0
255013,328183.0,22-3-2010,3.0
254908,328189.0,17-3-2010,1.0
254956,328199.0,17-3-2010,1.0
254965,328199.0,17-3-2010,1.0
254980,328199.0,17-3-2010,1.0
255033,328200.0,19-3-2010,2.0
255087,328210.0,17-3-2010,2.0
255195,328223.0,24-3-2010,2.0
255212,328225.0,16-3-2010,2.0
255231,328228.0,17-3-2010,1.0
255344,328234.0,18-3-2010,50.0
255407,328240.0,23-3-2010,11.0
255469,328244.0,24-3-2010,9.0
255595,328257.0,19-3-2010,3.0
255603,328257.0,19-3-2010,3.0
255616,328261.0,23-3-2010,1.0
255626,328261.0,23-3-2010,1.0
255637,328262.0,23-3-2010,1.0
255645,328262.0,23-3-2010,1.0
255646,328262.0,23-3-2010,1.0
255678,328267.0,18-3-2010,1.0
288539,328273.0,8-7-2010,2.0
288549,328273.0,9-7-2010,5.0
255793,328277.0,23-3-2010,8.0
255827,328283.0,22-3-2010,4.0
255884,328284.0,26-3-2010,9.0
255984,328285.0,22-3-2010,8.0
255911,328286.0,19-3-2010,8.0
255922,328287.0,18-3-2010,2.0
256099,328303.0,18-3-2010,8.0
256338,328323.0,19-3-2010,1.0
256415,328328.0,22-3-2010,2.0
256480,328338.0,19-3-2010,5.0
256664,328346.0,5-4-2010,6.0
256622,328349.0,22-3-2010,2.0
256751,328357.0,19-3-2010,2.0
258897,328357.0,25-3-2010,2.0
256894,328369.0,22-3-2010,12.0
256926,328372.0,23-3-2010,4.0
256929,328372.0,23-3-2010,2.0
256931,328373.0,19-3-2010,5.0
256985,328386.0,22-3-2010,2.0
257059,328386.0,22-3-2010,2.0
257006,328389.0,24-3-2010,2.0
257100,328397.0,23-3-2010,10.0
257427,328397.0,23-3-2010,3.0
267895,328397.0,22-4-2010,6.0
257113,328400.0,23-3-2010,2.0
257119,328400.0,23-3-2010,2.0
257124,328400.0,23-3-2010,4.0
260577,328400.0,6-4-2010,1.0
260585,328400.0,6-4-2010,5.0
260589,328400.0,6-4-2010,3.0
