,Date,Net_month_art
0,2010-01-31,353.0
1,2010-02-28,952.0
2,2010-03-31,2102.0
3,2010-04-30,3564.0
4,2010-05-31,5048.0
5,2010-06-30,6828.0
6,2010-07-31,7556.0
7,2010-08-31,8832.0
8,2010-09-30,10728.0
9,2010-10-31,12203.0
10,2010-11-30,13445.0
11,2010-12-31,13961.0
12,2011-01-31,15102.0
13,2011-02-28,16116.0
14,2011-03-31,17520.0
15,2011-04-30,19152.0
16,2011-05-31,20811.0
17,2011-06-30,22196.0
18,2011-07-31,23240.0
19,2011-08-31,24411.0
20,2011-09-30,26488.0
21,2011-10-31,27807.0
22,2011-11-30,29124.0
23,2011-12-31,29830.0
24,2012-01-31,30697.0
25,2012-02-29,31375.0
26,2012-03-31,33078.0
27,2012-04-30,34582.0
28,2012-05-31,36111.0
29,2012-06-30,38152.0
30,2012-07-31,39222.0
31,2012-08-31,40803.0
32,2012-09-30,42458.0
33,2012-10-31,44226.0
34,2012-11-30,45791.0
35,2012-12-31,46670.0
36,2013-01-31,47360.0
37,2013-02-28,48487.0
38,2013-03-31,50072.0
39,2013-04-30,51834.0
40,2013-05-31,53489.0
41,2013-06-30,55114.0
42,2013-07-31,56426.0
43,2013-08-31,57817.0
44,2013-09-30,59597.0
45,2013-10-31,61929.0
46,2013-11-30,64213.0
47,2013-12-31,65199.0
48,2014-01-31,66328.0
49,2014-02-28,67346.0
50,2014-03-31,68699.0
51,2014-04-30,70533.0
52,2014-05-31,72137.0
53,2014-06-30,73702.0
54,2014-07-31,75008.0
55,2014-08-31,76049.0
56,2014-09-30,77631.0
57,2014-10-31,79104.0
58,2014-11-30,80527.0
59,2014-12-31,81317.0
60,2015-01-31,82273.0
61,2015-02-28,83278.0
62,2015-03-31,84457.0
63,2015-04-30,85930.0
64,2015-05-31,87086.0
65,2015-06-30,88060.0
66,2015-07-31,89015.0
67,2015-08-31,90082.0
68,2015-09-30,91727.0
69,2015-10-31,93368.0
70,2015-11-30,94979.0
71,2015-12-31,95828.0
72,2016-01-31,96659.0
73,2016-02-29,97411.0
74,2016-03-31,98367.0
75,2016-04-30,99764.0
76,2016-05-31,100983.0
77,2016-06-30,102272.0
78,2016-07-31,103127.0
79,2016-08-31,104044.0
80,2016-09-30,105380.0
81,2016-10-31,106682.0
82,2016-11-30,108245.0
83,2016-12-31,109025.0
84,2017-01-31,109837.0
85,2017-02-28,110787.0
86,2017-03-31,112479.0
87,2017-04-30,114157.0
88,2017-05-31,115593.0
89,2017-06-30,116969.0
90,2017-07-31,117770.0
91,2017-08-31,118764.0
92,2017-09-30,120100.0
93,2017-10-31,121258.0
94,2017-11-30,122312.0
95,2017-12-31,123108.0
96,2018-01-31,123880.0
97,2018-02-28,124976.0
98,2018-03-31,126235.0
99,2018-04-30,127853.0
100,2018-05-31,129845.0
101,2018-06-30,131548.0
102,2018-07-31,133255.0
103,2018-08-31,134942.0
104,2018-09-30,136499.0
105,2018-10-31,138588.0
106,2018-11-30,140736.0
107,2018-12-31,141806.0
108,2019-01-31,143471.0
109,2019-02-28,144920.0
110,2019-03-31,146417.0
111,2019-04-30,148286.0
112,2019-05-31,150488.0
113,2019-06-30,152321.0
114,2019-07-31,153991.0
115,2019-08-31,155298.0
116,2019-09-30,157168.0
117,2019-10-31,159226.0
118,2019-11-30,161110.0
119,2019-12-31,162105.0
120,2020-01-31,163637.0
121,2020-02-29,165065.0
122,2020-03-31,166869.0
123,2020-04-30,168126.0
124,2020-05-31,169369.0
125,2020-06-30,170997.0
126,2020-07-31,172544.0
127,2020-08-31,174228.0
128,2020-09-30,176066.0
129,2020-10-31,177843.0
130,2020-11-30,179739.0
131,2020-12-31,180712.0
132,2021-01-31,181909.0
133,2021-02-28,183076.0
134,2021-03-31,185057.0
135,2021-04-30,186695.0
136,2021-05-31,188483.0
137,2021-06-30,190344.0
138,2021-07-31,191813.0
139,2021-08-31,192693.0
140,2021-09-30,194561.0
141,2021-10-31,196475.0
142,2021-11-30,198547.0
143,2021-12-31,199504.0
