,Date,Net_week_art
0,2010-01-10,23.0
1,2010-01-17,49.0
2,2010-01-24,129.0
3,2010-01-31,150.0
4,2010-02-07,161.0
5,2010-02-14,117.0
6,2010-02-21,82.0
7,2010-02-28,239.0
8,2010-03-07,243.0
9,2010-03-14,273.0
10,2010-03-21,262.0
11,2010-03-28,275.0
12,2010-04-04,188.0
13,2010-04-11,338.0
14,2010-04-18,345.0
15,2010-04-25,318.0
16,2010-05-02,370.0
17,2010-05-09,472.0
18,2010-05-16,216.0
19,2010-05-23,480.0
20,2010-05-30,270.0
21,2010-06-06,332.0
22,2010-06-13,304.0
23,2010-06-20,327.0
24,2010-06-27,610.0
25,2010-07-04,324.0
26,2010-07-11,196.0
27,2010-07-18,163.0
28,2010-07-25,124.0
29,2010-08-01,174.0
30,2010-08-08,136.0
31,2010-08-15,147.0
32,2010-08-22,234.0
33,2010-08-29,215.0
34,2010-09-05,1095.0
35,2010-09-12,507.0
36,2010-09-19,250.0
37,2010-09-26,346.0
38,2010-10-03,322.0
39,2010-10-10,268.0
40,2010-10-17,367.0
41,2010-10-24,313.0
42,2010-10-31,447.0
43,2010-11-07,310.0
44,2010-11-14,342.0
45,2010-11-21,321.0
46,2010-11-28,200.0
47,2010-12-05,150.0
48,2010-12-12,259.0
49,2010-12-19,137.0
50,2010-12-26,31.0
51,2011-01-02,8.0
52,2011-01-09,166.0
53,2011-01-16,256.0
54,2011-01-23,272.0
55,2011-01-30,324.0
56,2011-02-06,299.0
57,2011-02-13,241.0
58,2011-02-20,253.0
59,2011-02-27,263.0
60,2011-03-06,289.0
61,2011-03-13,397.0
62,2011-03-20,372.0
63,2011-03-27,236.0
64,2011-04-03,211.0
65,2011-04-10,671.0
66,2011-04-17,362.0
67,2011-04-24,174.0
68,2011-05-01,405.0
69,2011-05-08,411.0
70,2011-05-15,431.0
71,2011-05-22,442.0
72,2011-05-29,266.0
73,2011-06-05,176.0
74,2011-06-12,416.0
75,2011-06-19,414.0
76,2011-06-26,276.0
77,2011-07-03,370.0
78,2011-07-10,416.0
79,2011-07-17,295.0
80,2011-07-24,112.0
81,2011-07-31,63.0
82,2011-08-07,113.0
83,2011-08-14,241.0
84,2011-08-21,225.0
85,2011-08-28,374.0
86,2011-09-04,468.0
87,2011-09-11,553.0
88,2011-09-18,424.0
89,2011-09-25,503.0
90,2011-10-02,347.0
91,2011-10-09,192.0
92,2011-10-16,276.0
93,2011-10-23,404.0
94,2011-10-30,398.0
95,2011-11-06,264.0
96,2011-11-13,322.0
97,2011-11-20,368.0
98,2011-11-27,298.0
99,2011-12-04,186.0
100,2011-12-11,300.0
101,2011-12-18,239.0
102,2011-12-25,93.0
103,2012-01-01,2.0
104,2012-01-08,164.0
105,2012-01-15,266.0
106,2012-01-22,117.0
107,2012-01-29,277.0
108,2012-02-05,97.0
109,2012-02-12,50.0
110,2012-02-19,128.0
111,2012-02-26,275.0
112,2012-03-04,287.0
113,2012-03-11,404.0
114,2012-03-18,323.0
115,2012-03-25,429.0
116,2012-04-01,436.0
117,2012-04-08,542.0
118,2012-04-15,297.0
119,2012-04-22,269.0
120,2012-04-29,395.0
121,2012-05-06,275.0
122,2012-05-13,338.0
123,2012-05-20,287.0
124,2012-05-27,425.0
125,2012-06-03,270.0
126,2012-06-10,666.0
127,2012-06-17,564.0
128,2012-06-24,386.0
129,2012-07-01,359.0
130,2012-07-08,226.0
131,2012-07-15,321.0
132,2012-07-22,157.0
133,2012-07-29,216.0
134,2012-08-05,261.0
135,2012-08-12,318.0
136,2012-08-19,386.0
137,2012-08-26,351.0
138,2012-09-02,424.0
139,2012-09-09,429.0
140,2012-09-16,314.0
141,2012-09-23,358.0
142,2012-09-30,545.0
143,2012-10-07,421.0
144,2012-10-14,370.0
145,2012-10-21,295.0
146,2012-10-28,457.0
147,2012-11-04,373.0
148,2012-11-11,377.0
149,2012-11-18,385.0
150,2012-11-25,317.0
151,2012-12-02,362.0
152,2012-12-09,335.0
153,2012-12-16,316.0
154,2012-12-23,200.0
155,2012-12-30,0.0
156,2013-01-06,123.0
157,2013-01-13,218.0
158,2013-01-20,95.0
159,2013-01-27,65.0
160,2013-02-03,254.0
161,2013-02-10,292.0
162,2013-02-17,231.0
163,2013-02-24,364.0
164,2013-03-03,282.0
165,2013-03-10,407.0
166,2013-03-17,405.0
167,2013-03-24,376.0
168,2013-03-31,298.0
169,2013-04-07,416.0
170,2013-04-14,519.0
171,2013-04-21,499.0
172,2013-04-28,277.0
173,2013-05-05,228.0
174,2013-05-12,273.0
175,2013-05-19,552.0
176,2013-05-26,241.0
177,2013-06-02,414.0
178,2013-06-09,399.0
179,2013-06-16,438.0
180,2013-06-23,472.0
181,2013-06-30,314.0
182,2013-07-07,355.0
183,2013-07-14,270.0
184,2013-07-21,396.0
185,2013-07-28,203.0
186,2013-08-04,181.0
187,2013-08-11,217.0
188,2013-08-18,361.0
189,2013-08-25,293.0
190,2013-09-01,431.0
191,2013-09-08,409.0
192,2013-09-15,357.0
193,2013-09-22,438.0
194,2013-09-29,414.0
195,2013-10-06,494.0
196,2013-10-13,331.0
197,2013-10-20,627.0
198,2013-10-27,588.0
199,2013-11-03,629.0
200,2013-11-10,503.0
201,2013-11-17,559.0
