,Date,Net_month_art
0,2010-01-31,210.0
1,2010-02-28,436.0
2,2010-03-31,599.0
3,2010-04-30,622.0
4,2010-05-31,497.0
5,2010-06-30,517.0
6,2010-07-31,287.0
7,2010-08-31,490.0
8,2010-09-30,571.0
9,2010-10-31,615.0
10,2010-11-30,485.0
11,2010-12-31,237.0
12,2011-01-31,566.0
13,2011-02-28,404.0
14,2011-03-31,645.0
15,2011-04-30,460.0
16,2011-05-31,649.0
17,2011-06-30,542.0
18,2011-07-31,430.0
19,2011-08-31,567.0
20,2011-09-30,716.0
21,2011-10-31,563.0
22,2011-11-30,647.0
23,2011-12-31,376.0
24,2012-01-31,472.0
25,2012-02-29,464.0
26,2012-03-31,872.0
27,2012-04-30,569.0
28,2012-05-31,679.0
29,2012-06-30,717.0
30,2012-07-31,462.0
31,2012-08-31,522.0
32,2012-09-30,721.0
33,2012-10-31,946.0
34,2012-11-30,1026.0
35,2012-12-31,460.0
36,2013-01-31,344.0
37,2013-02-28,641.0
38,2013-03-31,800.0
39,2013-04-30,972.0
40,2013-05-31,775.0
41,2013-06-30,832.0
42,2013-07-31,724.0
43,2013-08-31,550.0
44,2013-09-30,886.0
45,2013-10-31,1048.0
46,2013-11-30,1432.0
47,2013-12-31,642.0
48,2014-01-31,651.0
49,2014-02-28,619.0
50,2014-03-31,872.0
51,2014-04-30,1174.0
52,2014-05-31,869.0
53,2014-06-30,934.0
54,2014-07-31,864.0
55,2014-08-31,573.0
56,2014-09-30,925.0
57,2014-10-31,1086.0
58,2014-11-30,1083.0
59,2014-12-31,863.0
60,2015-01-31,572.0
61,2015-02-28,736.0
62,2015-03-31,892.0
63,2015-04-30,1064.0
64,2015-05-31,742.0
65,2015-06-30,814.0
66,2015-07-31,777.0
67,2015-08-31,841.0
68,2015-09-30,1107.0
69,2015-10-31,1173.0
70,2015-11-30,1160.0
71,2015-12-31,597.0
72,2016-01-31,592.0
73,2016-02-29,647.0
74,2016-03-31,705.0
75,2016-04-30,716.0
76,2016-05-31,602.0
77,2016-06-30,854.0
78,2016-07-31,514.0
79,2016-08-31,529.0
80,2016-09-30,672.0
81,2016-10-31,725.0
82,2016-11-30,1004.0
83,2016-12-31,511.0
84,2017-01-31,521.0
85,2017-02-28,754.0
86,2017-03-31,1210.0
87,2017-04-30,974.0
88,2017-05-31,1024.0
89,2017-06-30,856.0
90,2017-07-31,593.0
91,2017-08-31,710.0
92,2017-09-30,721.0
93,2017-10-31,874.0
94,2017-11-30,899.0
95,2017-12-31,583.0
96,2018-01-31,489.0
97,2018-02-28,682.0
98,2018-03-31,763.0
99,2018-04-30,675.0
100,2018-05-31,1035.0
101,2018-06-30,799.0
102,2018-07-31,640.0
103,2018-08-31,688.0
104,2018-09-30,647.0
105,2018-10-31,1033.0
106,2018-11-30,835.0
107,2018-12-31,457.0
108,2019-01-31,693.0
109,2019-02-28,537.0
110,2019-03-31,522.0
111,2019-04-30,565.0
112,2019-05-31,859.0
113,2019-06-30,665.0
114,2019-07-31,716.0
115,2019-08-31,536.0
116,2019-09-30,882.0
117,2019-10-31,949.0
118,2019-11-30,1058.0
119,2019-12-31,619.0
120,2020-01-31,800.0
121,2020-02-29,638.0
122,2020-03-31,866.0
123,2020-04-30,681.0
124,2020-05-31,638.0
125,2020-06-30,876.0
126,2020-07-31,827.0
127,2020-08-31,856.0
128,2020-09-30,1047.0
129,2020-10-31,1005.0
130,2020-11-30,1180.0
131,2020-12-31,607.0
132,2021-01-31,642.0
133,2021-02-28,728.0
134,2021-03-31,1126.0
135,2021-04-30,926.0
136,2021-05-31,1096.0
137,2021-06-30,1165.0
138,2021-07-31,977.0
139,2021-08-31,538.0
140,2021-09-30,1156.0
141,2021-10-31,882.0
142,2021-11-30,1323.0
143,2021-12-31,665.0
