,Date,Net_daily_art
0,2010-01-01,0.0
1,2010-01-02,0.0
2,2010-01-03,0.0
3,2010-01-04,0.0
4,2010-01-05,0.0
5,2010-01-06,0.0
6,2010-01-07,14.0
7,2010-01-08,14.0
8,2010-01-09,0.0
9,2010-01-10,0.0
10,2010-01-11,0.0
11,2010-01-12,0.0
12,2010-01-13,0.0
13,2010-01-14,0.0
14,2010-01-15,0.0
15,2010-01-16,0.0
16,2010-01-17,0.0
17,2010-01-18,29.0
18,2010-01-19,31.0
19,2010-01-20,54.0
20,2010-01-21,27.0
21,2010-01-22,27.0
22,2010-01-23,4.0
23,2010-01-24,4.0
24,2010-01-25,24.0
25,2010-01-26,30.0
26,2010-01-27,39.0
27,2010-01-28,49.0
28,2010-01-29,52.0
29,2010-01-30,52.0
30,2010-01-31,52.0
31,2010-02-01,84.0
32,2010-02-02,82.0
33,2010-02-03,71.0
34,2010-02-04,67.0
35,2010-02-05,73.0
36,2010-02-06,63.0
37,2010-02-07,63.0
38,2010-02-08,109.0
39,2010-02-09,87.0
40,2010-02-10,92.0
41,2010-02-11,75.0
42,2010-02-12,85.0
43,2010-02-13,88.0
44,2010-02-14,88.0
45,2010-02-15,109.0
46,2010-02-16,119.0
47,2010-02-17,154.0
48,2010-02-18,159.0
49,2010-02-19,167.0
50,2010-02-20,138.0
51,2010-02-21,138.0
52,2010-02-22,151.0
53,2010-02-23,206.0
54,2010-02-24,204.0
55,2010-02-25,178.0
56,2010-02-26,176.0
57,2010-02-27,171.0
58,2010-02-28,171.0
59,2010-03-01,190.0
60,2010-03-02,181.0
61,2010-03-03,188.0
62,2010-03-04,234.0
63,2010-03-05,255.0
64,2010-03-06,237.0
65,2010-03-07,237.0
66,2010-03-08,246.0
67,2010-03-09,213.0
68,2010-03-10,201.0
69,2010-03-11,217.0
70,2010-03-12,218.0
71,2010-03-13,191.0
72,2010-03-14,191.0
73,2010-03-15,208.0
74,2010-03-16,228.0
75,2010-03-17,233.0
76,2010-03-18,212.0
77,2010-03-19,242.0
78,2010-03-20,239.0
79,2010-03-21,239.0
80,2010-03-22,263.0
81,2010-03-23,292.0
82,2010-03-24,319.0
83,2010-03-25,290.0
84,2010-03-26,366.0
85,2010-03-27,329.0
86,2010-03-28,329.0
87,2010-03-29,339.0
88,2010-03-30,360.0
89,2010-03-31,337.0
90,2010-04-01,381.0
91,2010-04-02,350.0
92,2010-04-03,335.0
93,2010-04-04,335.0
94,2010-04-05,335.0
95,2010-04-06,375.0
96,2010-04-07,397.0
97,2010-04-08,419.0
98,2010-04-09,468.0
99,2010-04-10,415.0
100,2010-04-11,415.0
101,2010-04-12,447.0
102,2010-04-13,435.0
103,2010-04-14,480.0
104,2010-04-15,477.0
105,2010-04-16,532.0
106,2010-04-17,447.0
107,2010-04-18,447.0
108,2010-04-19,458.0
109,2010-04-20,367.0
110,2010-04-21,367.0
111,2010-04-22,402.0
112,2010-04-23,425.0
113,2010-04-24,402.0
114,2010-04-25,393.0
115,2010-04-26,385.0
116,2010-04-27,356.0
117,2010-04-28,335.0
118,2010-04-29,344.0
119,2010-04-30,298.0
120,2010-05-01,298.0
121,2010-05-02,298.0
122,2010-05-03,319.0
123,2010-05-04,336.0
124,2010-05-05,291.0
125,2010-05-06,298.0
126,2010-05-07,293.0
127,2010-05-08,246.0
128,2010-05-09,246.0
129,2010-05-10,288.0
130,2010-05-11,263.0
131,2010-05-12,307.0
132,2010-05-13,275.0
133,2010-05-14,287.0
134,2010-05-15,287.0
135,2010-05-16,293.0
136,2010-05-17,316.0
137,2010-05-18,319.0
138,2010-05-19,297.0
139,2010-05-20,347.0
140,2010-05-21,404.0
141,2010-05-22,310.0
142,2010-05-23,310.0
143,2010-05-24,310.0
144,2010-05-25,323.0
145,2010-05-26,334.0
146,2010-05-27,260.0
147,2010-05-28,317.0
148,2010-05-29,307.0
149,2010-05-30,307.0
150,2010-05-31,346.0
151,2010-06-01,297.0
152,2010-06-02,353.0
153,2010-06-03,359.0
154,2010-06-04,376.0
155,2010-06-05,355.0
156,2010-06-06,355.0
157,2010-06-07,463.0
158,2010-06-08,467.0
159,2010-06-09,430.0
160,2010-06-10,414.0
161,2010-06-11,488.0
162,2010-06-12,450.0
163,2010-06-13,450.0
164,2010-06-14,489.0
165,2010-06-15,460.0
166,2010-06-16,423.0
167,2010-06-17,429.0
168,2010-06-18,442.0
169,2010-06-19,396.0
170,2010-06-20,396.0
