,Date,Net_month_art
0,2010-01-31,125.0
1,2010-02-28,363.0
2,2010-03-31,597.0
3,2010-04-30,647.0
4,2010-05-31,634.0
5,2010-06-30,821.0
6,2010-07-31,458.0
7,2010-08-31,1052.0
8,2010-09-30,967.0
9,2010-10-31,1211.0
10,2010-11-30,800.0
11,2010-12-31,322.0
12,2011-01-31,668.0
13,2011-02-28,595.0
14,2011-03-31,1051.0
15,2011-04-30,1172.0
16,2011-05-31,1003.0
17,2011-06-30,1107.0
18,2011-07-31,956.0
19,2011-08-31,650.0
20,2011-09-30,1407.0
21,2011-10-31,960.0
22,2011-11-30,812.0
23,2011-12-31,467.0
24,2012-01-31,761.0
25,2012-02-29,460.0
26,2012-03-31,921.0
27,2012-04-30,910.0
28,2012-05-31,1039.0
29,2012-06-30,1210.0
30,2012-07-31,950.0
31,2012-08-31,1288.0
32,2012-09-30,816.0
33,2012-10-31,1056.0
34,2012-11-30,1072.0
35,2012-12-31,568.0
36,2013-01-31,364.0
37,2013-02-28,530.0
38,2013-03-31,867.0
39,2013-04-30,1280.0
40,2013-05-31,894.0
41,2013-06-30,1122.0
42,2013-07-31,1049.0
43,2013-08-31,807.0
44,2013-09-30,979.0
45,2013-10-31,1330.0
46,2013-11-30,1631.0
47,2013-12-31,565.0
48,2014-01-31,677.0
49,2014-02-28,576.0
50,2014-03-31,778.0
51,2014-04-30,1131.0
52,2014-05-31,1069.0
53,2014-06-30,886.0
54,2014-07-31,762.0
55,2014-08-31,949.0
56,2014-09-30,1033.0
57,2014-10-31,739.0
58,2014-11-30,1090.0
59,2014-12-31,530.0
60,2015-01-31,334.0
61,2015-02-28,642.0
62,2015-03-31,500.0
63,2015-04-30,484.0
64,2015-05-31,619.0
65,2015-06-30,516.0
66,2015-07-31,482.0
67,2015-08-31,443.0
68,2015-09-30,980.0
69,2015-10-31,922.0
70,2015-11-30,822.0
71,2015-12-31,358.0
72,2016-01-31,543.0
73,2016-02-29,334.0
74,2016-03-31,397.0
75,2016-04-30,881.0
76,2016-05-31,525.0
77,2016-06-30,592.0
78,2016-07-31,446.0
79,2016-08-31,442.0
80,2016-09-30,594.0
81,2016-10-31,501.0
82,2016-11-30,697.0
83,2016-12-31,330.0
84,2017-01-31,272.0
85,2017-02-28,328.0
86,2017-03-31,804.0
87,2017-04-30,580.0
88,2017-05-31,597.0
89,2017-06-30,880.0
90,2017-07-31,448.0
91,2017-08-31,349.0
92,2017-09-30,495.0
93,2017-10-31,477.0
94,2017-11-30,637.0
95,2017-12-31,617.0
96,2018-01-31,301.0
97,2018-02-28,332.0
98,2018-03-31,501.0
99,2018-04-30,381.0
100,2018-05-31,830.0
101,2018-06-30,883.0
102,2018-07-31,832.0
103,2018-08-31,606.0
104,2018-09-30,549.0
105,2018-10-31,729.0
106,2018-11-30,761.0
107,2018-12-31,279.0
108,2019-01-31,495.0
109,2019-02-28,391.0
110,2019-03-31,367.0
111,2019-04-30,596.0
112,2019-05-31,704.0
113,2019-06-30,727.0
114,2019-07-31,630.0
115,2019-08-31,321.0
116,2019-09-30,1147.0
117,2019-10-31,912.0
118,2019-11-30,1170.0
119,2019-12-31,337.0
120,2020-01-31,510.0
121,2020-02-29,636.0
122,2020-03-31,876.0
123,2020-04-30,669.0
124,2020-05-31,810.0
125,2020-06-30,731.0
126,2020-07-31,968.0
127,2020-08-31,612.0
128,2020-09-30,890.0
129,2020-10-31,763.0
130,2020-11-30,680.0
131,2020-12-31,327.0
132,2021-01-31,-3291.0
133,2021-02-28,-4385.0
134,2021-03-31,-7093.0
135,2021-04-30,-8455.0
136,2021-05-31,-8315.0
137,2021-06-30,-8144.0
138,2021-07-31,-9499.0
139,2021-08-31,-6407.0
140,2021-09-30,-9282.0
141,2021-10-31,-9639.0
142,2021-11-30,-10901.0
143,2021-12-31,-8198.0
