,Date,Net_daily_art
0,2010-01-01,0.0
1,2010-01-02,0.0
2,2010-01-03,0.0
3,2010-01-04,4.0
4,2010-01-05,4.0
5,2010-01-06,0.0
6,2010-01-07,0.0
7,2010-01-08,0.0
8,2010-01-09,0.0
9,2010-01-10,0.0
10,2010-01-11,0.0
11,2010-01-12,1.0
12,2010-01-13,1.0
13,2010-01-14,1.0
14,2010-01-15,4.0
15,2010-01-16,4.0
16,2010-01-17,4.0
17,2010-01-18,40.0
18,2010-01-19,59.0
19,2010-01-20,68.0
20,2010-01-21,57.0
21,2010-01-22,56.0
22,2010-01-23,51.0
23,2010-01-24,51.0
24,2010-01-25,54.0
25,2010-01-26,61.0
26,2010-01-27,65.0
27,2010-01-28,102.0
28,2010-01-29,101.0
29,2010-01-30,99.0
30,2010-01-31,99.0
31,2010-02-01,128.0
32,2010-02-02,110.0
33,2010-02-03,100.0
34,2010-02-04,102.0
35,2010-02-05,117.0
36,2010-02-06,107.0
37,2010-02-07,107.0
38,2010-02-08,127.0
39,2010-02-09,102.0
40,2010-02-10,103.0
41,2010-02-11,104.0
42,2010-02-12,112.0
43,2010-02-13,113.0
44,2010-02-14,113.0
45,2010-02-15,124.0
46,2010-02-16,134.0
47,2010-02-17,138.0
48,2010-02-18,135.0
49,2010-02-19,140.0
50,2010-02-20,127.0
51,2010-02-21,127.0
52,2010-02-22,131.0
53,2010-02-23,180.0
54,2010-02-24,171.0
55,2010-02-25,172.0
56,2010-02-26,177.0
57,2010-02-27,174.0
58,2010-02-28,174.0
59,2010-03-01,179.0
60,2010-03-02,187.0
61,2010-03-03,190.0
62,2010-03-04,221.0
63,2010-03-05,246.0
64,2010-03-06,233.0
65,2010-03-07,233.0
66,2010-03-08,239.0
67,2010-03-09,232.0
68,2010-03-10,189.0
69,2010-03-11,198.0
70,2010-03-12,198.0
71,2010-03-13,185.0
72,2010-03-14,185.0
73,2010-03-15,208.0
74,2010-03-16,218.0
75,2010-03-17,205.0
76,2010-03-18,192.0
77,2010-03-19,210.0
78,2010-03-20,204.0
79,2010-03-21,204.0
80,2010-03-22,218.0
81,2010-03-23,239.0
82,2010-03-24,263.0
83,2010-03-25,252.0
84,2010-03-26,273.0
85,2010-03-27,251.0
86,2010-03-28,251.0
87,2010-03-29,271.0
88,2010-03-30,296.0
89,2010-03-31,289.0
90,2010-04-01,327.0
91,2010-04-02,312.0
92,2010-04-03,308.0
93,2010-04-04,308.0
94,2010-04-05,308.0
95,2010-04-06,327.0
96,2010-04-07,329.0
97,2010-04-08,341.0
98,2010-04-09,370.0
99,2010-04-10,330.0
100,2010-04-11,330.0
101,2010-04-12,357.0
102,2010-04-13,330.0
103,2010-04-14,344.0
104,2010-04-15,353.0
105,2010-04-16,389.0
106,2010-04-17,347.0
107,2010-04-18,347.0
108,2010-04-19,360.0
109,2010-04-20,313.0
110,2010-04-21,317.0
111,2010-04-22,339.0
112,2010-04-23,362.0
113,2010-04-24,348.0
114,2010-04-25,345.0
115,2010-04-26,368.0
116,2010-04-27,360.0
117,2010-04-28,359.0
118,2010-04-29,366.0
119,2010-04-30,351.0
120,2010-05-01,351.0
121,2010-05-02,351.0
122,2010-05-03,381.0
123,2010-05-04,340.0
124,2010-05-05,296.0
125,2010-05-06,326.0
126,2010-05-07,324.0
127,2010-05-08,293.0
128,2010-05-09,293.0
129,2010-05-10,322.0
130,2010-05-11,323.0
131,2010-05-12,333.0
132,2010-05-13,265.0
133,2010-05-14,270.0
134,2010-05-15,270.0
135,2010-05-16,273.0
136,2010-05-17,317.0
137,2010-05-18,356.0
138,2010-05-19,345.0
139,2010-05-20,368.0
140,2010-05-21,401.0
141,2010-05-22,356.0
142,2010-05-23,356.0
143,2010-05-24,357.0
144,2010-05-25,381.0
145,2010-05-26,337.0
146,2010-05-27,247.0
147,2010-05-28,264.0
148,2010-05-29,253.0
149,2010-05-30,253.0
150,2010-05-31,261.0
151,2010-06-01,244.0
152,2010-06-02,247.0
153,2010-06-03,239.0
154,2010-06-04,259.0
155,2010-06-05,242.0
156,2010-06-06,242.0
157,2010-06-07,278.0
158,2010-06-08,273.0
159,2010-06-09,265.0
160,2010-06-10,285.0
161,2010-06-11,332.0
162,2010-06-12,314.0
163,2010-06-13,317.0
164,2010-06-14,333.0
165,2010-06-15,307.0
166,2010-06-16,301.0
167,2010-06-17,311.0
168,2010-06-18,303.0
169,2010-06-19,268.0
170,2010-06-20,268.0
