,End_Order,End_Datum,Ret_Aantal
2490269,491520,02-10-2020,2.0
2480978,491520,23-09-2020,1.0
2480981,491520,23-09-2020,1.0
2446614,491521,17-09-2020,2.0
2446644,491521,17-09-2020,2.0
577856,360452,23-09-2013,1.0
589010,360452,18-10-2013,1.0
589011,360452,18-10-2013,1.0
589015,360452,18-10-2013,1.0
589027,360452,18-10-2013,2.0
584042,360453,08-10-2013,2.0
207962,327686,17-03-2010,2.0
212416,327686,31-03-2010,4.0
205805,327686,19-03-2010,2.0
222803,327686,07-05-2010,6.0
234448,327686,22-06-2010,6.0
261052,327686,29-10-2010,3.0
263022,327686,05-11-2010,1.0
263025,327686,05-11-2010,3.0
264475,327686,18-11-2010,5.0
269623,327686,17-12-2010,2.0
269629,327686,17-12-2010,3.0
202191,327687,03-03-2010,2.0
202196,327687,03-03-2010,1.0
576836,360455,30-09-2013,1.0
2447483,491532,03-09-2020,1.0
576921,360475,23-09-2013,2.0
576924,360475,23-09-2013,2.0
2036251,458780,03-09-2019,1.0
214382,327712,08-04-2010,1.0
228968,327713,01-06-2010,2.0
228972,327713,01-06-2010,1.0
1923147,458788,21-05-2019,1.0
579857,360485,30-09-2013,1.0
577261,360486,27-09-2013,7.0
577314,360486,27-09-2013,12.0
577319,360486,27-09-2013,2.0
3021171,524330,10-12-2021,2.0
3021176,524330,10-12-2021,1.0
3030037,524330,14-12-2021,1.0
3030042,524330,14-12-2021,2.0
202413,327723,17-03-2010,2.0
577365,360491,26-09-2013,3.0
244214,327734,16-08-2010,2.0
244217,327734,16-08-2010,1.0
244226,327734,16-08-2010,1.0
244228,327734,16-08-2010,1.0
259301,327734,14-10-2010,6.0
266502,327734,16-11-2010,2.0
266505,327734,16-11-2010,1.0
577393,360503,25-09-2013,6.0
3021674,524347,20-12-2021,3.0
3021693,524347,20-12-2021,1.0
3021694,524347,20-12-2021,2.0
208447,327744,17-03-2010,3.0
3021394,524355,14-12-2021,1.0
2457369,491589,06-09-2020,2.0
2457371,491589,06-09-2020,2.0
2457372,491589,06-09-2020,4.0
2457376,491589,06-09-2020,2.0
2457390,491589,06-09-2020,2.0
2457393,491589,06-09-2020,1.0
2457420,491589,06-09-2020,3.0
2457427,491589,06-09-2020,4.0
1467570,426057,22-12-2017,1.0
1467571,426057,22-12-2017,1.0
1450623,426067,28-04-2017,15.0
1450624,426067,28-04-2017,2.0
577848,360538,23-09-2013,3.0
581878,360540,18-10-2013,1.0
581891,360540,18-10-2013,1.0
581892,360540,18-10-2013,1.0
581895,360540,18-10-2013,1.0
581907,360540,18-10-2013,7.0
581916,360540,18-10-2013,1.0
581923,360540,18-10-2013,1.0
581939,360540,18-10-2013,1.0
581948,360540,18-10-2013,1.0
581965,360540,18-10-2013,3.0
581972,360540,18-10-2013,1.0
581975,360540,18-10-2013,1.0
581980,360540,18-10-2013,1.0
581997,360540,18-10-2013,4.0
2509640,491613,12-10-2020,2.0
