,Date,Net_month_art
0,2010-01-31,141.0
1,2010-02-28,259.0
2,2010-03-31,416.0
3,2010-04-30,536.0
4,2010-05-31,489.0
5,2010-06-30,542.0
6,2010-07-31,312.0
7,2010-08-31,598.0
8,2010-09-30,659.0
9,2010-10-31,676.0
10,2010-11-30,575.0
11,2010-12-31,207.0
12,2011-01-31,442.0
13,2011-02-28,317.0
14,2011-03-31,639.0
15,2011-04-30,761.0
16,2011-05-31,681.0
17,2011-06-30,781.0
18,2011-07-31,609.0
19,2011-08-31,607.0
20,2011-09-30,823.0
21,2011-10-31,590.0
22,2011-11-30,622.0
23,2011-12-31,393.0
24,2012-01-31,589.0
25,2012-02-29,319.0
26,2012-03-31,725.0
27,2012-04-30,801.0
28,2012-05-31,798.0
29,2012-06-30,984.0
30,2012-07-31,789.0
31,2012-08-31,976.0
32,2012-09-30,700.0
33,2012-10-31,813.0
34,2012-11-30,768.0
35,2012-12-31,317.0
36,2013-01-31,383.0
37,2013-02-28,479.0
38,2013-03-31,861.0
39,2013-04-30,1058.0
40,2013-05-31,738.0
41,2013-06-30,850.0
42,2013-07-31,872.0
43,2013-08-31,778.0
44,2013-09-30,869.0
45,2013-10-31,1029.0
46,2013-11-30,1334.0
47,2013-12-31,516.0
48,2014-01-31,634.0
49,2014-02-28,553.0
50,2014-03-31,607.0
51,2014-04-30,925.0
52,2014-05-31,901.0
53,2014-06-30,932.0
54,2014-07-31,670.0
55,2014-08-31,593.0
56,2014-09-30,711.0
57,2014-10-31,551.0
58,2014-11-30,887.0
59,2014-12-31,442.0
60,2015-01-31,481.0
61,2015-02-28,588.0
62,2015-03-31,495.0
63,2015-04-30,710.0
64,2015-05-31,555.0
65,2015-06-30,448.0
66,2015-07-31,408.0
67,2015-08-31,386.0
68,2015-09-30,608.0
69,2015-10-31,546.0
70,2015-11-30,431.0
71,2015-12-31,235.0
72,2016-01-31,362.0
73,2016-02-29,195.0
74,2016-03-31,351.0
75,2016-04-30,709.0
76,2016-05-31,343.0
77,2016-06-30,531.0
78,2016-07-31,316.0
79,2016-08-31,413.0
80,2016-09-30,450.0
81,2016-10-31,408.0
82,2016-11-30,576.0
83,2016-12-31,280.0
84,2017-01-31,260.0
85,2017-02-28,265.0
86,2017-03-31,567.0
87,2017-04-30,586.0
88,2017-05-31,479.0
89,2017-06-30,719.0
90,2017-07-31,346.0
91,2017-08-31,464.0
92,2017-09-30,711.0
93,2017-10-31,555.0
94,2017-11-30,343.0
95,2017-12-31,466.0
96,2018-01-31,305.0
97,2018-02-28,290.0
98,2018-03-31,464.0
99,2018-04-30,569.0
100,2018-05-31,762.0
101,2018-06-30,621.0
102,2018-07-31,622.0
103,2018-08-31,512.0
104,2018-09-30,448.0
105,2018-10-31,713.0
106,2018-11-30,527.0
107,2018-12-31,191.0
108,2019-01-31,459.0
109,2019-02-28,324.0
110,2019-03-31,369.0
111,2019-04-30,701.0
112,2019-05-31,619.0
113,2019-06-30,673.0
114,2019-07-31,493.0
115,2019-08-31,486.0
116,2019-09-30,930.0
117,2019-10-31,818.0
118,2019-11-30,792.0
119,2019-12-31,291.0
120,2020-01-31,405.0
121,2020-02-29,466.0
122,2020-03-31,589.0
123,2020-04-30,515.0
124,2020-05-31,530.0
125,2020-06-30,570.0
126,2020-07-31,587.0
127,2020-08-31,576.0
128,2020-09-30,616.0
129,2020-10-31,645.0
130,2020-11-30,633.0
131,2020-12-31,294.0
132,2021-01-31,360.0
133,2021-02-28,412.0
134,2021-03-31,880.0
135,2021-04-30,609.0
136,2021-05-31,620.0
137,2021-06-30,866.0
138,2021-07-31,489.0
139,2021-08-31,200.0
140,2021-09-30,582.0
141,2021-10-31,713.0
142,2021-11-30,483.0
143,2021-12-31,353.0
