,Date,Net_week_art
0,2010-01-10,4.0
1,2010-01-17,5.0
2,2010-01-24,72.0
3,2010-01-31,60.0
4,2010-02-07,71.0
5,2010-02-14,42.0
6,2010-02-21,47.0
7,2010-02-28,99.0
8,2010-03-07,128.0
9,2010-03-14,49.0
10,2010-03-21,87.0
11,2010-03-28,98.0
12,2010-04-04,105.0
13,2010-04-11,102.0
14,2010-04-18,125.0
15,2010-04-25,121.0
16,2010-05-02,137.0
17,2010-05-09,101.0
18,2010-05-16,109.0
19,2010-05-23,189.0
20,2010-05-30,75.0
21,2010-06-06,97.0
22,2010-06-13,158.0
23,2010-06-20,112.0
24,2010-06-27,112.0
25,2010-07-04,101.0
26,2010-07-11,70.0
27,2010-07-18,50.0
28,2010-07-25,54.0
29,2010-08-01,115.0
30,2010-08-08,77.0
31,2010-08-15,80.0
32,2010-08-22,108.0
33,2010-08-29,195.0
34,2010-09-05,322.0
35,2010-09-12,124.0
36,2010-09-19,82.0
37,2010-09-26,128.0
38,2010-10-03,184.0
39,2010-10-10,175.0
40,2010-10-17,189.0
41,2010-10-24,114.0
42,2010-10-31,155.0
43,2010-11-07,160.0
44,2010-11-14,135.0
45,2010-11-21,163.0
46,2010-11-28,107.0
47,2010-12-05,37.0
48,2010-12-12,90.0
49,2010-12-19,69.0
50,2010-12-26,16.0
51,2011-01-02,5.0
52,2011-01-09,99.0
53,2011-01-16,57.0
54,2011-01-23,118.0
55,2011-01-30,161.0
56,2011-02-06,74.0
57,2011-02-13,73.0
58,2011-02-20,52.0
59,2011-02-27,104.0
60,2011-03-06,85.0
61,2011-03-13,179.0
62,2011-03-20,175.0
63,2011-03-27,126.0
64,2011-04-03,122.0
65,2011-04-10,215.0
66,2011-04-17,226.0
67,2011-04-24,84.0
68,2011-05-01,209.0
69,2011-05-08,155.0
70,2011-05-15,156.0
71,2011-05-22,171.0
72,2011-05-29,158.0
73,2011-06-05,72.0
74,2011-06-12,191.0
75,2011-06-19,223.0
76,2011-06-26,160.0
77,2011-07-03,295.0
78,2011-07-10,187.0
79,2011-07-17,202.0
80,2011-07-24,67.0
81,2011-07-31,34.0
82,2011-08-07,173.0
83,2011-08-14,113.0
84,2011-08-21,51.0
85,2011-08-28,156.0
86,2011-09-04,216.0
87,2011-09-11,224.0
88,2011-09-18,211.0
89,2011-09-25,185.0
90,2011-10-02,101.0
91,2011-10-09,67.0
92,2011-10-16,175.0
93,2011-10-23,152.0
94,2011-10-30,184.0
95,2011-11-06,89.0
96,2011-11-13,146.0
97,2011-11-20,170.0
98,2011-11-27,189.0
99,2011-12-04,76.0
100,2011-12-11,199.0
101,2011-12-18,124.0
102,2011-12-25,30.0
103,2012-01-01,4.0
104,2012-01-08,118.0
105,2012-01-15,179.0
106,2012-01-22,85.0
107,2012-01-29,179.0
108,2012-02-05,53.0
109,2012-02-12,45.0
110,2012-02-19,74.0
111,2012-02-26,113.0
112,2012-03-04,118.0
113,2012-03-11,174.0
114,2012-03-18,124.0
115,2012-03-25,170.0
116,2012-04-01,201.0
