,End_Order,End_Datum,Ret_Aantal
1917590,458752,21-05-2019,5.0
2503304,491520,08-10-2020,1.0
2490263,491520,02-10-2020,3.0
204155,327683,05-03-2010,2.0
3020257,524292,09-12-2021,2.0
3020268,524292,12-12-2021,2.0
589032,360452,18-10-2013,2.0
589069,360452,18-10-2013,1.0
212434,327686,31-03-2010,6.0
205803,327686,19-03-2010,2.0
207977,327686,17-03-2010,6.0
220712,327686,29-04-2010,3.0
221256,327686,04-05-2010,2.0
222800,327686,07-05-2010,1.0
226097,327686,25-05-2010,2.0
232749,327686,15-06-2010,4.0
236986,327686,01-07-2010,1.0
236994,327686,01-07-2010,1.0
234417,327686,22-06-2010,1.0
234457,327686,22-06-2010,2.0
261004,327686,29-10-2010,4.0
261038,327686,29-10-2010,6.0
263028,327686,05-11-2010,3.0
264478,327686,18-11-2010,1.0
269625,327686,17-12-2010,4.0
278146,327686,14-01-2011,4.0
286863,327686,28-02-2011,4.0
310479,327686,20-05-2011,4.0
1012189,393227,15-03-2016,1.0
236530,327691,24-06-2010,4.0
2447464,491532,03-09-2020,1.0
610680,360463,26-09-2013,4.0
2659837,491537,12-02-2021,0.0
1008771,393236,22-03-2016,1.0
279005,327702,26-11-2010,0.0
1449445,426007,18-12-2017,2.0
2446862,491543,27-08-2020,2.0
205690,327706,10-03-2010,3.0
576943,360474,24-09-2013,8.0
214376,327712,08-04-2010,2.0
202351,327715,01-03-2010,4.0
3021094,524326,16-12-2021,2.0
577295,360486,27-09-2013,10.0
608682,360489,27-09-2013,2.0
577360,360491,26-09-2013,7.0
577379,360491,26-09-2013,2.0
3021207,524336,10-12-2021,2.0
1009242,393273,08-03-2016,4.0
1449907,426042,05-12-2017,6.0
2714540,491578,26-03-2021,6.0
2714556,491578,26-03-2021,1.0
2816288,491578,10-06-2021,2.0
2833593,491578,23-06-2021,
2447420,491581,31-08-2020,1.0
1918203,458819,12-05-2019,2.0
2457336,491589,04-09-2020,7.0
2457352,491589,04-09-2020,2.0
2457423,491589,06-09-2020,3.0
2658362,491589,02-09-2021,1.0
202597,327756,03-03-2010,2.0
2447612,491596,12-10-2020,1.0
202623,327759,04-03-2010,2.0
577721,360527,27-09-2013,2.0
3024157,524369,22-12-2021,9.0
1009322,393299,17-03-2016,4.0
1009364,393300,11-03-2016,14.0
1009367,393300,11-03-2016,4.0
1450607,426067,28-04-2017,10.0
202666,327766,04-03-2010,2.0
1010146,393307,11-03-2016,4.0
202837,327772,02-03-2010,6.0
2447976,491611,18-09-2020,1.0
1035989,393310,26-04-2016,2.0
581924,360540,18-10-2013,13.0
580716,360542,02-10-2013,1.0
589925,360542,16-10-2013,1.0
577887,360545,23-10-2013,2.0
577899,360545,23-10-2013,1.0
606402,360549,15-11-2013,4.0
597059,360549,29-10-2013,4.0
618529,360549,05-12-2013,1.0
1009425,393319,10-03-2016,2.0
1451027,426087,19-12-2017,4.0
1450953,426089,09-12-2017,3.0
2448086,491624,15-09-2020,2.0
582133,360559,04-10-2013,2.0
3022614,524408,24-11-2021,2.0
3022664,524411,24-11-2021,1.0
603521,360573,11-11-2013,4.0
578157,360574,22-10-2013,5.0
1918873,458880,16-05-2019,2.0
205563,327809,15-03-2010,4.0
3022787,524418,13-12-2021,2.0
580106,360577,27-09-2013,2.0
578245,360580,25-09-2013,2.0
203603,327814,05-03-2010,3.0
578336,360588,26-09-2013,1.0
1919199,458894,13-05-2019,4.0
578363,360592,26-09-2013,4.0
2523287,491665,23-10-2020,1.0
2523326,491665,23-10-2020,3.0
578401,360595,01-10-2013,2.0
578432,360596,26-09-2013,1.0
1919428,458902,11-06-2019,2.0
1451748,426141,21-12-2017,6.0
578467,360606,26-09-2013,2.0
578614,360608,18-10-2013,3.0
578670,360612,02-10-2013,2.0
578688,360613,03-10-2013,2.0
578709,360614,05-10-2013,6.0
2479689,491686,25-09-2020,2.0
2479706,491686,25-09-2020,4.0
613797,360616,27-11-2013,2.0
207289,327854,16-03-2010,3.0
207299,327854,16-03-2010,1.0
203806,327854,12-03-2010,1.0
203778,327854,11-03-2010,1.0
203649,327855,05-03-2010,2.0
204962,327856,08-03-2010,2.0
578828,360622,30-09-2013,11.0
578840,360622,30-09-2013,2.0
1464300,426162,21-12-2017,4.0
203689,327859,09-03-2010,2.0
215295,327860,16-04-2010,2.0
578854,360629,27-09-2013,4.0
582848,360632,03-10-2013,4.0
581080,360632,01-10-2013,5.0
2624134,491704,11-01-2021,2.0
2493574,491708,30-09-2020,3.0
1919910,458948,17-05-2019,3.0
598446,360645,31-10-2013,5.0
208165,327879,19-03-2010,4.0
208142,327879,18-03-2010,3.0
207014,327879,17-03-2010,4.0
229232,327879,03-06-2010,2.0
1452275,426185,20-12-2017,9.0
2022205,458953,26-07-2019,4.0
608595,360652,03-10-2013,2.0
579229,360654,27-09-2013,2.0
204088,327888,08-03-2010,9.0
1013294,393425,10-04-2016,3.0
