,Ing_Order,Ing_Datum,Ing_Aantal
2049984,458752,20-05-2019,5.0
2586667,491520,03-09-2020,4.0
249409,327683,01-03-2010,2.0
3157483,524292,09-12-2021,2.0
3157554,524292,11-12-2021,2.0
662668,360452,25-09-2013,2.0
660275,360452,20-09-2013,1.0
262240,327686,06-04-2010,2.0
253278,327686,15-03-2010,6.0
253404,327686,17-03-2010,2.0
256088,327686,22-03-2010,6.0
268141,327686,26-04-2010,3.0
270252,327686,03-05-2010,2.0
265396,327686,19-04-2010,1.0
272370,327686,10-05-2010,1.0
274843,327686,21-05-2010,4.0
275012,327686,21-05-2010,1.0
278921,327686,07-06-2010,2.0
278950,327686,03-06-2010,1.0
318720,327686,01-11-2010,3.0
316268,327686,25-10-2010,4.0
316321,327686,25-10-2010,6.0
320371,327686,08-11-2010,1.0
325421,327686,13-12-2010,4.0
332483,327686,13-01-2011,4.0
343755,327686,28-02-2011,4.0
369481,327686,16-05-2011,4.0
1110438,393227,07-03-2016,1.0
249466,327691,25-02-2010,4.0
3157751,524301,06-12-2021,3.0
2587831,491532,31-08-2020,1.0
660405,360463,24-09-2013,4.0
2587029,491537,02-09-2020,2.0
1110501,393236,21-03-2016,1.0
249559,327702,26-02-2010,2.0
1571067,426007,18-12-2017,2.0
2587146,491543,27-08-2020,2.0
249602,327706,09-03-2010,3.0
660532,360474,23-09-2013,8.0
249651,327712,26-02-2010,2.0
249673,327715,01-03-2010,4.0
3158253,524326,16-12-2021,2.0
660702,360486,24-09-2013,10.0
660796,360489,23-09-2013,2.0
660855,360491,24-09-2013,7.0
660893,360491,24-09-2013,2.0
3158389,524336,10-12-2021,2.0
1110809,393273,07-03-2016,4.0
1571362,426042,05-12-2017,6.0
2590333,491578,31-08-2020,8.0
2590338,491578,31-08-2020,2.0
2590345,491578,31-08-2020,1.0
2587733,491581,28-08-2020,1.0
2050893,458819,12-05-2019,2.0
2594330,491589,02-09-2020,1.0
2588080,491589,01-09-2020,2.0
2588082,491589,01-09-2020,7.0
2594874,491589,04-09-2020,3.0
250135,327756,03-03-2010,2.0
2587972,491596,25-09-2020,1.0
250957,327758,04-03-2010,
250173,327759,04-03-2010,2.0
661203,360527,24-09-2013,2.0
3160573,524369,22-12-2021,9.0
1110998,393299,17-03-2016,4.0
1111025,393300,07-03-2016,4.0
1111041,393300,07-03-2016,14.0
1571865,426067,18-04-2017,10.0
250243,327766,04-03-2010,2.0
1112190,393307,10-03-2016,4.0
250312,327772,02-03-2010,6.0
2588397,491611,16-09-2020,1.0
1111143,393310,15-03-2016,2.0
665502,360540,04-10-2013,13.0
661386,360542,25-09-2013,2.0
661438,360545,25-09-2013,2.0
664070,360545,27-09-2013,1.0
661559,360549,25-09-2013,9.0
1111191,393319,10-03-2016,2.0
1572208,426087,19-12-2017,4.0
1572127,426089,07-12-2017,3.0
2588570,491624,15-09-2020,2.0
661685,360559,25-09-2013,2.0
3159641,524408,23-11-2021,2.0
3159660,524411,23-11-2021,1.0
661818,360573,30-09-2013,4.0
661835,360574,18-10-2013,5.0
2051469,458880,14-05-2019,2.0
253067,327809,12-03-2010,4.0
3159729,524418,10-12-2021,2.0
661921,360577,25-09-2013,2.0
661934,360580,25-09-2013,2.0
250752,327814,03-03-2010,3.0
662022,360588,25-09-2013,1.0
2051725,458894,13-05-2019,4.0
662052,360592,26-09-2013,4.0
2589296,491665,31-08-2020,3.0
2589313,491665,08-09-2020,1.0
662078,360595,30-09-2013,2.0
662108,360596,26-09-2013,1.0
2051827,458902,05-06-2019,2.0
1572801,426141,15-12-2017,6.0
662202,360606,25-09-2013,2.0
662261,360608,30-09-2013,3.0
662316,360612,30-09-2013,2.0
662331,360613,01-10-2013,2.0
662354,360614,03-10-2013,6.0
2589516,491686,27-08-2020,2.0
2589559,491686,06-09-2020,4.0
662365,360616,25-09-2013,2.0
251176,327854,08-03-2010,3.0
251350,327854,11-03-2010,1.0
251297,327854,09-03-2010,1.0
251320,327854,10-03-2010,1.0
251208,327855,04-03-2010,2.0
251273,327856,08-03-2010,2.0
662464,360622,26-09-2013,11.0
662500,360622,27-09-2013,2.0
1573042,426162,08-12-2017,4.0
251230,327859,08-03-2010,2.0
251440,327860,19-03-2010,2.0
662545,360629,26-09-2013,4.0
663075,360632,27-09-2013,4.0
664750,360632,01-10-2013,5.0
2594675,491704,01-09-2020,2.0
2589715,491708,31-08-2020,3.0
2052355,458948,17-05-2019,3.0
662702,360645,01-10-2013,5.0
251606,327879,05-03-2010,7.0
255776,327879,18-03-2010,4.0
264070,327879,12-04-2010,2.0
1573230,426185,20-12-2017,9.0
2052388,458953,14-05-2019,4.0
662844,360652,30-09-2013,2.0
662862,360654,27-09-2013,2.0
251727,327888,05-03-2010,9.0
1115288,393425,05-04-2016,3.0
1115342,393425,05-04-2016,4.0
1115374,393425,05-04-2016,3.0
1115410,393425,05-04-2016,2.0
1115481,393425,05-04-2016,6.0
1115531,393425,05-04-2016,1.0
1115550,393425,05-04-2016,3.0
1115585,393425,05-04-2016,4.0
1115619,393425,05-04-2016,11.0
1115656,393425,05-04-2016,2.0
1115686,393425,05-04-2016,3.0
1115722,393425,05-04-2016,7.0
1115744,393425,05-04-2016,10.0
1115765,393425,05-04-2016,3.0
1116304,393425,05-04-2016,4.0
1116341,393425,05-04-2016,1.0
1116375,393425,05-04-2016,5.0
1116389,393425,05-04-2016,6.0
1116415,393425,05-04-2016,5.0
1116450,393425,05-04-2016,3.0
1116490,393425,05-04-2016,5.0
1116521,393425,05-04-2016,2.0
1116528,393425,05-04-2016,2.0
1116562,393425,05-04-2016,2.0
1116660,393425,05-04-2016,7.0
1116702,393425,05-04-2016,6.0
1116761,393425,05-04-2016,17.0
1116792,393425,05-04-2016,6.0
1116832,393425,05-04-2016,4.0
1117205,393425,06-04-2016,25.0
662989,360662,27-09-2013,4.0
663021,360664,04-10-2013,2.0
2590108,491738,31-08-2020,3.0
2590144,491739,31-08-2020,1.0
251907,327901,08-03-2010,2.0
1112554,393442,11-03-2016,1.0
1112663,393445,11-03-2016,4.0
663210,360678,27-09-2013,3.0
1112751,393448,16-03-2016,3.0
1117712,393448,18-03-2016,1.0
1573619,426220,11-12-2017,2.0
2590919,491759,02-09-2020,2.0
2590929,491760,07-09-2020,2.0
1112880,393458,10-03-2016,2.0
3161279,524533,23-12-2021,2.0
1573732,426232,21-12-2017,3.0
1112936,393465,17-03-2016,1.0
2630828,491768,02-10-2020,2.0
253301,327932,15-03-2010,2.0
253316,327932,15-03-2010,2.0
2063680,459005,27-05-2019,8.0
2053322,459007,24-05-2019,4.0
1113140,393475,10-03-2016,2.0
663449,360707,30-09-2013,2.0
1573878,426245,18-12-2017,3.0
663477,360708,01-10-2013,10.0
1113271,393482,14-03-2016,16.0
252780,327946,09-03-2010,2.0
3161657,524556,14-12-2021,4.0
2591765,491786,21-09-2020,3.0
1574127,426256,19-12-2017,7.0
663833,360727,03-10-2013,8.0
663788,360730,30-09-2013,4.0
252466,327963,10-03-2010,3.0
663958,360734,30-09-2013,2.0
